subj,dataset_name,metric_name,performance
alexnet_w1_mlp_simclrhn_probe3,edge,accuracy (top-1),0.4
alexnet_w1_mlp_simclrhn_probe3,silhouette,accuracy (top-1),0.20625
alexnet_w1_mlp_simclrhn_probe3,cue-conflict,accuracy (top-1),0.26171875
alexnet_w1_mlp_simclrhn_probe3,colour,accuracy (top-1),0.7109375
alexnet_w1_mlp_simclrhn_probe3,contrast,accuracy (top-1),0.47265625
alexnet_w1_mlp_simclrhn_probe3,high-pass,accuracy (top-1),0.340625
alexnet_w1_mlp_simclrhn_probe3,low-pass,accuracy (top-1),0.2578125
alexnet_w1_mlp_simclrhn_probe3,phase-scrambling,accuracy (top-1),0.34375
alexnet_w1_mlp_simclrhn_probe3,power-equalisation,accuracy (top-1),0.4875
alexnet_w1_mlp_simclrhn_probe3,false-colour,accuracy (top-1),0.7080357142857143
alexnet_w1_mlp_simclrhn_probe3,rotation,accuracy (top-1),0.5140625
alexnet_w1_mlp_simclrhn_probe3,eidolonI,accuracy (top-1),0.3640625
alexnet_w1_mlp_simclrhn_probe3,eidolonII,accuracy (top-1),0.30859375
alexnet_w1_mlp_simclrhn_probe3,eidolonIII,accuracy (top-1),0.28203125
alexnet_w1_mlp_simclrhn_probe3,uniform-noise,accuracy (top-1),0.2578125
alexnet_w1_mlp_simclrhn_probe3,sketch,accuracy (top-1),0.47875
alexnet_w1_mlp_simclrhn_probe3,sketch,accuracy (top-5),0.7775
alexnet_w1_mlp_simclrhn_probe3,stylized,accuracy (top-1),0.23
alexnet_w1_mlp_simclrhn_probe3,stylized,accuracy (top-5),0.53
