subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet_w3_mlp_simclrhn_probe2,1,1,NaN,oven,oven,cr,0001_cl_dnn_cr_oven_40_n04111531_14126.png,n04111531_14126.png,1.0,5.0225115,1.5997285,2.420273
alexnet_w3_mlp_simclrhn_probe2,1,2,NaN,bear,bear,cr,0002_cl_dnn_cr_bear_40_n02134084_5274.png,n02134084_5274.png,1.0,6.0237117,3.412984,1.8460634
alexnet_w3_mlp_simclrhn_probe2,1,3,NaN,dog,cat,cr,0003_cl_dnn_cr_cat_40_n02123394_133.png,n02123394_133.png,0.0,-0.009297169,0.7148329,-0.51203734
alexnet_w3_mlp_simclrhn_probe2,1,4,NaN,car,car,cr,0004_cl_dnn_cr_car_40_n02814533_51190.png,n02814533_51190.png,1.0,11.508785,6.47279,3.5609865
alexnet_w3_mlp_simclrhn_probe2,1,5,NaN,chair,chair,bw,0005_cl_dnn_bw_chair_40_n04099969_14986.png,n04099969_14986.png,1.0,3.020372,0.14634919,2.032241
alexnet_w3_mlp_simclrhn_probe2,1,6,NaN,elephant,elephant,cr,0006_cl_dnn_cr_elephant_40_n02504013_6731.png,n02504013_6731.png,1.0,4.4742126,1.0577502,2.4158037
alexnet_w3_mlp_simclrhn_probe2,1,7,NaN,bottle,bottle,cr,0007_cl_dnn_cr_bottle_40_n02823428_987.png,n02823428_987.png,1.0,15.156541,4.0665126,7.8418345
alexnet_w3_mlp_simclrhn_probe2,1,8,NaN,chair,truck,cr,0008_cl_dnn_cr_truck_40_n03417042_7458.png,n03417042_7458.png,0.0,1.6691191,1.8522651,-0.12950379
alexnet_w3_mlp_simclrhn_probe2,1,9,NaN,chair,chair,bw,0009_cl_dnn_bw_chair_40_n04099969_4577.png,n04099969_4577.png,1.0,2.2882662,0.640857,1.1648942
alexnet_w3_mlp_simclrhn_probe2,1,10,NaN,bicycle,knife,cr,0010_cl_dnn_cr_knife_40_n03041632_83472.png,n03041632_83472.png,0.0,-0.67011875,-0.31652647,-0.2500275
alexnet_w3_mlp_simclrhn_probe2,1,11,NaN,elephant,elephant,bw,0011_cl_dnn_bw_elephant_40_n02504458_3485.png,n02504458_3485.png,1.0,12.799735,1.6549612,7.880545
alexnet_w3_mlp_simclrhn_probe2,1,12,NaN,elephant,bear,bw,0012_cl_dnn_bw_bear_40_n02133161_1066.png,n02133161_1066.png,0.0,1.3347933,3.2211165,-1.3338319
alexnet_w3_mlp_simclrhn_probe2,1,13,NaN,elephant,elephant,bw,0013_cl_dnn_bw_elephant_40_n02504013_1060.png,n02504013_1060.png,1.0,4.439158,0.96364295,2.4575603
