subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet2023_baseline_pgd,1,1,NaN,oven,oven,cr,0001_cl_dnn_cr_oven_40_n04111531_14126.png,n04111531_14126.png,1.0,21.391453,3.7161229,12.498345
alexnet2023_baseline_pgd,1,2,NaN,bear,bear,cr,0002_cl_dnn_cr_bear_40_n02134084_5274.png,n02134084_5274.png,1.0,10.175558,9.494016,0.48192325
alexnet2023_baseline_pgd,1,3,NaN,dog,cat,cr,0003_cl_dnn_cr_cat_40_n02123394_133.png,n02123394_133.png,0.0,3.4823024,5.061203,-1.1164513
alexnet2023_baseline_pgd,1,4,NaN,car,car,cr,0004_cl_dnn_cr_car_40_n02814533_51190.png,n02814533_51190.png,1.0,21.217665,11.771437,6.679492
alexnet2023_baseline_pgd,1,5,NaN,chair,chair,bw,0005_cl_dnn_bw_chair_40_n04099969_14986.png,n04099969_14986.png,1.0,10.213703,3.2781732,4.90416
alexnet2023_baseline_pgd,1,6,NaN,elephant,elephant,cr,0006_cl_dnn_cr_elephant_40_n02504013_6731.png,n02504013_6731.png,1.0,10.058954,4.068176,4.23612
alexnet2023_baseline_pgd,1,7,NaN,bottle,bottle,cr,0007_cl_dnn_cr_bottle_40_n02823428_987.png,n02823428_987.png,1.0,16.391115,3.8571653,8.862841
alexnet2023_baseline_pgd,1,8,NaN,truck,truck,cr,0008_cl_dnn_cr_truck_40_n03417042_7458.png,n03417042_7458.png,1.0,7.8992305,7.1342173,0.54094607
alexnet2023_baseline_pgd,1,9,NaN,chair,chair,bw,0009_cl_dnn_bw_chair_40_n04099969_4577.png,n04099969_4577.png,1.0,9.355512,3.1501818,4.3878307
alexnet2023_baseline_pgd,1,10,NaN,knife,knife,cr,0010_cl_dnn_cr_knife_40_n03041632_83472.png,n03041632_83472.png,1.0,3.945567,1.9819474,1.3884887
alexnet2023_baseline_pgd,1,11,NaN,elephant,elephant,bw,0011_cl_dnn_bw_elephant_40_n02504458_3485.png,n02504458_3485.png,1.0,18.657822,2.9607692,11.099492
alexnet2023_baseline_pgd,1,12,NaN,elephant,bear,bw,0012_cl_dnn_bw_bear_40_n02133161_1066.png,n02133161_1066.png,0.0,6.491147,11.14028,-3.2874334
alexnet2023_baseline_pgd,1,13,NaN,elephant,elephant,bw,0013_cl_dnn_bw_elephant_40_n02504013_1060.png,n02504013_1060.png,1.0,14.144703,5.307783,6.248646
alexnet2023_baseline_pgd,1,14,NaN,elephant,bear,bw,0014_cl_dnn_bw_bear_40_n02134084_1009.png,n02134084_1009.png,0.0,3.4935431,5.3077784,-1.282858
