subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet,1,1,NaN,oven,oven,cr,0001_cl_dnn_cr_oven_40_n04111531_14126.png,n04111531_14126.png,1.0,18.6713,4.405882,10.087174
alexnet,1,2,NaN,bear,bear,cr,0002_cl_dnn_cr_bear_40_n02134084_5274.png,n02134084_5274.png,1.0,9.72505,8.124091,1.1320488
alexnet,1,3,NaN,cat,cat,cr,0003_cl_dnn_cr_cat_40_n02123394_133.png,n02123394_133.png,1.0,5.4832516,3.8408086,1.1613826
alexnet,1,4,NaN,car,car,cr,0004_cl_dnn_cr_car_40_n02814533_51190.png,n02814533_51190.png,1.0,17.590357,10.519974,4.999516
alexnet,1,5,NaN,chair,chair,bw,0005_cl_dnn_bw_chair_40_n04099969_14986.png,n04099969_14986.png,1.0,9.5667925,3.0816288,4.5857034
alexnet,1,6,NaN,elephant,elephant,cr,0006_cl_dnn_cr_elephant_40_n02504013_6731.png,n02504013_6731.png,1.0,15.93392,4.400819,8.155134
alexnet,1,7,NaN,bottle,bottle,cr,0007_cl_dnn_cr_bottle_40_n02823428_987.png,n02823428_987.png,1.0,19.47327,7.5805645,8.409413
alexnet,1,8,NaN,chair,truck,cr,0008_cl_dnn_cr_truck_40_n03417042_7458.png,n03417042_7458.png,0.0,6.7971463,7.864812,-0.75495356
alexnet,1,9,NaN,chair,chair,bw,0009_cl_dnn_bw_chair_40_n04099969_4577.png,n04099969_4577.png,1.0,11.187912,3.7449858,5.2629437
alexnet,1,10,NaN,knife,knife,cr,0010_cl_dnn_cr_knife_40_n03041632_83472.png,n03041632_83472.png,1.0,3.949809,2.597595,0.9561598
alexnet,1,11,NaN,elephant,elephant,bw,0011_cl_dnn_bw_elephant_40_n02504458_3485.png,n02504458_3485.png,1.0,21.319567,2.6264591,13.218023
alexnet,1,12,NaN,bear,bear,bw,0012_cl_dnn_bw_bear_40_n02133161_1066.png,n02133161_1066.png,1.0,6.3676944,4.7154126,1.1683396
alexnet,1,13,NaN,elephant,elephant,bw,0013_cl_dnn_bw_elephant_40_n02504013_1060.png,n02504013_1060.png,1.0,13.1619,4.0905714,6.4143977
alexnet,1,14,NaN,cat,bear,bw,0014_cl_dnn_bw_bear_40_n02134084_1009.png,n02134084_1009.png,0.0,2.5135324,3.7500923,-0.8743799
alexnet,1,15,NaN,cat,cat,cr,0015_cl_dnn_cr_cat_40_n02125311_13383.png,n02125311_13383.png,1.0,12.006415,4.537266,5.2814865
alexnet,1,16,NaN,elephant,elephant,bw,0016_cl_dnn_bw_elephant_40_n02504013_257.png,n02504013_257.png,1.0,18.55999,4.1497936,10.189548
alexnet,1,17,NaN,oven,cat,bw,0017_cl_dnn_bw_cat_40_n02123045_6445.png,n02123045_6445.png,0.0,5.511925,7.7679663,-1.5952619
alexnet,1,18,NaN,airplane,airplane,bw,0018_cl_dnn_bw_airplane_40_n02690373_3493.png,n02690373_3493.png,1.0,16.385788,7.553272,6.245532
alexnet,1,19,NaN,airplane,airplane,bw,0019_cl_dnn_bw_airplane_40_n02690373_5184.png,n02690373_5184.png,1.0,13.1517935,6.845128,4.459486
alexnet,1,20,NaN,car,truck,bw,0020_cl_dnn_bw_truck_40_n04467665_22637.png,n04467665_22637.png,0.0,6.8610477,8.979476,-1.497955
alexnet,1,21,NaN,cat,cat,cr,0021_cl_dnn_cr_cat_40_n02123159_10952.png,n02123159_10952.png,1.0,10.51035,5.4259133,3.5952399
alexnet,1,22,NaN,airplane,airplane,bw,0022_cl_dnn_bw_airplane_40_n02690373_3620.png,n02690373_3620.png,1.0,14.40093,6.2819242,5.7410045
alexnet,1,23,NaN,bottle,bottle,cr,0023_cl_dnn_cr_bottle_40_n04557648_10744.png,n04557648_10744.png,1.0,3.327112,2.7890213,0.3804876
alexnet,1,24,NaN,oven,oven,bw,0024_cl_dnn_bw_oven_40_n04111531_12702.png,n04111531_12702.png,1.0,8.246298,5.3980737,2.0139987
alexnet,1,25,NaN,elephant,bear,cr,0025_cl_dnn_cr_bear_40_n02133161_9949.png,n02133161_9949.png,0.0,4.3503647,4.4284024,-0.055181015
alexnet,1,26,NaN,keyboard,keyboard,cr,0026_cl_dnn_cr_keyboard_40_n03085013_3489.png,n03085013_3489.png,1.0,7.366343,3.5539658,2.6957579
alexnet,1,27,NaN,elephant,elephant,bw,0027_cl_dnn_bw_elephant_40_n02504458_4633.png,n02504458_4633.png,1.0,11.063865,4.1705456,4.874313
alexnet,1,28,NaN,clock,clock,cr,0028_cl_dnn_cr_clock_40_n04548280_7816.png,n04548280_7816.png,1.0,8.565945,4.3893037,2.9533312
alexnet,1,29,NaN,dog,dog,bw,0029_cl_dnn_bw_dog_40_n02097474_1859.png,n02097474_1859.png,1.0,4.8274093,2.7603948,1.4616
alexnet,1,30,NaN,cat,cat,bw,0030_cl_dnn_bw_cat_40_n02123394_916.png,n02123394_916.png,1.0,8.233808,4.634497,2.5450969
alexnet,1,31,NaN,elephant,elephant,cr,0031_cl_dnn_cr_elephant_40_n02504458_3525.png,n02504458_3525.png,1.0,21.240633,6.168973,10.657273
alexnet,1,32,NaN,bear,bear,bw,0032_cl_dnn_bw_bear_40_n02134418_4456.png,n02134418_4456.png,1.0,8.50709,4.908073,2.5448892
alexnet,1,33,NaN,keyboard,keyboard,bw,0033_cl_dnn_bw_keyboard_40_n03085013_24045.png,n03085013_24045.png,1.0,15.579136,6.2809997,6.5747747
alexnet,1,34,NaN,oven,knife,bw,0034_cl_dnn_bw_knife_40_n03041632_49363.png,n03041632_49363.png,0.0,4.1582236,5.8866415,-1.2221761
alexnet,1,35,NaN,cat,cat,bw,0035_cl_dnn_bw_cat_40_n02123159_7854.png,n02123159_7854.png,1.0,7.2132897,3.847849,2.3797262
alexnet,1,36,NaN,knife,knife,cr,0036_cl_dnn_cr_knife_40_n03041632_4708.png,n03041632_4708.png,1.0,16.414047,10.10452,4.4615097
alexnet,1,37,NaN,chair,chair,cr,0037_cl_dnn_cr_chair_40_n04429376_7788.png,n04429376_7788.png,1.0,7.3095236,6.55929,0.5304953
alexnet,1,38,NaN,car,car,cr,0038_cl_dnn_cr_car_40_n03100240_9086.png,n03100240_9086.png,1.0,16.927053,9.188864,5.4717264
alexnet,1,39,NaN,car,chair,cr,0039_cl_dnn_cr_chair_40_n03376595_3038.png,n03376595_3038.png,0.0,3.5509484,5.807215,-1.5954216
alexnet,1,40,NaN,car,truck,bw,0040_cl_dnn_bw_truck_40_n03796401_1758.png,n03796401_1758.png,0.0,6.358416,6.809265,-0.31879842
alexnet,1,41,NaN,boat,boat,cr,0041_cl_dnn_cr_boat_40_n04273569_4324.png,n04273569_4324.png,1.0,19.332731,6.1925106,9.291539
alexnet,1,42,NaN,bear,bear,cr,0042_cl_dnn_cr_bear_40_n02134084_1090.png,n02134084_1090.png,1.0,11.350742,8.469591,2.0372815
alexnet,1,43,NaN,bicycle,bicycle,bw,0043_cl_dnn_bw_bicycle_40_n03792782_13665.png,n03792782_13665.png,1.0,7.1825333,3.4148564,2.66415
alexnet,1,44,NaN,knife,knife,bw,0044_cl_dnn_bw_knife_40_n03041632_36215.png,n03041632_36215.png,1.0,6.507512,4.9369206,1.1105759
alexnet,1,45,NaN,car,car,bw,0045_cl_dnn_bw_car_40_n04285008_7770.png,n04285008_7770.png,1.0,12.5831785,7.7372007,3.4266238
alexnet,1,46,NaN,bottle,bottle,cr,0046_cl_dnn_cr_bottle_40_n03983396_15260.png,n03983396_15260.png,1.0,10.5132065,3.9867654,4.614891
alexnet,1,47,NaN,dog,dog,cr,0047_cl_dnn_cr_dog_40_n02091635_6519.png,n02091635_6519.png,1.0,5.236715,3.6367161,1.13137
alexnet,1,48,NaN,elephant,elephant,cr,0048_cl_dnn_cr_elephant_40_n02504013_3485.png,n02504013_3485.png,1.0,21.429142,6.941338,10.244425
alexnet,1,49,NaN,oven,oven,cr,0049_cl_dnn_cr_oven_40_n04111531_807.png,n04111531_807.png,1.0,9.329008,4.1225524,3.6815202
alexnet,1,50,NaN,oven,oven,cr,0050_cl_dnn_cr_oven_40_n04111531_605.png,n04111531_605.png,1.0,11.548533,3.650518,5.5847406
alexnet,1,51,NaN,elephant,dog,bw,0051_cl_dnn_bw_dog_40_n02109047_2662.png,n02109047_2662.png,0.0,1.4058871,10.124335,-6.164874
alexnet,1,52,NaN,truck,truck,cr,0052_cl_dnn_cr_truck_40_n03417042_16038.png,n03417042_16038.png,1.0,8.79377,4.948311,2.71915
alexnet,1,53,NaN,truck,truck,bw,0053_cl_dnn_bw_truck_40_n03796401_1710.png,n03796401_1710.png,1.0,12.417,5.8616943,4.635301
alexnet,1,54,NaN,cat,cat,cr,0054_cl_dnn_cr_cat_40_n02125311_20921.png,n02125311_20921.png,1.0,7.870012,6.104062,1.248715
alexnet,1,55,NaN,bear,bear,cr,0055_cl_dnn_cr_bear_40_n02133161_575.png,n02133161_575.png,1.0,8.82958,5.1381383,2.6102438
alexnet,1,56,NaN,knife,chair,bw,0056_cl_dnn_bw_chair_40_n04429376_21865.png,n04429376_21865.png,0.0,4.569866,7.780821,-2.2704878
alexnet,1,57,NaN,clock,bird,bw,0057_cl_dnn_bw_bird_40_n01616318_26436.png,n01616318_26436.png,0.0,1.8968972,4.828564,-2.0730016
alexnet,1,58,NaN,oven,oven,cr,0058_cl_dnn_cr_oven_40_n04111531_9498.png,n04111531_9498.png,1.0,18.342289,11.098673,5.12201
alexnet,1,59,NaN,bear,bear,bw,0059_cl_dnn_bw_bear_40_n02134418_397.png,n02134418_397.png,1.0,10.853227,5.904597,3.49921
alexnet,1,60,NaN,chair,chair,cr,0060_cl_dnn_cr_chair_40_n04099969_23961.png,n04099969_23961.png,1.0,4.4276056,3.980517,0.31613946
alexnet,1,61,NaN,cat,dog,bw,0061_cl_dnn_bw_dog_40_n02093256_7181.png,n02093256_7181.png,0.0,2.1324313,3.40172,-0.89752275
