subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
resnet50,1,1,NaN,oven,oven,cr,0001_cl_dnn_cr_oven_40_n04111531_14126.png,n04111531_14126.png,1.0,23.676918,3.711497,14.117685
resnet50,1,2,NaN,bear,bear,cr,0002_cl_dnn_cr_bear_40_n02134084_5274.png,n02134084_5274.png,1.0,12.602624,6.167891,4.5500436
resnet50,1,3,NaN,cat,cat,cr,0003_cl_dnn_cr_cat_40_n02123394_133.png,n02123394_133.png,1.0,4.2952447,4.111247,0.13010597
resnet50,1,4,NaN,car,car,cr,0004_cl_dnn_cr_car_40_n02814533_51190.png,n02814533_51190.png,1.0,10.596237,3.993516,4.668829
resnet50,1,5,NaN,chair,chair,bw,0005_cl_dnn_bw_chair_40_n04099969_14986.png,n04099969_14986.png,1.0,10.338972,3.0412047,5.160301
resnet50,1,6,NaN,elephant,elephant,cr,0006_cl_dnn_cr_elephant_40_n02504013_6731.png,n02504013_6731.png,1.0,19.549156,3.4557972,11.379724
resnet50,1,7,NaN,bottle,bottle,cr,0007_cl_dnn_cr_bottle_40_n02823428_987.png,n02823428_987.png,1.0,8.183996,2.0687385,4.32414
resnet50,1,8,NaN,truck,truck,cr,0008_cl_dnn_cr_truck_40_n03417042_7458.png,n03417042_7458.png,1.0,11.052093,4.5294127,4.6122313
resnet50,1,9,NaN,chair,chair,bw,0009_cl_dnn_bw_chair_40_n04099969_4577.png,n04099969_4577.png,1.0,10.823293,1.9020401,6.308278
resnet50,1,10,NaN,chair,knife,cr,0010_cl_dnn_cr_knife_40_n03041632_83472.png,n03041632_83472.png,0.0,1.4098436,2.2931151,-0.62456733
resnet50,1,11,NaN,elephant,elephant,bw,0011_cl_dnn_bw_elephant_40_n02504458_3485.png,n02504458_3485.png,1.0,19.232082,1.7702595,12.347373
resnet50,1,12,NaN,bear,bear,bw,0012_cl_dnn_bw_bear_40_n02133161_1066.png,n02133161_1066.png,1.0,9.545673,9.049953,0.35052693
resnet50,1,13,NaN,elephant,elephant,bw,0013_cl_dnn_bw_elephant_40_n02504013_1060.png,n02504013_1060.png,1.0,17.647472,2.0208774,11.049671
resnet50,1,14,NaN,knife,bear,bw,0014_cl_dnn_bw_bear_40_n02134084_1009.png,n02134084_1009.png,0.0,3.907363,4.1553917,-0.17538282
resnet50,1,15,NaN,cat,cat,cr,0015_cl_dnn_cr_cat_40_n02125311_13383.png,n02125311_13383.png,1.0,9.0719385,3.0720146,4.2425866
resnet50,1,16,NaN,elephant,elephant,bw,0016_cl_dnn_bw_elephant_40_n02504013_257.png,n02504013_257.png,1.0,20.29868,2.8911033,12.309015
resnet50,1,17,NaN,oven,cat,bw,0017_cl_dnn_bw_cat_40_n02123045_6445.png,n02123045_6445.png,0.0,6.083142,6.3334312,-0.17698136
resnet50,1,18,NaN,airplane,airplane,bw,0018_cl_dnn_bw_airplane_40_n02690373_3493.png,n02690373_3493.png,1.0,19.10758,3.4105647,11.099466
resnet50,1,19,NaN,airplane,airplane,bw,0019_cl_dnn_bw_airplane_40_n02690373_5184.png,n02690373_5184.png,1.0,21.503712,4.054552,12.338419
resnet50,1,20,NaN,oven,truck,bw,0020_cl_dnn_bw_truck_40_n04467665_22637.png,n04467665_22637.png,0.0,5.8505173,5.872546,-0.015576801
resnet50,1,21,NaN,cat,cat,cr,0021_cl_dnn_cr_cat_40_n02123159_10952.png,n02123159_10952.png,1.0,6.9049993,4.950159,1.3822808
resnet50,1,22,NaN,airplane,airplane,bw,0022_cl_dnn_bw_airplane_40_n02690373_3620.png,n02690373_3620.png,1.0,15.301216,3.7606754,8.160395
resnet50,1,23,NaN,bottle,bottle,cr,0023_cl_dnn_cr_bottle_40_n04557648_10744.png,n04557648_10744.png,1.0,6.5352697,2.3767986,2.940483
resnet50,1,24,NaN,oven,oven,bw,0024_cl_dnn_bw_oven_40_n04111531_12702.png,n04111531_12702.png,1.0,12.571709,5.1870217,5.221762
resnet50,1,25,NaN,elephant,bear,cr,0025_cl_dnn_cr_bear_40_n02133161_9949.png,n02133161_9949.png,0.0,5.521558,7.403268,-1.33057
resnet50,1,26,NaN,keyboard,keyboard,cr,0026_cl_dnn_cr_keyboard_40_n03085013_3489.png,n03085013_3489.png,1.0,5.299384,3.6739671,1.1493434
resnet50,1,27,NaN,elephant,elephant,bw,0027_cl_dnn_bw_elephant_40_n02504458_4633.png,n02504458_4633.png,1.0,12.472031,3.0711093,6.647455
resnet50,1,28,NaN,clock,clock,cr,0028_cl_dnn_cr_clock_40_n04548280_7816.png,n04548280_7816.png,1.0,9.045759,2.9562488,4.3059344
resnet50,1,29,NaN,dog,dog,bw,0029_cl_dnn_bw_dog_40_n02097474_1859.png,n02097474_1859.png,1.0,3.459713,1.2987154,1.5280561
resnet50,1,30,NaN,cat,cat,bw,0030_cl_dnn_bw_cat_40_n02123394_916.png,n02123394_916.png,1.0,7.1475577,2.457313,3.3165038
resnet50,1,31,NaN,elephant,elephant,cr,0031_cl_dnn_cr_elephant_40_n02504458_3525.png,n02504458_3525.png,1.0,16.140297,2.830668,9.411329
resnet50,1,32,NaN,bear,bear,bw,0032_cl_dnn_bw_bear_40_n02134418_4456.png,n02134418_4456.png,1.0,10.22952,2.9881117,5.120449
resnet50,1,33,NaN,keyboard,keyboard,bw,0033_cl_dnn_bw_keyboard_40_n03085013_24045.png,n03085013_24045.png,1.0,12.321152,2.7045968,6.7999315
