subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
simclr_resnet50x1,1,1,NaN,oven,oven,cr,0001_cl_dnn_cr_oven_40_n04111531_14126.png,n04111531_14126.png,1.0,17.889439,6.305355,8.191184
simclr_resnet50x1,1,2,NaN,bear,bear,cr,0002_cl_dnn_cr_bear_40_n02134084_5274.png,n02134084_5274.png,1.0,9.273391,6.8047595,1.7455859
simclr_resnet50x1,1,3,NaN,cat,cat,cr,0003_cl_dnn_cr_cat_40_n02123394_133.png,n02123394_133.png,1.0,6.1957307,3.2512708,2.0820477
simclr_resnet50x1,1,4,NaN,car,car,cr,0004_cl_dnn_cr_car_40_n02814533_51190.png,n02814533_51190.png,1.0,15.280305,5.714566,6.763999
simclr_resnet50x1,1,5,NaN,chair,chair,bw,0005_cl_dnn_bw_chair_40_n04099969_14986.png,n04099969_14986.png,1.0,9.816952,2.9704158,4.841232
simclr_resnet50x1,1,6,NaN,elephant,elephant,cr,0006_cl_dnn_cr_elephant_40_n02504013_6731.png,n02504013_6731.png,1.0,20.360168,4.8564444,10.962789
simclr_resnet50x1,1,7,NaN,bottle,bottle,cr,0007_cl_dnn_cr_bottle_40_n02823428_987.png,n02823428_987.png,1.0,15.091295,3.1133237,8.469706
simclr_resnet50x1,1,8,NaN,truck,truck,cr,0008_cl_dnn_cr_truck_40_n03417042_7458.png,n03417042_7458.png,1.0,6.2737865,5.1023626,0.8283218
simclr_resnet50x1,1,9,NaN,chair,chair,bw,0009_cl_dnn_bw_chair_40_n04099969_4577.png,n04099969_4577.png,1.0,7.5356674,1.6470338,4.1638927
simclr_resnet50x1,1,10,NaN,knife,knife,cr,0010_cl_dnn_cr_knife_40_n03041632_83472.png,n03041632_83472.png,1.0,1.8129419,1.6262381,0.13201952
simclr_resnet50x1,1,11,NaN,elephant,elephant,bw,0011_cl_dnn_bw_elephant_40_n02504458_3485.png,n02504458_3485.png,1.0,33.676086,8.19032,18.02116
simclr_resnet50x1,1,12,NaN,elephant,bear,bw,0012_cl_dnn_bw_bear_40_n02133161_1066.png,n02133161_1066.png,0.0,8.435426,10.207178,-1.2528181
simclr_resnet50x1,1,13,NaN,elephant,elephant,bw,0013_cl_dnn_bw_elephant_40_n02504013_1060.png,n02504013_1060.png,1.0,21.78482,4.354725,12.324939
simclr_resnet50x1,1,14,NaN,bear,bear,bw,0014_cl_dnn_bw_bear_40_n02134084_1009.png,n02134084_1009.png,1.0,6.328889,3.8502152,1.752687
simclr_resnet50x1,1,15,NaN,cat,cat,cr,0015_cl_dnn_cr_cat_40_n02125311_13383.png,n02125311_13383.png,1.0,16.770323,2.7470062,9.915982
simclr_resnet50x1,1,16,NaN,elephant,elephant,bw,0016_cl_dnn_bw_elephant_40_n02504013_257.png,n02504013_257.png,1.0,28.008059,8.343379,13.905029
simclr_resnet50x1,1,17,NaN,cat,cat,bw,0017_cl_dnn_bw_cat_40_n02123045_6445.png,n02123045_6445.png,1.0,9.404478,2.9412878,4.5701656
simclr_resnet50x1,1,18,NaN,airplane,airplane,bw,0018_cl_dnn_bw_airplane_40_n02690373_3493.png,n02690373_3493.png,1.0,27.7762,6.8536615,14.794469
simclr_resnet50x1,1,19,NaN,airplane,airplane,bw,0019_cl_dnn_bw_airplane_40_n02690373_5184.png,n02690373_5184.png,1.0,28.337635,7.736274,14.567362
simclr_resnet50x1,1,20,NaN,truck,truck,bw,0020_cl_dnn_bw_truck_40_n04467665_22637.png,n04467665_22637.png,1.0,7.2625465,7.086269,0.12464712
simclr_resnet50x1,1,21,NaN,cat,cat,cr,0021_cl_dnn_cr_cat_40_n02123159_10952.png,n02123159_10952.png,1.0,9.420528,7.0243096,1.6943825
simclr_resnet50x1,1,22,NaN,airplane,airplane,bw,0022_cl_dnn_bw_airplane_40_n02690373_3620.png,n02690373_3620.png,1.0,15.5373,5.7379003,6.9292226
