subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
vit_b_16,1,1,NaN,oven,oven,cr,0001_cl_dnn_cr_oven_40_n04111531_14126.png,n04111531_14126.png,1.0,9.065936,0.5713014,6.0066137
vit_b_16,1,2,NaN,bear,bear,cr,0002_cl_dnn_cr_bear_40_n02134084_5274.png,n02134084_5274.png,1.0,2.800428,0.3063455,1.7635826
vit_b_16,1,3,NaN,cat,cat,cr,0003_cl_dnn_cr_cat_40_n02123394_133.png,n02123394_133.png,1.0,1.3345609,0.6764877,0.465328
vit_b_16,1,4,NaN,car,car,cr,0004_cl_dnn_cr_car_40_n02814533_51190.png,n02814533_51190.png,1.0,6.090383,0.6304001,3.860791
vit_b_16,1,5,NaN,chair,chair,bw,0005_cl_dnn_bw_chair_40_n04099969_14986.png,n04099969_14986.png,1.0,3.4245868,0.75761926,1.8858308
vit_b_16,1,6,NaN,elephant,elephant,cr,0006_cl_dnn_cr_elephant_40_n02504013_6731.png,n02504013_6731.png,1.0,7.2273693,0.55663,4.716925
vit_b_16,1,7,NaN,bottle,bottle,cr,0007_cl_dnn_cr_bottle_40_n02823428_987.png,n02823428_987.png,1.0,2.613642,0.34217852,1.6061672
vit_b_16,1,8,NaN,truck,truck,cr,0008_cl_dnn_cr_truck_40_n03417042_7458.png,n03417042_7458.png,1.0,1.4790586,0.7423121,0.5209585
vit_b_16,1,9,NaN,chair,chair,bw,0009_cl_dnn_bw_chair_40_n04099969_4577.png,n04099969_4577.png,1.0,2.6245136,0.65816736,1.3904169
vit_b_16,1,10,NaN,knife,knife,cr,0010_cl_dnn_cr_knife_40_n03041632_83472.png,n03041632_83472.png,1.0,3.7371213,1.5645025,1.5362736
vit_b_16,1,11,NaN,elephant,elephant,bw,0011_cl_dnn_bw_elephant_40_n02504458_3485.png,n02504458_3485.png,1.0,7.521697,0.31826666,5.0935946
vit_b_16,1,12,NaN,elephant,bear,bw,0012_cl_dnn_bw_bear_40_n02133161_1066.png,n02133161_1066.png,0.0,3.8039908,5.1525297,-0.953561
vit_b_16,1,13,NaN,elephant,elephant,bw,0013_cl_dnn_bw_elephant_40_n02504013_1060.png,n02504013_1060.png,1.0,6.801874,0.27216122,4.6172047
vit_b_16,1,14,NaN,bear,bear,bw,0014_cl_dnn_bw_bear_40_n02134084_1009.png,n02134084_1009.png,1.0,3.6793137,3.244084,0.30775392
vit_b_16,1,15,NaN,cat,cat,cr,0015_cl_dnn_cr_cat_40_n02125311_13383.png,n02125311_13383.png,1.0,1.5366716,0.1570232,0.9755588
vit_b_16,1,16,NaN,elephant,elephant,bw,0016_cl_dnn_bw_elephant_40_n02504013_257.png,n02504013_257.png,1.0,7.7039423,0.3913721,5.170768
vit_b_16,1,17,NaN,cat,cat,bw,0017_cl_dnn_bw_cat_40_n02123045_6445.png,n02123045_6445.png,1.0,3.2290967,0.64030844,1.8305497
vit_b_16,1,18,NaN,airplane,airplane,bw,0018_cl_dnn_bw_airplane_40_n02690373_3493.png,n02690373_3493.png,1.0,9.122462,0.169034,6.33103
vit_b_16,1,19,NaN,airplane,airplane,bw,0019_cl_dnn_bw_airplane_40_n02690373_5184.png,n02690373_5184.png,1.0,9.018615,0.25124124,6.199469
vit_b_16,1,20,NaN,truck,truck,bw,0020_cl_dnn_bw_truck_40_n04467665_22637.png,n04467665_22637.png,1.0,4.73338,1.527642,2.266799
vit_b_16,1,21,NaN,cat,cat,cr,0021_cl_dnn_cr_cat_40_n02123159_10952.png,n02123159_10952.png,1.0,4.3096356,3.7522478,0.39413273
vit_b_16,1,22,NaN,airplane,airplane,bw,0022_cl_dnn_bw_airplane_40_n02690373_3620.png,n02690373_3620.png,1.0,8.46883,0.21002257,5.8398585
vit_b_16,1,23,NaN,bottle,bottle,cr,0023_cl_dnn_cr_bottle_40_n04557648_10744.png,n04557648_10744.png,1.0,4.2348766,0.38478202,2.722428
vit_b_16,1,24,NaN,oven,oven,bw,0024_cl_dnn_bw_oven_40_n04111531_12702.png,n04111531_12702.png,1.0,8.708029,2.9247541,4.0893927
vit_b_16,1,25,NaN,bear,bear,cr,0025_cl_dnn_cr_bear_40_n02133161_9949.png,n02133161_9949.png,1.0,5.365481,2.1393664,2.2812076
vit_b_16,1,26,NaN,keyboard,keyboard,cr,0026_cl_dnn_cr_keyboard_40_n03085013_3489.png,n03085013_3489.png,1.0,4.724597,1.4266459,2.3320036
vit_b_16,1,27,NaN,elephant,elephant,bw,0027_cl_dnn_bw_elephant_40_n02504458_4633.png,n02504458_4633.png,1.0,6.717219,0.3038078,4.5349665
vit_b_16,1,28,NaN,clock,clock,cr,0028_cl_dnn_cr_clock_40_n04548280_7816.png,n04548280_7816.png,1.0,4.815458,0.47021994,3.0725472
vit_b_16,1,29,NaN,dog,dog,bw,0029_cl_dnn_bw_dog_40_n02097474_1859.png,n02097474_1859.png,1.0,0.4325873,0.051926702,0.2691677
vit_b_16,1,30,NaN,cat,cat,bw,0030_cl_dnn_bw_cat_40_n02123394_916.png,n02123394_916.png,1.0,2.416356,0.7147728,1.203201
vit_b_16,1,31,NaN,elephant,elephant,cr,0031_cl_dnn_cr_elephant_40_n02504458_3525.png,n02504458_3525.png,1.0,8.03377,0.35157645,5.4321313
vit_b_16,1,32,NaN,bear,bear,bw,0032_cl_dnn_bw_bear_40_n02134418_4456.png,n02134418_4456.png,1.0,3.1469383,0.19565964,2.0868692
vit_b_16,1,33,NaN,keyboard,keyboard,bw,0033_cl_dnn_bw_keyboard_40_n03085013_24045.png,n03085013_24045.png,1.0,7.5155907,0.3775283,5.0473723
vit_b_16,1,34,NaN,oven,knife,bw,0034_cl_dnn_bw_knife_40_n03041632_49363.png,n03041632_49363.png,0.0,2.000077,2.0932252,-0.06586575
vit_b_16,1,35,NaN,cat,cat,bw,0035_cl_dnn_bw_cat_40_n02123159_7854.png,n02123159_7854.png,1.0,4.0037656,0.48246178,2.489938
vit_b_16,1,36,NaN,knife,knife,cr,0036_cl_dnn_cr_knife_40_n03041632_4708.png,n03041632_4708.png,1.0,10.8877125,0.5713125,7.294796
vit_b_16,1,37,NaN,chair,chair,cr,0037_cl_dnn_cr_chair_40_n04429376_7788.png,n04429376_7788.png,1.0,4.3799977,0.2580188,2.9146793
vit_b_16,1,38,NaN,car,car,cr,0038_cl_dnn_cr_car_40_n03100240_9086.png,n03100240_9086.png,1.0,6.0364532,0.32233998,4.0404882
vit_b_16,1,39,NaN,chair,chair,cr,0039_cl_dnn_cr_chair_40_n03376595_3038.png,n03376595_3038.png,1.0,2.6936784,0.79094106,1.3454385
vit_b_16,1,40,NaN,truck,truck,bw,0040_cl_dnn_bw_truck_40_n03796401_1758.png,n03796401_1758.png,1.0,2.8256488,0.4397664,1.6870736
vit_b_16,1,41,NaN,boat,boat,cr,0041_cl_dnn_cr_boat_40_n04273569_4324.png,n04273569_4324.png,1.0,3.4012132,0.71557784,1.899031
vit_b_16,1,42,NaN,bear,bear,cr,0042_cl_dnn_cr_bear_40_n02134084_1090.png,n02134084_1090.png,1.0,2.4843094,0.31822073,1.5316559
vit_b_16,1,43,NaN,bicycle,bicycle,bw,0043_cl_dnn_bw_bicycle_40_n03792782_13665.png,n03792782_13665.png,1.0,6.7520475,0.75842214,4.2381334
vit_b_16,1,44,NaN,knife,knife,bw,0044_cl_dnn_bw_knife_40_n03041632_36215.png,n03041632_36215.png,1.0,9.087448,0.058826245,6.3841996
vit_b_16,1,45,NaN,car,car,bw,0045_cl_dnn_bw_car_40_n04285008_7770.png,n04285008_7770.png,1.0,6.596273,0.86981845,4.049215
