subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet2023_baseline_pgd,1,1,NaN,knife,knife,c30,0001_cop_dnn_c30_knife_10_n03041632_7380.png,n03041632_7380.png,1.0,9.01487,5.1645303,2.7226012
alexnet2023_baseline_pgd,1,2,NaN,bicycle,bicycle,c100,0002_cop_dnn_c100_bicycle_10_n03792782_5966.png,n03792782_5966.png,1.0,10.564815,3.7547557,4.8154387
alexnet2023_baseline_pgd,1,3,NaN,airplane,bird,c01,0003_cop_dnn_c01_bird_10_n01601694_10802.png,n01601694_10802.png,0.0,0.74208426,2.3600273,-1.1440585
alexnet2023_baseline_pgd,1,4,NaN,airplane,airplane,c05,0004_cop_dnn_c05_airplane_10_n02690373_9759.png,n02690373_9759.png,1.0,3.4467058,2.8177176,0.44476187
alexnet2023_baseline_pgd,1,5,NaN,knife,car,c03,0005_cop_dnn_c03_car_10_n02814533_2236.png,n02814533_2236.png,0.0,-0.9081273,4.0069747,-3.475502
alexnet2023_baseline_pgd,1,6,NaN,chair,chair,c30,0006_cop_dnn_c30_chair_10_n02791124_7207.png,n02791124_7207.png,1.0,5.9881263,3.984505,1.4167743
alexnet2023_baseline_pgd,1,7,NaN,knife,oven,c50,0007_cop_dnn_c50_oven_10_n04111531_7064.png,n04111531_7064.png,0.0,0.8434079,5.185337,-3.0702074
alexnet2023_baseline_pgd,1,8,NaN,knife,bird,c15,0008_cop_dnn_c15_bird_10_n01532829_2263.png,n01532829_2263.png,0.0,0.003804129,2.717653,-1.918981
alexnet2023_baseline_pgd,1,9,NaN,bicycle,bicycle,c50,0009_cop_dnn_c50_bicycle_10_n02835271_3383.png,n02835271_3383.png,1.0,11.367017,3.2295578,5.754052
alexnet2023_baseline_pgd,1,10,NaN,airplane,bicycle,c03,0010_cop_dnn_c03_bicycle_10_n03792782_27510.png,n03792782_27510.png,0.0,-0.6203648,2.4999802,-2.2064173
alexnet2023_baseline_pgd,1,11,NaN,airplane,bottle,c03,0011_cop_dnn_c03_bottle_10_n04557648_10944.png,n04557648_10944.png,0.0,0.50849354,1.996478,-1.0521638
alexnet2023_baseline_pgd,1,12,NaN,knife,keyboard,c15,0012_cop_dnn_c15_keyboard_10_n03085013_20891.png,n03085013_20891.png,0.0,1.0096793,3.039671,-1.4354209
alexnet2023_baseline_pgd,1,13,NaN,elephant,elephant,c30,0013_cop_dnn_c30_elephant_10_n02504458_3225.png,n02504458_3225.png,1.0,9.514407,4.000372,3.8990119
