subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet,1,1,NaN,knife,knife,c30,0001_cop_dnn_c30_knife_10_n03041632_7380.png,n03041632_7380.png,1.0,8.135416,7.5475287,0.4156991
alexnet,1,2,NaN,bicycle,bicycle,c100,0002_cop_dnn_c100_bicycle_10_n03792782_5966.png,n03792782_5966.png,1.0,8.2914915,6.225818,1.4606516
alexnet,1,3,NaN,airplane,bird,c01,0003_cop_dnn_c01_bird_10_n01601694_10802.png,n01601694_10802.png,0.0,1.0993123,2.984531,-1.3330508
alexnet,1,4,NaN,airplane,airplane,c05,0004_cop_dnn_c05_airplane_10_n02690373_9759.png,n02690373_9759.png,1.0,4.932296,3.2573204,1.1843865
alexnet,1,5,NaN,knife,car,c03,0005_cop_dnn_c03_car_10_n02814533_2236.png,n02814533_2236.png,0.0,0.54779065,3.1662688,-1.8515438
alexnet,1,6,NaN,chair,chair,c30,0006_cop_dnn_c30_chair_10_n02791124_7207.png,n02791124_7207.png,1.0,7.1630116,5.525237,1.1580814
alexnet,1,7,NaN,knife,oven,c50,0007_cop_dnn_c50_oven_10_n04111531_7064.png,n04111531_7064.png,0.0,1.9446553,5.6637745,-2.6298144
alexnet,1,8,NaN,bottle,bird,c15,0008_cop_dnn_c15_bird_10_n01532829_2263.png,n01532829_2263.png,0.0,-1.4288615,2.756771,-2.9596894
alexnet,1,9,NaN,bicycle,bicycle,c50,0009_cop_dnn_c50_bicycle_10_n02835271_3383.png,n02835271_3383.png,1.0,9.929364,4.2918124,3.9863513
alexnet,1,10,NaN,airplane,bicycle,c03,0010_cop_dnn_c03_bicycle_10_n03792782_27510.png,n03792782_27510.png,0.0,-1.1023381,3.5842576,-3.3139238
alexnet,1,11,NaN,knife,bottle,c03,0011_cop_dnn_c03_bottle_10_n04557648_10944.png,n04557648_10944.png,0.0,1.9466832,3.1448522,-0.8472334
alexnet,1,12,NaN,knife,keyboard,c15,0012_cop_dnn_c15_keyboard_10_n03085013_20891.png,n03085013_20891.png,0.0,0.8973962,4.1615505,-2.3081057
alexnet,1,13,NaN,elephant,elephant,c30,0013_cop_dnn_c30_elephant_10_n02504458_3225.png,n02504458_3225.png,1.0,6.7378445,4.2422853,1.7646269
alexnet,1,14,NaN,knife,keyboard,c10,0014_cop_dnn_c10_keyboard_10_n04505470_6638.png,n04505470_6638.png,0.0,4.6143694,4.646381,-0.022635555
alexnet,1,15,NaN,airplane,bird,c01,0015_cop_dnn_c01_bird_10_n01601694_11888.png,n01601694_11888.png,0.0,0.9636411,2.9886122,-1.4318707
alexnet,1,16,NaN,airplane,airplane,c03,0016_cop_dnn_c03_airplane_10_n02690373_8743.png,n02690373_8743.png,1.0,3.7227612,2.2966492,1.0084134
alexnet,1,17,NaN,airplane,boat,c10,0017_cop_dnn_c10_boat_10_n03344393_8869.png,n03344393_8869.png,0.0,3.5283222,4.0320015,-0.35615504
alexnet,1,18,NaN,airplane,bear,c01,0018_cop_dnn_c01_bear_10_n02132136_27682.png,n02132136_27682.png,0.0,-0.6098319,3.07233,-2.6036816
alexnet,1,19,NaN,clock,clock,c50,0019_cop_dnn_c50_clock_10_n02708093_7081.png,n02708093_7081.png,1.0,3.1038895,2.1553512,0.6707179
