subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
convnext_large,1,1,NaN,knife,knife,c30,0001_cop_dnn_c30_knife_10_n03041632_7380.png,n03041632_7380.png,1.0,7.880709,0.7726014,5.026191
convnext_large,1,2,NaN,bicycle,bicycle,c100,0002_cop_dnn_c100_bicycle_10_n03792782_5966.png,n03792782_5966.png,1.0,6.63552,0.46938562,4.3601155
convnext_large,1,3,NaN,bird,bird,c01,0003_cop_dnn_c01_bird_10_n01601694_10802.png,n01601694_10802.png,1.0,1.537441,0.70587105,0.58800876
convnext_large,1,4,NaN,airplane,airplane,c05,0004_cop_dnn_c05_airplane_10_n02690373_9759.png,n02690373_9759.png,1.0,8.153743,0.3833148,5.4945226
convnext_large,1,5,NaN,car,car,c03,0005_cop_dnn_c03_car_10_n02814533_2236.png,n02814533_2236.png,1.0,3.6236002,2.570343,0.74476534
convnext_large,1,6,NaN,chair,chair,c30,0006_cop_dnn_c30_chair_10_n02791124_7207.png,n02791124_7207.png,1.0,2.7194724,0.2590471,1.7397835
convnext_large,1,7,NaN,oven,oven,c50,0007_cop_dnn_c50_oven_10_n04111531_7064.png,n04111531_7064.png,1.0,8.474531,1.0848254,5.2253113
convnext_large,1,8,NaN,bird,bird,c15,0008_cop_dnn_c15_bird_10_n01532829_2263.png,n01532829_2263.png,1.0,0.85726553,0.21296637,0.4555883
convnext_large,1,9,NaN,bicycle,bicycle,c50,0009_cop_dnn_c50_bicycle_10_n02835271_3383.png,n02835271_3383.png,1.0,4.575081,0.33618605,2.9973514
convnext_large,1,10,NaN,bicycle,bicycle,c03,0010_cop_dnn_c03_bicycle_10_n03792782_27510.png,n03792782_27510.png,1.0,6.3245516,0.6885314,3.985268
convnext_large,1,11,NaN,chair,bottle,c03,0011_cop_dnn_c03_bottle_10_n04557648_10944.png,n04557648_10944.png,0.0,-0.011254945,1.02416,-0.73214895
convnext_large,1,12,NaN,keyboard,keyboard,c15,0012_cop_dnn_c15_keyboard_10_n03085013_20891.png,n03085013_20891.png,1.0,4.2320156,0.44847777,2.6753652
convnext_large,1,13,NaN,elephant,elephant,c30,0013_cop_dnn_c30_elephant_10_n02504458_3225.png,n02504458_3225.png,1.0,6.1106873,0.48168308,3.9803069
convnext_large,1,14,NaN,keyboard,keyboard,c10,0014_cop_dnn_c10_keyboard_10_n04505470_6638.png,n04505470_6638.png,1.0,6.4513984,0.8117054,3.987865
convnext_large,1,15,NaN,bear,bird,c01,0015_cop_dnn_c01_bird_10_n01601694_11888.png,n01601694_11888.png,0.0,0.29968596,1.1324995,-0.5888881
convnext_large,1,16,NaN,airplane,airplane,c03,0016_cop_dnn_c03_airplane_10_n02690373_8743.png,n02690373_8743.png,1.0,8.405602,0.21615559,5.7908134
convnext_large,1,17,NaN,boat,boat,c10,0017_cop_dnn_c10_boat_10_n03344393_8869.png,n03344393_8869.png,1.0,2.8468213,0.5745512,1.6067377
convnext_large,1,18,NaN,bear,bear,c01,0018_cop_dnn_c01_bear_10_n02132136_27682.png,n02132136_27682.png,1.0,5.3658032,0.7467814,3.2661417
convnext_large,1,19,NaN,clock,clock,c50,0019_cop_dnn_c50_clock_10_n02708093_7081.png,n02708093_7081.png,1.0,3.874466,0.9143824,2.093095
convnext_large,1,20,NaN,car,car,c10,0020_cop_dnn_c10_car_10_n03100240_12141.png,n03100240_12141.png,1.0,5.9841843,0.20143461,4.0890217
convnext_large,1,21,NaN,truck,car,c15,0021_cop_dnn_c15_car_10_n02814533_19287.png,n02814533_19287.png,0.0,2.9928796,3.2710304,-0.19668232
convnext_large,1,22,NaN,bicycle,bicycle,c03,0022_cop_dnn_c03_bicycle_10_n02835271_3841.png,n02835271_3841.png,1.0,5.071555,0.5553334,3.1934512
convnext_large,1,23,NaN,clock,clock,c15,0023_cop_dnn_c15_clock_10_n02708093_6696.png,n02708093_6696.png,1.0,5.6513634,0.32826215,3.764001
convnext_large,1,24,NaN,bird,bird,c01,0024_cop_dnn_c01_bird_10_n01829413_6393.png,n01829413_6393.png,1.0,0.9844113,0.32595992,0.46559545
