subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
resnet50,1,1,NaN,knife,knife,c30,0001_cop_dnn_c30_knife_10_n03041632_7380.png,n03041632_7380.png,1.0,8.004675,4.7937655,2.2704558
resnet50,1,2,NaN,bicycle,bicycle,c100,0002_cop_dnn_c100_bicycle_10_n03792782_5966.png,n03792782_5966.png,1.0,12.766915,1.635128,7.871362
resnet50,1,3,NaN,clock,bird,c01,0003_cop_dnn_c01_bird_10_n01601694_10802.png,n01601694_10802.png,0.0,0.3488818,3.069671,-1.9238886
resnet50,1,4,NaN,airplane,airplane,c05,0004_cop_dnn_c05_airplane_10_n02690373_9759.png,n02690373_9759.png,1.0,9.091362,2.7754173,4.4660473
resnet50,1,5,NaN,knife,car,c03,0005_cop_dnn_c03_car_10_n02814533_2236.png,n02814533_2236.png,0.0,1.3943892,6.1429543,-3.3577428
resnet50,1,6,NaN,chair,chair,c30,0006_cop_dnn_c30_chair_10_n02791124_7207.png,n02791124_7207.png,1.0,4.094499,3.5722256,0.36930317
resnet50,1,7,NaN,oven,oven,c50,0007_cop_dnn_c50_oven_10_n04111531_7064.png,n04111531_7064.png,1.0,10.117834,8.124666,1.4093826
resnet50,1,8,NaN,chair,bird,c15,0008_cop_dnn_c15_bird_10_n01532829_2263.png,n01532829_2263.png,0.0,-1.0503687,3.003858,-2.8667715
resnet50,1,9,NaN,bicycle,bicycle,c50,0009_cop_dnn_c50_bicycle_10_n02835271_3383.png,n02835271_3383.png,1.0,10.568546,2.7864664,5.5027614
resnet50,1,10,NaN,clock,bicycle,c03,0010_cop_dnn_c03_bicycle_10_n03792782_27510.png,n03792782_27510.png,0.0,0.10371229,2.3857238,-1.6136259
resnet50,1,11,NaN,knife,bottle,c03,0011_cop_dnn_c03_bottle_10_n04557648_10944.png,n04557648_10944.png,0.0,1.2773407,2.7065134,-1.0105778
resnet50,1,12,NaN,keyboard,keyboard,c15,0012_cop_dnn_c15_keyboard_10_n03085013_20891.png,n03085013_20891.png,1.0,8.077154,4.1561947,2.772537
resnet50,1,13,NaN,elephant,elephant,c30,0013_cop_dnn_c30_elephant_10_n02504458_3225.png,n02504458_3225.png,1.0,15.445379,4.2656574,7.905257
resnet50,1,14,NaN,keyboard,keyboard,c10,0014_cop_dnn_c10_keyboard_10_n04505470_6638.png,n04505470_6638.png,1.0,12.240719,3.0337038,6.510343
resnet50,1,15,NaN,knife,bird,c01,0015_cop_dnn_c01_bird_10_n01601694_11888.png,n01601694_11888.png,0.0,0.13690081,3.1220973,-2.1108527
resnet50,1,16,NaN,airplane,airplane,c03,0016_cop_dnn_c03_airplane_10_n02690373_8743.png,n02690373_8743.png,1.0,8.074043,1.9679583,4.317654
resnet50,1,17,NaN,boat,boat,c10,0017_cop_dnn_c10_boat_10_n03344393_8869.png,n03344393_8869.png,1.0,7.8881974,5.7625036,1.5030925
resnet50,1,18,NaN,knife,bear,c01,0018_cop_dnn_c01_bear_10_n02132136_27682.png,n02132136_27682.png,0.0,-0.7299785,4.07524,-3.3978028
resnet50,1,19,NaN,clock,clock,c50,0019_cop_dnn_c50_clock_10_n02708093_7081.png,n02708093_7081.png,1.0,3.8181965,2.6428568,0.8310907
resnet50,1,20,NaN,car,car,c10,0020_cop_dnn_c10_car_10_n03100240_12141.png,n03100240_12141.png,1.0,7.2691574,3.5923088,2.5999246
resnet50,1,21,NaN,airplane,car,c15,0021_cop_dnn_c15_car_10_n02814533_19287.png,n02814533_19287.png,0.0,2.4440615,4.104575,-1.1741605
resnet50,1,22,NaN,clock,bicycle,c03,0022_cop_dnn_c03_bicycle_10_n02835271_3841.png,n02835271_3841.png,0.0,1.7986526,3.7245197,-1.3617936
resnet50,1,23,NaN,clock,clock,c15,0023_cop_dnn_c15_clock_10_n02708093_6696.png,n02708093_6696.png,1.0,10.284905,2.4434092,5.5447755
resnet50,1,24,NaN,knife,bird,c01,0024_cop_dnn_c01_bird_10_n01829413_6393.png,n01829413_6393.png,0.0,0.44865197,3.1473217,-1.9082477
resnet50,1,25,NaN,clock,clock,c01,0025_cop_dnn_c01_clock_10_n02708093_3484.png,n02708093_3484.png,1.0,2.812618,2.3872104,0.30080864
resnet50,1,26,NaN,chair,chair,c05,0026_cop_dnn_c05_chair_10_n04429376_55163.png,n04429376_55163.png,1.0,5.9619184,3.696565,1.6018468
resnet50,1,27,NaN,boat,boat,c100,0027_cop_dnn_c100_boat_10_n02951358_14528.png,n02951358_14528.png,1.0,5.9725847,3.176962,1.9768039
resnet50,1,28,NaN,knife,chair,c01,0028_cop_dnn_c01_chair_10_n03376595_9603.png,n03376595_9603.png,0.0,0.5890383,3.3357925,-1.9422486
resnet50,1,29,NaN,knife,bottle,c03,0029_cop_dnn_c03_bottle_10_n03937543_1840.png,n03937543_1840.png,0.0,1.6232427,3.4745364,-1.3090624
resnet50,1,30,NaN,knife,car,c01,0030_cop_dnn_c01_car_10_n02814533_32835.png,n02814533_32835.png,0.0,-0.35539997,3.8008456,-2.9389095
resnet50,1,31,NaN,boat,bird,c15,0031_cop_dnn_c15_bird_10_n01860187_38598.png,n01860187_38598.png,0.0,-0.4712524,1.8216994,-1.6213619
resnet50,1,32,NaN,airplane,airplane,c100,0032_cop_dnn_c100_airplane_10_n02690373_9322.png,n02690373_9322.png,1.0,19.185612,4.064276,10.692399
resnet50,1,33,NaN,knife,bicycle,c01,0033_cop_dnn_c01_bicycle_10_n02835271_1505.png,n02835271_1505.png,0.0,-0.7554082,3.142539,-2.756265
resnet50,1,34,NaN,bicycle,bicycle,c50,0034_cop_dnn_c50_bicycle_10_n03792782_11023.png,n03792782_11023.png,1.0,4.8608828,0.8640157,2.826212
resnet50,1,35,NaN,elephant,elephant,c50,0035_cop_dnn_c50_elephant_10_n02504458_4909.png,n02504458_4909.png,1.0,20.075045,4.0461025,11.334174
resnet50,1,36,NaN,boat,boat,c100,0036_cop_dnn_c100_boat_10_n03344393_646.png,n03344393_646.png,1.0,6.1412077,2.9978516,2.2226884
resnet50,1,37,NaN,boat,boat,c10,0037_cop_dnn_c10_boat_10_n04612504_2472.png,n04612504_2472.png,1.0,6.59375,3.8528643,1.9380989
resnet50,1,38,NaN,keyboard,keyboard,c03,0038_cop_dnn_c03_keyboard_10_n03085013_4673.png,n03085013_4673.png,1.0,4.607703,3.1182985,1.0531682
resnet50,1,39,NaN,elephant,elephant,c100,0039_cop_dnn_c100_elephant_10_n02504458_1138.png,n02504458_1138.png,1.0,16.594465,2.8472378,9.720758
resnet50,1,40,NaN,car,car,c100,0040_cop_dnn_c100_car_10_n03100240_5569.png,n03100240_5569.png,1.0,5.6568604,4.175818,1.0472552
resnet50,1,41,NaN,dog,dog,c100,0041_cop_dnn_c100_dog_10_n02107312_7422.png,n02107312_7422.png,1.0,5.034091,2.7441285,1.619248
resnet50,1,42,NaN,cat,bear,c15,0042_cop_dnn_c15_bear_10_n02134084_24140.png,n02134084_24140.png,0.0,1.6844329,3.7663944,-1.4721692
