subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
simclr_resnet50x1,1,1,NaN,knife,knife,c30,0001_cop_dnn_c30_knife_10_n03041632_7380.png,n03041632_7380.png,1.0,7.2087135,4.879789,1.6467985
simclr_resnet50x1,1,2,NaN,bicycle,bicycle,c100,0002_cop_dnn_c100_bicycle_10_n03792782_5966.png,n03792782_5966.png,1.0,11.884514,2.8447855,6.392053
simclr_resnet50x1,1,3,NaN,clock,bird,c01,0003_cop_dnn_c01_bird_10_n01601694_10802.png,n01601694_10802.png,0.0,0.34066084,1.5421839,-0.84960514
simclr_resnet50x1,1,4,NaN,airplane,airplane,c05,0004_cop_dnn_c05_airplane_10_n02690373_9759.png,n02690373_9759.png,1.0,13.368191,2.8117115,7.464558
simclr_resnet50x1,1,5,NaN,car,car,c03,0005_cop_dnn_c03_car_10_n02814533_2236.png,n02814533_2236.png,1.0,3.60723,3.0582883,0.38816035
simclr_resnet50x1,1,6,NaN,chair,chair,c30,0006_cop_dnn_c30_chair_10_n02791124_7207.png,n02791124_7207.png,1.0,5.411828,4.6235623,0.557388
simclr_resnet50x1,1,7,NaN,oven,oven,c50,0007_cop_dnn_c50_oven_10_n04111531_7064.png,n04111531_7064.png,1.0,11.207903,8.968166,1.583733
simclr_resnet50x1,1,8,NaN,bird,bird,c15,0008_cop_dnn_c15_bird_10_n01532829_2263.png,n01532829_2263.png,1.0,3.6974528,3.3772607,0.22641
simclr_resnet50x1,1,9,NaN,bicycle,bicycle,c50,0009_cop_dnn_c50_bicycle_10_n02835271_3383.png,n02835271_3383.png,1.0,13.5564785,2.6777077,7.692453
simclr_resnet50x1,1,10,NaN,bicycle,bicycle,c03,0010_cop_dnn_c03_bicycle_10_n03792782_27510.png,n03792782_27510.png,1.0,2.998186,1.5668576,1.0121021
simclr_resnet50x1,1,11,NaN,knife,bottle,c03,0011_cop_dnn_c03_bottle_10_n04557648_10944.png,n04557648_10944.png,0.0,1.4931794,2.6017034,-0.7838448
simclr_resnet50x1,1,12,NaN,keyboard,keyboard,c15,0012_cop_dnn_c15_keyboard_10_n03085013_20891.png,n03085013_20891.png,1.0,8.928852,5.110855,2.6997316
simclr_resnet50x1,1,13,NaN,elephant,elephant,c30,0013_cop_dnn_c30_elephant_10_n02504458_3225.png,n02504458_3225.png,1.0,25.087898,6.3482594,13.250926
simclr_resnet50x1,1,14,NaN,keyboard,keyboard,c10,0014_cop_dnn_c10_keyboard_10_n04505470_6638.png,n04505470_6638.png,1.0,18.400583,6.407176,8.480619
simclr_resnet50x1,1,15,NaN,knife,bird,c01,0015_cop_dnn_c01_bird_10_n01601694_11888.png,n01601694_11888.png,0.0,0.52666193,1.3148912,-0.55736226
simclr_resnet50x1,1,16,NaN,airplane,airplane,c03,0016_cop_dnn_c03_airplane_10_n02690373_8743.png,n02690373_8743.png,1.0,17.09536,4.0788836,9.204039
simclr_resnet50x1,1,17,NaN,boat,boat,c10,0017_cop_dnn_c10_boat_10_n03344393_8869.png,n03344393_8869.png,1.0,9.389085,8.082432,0.9239432
simclr_resnet50x1,1,18,NaN,elephant,bear,c01,0018_cop_dnn_c01_bear_10_n02132136_27682.png,n02132136_27682.png,0.0,5.8815174,7.8388405,-1.3840364
simclr_resnet50x1,1,19,NaN,clock,clock,c50,0019_cop_dnn_c50_clock_10_n02708093_7081.png,n02708093_7081.png,1.0,1.8811945,1.3384326,0.38379064
simclr_resnet50x1,1,20,NaN,car,car,c10,0020_cop_dnn_c10_car_10_n03100240_12141.png,n03100240_12141.png,1.0,11.35867,6.8118253,3.215105
simclr_resnet50x1,1,21,NaN,airplane,car,c15,0021_cop_dnn_c15_car_10_n02814533_19287.png,n02814533_19287.png,0.0,7.8634086,8.860849,-0.7052972
simclr_resnet50x1,1,22,NaN,bicycle,bicycle,c03,0022_cop_dnn_c03_bicycle_10_n02835271_3841.png,n02835271_3841.png,1.0,7.081148,1.6371374,3.849497
simclr_resnet50x1,1,23,NaN,clock,clock,c15,0023_cop_dnn_c15_clock_10_n02708093_6696.png,n02708093_6696.png,1.0,9.275345,2.4608903,4.8185472
simclr_resnet50x1,1,24,NaN,elephant,bird,c01,0024_cop_dnn_c01_bird_10_n01829413_6393.png,n01829413_6393.png,0.0,1.2072349,1.5148796,-0.21753767
simclr_resnet50x1,1,25,NaN,clock,clock,c01,0025_cop_dnn_c01_clock_10_n02708093_3484.png,n02708093_3484.png,1.0,3.8960192,1.2902793,1.8425364
simclr_resnet50x1,1,26,NaN,chair,chair,c05,0026_cop_dnn_c05_chair_10_n04429376_55163.png,n04429376_55163.png,1.0,4.9970226,3.5377293,1.0318762
simclr_resnet50x1,1,27,NaN,boat,boat,c100,0027_cop_dnn_c100_boat_10_n02951358_14528.png,n02951358_14528.png,1.0,5.25706,3.4418497,1.2835475
simclr_resnet50x1,1,28,NaN,clock,chair,c01,0028_cop_dnn_c01_chair_10_n03376595_9603.png,n03376595_9603.png,0.0,1.0464169,1.2645531,-0.15424559
simclr_resnet50x1,1,29,NaN,bottle,bottle,c03,0029_cop_dnn_c03_bottle_10_n03937543_1840.png,n03937543_1840.png,1.0,2.9657967,2.271218,0.4911413
simclr_resnet50x1,1,30,NaN,car,car,c01,0030_cop_dnn_c01_car_10_n02814533_32835.png,n02814533_32835.png,1.0,4.893818,3.274897,1.1447499
simclr_resnet50x1,1,31,NaN,bear,bird,c15,0031_cop_dnn_c15_bird_10_n01860187_38598.png,n01860187_38598.png,0.0,2.6726878,3.6799335,-0.7122303
simclr_resnet50x1,1,32,NaN,airplane,airplane,c100,0032_cop_dnn_c100_airplane_10_n02690373_9322.png,n02690373_9322.png,1.0,24.938509,7.735902,12.16408
simclr_resnet50x1,1,33,NaN,knife,bicycle,c01,0033_cop_dnn_c01_bicycle_10_n02835271_1505.png,n02835271_1505.png,0.0,0.56596583,1.7976236,-0.87091357
simclr_resnet50x1,1,34,NaN,bicycle,bicycle,c50,0034_cop_dnn_c50_bicycle_10_n03792782_11023.png,n03792782_11023.png,1.0,9.9348755,2.575283,5.2040176
simclr_resnet50x1,1,35,NaN,elephant,elephant,c50,0035_cop_dnn_c50_elephant_10_n02504458_4909.png,n02504458_4909.png,1.0,19.6203,7.005493,8.920016
simclr_resnet50x1,1,36,NaN,boat,boat,c100,0036_cop_dnn_c100_boat_10_n03344393_646.png,n03344393_646.png,1.0,9.934721,4.3715577,3.9337506
simclr_resnet50x1,1,37,NaN,boat,boat,c10,0037_cop_dnn_c10_boat_10_n04612504_2472.png,n04612504_2472.png,1.0,7.838141,5.2918324,1.8005121
simclr_resnet50x1,1,38,NaN,keyboard,keyboard,c03,0038_cop_dnn_c03_keyboard_10_n03085013_4673.png,n03085013_4673.png,1.0,10.604218,3.1963134,5.238179
simclr_resnet50x1,1,39,NaN,elephant,elephant,c100,0039_cop_dnn_c100_elephant_10_n02504458_1138.png,n02504458_1138.png,1.0,16.75544,4.639946,8.566948
simclr_resnet50x1,1,40,NaN,car,car,c100,0040_cop_dnn_c100_car_10_n03100240_5569.png,n03100240_5569.png,1.0,9.624672,6.9889984,1.8637027
simclr_resnet50x1,1,41,NaN,dog,dog,c100,0041_cop_dnn_c100_dog_10_n02107312_7422.png,n02107312_7422.png,1.0,6.66999,3.6929667,2.1050735
simclr_resnet50x1,1,42,NaN,bear,bear,c15,0042_cop_dnn_c15_bear_10_n02134084_24140.png,n02134084_24140.png,1.0,3.2565324,1.9571505,0.91880184
simclr_resnet50x1,1,43,NaN,bottle,bottle,c100,0043_cop_dnn_c100_bottle_10_n04560804_14130.png,n04560804_14130.png,1.0,8.996115,3.0354047,4.2148585
simclr_resnet50x1,1,44,NaN,cat,cat,c30,0044_cop_dnn_c30_cat_10_n02124075_11970.png,n02124075_11970.png,1.0,8.927526,1.803008,5.0377955
simclr_resnet50x1,1,45,NaN,knife,dog,c03,0045_cop_dnn_c03_dog_10_n02093991_247.png,n02093991_247.png,0.0,1.9885902,2.2960618,-0.2174152
simclr_resnet50x1,1,46,NaN,keyboard,keyboard,c100,0046_cop_dnn_c100_keyboard_10_n04505470_375.png,n04505470_375.png,1.0,23.591679,4.0693088,13.8044
simclr_resnet50x1,1,47,NaN,bear,bear,c100,0047_cop_dnn_c100_bear_10_n02134418_4372.png,n02134418_4372.png,1.0,18.061132,2.8214405,10.77609
simclr_resnet50x1,1,48,NaN,clock,boat,c01,0048_cop_dnn_c01_boat_10_n03344393_2838.png,n03344393_2838.png,0.0,0.05231292,1.8744903,-1.288474
simclr_resnet50x1,1,49,NaN,bicycle,bicycle,c05,0049_cop_dnn_c05_bicycle_10_n02835271_4935.png,n02835271_4935.png,1.0,7.6025357,3.3993702,2.972087
simclr_resnet50x1,1,50,NaN,airplane,airplane,c50,0050_cop_dnn_c50_airplane_10_n02690373_5382.png,n02690373_5382.png,1.0,21.39727,4.5396667,11.920126
simclr_resnet50x1,1,51,NaN,knife,bottle,c100,0051_cop_dnn_c100_bottle_10_n03937543_2123.png,n03937543_2123.png,0.0,2.5696797,5.1934223,-1.8552662
simclr_resnet50x1,1,52,NaN,dog,dog,c30,0052_cop_dnn_c30_dog_10_n02097474_5234.png,n02097474_5234.png,1.0,5.4480762,3.9614167,1.0512271
simclr_resnet50x1,1,53,NaN,bottle,bottle,c100,0053_cop_dnn_c100_bottle_10_n02823428_6050.png,n02823428_6050.png,1.0,9.718691,6.9973927,1.9242485
simclr_resnet50x1,1,54,NaN,clock,clock,c15,0054_cop_dnn_c15_clock_10_n02708093_3743.png,n02708093_3743.png,1.0,4.3453298,3.3908212,0.67493945
simclr_resnet50x1,1,55,NaN,knife,knife,c03,0055_cop_dnn_c03_knife_10_n03041632_55083.png,n03041632_55083.png,1.0,5.2252097,2.9853313,1.5838332
simclr_resnet50x1,1,56,NaN,knife,knife,c50,0056_cop_dnn_c50_knife_10_n03041632_41310.png,n03041632_41310.png,1.0,17.970188,2.803451,10.724503
simclr_resnet50x1,1,57,NaN,chair,knife,c03,0057_cop_dnn_c03_knife_10_n03041632_99799.png,n03041632_99799.png,0.0,1.2101221,1.8718103,-0.4678842
simclr_resnet50x1,1,58,NaN,dog,dog,c15,0058_cop_dnn_c15_dog_10_n02094114_8231.png,n02094114_8231.png,1.0,2.965733,2.2649617,0.49552017
simclr_resnet50x1,1,59,NaN,airplane,chair,c01,0059_cop_dnn_c01_chair_10_n03376595_6173.png,n03376595_6173.png,0.0,1.3480074,2.3722532,-0.7242511
simclr_resnet50x1,1,60,NaN,oven,oven,c05,0060_cop_dnn_c05_oven_10_n04111531_9297.png,n04111531_9297.png,1.0,2.8053577,1.5813478,0.8655057
simclr_resnet50x1,1,61,NaN,car,car,c10,0061_cop_dnn_c10_car_10_n03100240_24420.png,n03100240_24420.png,1.0,8.250153,5.9792647,1.6057602
simclr_resnet50x1,1,62,NaN,elephant,elephant,c100,0062_cop_dnn_c100_elephant_10_n02504013_2340.png,n02504013_2340.png,1.0,26.261528,8.533419,12.535666
simclr_resnet50x1,1,63,NaN,bicycle,bicycle,c05,0063_cop_dnn_c05_bicycle_10_n02835271_10104.png,n02835271_10104.png,1.0,7.350397,1.5716643,4.086181
simclr_resnet50x1,1,64,NaN,bicycle,bicycle,c15,0064_cop_dnn_c15_bicycle_10_n03792782_7165.png,n03792782_7165.png,1.0,8.990158,1.690757,5.161456
simclr_resnet50x1,1,65,NaN,knife,knife,c10,0065_cop_dnn_c10_knife_10_n03041632_14817.png,n03041632_14817.png,1.0,8.204163,3.578792,3.2706308
simclr_resnet50x1,1,66,NaN,clock,clock,c15,0066_cop_dnn_c15_clock_10_n02708093_118.png,n02708093_118.png,1.0,9.574643,3.1350617,4.5534716
simclr_resnet50x1,1,67,NaN,airplane,airplane,c10,0067_cop_dnn_c10_airplane_10_n02690373_4298.png,n02690373_4298.png,1.0,17.13056,3.8030705,9.423959
simclr_resnet50x1,1,68,NaN,knife,knife,c100,0068_cop_dnn_c100_knife_10_n03041632_50034.png,n03041632_50034.png,1.0,9.99188,3.1330924,4.8498955
simclr_resnet50x1,1,69,NaN,bottle,chair,c03,0069_cop_dnn_c03_chair_10_n02791124_1333.png,n02791124_1333.png,0.0,2.5897834,2.987075,-0.28092763
simclr_resnet50x1,1,70,NaN,clock,clock,c01,0070_cop_dnn_c01_clock_10_n02708093_2318.png,n02708093_2318.png,1.0,7.107565,2.1480796,3.5068855
simclr_resnet50x1,1,71,NaN,elephant,elephant,c01,0071_cop_dnn_c01_elephant_10_n02504013_3864.png,n02504013_3864.png,1.0,4.1610146,2.0880973,1.4657738
simclr_resnet50x1,1,72,NaN,chair,chair,c10,0072_cop_dnn_c10_chair_10_n04429376_56624.png,n04429376_56624.png,1.0,4.6919265,3.594904,0.7757121
simclr_resnet50x1,1,73,NaN,airplane,airplane,c30,0073_cop_dnn_c30_airplane_10_n02690373_7004.png,n02690373_7004.png,1.0,20.551847,5.971333,10.309981
simclr_resnet50x1,1,74,NaN,oven,oven,c30,0074_cop_dnn_c30_oven_10_n04111531_9692.png,n04111531_9692.png,1.0,6.4146414,2.9367936,2.45921
simclr_resnet50x1,1,75,NaN,car,truck,c50,0075_cop_dnn_c50_truck_10_n03796401_296.png,n03796401_296.png,0.0,9.518316,10.490125,-0.68717235
simclr_resnet50x1,1,76,NaN,airplane,airplane,c15,0076_cop_dnn_c15_airplane_10_n02690373_1837.png,n02690373_1837.png,1.0,16.127409,5.5720334,7.463778
simclr_resnet50x1,1,77,NaN,airplane,airplane,c03,0077_cop_dnn_c03_airplane_10_n02690373_10203.png,n02690373_10203.png,1.0,6.6966515,2.6708927,2.8466413
simclr_resnet50x1,1,78,NaN,airplane,boat,c03,0078_cop_dnn_c03_boat_10_n02951358_34234.png,n02951358_34234.png,0.0,2.4820302,2.6622598,-0.12744161
simclr_resnet50x1,1,79,NaN,bicycle,bicycle,c100,0079_cop_dnn_c100_bicycle_10_n02835271_2885.png,n02835271_2885.png,1.0,7.948911,4.120276,2.707254
simclr_resnet50x1,1,80,NaN,airplane,airplane,c30,0080_cop_dnn_c30_airplane_10_n02690373_5247.png,n02690373_5247.png,1.0,19.380638,6.4302406,9.157314
simclr_resnet50x1,1,81,NaN,clock,clock,c50,0081_cop_dnn_c50_clock_10_n02708093_596.png,n02708093_596.png,1.0,10.685494,3.537786,5.054193
simclr_resnet50x1,1,82,NaN,clock,chair,c01,0082_cop_dnn_c01_chair_10_n03376595_1364.png,n03376595_1364.png,0.0,0.3223603,2.0874553,-1.2481107
simclr_resnet50x1,1,83,NaN,cat,cat,c03,0083_cop_dnn_c03_cat_10_n02124075_12430.png,n02124075_12430.png,1.0,6.3210616,2.6384242,2.604018
simclr_resnet50x1,1,84,NaN,cat,cat,c05,0084_cop_dnn_c05_cat_10_n02123159_5487.png,n02123159_5487.png,1.0,6.987476,2.2226963,3.369208
simclr_resnet50x1,1,85,NaN,bicycle,bicycle,c50,0085_cop_dnn_c50_bicycle_10_n03792782_17571.png,n03792782_17571.png,1.0,12.64221,2.3512576,7.2768025
simclr_resnet50x1,1,86,NaN,cat,cat,c50,0086_cop_dnn_c50_cat_10_n02123159_6132.png,n02123159_6132.png,1.0,10.015982,1.572198,5.970657
simclr_resnet50x1,1,87,NaN,bottle,bottle,c05,0087_cop_dnn_c05_bottle_10_n03937543_2873.png,n03937543_2873.png,1.0,2.8644302,2.8588178,0.003968547
simclr_resnet50x1,1,88,NaN,keyboard,keyboard,c15,0088_cop_dnn_c15_keyboard_10_n04505470_1236.png,n04505470_1236.png,1.0,9.252554,4.2352934,3.547739
simclr_resnet50x1,1,89,NaN,airplane,airplane,c01,0089_cop_dnn_c01_airplane_10_n02690373_4243.png,n02690373_4243.png,1.0,4.688385,3.239692,1.0243807
simclr_resnet50x1,1,90,NaN,oven,oven,c30,0090_cop_dnn_c30_oven_10_n04111531_467.png,n04111531_467.png,1.0,7.3181696,1.0683929,4.4192595
simclr_resnet50x1,1,91,NaN,cat,cat,c03,0091_cop_dnn_c03_cat_10_n02123394_2632.png,n02123394_2632.png,1.0,5.862147,2.4409962,2.419119
simclr_resnet50x1,1,92,NaN,chair,chair,c15,0092_cop_dnn_c15_chair_10_n02791124_5268.png,n02791124_5268.png,1.0,6.632784,3.817844,1.9904631
simclr_resnet50x1,1,93,NaN,chair,knife,c100,0093_cop_dnn_c100_knife_10_n03041632_1143.png,n03041632_1143.png,0.0,3.4822598,6.5414743,-2.1631913
