subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
vit_b_16,1,1,NaN,knife,knife,c30,0001_cop_dnn_c30_knife_10_n03041632_7380.png,n03041632_7380.png,1.0,9.320878,1.7293745,5.368004
vit_b_16,1,2,NaN,bicycle,bicycle,c100,0002_cop_dnn_c100_bicycle_10_n03792782_5966.png,n03792782_5966.png,1.0,7.722901,0.4342967,5.1538215
vit_b_16,1,3,NaN,knife,bird,c01,0003_cop_dnn_c01_bird_10_n01601694_10802.png,n01601694_10802.png,0.0,-0.14150113,2.8838115,-2.139219
vit_b_16,1,4,NaN,airplane,airplane,c05,0004_cop_dnn_c05_airplane_10_n02690373_9759.png,n02690373_9759.png,1.0,5.179038,3.1988602,1.4001973
vit_b_16,1,5,NaN,knife,car,c03,0005_cop_dnn_c03_car_10_n02814533_2236.png,n02814533_2236.png,0.0,0.39463177,4.495198,-2.899538
vit_b_16,1,6,NaN,chair,chair,c30,0006_cop_dnn_c30_chair_10_n02791124_7207.png,n02791124_7207.png,1.0,2.624747,0.65402836,1.3935086
vit_b_16,1,7,NaN,oven,oven,c50,0007_cop_dnn_c50_oven_10_n04111531_7064.png,n04111531_7064.png,1.0,7.347028,1.1857275,4.356697
vit_b_16,1,8,NaN,knife,bird,c15,0008_cop_dnn_c15_bird_10_n01532829_2263.png,n01532829_2263.png,0.0,0.057062607,2.2202682,-1.5296174
vit_b_16,1,9,NaN,bicycle,bicycle,c50,0009_cop_dnn_c50_bicycle_10_n02835271_3383.png,n02835271_3383.png,1.0,5.9462147,0.45984486,3.8794491
vit_b_16,1,10,NaN,knife,bicycle,c03,0010_cop_dnn_c03_bicycle_10_n03792782_27510.png,n03792782_27510.png,0.0,-0.016154245,2.9082093,-2.0678375
vit_b_16,1,11,NaN,knife,bottle,c03,0011_cop_dnn_c03_bottle_10_n04557648_10944.png,n04557648_10944.png,0.0,0.81122464,3.2039194,-1.6918907
vit_b_16,1,12,NaN,knife,keyboard,c15,0012_cop_dnn_c15_keyboard_10_n03085013_20891.png,n03085013_20891.png,0.0,2.2955875,3.3673067,-0.7578199
vit_b_16,1,13,NaN,elephant,elephant,c30,0013_cop_dnn_c30_elephant_10_n02504458_3225.png,n02504458_3225.png,1.0,6.330219,0.33787993,4.237223
vit_b_16,1,14,NaN,keyboard,keyboard,c10,0014_cop_dnn_c10_keyboard_10_n04505470_6638.png,n04505470_6638.png,1.0,3.5523505,2.8571093,0.49160978
vit_b_16,1,15,NaN,knife,bird,c01,0015_cop_dnn_c01_bird_10_n01601694_11888.png,n01601694_11888.png,0.0,-0.46654564,3.4119377,-2.742502
vit_b_16,1,16,NaN,airplane,airplane,c03,0016_cop_dnn_c03_airplane_10_n02690373_8743.png,n02690373_8743.png,1.0,3.5693693,3.3497853,0.15526932
vit_b_16,1,17,NaN,knife,boat,c10,0017_cop_dnn_c10_boat_10_n03344393_8869.png,n03344393_8869.png,0.0,2.1049411,3.1602743,-0.7462332
vit_b_16,1,18,NaN,knife,bear,c01,0018_cop_dnn_c01_bear_10_n02132136_27682.png,n02132136_27682.png,0.0,-0.9343099,3.7965891,-3.3452506
vit_b_16,1,19,NaN,clock,clock,c50,0019_cop_dnn_c50_clock_10_n02708093_7081.png,n02708093_7081.png,1.0,5.3700356,0.40252188,3.5125625
vit_b_16,1,20,NaN,car,car,c10,0020_cop_dnn_c10_car_10_n03100240_12141.png,n03100240_12141.png,1.0,3.6188793,2.4094696,0.8551818
vit_b_16,1,21,NaN,knife,car,c15,0021_cop_dnn_c15_car_10_n02814533_19287.png,n02814533_19287.png,0.0,1.9289674,2.958552,-0.7280262
vit_b_16,1,22,NaN,knife,bicycle,c03,0022_cop_dnn_c03_bicycle_10_n02835271_3841.png,n02835271_3841.png,0.0,2.6983027,3.3194306,-0.4392037
vit_b_16,1,23,NaN,clock,clock,c15,0023_cop_dnn_c15_clock_10_n02708093_6696.png,n02708093_6696.png,1.0,6.6685414,0.24074407,4.5451393
vit_b_16,1,24,NaN,knife,bird,c01,0024_cop_dnn_c01_bird_10_n01829413_6393.png,n01829413_6393.png,0.0,-0.32244858,3.4557555,-2.6715937
vit_b_16,1,25,NaN,knife,clock,c01,0025_cop_dnn_c01_clock_10_n02708093_3484.png,n02708093_3484.png,0.0,1.9969212,2.618363,-0.43942568
vit_b_16,1,26,NaN,knife,chair,c05,0026_cop_dnn_c05_chair_10_n04429376_55163.png,n04429376_55163.png,0.0,1.4503903,3.0720992,-1.1467214
vit_b_16,1,27,NaN,boat,boat,c100,0027_cop_dnn_c100_boat_10_n02951358_14528.png,n02951358_14528.png,1.0,2.9875357,0.50293577,1.7568775
vit_b_16,1,28,NaN,knife,chair,c01,0028_cop_dnn_c01_chair_10_n03376595_9603.png,n03376595_9603.png,0.0,0.4078699,3.021366,-1.8480208
vit_b_16,1,29,NaN,knife,bottle,c03,0029_cop_dnn_c03_bottle_10_n03937543_1840.png,n03937543_1840.png,0.0,0.6373276,3.120872,-1.756131
vit_b_16,1,30,NaN,knife,car,c01,0030_cop_dnn_c01_car_10_n02814533_32835.png,n02814533_32835.png,0.0,-0.6891343,3.1828263,-2.7378898
vit_b_16,1,31,NaN,clock,bird,c15,0031_cop_dnn_c15_bird_10_n01860187_38598.png,n01860187_38598.png,0.0,0.48243254,2.280728,-1.271587
vit_b_16,1,32,NaN,airplane,airplane,c100,0032_cop_dnn_c100_airplane_10_n02690373_9322.png,n02690373_9322.png,1.0,8.705381,0.29299197,5.9484577
vit_b_16,1,33,NaN,knife,bicycle,c01,0033_cop_dnn_c01_bicycle_10_n02835271_1505.png,n02835271_1505.png,0.0,-0.93383133,2.7503433,-2.605105
vit_b_16,1,34,NaN,bicycle,bicycle,c50,0034_cop_dnn_c50_bicycle_10_n03792782_11023.png,n03792782_11023.png,1.0,5.3311977,0.43756738,3.4603193
vit_b_16,1,35,NaN,elephant,elephant,c50,0035_cop_dnn_c50_elephant_10_n02504458_4909.png,n02504458_4909.png,1.0,6.34739,0.20170031,4.3456593
vit_b_16,1,36,NaN,boat,boat,c100,0036_cop_dnn_c100_boat_10_n03344393_646.png,n03344393_646.png,1.0,4.177685,0.21077581,2.8050282
vit_b_16,1,37,NaN,knife,boat,c10,0037_cop_dnn_c10_boat_10_n04612504_2472.png,n04612504_2472.png,0.0,0.938632,3.338592,-1.697028
vit_b_16,1,38,NaN,knife,keyboard,c03,0038_cop_dnn_c03_keyboard_10_n03085013_4673.png,n03085013_4673.png,0.0,1.7866727,3.651057,-1.3183188
vit_b_16,1,39,NaN,elephant,elephant,c100,0039_cop_dnn_c100_elephant_10_n02504458_1138.png,n02504458_1138.png,1.0,7.530859,0.55638766,4.931696
