subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet_w1_mlp_simclrhn_probe1,1,1,NaN,bicycle,airplane,NaN,airplane1-bicycle2.png,airplane1-bicycle2.png,0.0,-13.795528,-1.0488696,-9.013248
alexnet_w1_mlp_simclrhn_probe1,1,2,NaN,bicycle,airplane,NaN,airplane1-chair2.png,airplane1-chair2.png,0.0,-7.098688,-0.83865607,-4.4265113
alexnet_w1_mlp_simclrhn_probe1,1,3,NaN,bicycle,airplane,NaN,airplane1-clock1.png,airplane1-clock1.png,0.0,-11.756235,-1.1698709,-7.4856906
alexnet_w1_mlp_simclrhn_probe1,1,4,NaN,bicycle,airplane,NaN,airplane1-elephant1.png,airplane1-elephant1.png,0.0,-10.375086,-2.7090487,-5.4207067
alexnet_w1_mlp_simclrhn_probe1,1,5,NaN,airplane,airplane,NaN,airplane10-airplane1.png,airplane10-airplane1.png,1.0,4.522234,-1.4301193,4.2089496
alexnet_w1_mlp_simclrhn_probe1,1,6,NaN,cat,airplane,NaN,airplane10-bear3.png,airplane10-bear3.png,0.0,-18.062748,-2.0483468,-11.323892
alexnet_w1_mlp_simclrhn_probe1,1,7,NaN,airplane,airplane,NaN,airplane10-boat3.png,airplane10-boat3.png,1.0,0.24365246,-1.2104232,1.0281868
alexnet_w1_mlp_simclrhn_probe1,1,8,NaN,bicycle,airplane,NaN,airplane10-car3.png,airplane10-car3.png,0.0,-5.2304244,-3.3787212,-1.3093519
alexnet_w1_mlp_simclrhn_probe1,1,9,NaN,cat,airplane,NaN,airplane10-cat2.png,airplane10-cat2.png,0.0,-9.252426,-0.51303166,-6.179685
alexnet_w1_mlp_simclrhn_probe1,1,10,NaN,cat,airplane,NaN,airplane10-dog3.png,airplane10-dog3.png,0.0,-13.27715,0.26001072,-9.572218
alexnet_w1_mlp_simclrhn_probe1,1,11,NaN,bird,airplane,NaN,airplane10-elephant1.png,airplane10-elephant1.png,0.0,-9.10026,-3.3494558,-4.0664325
alexnet_w1_mlp_simclrhn_probe1,1,12,NaN,knife,airplane,NaN,airplane10-knife3.png,airplane10-knife3.png,0.0,-1.4963635,0.07314333,-1.1098089
alexnet_w1_mlp_simclrhn_probe1,1,13,NaN,airplane,airplane,NaN,airplane10-oven2.png,airplane10-oven2.png,1.0,1.0595062,0.47694606,0.41193223
alexnet_w1_mlp_simclrhn_probe1,1,14,NaN,chair,airplane,NaN,airplane10-truck1.png,airplane10-truck1.png,0.0,-3.6907148,-0.18543643,-2.4786062
alexnet_w1_mlp_simclrhn_probe1,1,15,NaN,cat,airplane,NaN,airplane2-bear1.png,airplane2-bear1.png,0.0,-12.311483,-0.70035917,-8.210304
alexnet_w1_mlp_simclrhn_probe1,1,16,NaN,bicycle,airplane,NaN,airplane2-bicycle1.png,airplane2-bicycle1.png,0.0,-19.255308,-4.573183,-10.38183
alexnet_w1_mlp_simclrhn_probe1,1,17,NaN,airplane,airplane,NaN,airplane2-bird3.png,airplane2-bird3.png,1.0,-1.905247,-4.0562057,1.5209576
alexnet_w1_mlp_simclrhn_probe1,1,18,NaN,bicycle,airplane,NaN,airplane2-bottle1.png,airplane2-bottle1.png,0.0,-9.054026,-4.858531,-2.966663
alexnet_w1_mlp_simclrhn_probe1,1,19,NaN,cat,airplane,NaN,airplane2-cat1.png,airplane2-cat1.png,0.0,-12.022043,0.010629634,-8.508385
alexnet_w1_mlp_simclrhn_probe1,1,20,NaN,cat,airplane,NaN,airplane2-dog1.png,airplane2-dog1.png,0.0,-16.074831,-0.8627081,-10.756596
alexnet_w1_mlp_simclrhn_probe1,1,21,NaN,airplane,airplane,NaN,airplane3-airplane2.png,airplane3-airplane2.png,1.0,-0.26918375,-2.9321961,1.8830342
alexnet_w1_mlp_simclrhn_probe1,1,22,NaN,bicycle,airplane,NaN,airplane3-car1.png,airplane3-car1.png,0.0,-11.641024,-3.0971465,-6.0414333
alexnet_w1_mlp_simclrhn_probe1,1,23,NaN,cat,airplane,NaN,airplane3-cat1.png,airplane3-cat1.png,0.0,-14.65129,-0.43745396,-10.0507
alexnet_w1_mlp_simclrhn_probe1,1,24,NaN,airplane,airplane,NaN,airplane3-chair3.png,airplane3-chair3.png,1.0,3.0720186,-2.7884822,4.144
alexnet_w1_mlp_simclrhn_probe1,1,25,NaN,bicycle,airplane,NaN,airplane3-clock1.png,airplane3-clock1.png,0.0,-12.613371,-3.3042507,-6.582542
alexnet_w1_mlp_simclrhn_probe1,1,26,NaN,cat,airplane,NaN,airplane3-dog1.png,airplane3-dog1.png,0.0,-13.27645,-2.1866295,-7.8416877
alexnet_w1_mlp_simclrhn_probe1,1,27,NaN,bicycle,airplane,NaN,airplane3-elephant1.png,airplane3-elephant1.png,0.0,-10.413155,-3.3288665,-5.0093484
alexnet_w1_mlp_simclrhn_probe1,1,28,NaN,airplane,airplane,NaN,airplane3-keyboard2.png,airplane3-keyboard2.png,1.0,-0.5855329,-0.83687186,0.17772348
alexnet_w1_mlp_simclrhn_probe1,1,29,NaN,airplane,airplane,NaN,airplane3-oven1.png,airplane3-oven1.png,1.0,1.9036947,-1.6250026,2.495166
alexnet_w1_mlp_simclrhn_probe1,1,30,NaN,airplane,airplane,NaN,airplane4-airplane1.png,airplane4-airplane1.png,1.0,0.73816204,-2.0169284,1.9481432
alexnet_w1_mlp_simclrhn_probe1,1,31,NaN,elephant,airplane,NaN,airplane4-bear3.png,airplane4-bear3.png,0.0,-16.098194,-2.55026,-9.579836
alexnet_w1_mlp_simclrhn_probe1,1,32,NaN,bicycle,airplane,NaN,airplane4-bicycle2.png,airplane4-bicycle2.png,0.0,-14.254503,-2.6545582,-8.2024
alexnet_w1_mlp_simclrhn_probe1,1,33,NaN,airplane,airplane,NaN,airplane4-bird3.png,airplane4-bird3.png,1.0,1.28906,-3.9479623,3.703134
alexnet_w1_mlp_simclrhn_probe1,1,34,NaN,airplane,airplane,NaN,airplane4-boat3.png,airplane4-boat3.png,1.0,0.46570688,-0.7770713,0.8787769
alexnet_w1_mlp_simclrhn_probe1,1,35,NaN,bicycle,airplane,NaN,airplane4-bottle1.png,airplane4-bottle1.png,0.0,-7.856558,-4.6731114,-2.2510366
alexnet_w1_mlp_simclrhn_probe1,1,36,NaN,knife,airplane,NaN,airplane4-car1.png,airplane4-car1.png,0.0,-9.988638,-4.77322,-3.6878574
alexnet_w1_mlp_simclrhn_probe1,1,37,NaN,cat,airplane,NaN,airplane4-cat3.png,airplane4-cat3.png,0.0,-7.4017076,-0.22413106,-5.075313
alexnet_w1_mlp_simclrhn_probe1,1,38,NaN,cat,airplane,NaN,airplane4-dog2.png,airplane4-dog2.png,0.0,-9.255031,-0.75928956,-6.007396
alexnet_w1_mlp_simclrhn_probe1,1,39,NaN,bicycle,airplane,NaN,airplane4-elephant1.png,airplane4-elephant1.png,0.0,-9.456095,-3.322779,-4.3369093
alexnet_w1_mlp_simclrhn_probe1,1,40,NaN,airplane,airplane,NaN,airplane4-keyboard3.png,airplane4-keyboard3.png,1.0,0.994764,-0.6465807,1.1606059
alexnet_w1_mlp_simclrhn_probe1,1,41,NaN,knife,airplane,NaN,airplane4-knife1.png,airplane4-knife1.png,0.0,-6.359049,-3.0618558,-2.3314676
alexnet_w1_mlp_simclrhn_probe1,1,42,NaN,car,airplane,NaN,airplane4-truck2.png,airplane4-truck2.png,0.0,-3.5998616,-0.48103836,-2.205341
