subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet2023_baseline_pgd,1,1,NaN,bicycle,airplane,NaN,airplane1-bicycle2.png,airplane1-bicycle2.png,0.0,-0.40629292,8.992399,-6.6458793
alexnet2023_baseline_pgd,1,2,NaN,chair,airplane,NaN,airplane1-chair2.png,airplane1-chair2.png,0.0,-0.91070783,6.3087854,-5.104953
alexnet2023_baseline_pgd,1,3,NaN,chair,airplane,NaN,airplane1-clock1.png,airplane1-clock1.png,0.0,-2.2329729,2.9202085,-3.6438494
alexnet2023_baseline_pgd,1,4,NaN,elephant,airplane,NaN,airplane1-elephant1.png,airplane1-elephant1.png,0.0,0.47368717,5.6124687,-3.6336672
alexnet2023_baseline_pgd,1,5,NaN,airplane,airplane,NaN,airplane10-airplane1.png,airplane10-airplane1.png,1.0,10.719557,4.982664,4.056596
alexnet2023_baseline_pgd,1,6,NaN,elephant,airplane,NaN,airplane10-bear3.png,airplane10-bear3.png,0.0,-6.079045,6.7883396,-9.098615
alexnet2023_baseline_pgd,1,7,NaN,oven,airplane,NaN,airplane10-boat3.png,airplane10-boat3.png,0.0,2.047145,5.8426027,-2.683794
alexnet2023_baseline_pgd,1,8,NaN,car,airplane,NaN,airplane10-car3.png,airplane10-car3.png,0.0,5.1518545,5.9786353,-0.5846223
alexnet2023_baseline_pgd,1,9,NaN,cat,airplane,NaN,airplane10-cat2.png,airplane10-cat2.png,0.0,-6.2070003,6.0887012,-8.694374
alexnet2023_baseline_pgd,1,10,NaN,dog,airplane,NaN,airplane10-dog3.png,airplane10-dog3.png,0.0,-5.3821993,4.402201,-6.9186163
alexnet2023_baseline_pgd,1,11,NaN,elephant,airplane,NaN,airplane10-elephant1.png,airplane10-elephant1.png,0.0,-2.0608997,5.1081476,-5.069282
alexnet2023_baseline_pgd,1,12,NaN,knife,airplane,NaN,airplane10-knife3.png,airplane10-knife3.png,0.0,2.320567,7.168779,-3.4282038
alexnet2023_baseline_pgd,1,13,NaN,oven,airplane,NaN,airplane10-oven2.png,airplane10-oven2.png,0.0,1.079455,5.162239,-2.8869643
alexnet2023_baseline_pgd,1,14,NaN,airplane,airplane,NaN,airplane10-truck1.png,airplane10-truck1.png,1.0,5.58456,5.176906,0.28825477
alexnet2023_baseline_pgd,1,15,NaN,elephant,airplane,NaN,airplane2-bear1.png,airplane2-bear1.png,0.0,-5.3733425,5.210896,-7.4841866
alexnet2023_baseline_pgd,1,16,NaN,bicycle,airplane,NaN,airplane2-bicycle1.png,airplane2-bicycle1.png,0.0,-1.5287517,7.0424013,-6.0607204
alexnet2023_baseline_pgd,1,17,NaN,oven,airplane,NaN,airplane2-bird3.png,airplane2-bird3.png,0.0,0.029319331,5.4176908,-3.810154
alexnet2023_baseline_pgd,1,18,NaN,bicycle,airplane,NaN,airplane2-bottle1.png,airplane2-bottle1.png,0.0,-5.3887496,5.2061844,-7.4917502
alexnet2023_baseline_pgd,1,19,NaN,cat,airplane,NaN,airplane2-cat1.png,airplane2-cat1.png,0.0,-2.8266695,4.9959235,-5.5314083
alexnet2023_baseline_pgd,1,20,NaN,dog,airplane,NaN,airplane2-dog1.png,airplane2-dog1.png,0.0,-7.096759,5.670539,-9.0278425
alexnet2023_baseline_pgd,1,21,NaN,airplane,airplane,NaN,airplane3-airplane2.png,airplane3-airplane2.png,1.0,10.770928,4.752966,4.255342
alexnet2023_baseline_pgd,1,22,NaN,bicycle,airplane,NaN,airplane3-car1.png,airplane3-car1.png,0.0,2.0234523,5.732711,-2.6228418
alexnet2023_baseline_pgd,1,23,NaN,dog,airplane,NaN,airplane3-cat1.png,airplane3-cat1.png,0.0,-3.2380328,5.192259,-5.961117
alexnet2023_baseline_pgd,1,24,NaN,airplane,airplane,NaN,airplane3-chair3.png,airplane3-chair3.png,1.0,5.5140204,4.063739,1.025504
alexnet2023_baseline_pgd,1,25,NaN,chair,airplane,NaN,airplane3-clock1.png,airplane3-clock1.png,0.0,-6.4086475,2.7074816,-6.446077
alexnet2023_baseline_pgd,1,26,NaN,dog,airplane,NaN,airplane3-dog1.png,airplane3-dog1.png,0.0,-5.081609,5.298222,-7.339649
alexnet2023_baseline_pgd,1,27,NaN,elephant,airplane,NaN,airplane3-elephant1.png,airplane3-elephant1.png,0.0,-2.4279802,6.755891,-6.4939775
alexnet2023_baseline_pgd,1,28,NaN,car,airplane,NaN,airplane3-keyboard2.png,airplane3-keyboard2.png,0.0,3.9313219,5.5054765,-1.1130954
alexnet2023_baseline_pgd,1,29,NaN,airplane,airplane,NaN,airplane3-oven1.png,airplane3-oven1.png,1.0,10.494689,6.124894,3.0899117
alexnet2023_baseline_pgd,1,30,NaN,airplane,airplane,NaN,airplane4-airplane1.png,airplane4-airplane1.png,1.0,6.5947227,3.1501188,2.4357028
