subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet,1,1,NaN,bicycle,airplane,NaN,airplane1-bicycle2.png,airplane1-bicycle2.png,0.0,-1.6951079,6.8871374,-6.0685635
alexnet,1,2,NaN,chair,airplane,NaN,airplane1-chair2.png,airplane1-chair2.png,0.0,-2.2420504,6.8882265,-6.4560804
alexnet,1,3,NaN,clock,airplane,NaN,airplane1-clock1.png,airplane1-clock1.png,0.0,-3.738842,4.1639667,-5.5881295
alexnet,1,4,NaN,elephant,airplane,NaN,airplane1-elephant1.png,airplane1-elephant1.png,0.0,-2.709869,6.5795555,-6.5686154
alexnet,1,5,NaN,airplane,airplane,NaN,airplane10-airplane1.png,airplane10-airplane1.png,1.0,9.264134,4.918432,3.0728755
alexnet,1,6,NaN,bear,airplane,NaN,airplane10-bear3.png,airplane10-bear3.png,0.0,-2.5236247,6.800742,-6.5933228
alexnet,1,7,NaN,truck,airplane,NaN,airplane10-boat3.png,airplane10-boat3.png,0.0,1.3897046,7.265232,-4.1546254
alexnet,1,8,NaN,car,airplane,NaN,airplane10-car3.png,airplane10-car3.png,0.0,-0.06028986,6.4636097,-4.613094
alexnet,1,9,NaN,cat,airplane,NaN,airplane10-cat2.png,airplane10-cat2.png,0.0,-4.633614,10.007688,-10.352964
alexnet,1,10,NaN,dog,airplane,NaN,airplane10-dog3.png,airplane10-dog3.png,0.0,-2.6474288,3.88832,-4.6214724
alexnet,1,11,NaN,elephant,airplane,NaN,airplane10-elephant1.png,airplane10-elephant1.png,0.0,-1.5195696,6.597804,-5.73985
alexnet,1,12,NaN,knife,airplane,NaN,airplane10-knife3.png,airplane10-knife3.png,0.0,0.9311834,11.02264,-7.1357374
alexnet,1,13,NaN,oven,airplane,NaN,airplane10-oven2.png,airplane10-oven2.png,0.0,5.211389,7.573019,-1.6699246
alexnet,1,14,NaN,car,airplane,NaN,airplane10-truck1.png,airplane10-truck1.png,0.0,3.7291198,10.528117,-4.807617
alexnet,1,15,NaN,cat,airplane,NaN,airplane2-bear1.png,airplane2-bear1.png,0.0,-3.1823888,8.364094,-8.164596
alexnet,1,16,NaN,bicycle,airplane,NaN,airplane2-bicycle1.png,airplane2-bicycle1.png,0.0,-2.7413282,10.1957855,-9.147921
alexnet,1,17,NaN,knife,airplane,NaN,airplane2-bird3.png,airplane2-bird3.png,0.0,0.7643293,4.272361,-2.480553
alexnet,1,18,NaN,clock,airplane,NaN,airplane2-bottle1.png,airplane2-bottle1.png,0.0,-2.2198198,5.625464,-5.5474534
alexnet,1,19,NaN,cat,airplane,NaN,airplane2-cat1.png,airplane2-cat1.png,0.0,-5.051352,7.3380065,-8.760599
alexnet,1,20,NaN,dog,airplane,NaN,airplane2-dog1.png,airplane2-dog1.png,0.0,-3.592621,3.2010093,-4.8038225
alexnet,1,21,NaN,airplane,airplane,NaN,airplane3-airplane2.png,airplane3-airplane2.png,1.0,5.049181,3.6094246,1.0180615
alexnet,1,22,NaN,bottle,airplane,NaN,airplane3-car1.png,airplane3-car1.png,0.0,-3.1840963,4.46469,-5.408509
alexnet,1,23,NaN,cat,airplane,NaN,airplane3-cat1.png,airplane3-cat1.png,0.0,-5.3534718,5.9281964,-7.977344
alexnet,1,24,NaN,airplane,airplane,NaN,airplane3-chair3.png,airplane3-chair3.png,1.0,8.365289,4.459324,2.7619343
alexnet,1,25,NaN,clock,airplane,NaN,airplane3-clock1.png,airplane3-clock1.png,0.0,-7.5100307,5.878979,-9.46746
alexnet,1,26,NaN,cat,airplane,NaN,airplane3-dog1.png,airplane3-dog1.png,0.0,-5.222051,5.0567155,-7.2681856
alexnet,1,27,NaN,elephant,airplane,NaN,airplane3-elephant1.png,airplane3-elephant1.png,0.0,-2.5831304,8.051645,-7.519922
alexnet,1,28,NaN,car,airplane,NaN,airplane3-keyboard2.png,airplane3-keyboard2.png,0.0,1.9619043,8.050037,-4.3049603
alexnet,1,29,NaN,airplane,airplane,NaN,airplane3-oven1.png,airplane3-oven1.png,1.0,5.2936916,4.592697,0.49567798
alexnet,1,30,NaN,keyboard,airplane,NaN,airplane4-airplane1.png,airplane4-airplane1.png,0.0,1.268176,3.7983966,-1.789136
alexnet,1,31,NaN,bear,airplane,NaN,airplane4-bear3.png,airplane4-bear3.png,0.0,-2.7069259,7.2393203,-7.033058
alexnet,1,32,NaN,bicycle,airplane,NaN,airplane4-bicycle2.png,airplane4-bicycle2.png,0.0,-2.348104,7.7332087,-7.1285644
alexnet,1,33,NaN,knife,airplane,NaN,airplane4-bird3.png,airplane4-bird3.png,0.0,2.3970773,5.262321,-2.0260332
alexnet,1,34,NaN,truck,airplane,NaN,airplane4-boat3.png,airplane4-boat3.png,0.0,1.2468367,5.1327033,-2.7477226
alexnet,1,35,NaN,clock,airplane,NaN,airplane4-bottle1.png,airplane4-bottle1.png,0.0,-2.761554,5.4989758,-5.8410764
alexnet,1,36,NaN,bicycle,airplane,NaN,airplane4-car1.png,airplane4-car1.png,0.0,-5.640316,3.5652328,-6.5093064
alexnet,1,37,NaN,cat,airplane,NaN,airplane4-cat3.png,airplane4-cat3.png,0.0,-3.0186107,3.6226177,-4.696058
alexnet,1,38,NaN,cat,airplane,NaN,airplane4-dog2.png,airplane4-dog2.png,0.0,-4.787409,4.511165,-6.575085
alexnet,1,39,NaN,elephant,airplane,NaN,airplane4-elephant1.png,airplane4-elephant1.png,0.0,-2.841477,7.71828,-7.466876
alexnet,1,40,NaN,car,airplane,NaN,airplane4-keyboard3.png,airplane4-keyboard3.png,0.0,4.513019,5.3066273,-0.56116575
alexnet,1,41,NaN,oven,airplane,NaN,airplane4-knife1.png,airplane4-knife1.png,0.0,-0.86066043,6.110072,-4.9290524
alexnet,1,42,NaN,car,airplane,NaN,airplane4-truck2.png,airplane4-truck2.png,0.0,0.42603868,5.223314,-3.3921857
alexnet,1,43,NaN,elephant,airplane,NaN,airplane5-bear2.png,airplane5-bear2.png,0.0,-2.1144526,8.765492,-7.693283
alexnet,1,44,NaN,bicycle,airplane,NaN,airplane5-bicycle1.png,airplane5-bicycle1.png,0.0,-1.2346532,11.331549,-8.885647
alexnet,1,45,NaN,knife,airplane,NaN,airplane5-bird2.png,airplane5-bird2.png,0.0,-0.18629873,4.0466194,-2.9931252
alexnet,1,46,NaN,truck,airplane,NaN,airplane5-boat3.png,airplane5-boat3.png,0.0,1.794049,4.1114388,-1.6386421
alexnet,1,47,NaN,bottle,airplane,NaN,airplane5-bottle3.png,airplane5-bottle3.png,0.0,-2.1108522,4.9825215,-5.015773
alexnet,1,48,NaN,airplane,airplane,NaN,airplane5-chair3.png,airplane5-chair3.png,1.0,8.715022,3.8036416,3.4728706
alexnet,1,49,NaN,dog,airplane,NaN,airplane5-dog3.png,airplane5-dog3.png,0.0,-2.7294078,4.6821775,-5.2407823
alexnet,1,50,NaN,knife,airplane,NaN,airplane5-knife1.png,airplane5-knife1.png,0.0,-0.85343283,4.6272087,-3.8753986
alexnet,1,51,NaN,chair,airplane,NaN,airplane5-oven3.png,airplane5-oven3.png,0.0,-0.56378216,5.90407,-4.573462
alexnet,1,52,NaN,bear,airplane,NaN,airplane6-bear3.png,airplane6-bear3.png,0.0,-3.5800674,6.146081,-6.8774257
alexnet,1,53,NaN,bottle,airplane,NaN,airplane6-bottle2.png,airplane6-bottle2.png,0.0,-4.325408,7.6043615,-8.435621
alexnet,1,54,NaN,airplane,airplane,NaN,airplane6-chair3.png,airplane6-chair3.png,1.0,7.868747,2.670465,3.6757407
alexnet,1,55,NaN,knife,airplane,NaN,airplane6-keyboard3.png,airplane6-keyboard3.png,0.0,3.035202,4.8752294,-1.3010958
alexnet,1,56,NaN,knife,airplane,NaN,airplane6-knife1.png,airplane6-knife1.png,0.0,-1.1317266,5.986835,-5.033583
alexnet,1,57,NaN,airplane,airplane,NaN,airplane7-airplane3.png,airplane7-airplane3.png,1.0,14.0575075,4.1880994,6.9787254
alexnet,1,58,NaN,knife,airplane,NaN,airplane7-bird3.png,airplane7-bird3.png,0.0,4.074005,4.5051484,-0.30486435
alexnet,1,59,NaN,car,airplane,NaN,airplane7-boat2.png,airplane7-boat2.png,0.0,2.7200837,5.1914577,-1.7475253
alexnet,1,60,NaN,bottle,airplane,NaN,airplane7-bottle3.png,airplane7-bottle3.png,0.0,-3.580419,6.430362,-7.0786915
alexnet,1,61,NaN,bicycle,airplane,NaN,airplane7-car1.png,airplane7-car1.png,0.0,-1.9610019,6.289084,-5.8336916
alexnet,1,62,NaN,cat,airplane,NaN,airplane7-cat3.png,airplane7-cat3.png,0.0,-1.694056,3.3170938,-3.5434182
alexnet,1,63,NaN,clock,airplane,NaN,airplane7-clock3.png,airplane7-clock3.png,0.0,-0.31446993,3.44693,-2.6597114
alexnet,1,64,NaN,airplane,airplane,NaN,airplane7-keyboard1.png,airplane7-keyboard1.png,1.0,4.5630326,2.0288327,1.79195
alexnet,1,65,NaN,car,airplane,NaN,airplane7-truck1.png,airplane7-truck1.png,0.0,1.8937013,9.352635,-5.274263
alexnet,1,66,NaN,knife,airplane,NaN,airplane8-bicycle3.png,airplane8-bicycle3.png,0.0,-4.6602592,3.1302762,-5.5087404
alexnet,1,67,NaN,cat,airplane,NaN,airplane8-bird1.png,airplane8-bird1.png,0.0,0.67959297,3.0422697,-1.6706647
alexnet,1,68,NaN,car,airplane,NaN,airplane8-chair1.png,airplane8-chair1.png,0.0,3.7639036,5.6629252,-1.3428111
alexnet,1,69,NaN,keyboard,airplane,NaN,airplane8-clock2.png,airplane8-clock2.png,0.0,3.02781,4.0494447,-0.7224048
