subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
bagnet33,1,1,NaN,bicycle,airplane,NaN,airplane1-bicycle2.png,airplane1-bicycle2.png,0.0,2.828986,5.9086,-2.177616
bagnet33,1,2,NaN,chair,airplane,NaN,airplane1-chair2.png,airplane1-chair2.png,0.0,0.1327799,9.576189,-6.677499
bagnet33,1,3,NaN,clock,airplane,NaN,airplane1-clock1.png,airplane1-clock1.png,0.0,-1.1503,14.5733385,-11.118292
bagnet33,1,4,NaN,elephant,airplane,NaN,airplane1-elephant1.png,airplane1-elephant1.png,0.0,-2.5730305,43.310287,-32.444405
bagnet33,1,5,NaN,airplane,airplane,NaN,airplane10-airplane1.png,airplane10-airplane1.png,1.0,13.834138,5.1151075,6.1652856
bagnet33,1,6,NaN,bear,airplane,NaN,airplane10-bear3.png,airplane10-bear3.png,0.0,1.3355539,5.980293,-3.2843266
bagnet33,1,7,NaN,truck,airplane,NaN,airplane10-boat3.png,airplane10-boat3.png,0.0,4.3155766,6.0811567,-1.2484537
bagnet33,1,8,NaN,car,airplane,NaN,airplane10-car3.png,airplane10-car3.png,0.0,6.986472,12.395592,-3.8248253
bagnet33,1,9,NaN,clock,airplane,NaN,airplane10-cat2.png,airplane10-cat2.png,0.0,3.8422947,9.957753,-4.324282
bagnet33,1,10,NaN,oven,airplane,NaN,airplane10-dog3.png,airplane10-dog3.png,0.0,0.5951501,3.1744928,-1.8238709
bagnet33,1,11,NaN,elephant,airplane,NaN,airplane10-elephant1.png,airplane10-elephant1.png,0.0,-2.0580366,47.760094,-35.226738
bagnet33,1,12,NaN,knife,airplane,NaN,airplane10-knife3.png,airplane10-knife3.png,0.0,0.013819069,7.687921,-5.4264097
bagnet33,1,13,NaN,oven,airplane,NaN,airplane10-oven2.png,airplane10-oven2.png,0.0,2.825898,6.1762886,-2.3690841
bagnet33,1,14,NaN,car,airplane,NaN,airplane10-truck1.png,airplane10-truck1.png,0.0,5.4401083,16.298395,-7.6779685
bagnet33,1,15,NaN,bear,airplane,NaN,airplane2-bear1.png,airplane2-bear1.png,0.0,1.1314579,9.070642,-5.6138515
bagnet33,1,16,NaN,bicycle,airplane,NaN,airplane2-bicycle1.png,airplane2-bicycle1.png,0.0,3.0167592,10.154573,-5.0471973
bagnet33,1,17,NaN,bird,airplane,NaN,airplane2-bird3.png,airplane2-bird3.png,0.0,1.3685755,4.555868,-2.2537563
bagnet33,1,18,NaN,bottle,airplane,NaN,airplane2-bottle1.png,airplane2-bottle1.png,0.0,-6.138879,18.290594,-17.274246
bagnet33,1,19,NaN,cat,airplane,NaN,airplane2-cat1.png,airplane2-cat1.png,0.0,1.8903865,6.8358765,-3.4969895
bagnet33,1,20,NaN,bird,airplane,NaN,airplane2-dog1.png,airplane2-dog1.png,0.0,-0.12745786,3.4020011,-2.4957044
bagnet33,1,21,NaN,airplane,airplane,NaN,airplane3-airplane2.png,airplane3-airplane2.png,1.0,10.936953,6.3661137,3.2320712
bagnet33,1,22,NaN,car,airplane,NaN,airplane3-car1.png,airplane3-car1.png,0.0,2.5384352,11.642985,-6.4378896
bagnet33,1,23,NaN,cat,airplane,NaN,airplane3-cat1.png,airplane3-cat1.png,0.0,0.12038332,7.6595416,-5.3309903
bagnet33,1,24,NaN,chair,airplane,NaN,airplane3-chair3.png,airplane3-chair3.png,0.0,3.8099608,5.5146494,-1.2053969
bagnet33,1,25,NaN,clock,airplane,NaN,airplane3-clock1.png,airplane3-clock1.png,0.0,0.19096678,18.402534,-12.877522
bagnet33,1,26,NaN,bear,airplane,NaN,airplane3-dog1.png,airplane3-dog1.png,0.0,0.23921102,4.3522434,-2.908353
bagnet33,1,27,NaN,elephant,airplane,NaN,airplane3-elephant1.png,airplane3-elephant1.png,0.0,-2.6616259,41.162796,-30.988546
bagnet33,1,28,NaN,keyboard,airplane,NaN,airplane3-keyboard2.png,airplane3-keyboard2.png,0.0,3.771327,5.5893326,-1.2855241
bagnet33,1,29,NaN,oven,airplane,NaN,airplane3-oven1.png,airplane3-oven1.png,0.0,3.48513,7.383104,-2.7562838
bagnet33,1,30,NaN,airplane,airplane,NaN,airplane4-airplane1.png,airplane4-airplane1.png,1.0,13.079971,4.8788643,5.7990584
bagnet33,1,31,NaN,bear,airplane,NaN,airplane4-bear3.png,airplane4-bear3.png,0.0,0.5078321,5.673761,-3.6528633
bagnet33,1,32,NaN,bicycle,airplane,NaN,airplane4-bicycle2.png,airplane4-bicycle2.png,0.0,1.0576836,7.2793975,-4.3994164
bagnet33,1,33,NaN,bird,airplane,NaN,airplane4-bird3.png,airplane4-bird3.png,0.0,1.920537,4.8067274,-2.040845
bagnet33,1,34,NaN,truck,airplane,NaN,airplane4-boat3.png,airplane4-boat3.png,0.0,3.1974468,5.6177263,-1.7113961
bagnet33,1,35,NaN,bottle,airplane,NaN,airplane4-bottle1.png,airplane4-bottle1.png,0.0,-5.174413,17.504911,-16.036705
bagnet33,1,36,NaN,car,airplane,NaN,airplane4-car1.png,airplane4-car1.png,0.0,3.86525,10.044394,-4.369314
bagnet33,1,37,NaN,cat,airplane,NaN,airplane4-cat3.png,airplane4-cat3.png,0.0,-0.6443381,3.260378,-2.7610512
bagnet33,1,38,NaN,cat,airplane,NaN,airplane4-dog2.png,airplane4-dog2.png,0.0,1.6027921,2.8657954,-0.89307815
bagnet33,1,39,NaN,elephant,airplane,NaN,airplane4-elephant1.png,airplane4-elephant1.png,0.0,-2.0243187,46.724026,-34.470287
bagnet33,1,40,NaN,keyboard,airplane,NaN,airplane4-keyboard3.png,airplane4-keyboard3.png,0.0,1.5676107,3.32995,-1.2461622
bagnet33,1,41,NaN,knife,airplane,NaN,airplane4-knife1.png,airplane4-knife1.png,0.0,2.0260043,6.2952213,-3.0187924
bagnet33,1,42,NaN,car,airplane,NaN,airplane4-truck2.png,airplane4-truck2.png,0.0,1.2772514,10.251975,-6.3460884
bagnet33,1,43,NaN,bear,airplane,NaN,airplane5-bear2.png,airplane5-bear2.png,0.0,-0.2724787,9.030159,-6.5779586
bagnet33,1,44,NaN,bicycle,airplane,NaN,airplane5-bicycle1.png,airplane5-bicycle1.png,0.0,3.9358025,11.758487,-5.531473
bagnet33,1,45,NaN,bird,airplane,NaN,airplane5-bird2.png,airplane5-bird2.png,0.0,-0.82823133,6.673141,-5.304271
bagnet33,1,46,NaN,boat,airplane,NaN,airplane5-boat3.png,airplane5-boat3.png,0.0,4.341302,4.9171777,-0.40720567
bagnet33,1,47,NaN,bottle,airplane,NaN,airplane5-bottle3.png,airplane5-bottle3.png,0.0,1.0399704,20.78392,-13.9610815
bagnet33,1,48,NaN,chair,airplane,NaN,airplane5-chair3.png,airplane5-chair3.png,0.0,3.0631948,9.708758,-4.6991234
bagnet33,1,49,NaN,oven,airplane,NaN,airplane5-dog3.png,airplane5-dog3.png,0.0,0.3850274,3.61311,-2.2825992
bagnet33,1,50,NaN,knife,airplane,NaN,airplane5-knife1.png,airplane5-knife1.png,0.0,1.4155967,11.919054,-7.427066
bagnet33,1,51,NaN,oven,airplane,NaN,airplane5-oven3.png,airplane5-oven3.png,0.0,0.5575501,8.826313,-5.846898
bagnet33,1,52,NaN,bear,airplane,NaN,airplane6-bear3.png,airplane6-bear3.png,0.0,-0.10371953,6.4796047,-4.655113
bagnet33,1,53,NaN,bottle,airplane,NaN,airplane6-bottle2.png,airplane6-bottle2.png,0.0,-4.4330606,17.188326,-15.28863
bagnet33,1,54,NaN,chair,airplane,NaN,airplane6-chair3.png,airplane6-chair3.png,0.0,1.8560431,6.114956,-3.0115063
bagnet33,1,55,NaN,bottle,airplane,NaN,airplane6-keyboard3.png,airplane6-keyboard3.png,0.0,1.6100429,3.4798589,-1.3221595
bagnet33,1,56,NaN,knife,airplane,NaN,airplane6-knife1.png,airplane6-knife1.png,0.0,3.0925913,8.178631,-3.596373
bagnet33,1,57,NaN,airplane,airplane,NaN,airplane7-airplane3.png,airplane7-airplane3.png,1.0,14.810768,4.701311,7.1484656
bagnet33,1,58,NaN,knife,airplane,NaN,airplane7-bird3.png,airplane7-bird3.png,0.0,0.22684544,6.1516395,-4.189462
bagnet33,1,59,NaN,boat,airplane,NaN,airplane7-boat2.png,airplane7-boat2.png,0.0,4.3820553,8.924033,-3.2116635
