subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
resnet50,1,1,NaN,bicycle,airplane,NaN,airplane1-bicycle2.png,airplane1-bicycle2.png,0.0,-0.30554724,6.73923,-4.98141
resnet50,1,2,NaN,chair,airplane,NaN,airplane1-chair2.png,airplane1-chair2.png,0.0,1.3924656,4.4568043,-2.1668148
resnet50,1,3,NaN,clock,airplane,NaN,airplane1-clock1.png,airplane1-clock1.png,0.0,-4.263152,7.6409097,-8.417443
resnet50,1,4,NaN,elephant,airplane,NaN,airplane1-elephant1.png,airplane1-elephant1.png,0.0,-3.2229981,11.042876,-10.087497
resnet50,1,5,NaN,airplane,airplane,NaN,airplane10-airplane1.png,airplane10-airplane1.png,1.0,6.9562516,6.6247964,0.23437424
resnet50,1,6,NaN,bear,airplane,NaN,airplane10-bear3.png,airplane10-bear3.png,0.0,0.4395423,4.4060197,-2.804723
resnet50,1,7,NaN,airplane,airplane,NaN,airplane10-boat3.png,airplane10-boat3.png,1.0,3.5311847,3.4640586,0.047465276
resnet50,1,8,NaN,car,airplane,NaN,airplane10-car3.png,airplane10-car3.png,0.0,4.0167418,7.9297276,-2.7668989
resnet50,1,9,NaN,cat,airplane,NaN,airplane10-cat2.png,airplane10-cat2.png,0.0,-2.9082901,6.863936,-6.9100075
resnet50,1,10,NaN,cat,airplane,NaN,airplane10-dog3.png,airplane10-dog3.png,0.0,0.75056684,2.2856586,-1.0854738
resnet50,1,11,NaN,elephant,airplane,NaN,airplane10-elephant1.png,airplane10-elephant1.png,0.0,-4.1819587,12.513218,-11.805273
resnet50,1,12,NaN,knife,airplane,NaN,airplane10-knife3.png,airplane10-knife3.png,0.0,0.9539728,7.80384,-4.843588
resnet50,1,13,NaN,oven,airplane,NaN,airplane10-oven2.png,airplane10-oven2.png,0.0,2.604294,5.8365097,-2.2855217
resnet50,1,14,NaN,car,airplane,NaN,airplane10-truck1.png,airplane10-truck1.png,0.0,-0.7026719,8.146358,-6.257209
resnet50,1,15,NaN,bear,airplane,NaN,airplane2-bear1.png,airplane2-bear1.png,0.0,4.0628242,7.336351,-2.314733
resnet50,1,16,NaN,bicycle,airplane,NaN,airplane2-bicycle1.png,airplane2-bicycle1.png,0.0,-0.75716263,8.309525,-6.4111166
resnet50,1,17,NaN,oven,airplane,NaN,airplane2-bird3.png,airplane2-bird3.png,0.0,-1.501709,4.711973,-4.393737
resnet50,1,18,NaN,bottle,airplane,NaN,airplane2-bottle1.png,airplane2-bottle1.png,0.0,-4.566185,6.375022,-7.736602
resnet50,1,19,NaN,cat,airplane,NaN,airplane2-cat1.png,airplane2-cat1.png,0.0,-0.87242335,4.4484735,-3.762442
resnet50,1,20,NaN,oven,airplane,NaN,airplane2-dog1.png,airplane2-dog1.png,0.0,-0.15744495,3.119095,-2.3168638
resnet50,1,21,NaN,car,airplane,NaN,airplane3-airplane2.png,airplane3-airplane2.png,0.0,3.9480085,5.1585026,-0.85594857
resnet50,1,22,NaN,car,airplane,NaN,airplane3-car1.png,airplane3-car1.png,0.0,-1.4256898,3.0856287,-3.189984
resnet50,1,23,NaN,cat,airplane,NaN,airplane3-cat1.png,airplane3-cat1.png,0.0,-0.1324904,4.232664,-3.0866303
resnet50,1,24,NaN,keyboard,airplane,NaN,airplane3-chair3.png,airplane3-chair3.png,0.0,0.3970701,2.1000605,-1.204196
resnet50,1,25,NaN,clock,airplane,NaN,airplane3-clock1.png,airplane3-clock1.png,0.0,-1.7106503,7.490438,-6.5061517
resnet50,1,26,NaN,bear,airplane,NaN,airplane3-dog1.png,airplane3-dog1.png,0.0,-1.0086715,3.5820105,-3.2461023
resnet50,1,27,NaN,elephant,airplane,NaN,airplane3-elephant1.png,airplane3-elephant1.png,0.0,-2.7782893,13.253148,-11.3359375
resnet50,1,28,NaN,keyboard,airplane,NaN,airplane3-keyboard2.png,airplane3-keyboard2.png,0.0,2.4909778,5.6660786,-2.2451353
resnet50,1,29,NaN,oven,airplane,NaN,airplane3-oven1.png,airplane3-oven1.png,0.0,2.0172517,5.68418,-2.5929098
resnet50,1,30,NaN,airplane,airplane,NaN,airplane4-airplane1.png,airplane4-airplane1.png,1.0,6.620743,5.4984884,0.7935537
resnet50,1,31,NaN,bear,airplane,NaN,airplane4-bear3.png,airplane4-bear3.png,0.0,0.7462455,5.4314203,-3.3129191
resnet50,1,32,NaN,bicycle,airplane,NaN,airplane4-bicycle2.png,airplane4-bicycle2.png,0.0,-1.6491883,5.7396317,-5.2246847
resnet50,1,33,NaN,oven,airplane,NaN,airplane4-bird3.png,airplane4-bird3.png,0.0,-3.6745505,4.745529,-5.953896
resnet50,1,34,NaN,boat,airplane,NaN,airplane4-boat3.png,airplane4-boat3.png,0.0,1.2473933,2.9581058,-1.2096565
resnet50,1,35,NaN,bottle,airplane,NaN,airplane4-bottle1.png,airplane4-bottle1.png,0.0,-3.567788,7.9315786,-8.13128
