subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
simclr_resnet50x1,1,1,NaN,bicycle,airplane,NaN,airplane1-bicycle2.png,airplane1-bicycle2.png,0.0,-0.9383522,2.8394117,-2.6712825
simclr_resnet50x1,1,2,NaN,chair,airplane,NaN,airplane1-chair2.png,airplane1-chair2.png,0.0,-0.60427237,4.299382,-3.4674075
simclr_resnet50x1,1,3,NaN,clock,airplane,NaN,airplane1-clock1.png,airplane1-clock1.png,0.0,-2.7316098,4.50543,-5.11736
simclr_resnet50x1,1,4,NaN,bottle,airplane,NaN,airplane1-elephant1.png,airplane1-elephant1.png,0.0,-2.881857,1.2079533,-2.8919327
simclr_resnet50x1,1,5,NaN,airplane,airplane,NaN,airplane10-airplane1.png,airplane10-airplane1.png,1.0,13.168168,4.373635,6.2186737
simclr_resnet50x1,1,6,NaN,bear,airplane,NaN,airplane10-bear3.png,airplane10-bear3.png,0.0,-1.124985,3.0707061,-2.9668016
simclr_resnet50x1,1,7,NaN,airplane,airplane,NaN,airplane10-boat3.png,airplane10-boat3.png,1.0,5.710914,3.802873,1.3491889
simclr_resnet50x1,1,8,NaN,bicycle,airplane,NaN,airplane10-car3.png,airplane10-car3.png,0.0,2.3171184,5.416439,-2.1915507
simclr_resnet50x1,1,9,NaN,cat,airplane,NaN,airplane10-cat2.png,airplane10-cat2.png,0.0,-1.4077876,3.6898222,-3.6045544
simclr_resnet50x1,1,10,NaN,dog,airplane,NaN,airplane10-dog3.png,airplane10-dog3.png,0.0,-0.64035714,1.8259174,-1.7439195
simclr_resnet50x1,1,11,NaN,chair,airplane,NaN,airplane10-elephant1.png,airplane10-elephant1.png,0.0,-2.5785978,1.3276206,-2.7621136
simclr_resnet50x1,1,12,NaN,knife,airplane,NaN,airplane10-knife3.png,airplane10-knife3.png,0.0,-1.7021263,9.798985,-8.132514
simclr_resnet50x1,1,13,NaN,oven,airplane,NaN,airplane10-oven2.png,airplane10-oven2.png,0.0,3.0859866,6.6439257,-2.515843
