subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
vit_b_16,1,1,NaN,airplane,airplane,NaN,airplane1-bicycle2.png,airplane1-bicycle2.png,1.0,3.861253,3.331974,0.37425676
vit_b_16,1,2,NaN,clock,airplane,NaN,airplane1-chair2.png,airplane1-chair2.png,0.0,-0.34752423,1.2914848,-1.1589544
vit_b_16,1,3,NaN,clock,airplane,NaN,airplane1-clock1.png,airplane1-clock1.png,0.0,1.4593934,5.129374,-2.5950682
vit_b_16,1,4,NaN,elephant,airplane,NaN,airplane1-elephant1.png,airplane1-elephant1.png,0.0,0.3844114,5.3696947,-3.5251276
vit_b_16,1,5,NaN,airplane,airplane,NaN,airplane10-airplane1.png,airplane10-airplane1.png,1.0,3.3054018,1.1365848,1.5335853
vit_b_16,1,6,NaN,bird,airplane,NaN,airplane10-bear3.png,airplane10-bear3.png,0.0,-0.3962223,1.286938,-1.1901741
vit_b_16,1,7,NaN,airplane,airplane,NaN,airplane10-boat3.png,airplane10-boat3.png,1.0,5.2926865,2.7814689,1.775699
vit_b_16,1,8,NaN,car,airplane,NaN,airplane10-car3.png,airplane10-car3.png,0.0,1.9353362,2.6373527,-0.49640062
vit_b_16,1,9,NaN,bird,airplane,NaN,airplane10-cat2.png,airplane10-cat2.png,0.0,-0.6462682,1.1032369,-1.2370869
vit_b_16,1,10,NaN,bird,airplane,NaN,airplane10-dog3.png,airplane10-dog3.png,0.0,-0.5626793,0.683976,-0.88151836
vit_b_16,1,11,NaN,elephant,airplane,NaN,airplane10-elephant1.png,airplane10-elephant1.png,0.0,-0.40085542,7.64854,-5.6917825
vit_b_16,1,12,NaN,knife,airplane,NaN,airplane10-knife3.png,airplane10-knife3.png,0.0,0.8550246,3.479659,-1.8558968
vit_b_16,1,13,NaN,bottle,airplane,NaN,airplane10-oven2.png,airplane10-oven2.png,0.0,2.7015483,2.907809,-0.14584833
vit_b_16,1,14,NaN,car,airplane,NaN,airplane10-truck1.png,airplane10-truck1.png,0.0,1.8225517,4.7249484,-2.0523045
vit_b_16,1,15,NaN,bear,airplane,NaN,airplane2-bear1.png,airplane2-bear1.png,0.0,0.35151696,3.6908712,-2.3612802
vit_b_16,1,16,NaN,bicycle,airplane,NaN,airplane2-bicycle1.png,airplane2-bicycle1.png,0.0,0.14333905,1.1016904,-0.67765677
vit_b_16,1,17,NaN,bottle,airplane,NaN,airplane2-bird3.png,airplane2-bird3.png,0.0,0.80963564,1.1330165,-0.22866479
vit_b_16,1,18,NaN,bottle,airplane,NaN,airplane2-bottle1.png,airplane2-bottle1.png,0.0,-0.19296096,2.918016,-2.1997929
vit_b_16,1,19,NaN,cat,airplane,NaN,airplane2-cat1.png,airplane2-cat1.png,0.0,-0.805948,2.8495867,-2.5848534
vit_b_16,1,20,NaN,bear,airplane,NaN,airplane2-dog1.png,airplane2-dog1.png,0.0,-0.451863,0.66473114,-0.78955126
vit_b_16,1,21,NaN,airplane,airplane,NaN,airplane3-airplane2.png,airplane3-airplane2.png,1.0,2.2074895,1.6990966,0.3594881
vit_b_16,1,22,NaN,clock,airplane,NaN,airplane3-car1.png,airplane3-car1.png,0.0,-0.34128582,0.5288785,-0.6152991
vit_b_16,1,23,NaN,cat,airplane,NaN,airplane3-cat1.png,airplane3-cat1.png,0.0,-0.86106455,2.771067,-2.568305
vit_b_16,1,24,NaN,airplane,airplane,NaN,airplane3-chair3.png,airplane3-chair3.png,1.0,3.2659032,0.9527302,1.6356604
vit_b_16,1,25,NaN,clock,airplane,NaN,airplane3-clock1.png,airplane3-clock1.png,0.0,0.2312214,3.768193,-2.5010166
vit_b_16,1,26,NaN,bear,airplane,NaN,airplane3-dog1.png,airplane3-dog1.png,0.0,-0.77533007,0.66919845,-1.021436
vit_b_16,1,27,NaN,elephant,airplane,NaN,airplane3-elephant1.png,airplane3-elephant1.png,0.0,-0.0461775,5.338175,-3.807312
vit_b_16,1,28,NaN,keyboard,airplane,NaN,airplane3-keyboard2.png,airplane3-keyboard2.png,0.0,0.32050812,3.987906,-2.593242
vit_b_16,1,29,NaN,oven,airplane,NaN,airplane3-oven1.png,airplane3-oven1.png,0.0,1.9029658,2.8748612,-0.68723387
vit_b_16,1,30,NaN,airplane,airplane,NaN,airplane4-airplane1.png,airplane4-airplane1.png,1.0,3.8349402,0.9933882,2.0092807
vit_b_16,1,31,NaN,elephant,airplane,NaN,airplane4-bear3.png,airplane4-bear3.png,0.0,-0.3372519,2.4876707,-1.9975219
vit_b_16,1,32,NaN,chair,airplane,NaN,airplane4-bicycle2.png,airplane4-bicycle2.png,0.0,0.83166116,1.4386626,-0.42921486
vit_b_16,1,33,NaN,oven,airplane,NaN,airplane4-bird3.png,airplane4-bird3.png,0.0,0.6889427,2.5691388,-1.3294995
vit_b_16,1,34,NaN,airplane,airplane,NaN,airplane4-boat3.png,airplane4-boat3.png,1.0,3.4046893,2.6233218,0.5525103
vit_b_16,1,35,NaN,bottle,airplane,NaN,airplane4-bottle1.png,airplane4-bottle1.png,0.0,-0.6963664,2.6888566,-2.3937142
vit_b_16,1,36,NaN,airplane,airplane,NaN,airplane4-car1.png,airplane4-car1.png,1.0,1.6006206,1.1665779,0.30691454
vit_b_16,1,37,NaN,oven,airplane,NaN,airplane4-cat3.png,airplane4-cat3.png,0.0,-0.18025534,4.4186397,-3.25191
vit_b_16,1,38,NaN,dog,airplane,NaN,airplane4-dog2.png,airplane4-dog2.png,0.0,-0.955104,1.0654975,-1.428781
vit_b_16,1,39,NaN,elephant,airplane,NaN,airplane4-elephant1.png,airplane4-elephant1.png,0.0,1.8777573,7.123808,-3.7095182
