subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet_w3_mlp_simclrhn_probe3,1,1,NaN,airplane,airplane,NaN,airplane1.png,airplane1.png,1.0,2.2693703,1.7340417,0.3785345
alexnet_w3_mlp_simclrhn_probe3,1,2,NaN,knife,airplane,NaN,airplane10.png,airplane10.png,0.0,1.2100494,1.3017418,-0.06483635
alexnet_w3_mlp_simclrhn_probe3,1,3,NaN,knife,airplane,NaN,airplane2.png,airplane2.png,0.0,1.5691158,1.8378757,-0.190042
alexnet_w3_mlp_simclrhn_probe3,1,4,NaN,airplane,airplane,NaN,airplane3.png,airplane3.png,1.0,2.9610646,0.822332,1.5123122
alexnet_w3_mlp_simclrhn_probe3,1,5,NaN,airplane,airplane,NaN,airplane4.png,airplane4.png,1.0,1.5629721,0.85955334,0.49739218
alexnet_w3_mlp_simclrhn_probe3,1,6,NaN,bicycle,airplane,NaN,airplane5.png,airplane5.png,0.0,-0.49943227,2.2299318,-1.9299519
alexnet_w3_mlp_simclrhn_probe3,1,7,NaN,airplane,airplane,NaN,airplane6.png,airplane6.png,1.0,2.359921,1.176944,0.83649105
alexnet_w3_mlp_simclrhn_probe3,1,8,NaN,airplane,airplane,NaN,airplane7.png,airplane7.png,1.0,2.5429773,1.4075422,0.80287385
alexnet_w3_mlp_simclrhn_probe3,1,9,NaN,clock,airplane,NaN,airplane8.png,airplane8.png,0.0,0.79011065,1.2247573,-0.3073416
alexnet_w3_mlp_simclrhn_probe3,1,10,NaN,keyboard,airplane,NaN,airplane9.png,airplane9.png,0.0,1.766616,2.2090735,-0.31286475
alexnet_w3_mlp_simclrhn_probe3,1,11,NaN,clock,bear,NaN,bear1.png,bear1.png,0.0,-0.054647055,1.6708773,-1.2201301
alexnet_w3_mlp_simclrhn_probe3,1,12,NaN,clock,bear,NaN,bear10.png,bear10.png,0.0,0.00018269569,1.7800864,-1.258582
alexnet_w3_mlp_simclrhn_probe3,1,13,NaN,clock,bear,NaN,bear2.png,bear2.png,0.0,-0.3872779,2.3167837,-1.9120603
alexnet_w3_mlp_simclrhn_probe3,1,14,NaN,clock,bear,NaN,bear3.png,bear3.png,0.0,0.025346316,3.1606598,-2.2170014
alexnet_w3_mlp_simclrhn_probe3,1,15,NaN,keyboard,bear,NaN,bear4.png,bear4.png,0.0,0.13608575,0.8044001,-0.4725696
alexnet_w3_mlp_simclrhn_probe3,1,16,NaN,clock,bear,NaN,bear5.png,bear5.png,0.0,-0.4078363,1.9743944,-1.6844915
alexnet_w3_mlp_simclrhn_probe3,1,17,NaN,clock,bear,NaN,bear6.png,bear6.png,0.0,-0.05378495,2.0256631,-1.4703918
alexnet_w3_mlp_simclrhn_probe3,1,18,NaN,clock,bear,NaN,bear7.png,bear7.png,0.0,-0.39763054,2.9178028,-2.3443654
alexnet_w3_mlp_simclrhn_probe3,1,19,NaN,clock,bear,NaN,bear8.png,bear8.png,0.0,-0.7814783,2.9552877,-2.6422925
alexnet_w3_mlp_simclrhn_probe3,1,20,NaN,clock,bear,NaN,bear9.png,bear9.png,0.0,-0.59511656,1.6007825,-1.5527351
alexnet_w3_mlp_simclrhn_probe3,1,21,NaN,bicycle,bicycle,NaN,bicycle1.png,bicycle1.png,1.0,9.345938,4.6945405,3.2890346
alexnet_w3_mlp_simclrhn_probe3,1,22,NaN,clock,bicycle,NaN,bicycle10.png,bicycle10.png,0.0,2.1281693,2.8498993,-0.51034015
alexnet_w3_mlp_simclrhn_probe3,1,23,NaN,bicycle,bicycle,NaN,bicycle2.png,bicycle2.png,1.0,3.4824514,3.381078,0.07168184
alexnet_w3_mlp_simclrhn_probe3,1,24,NaN,bicycle,bicycle,NaN,bicycle3.png,bicycle3.png,1.0,3.8236217,2.7124436,0.7857216
alexnet_w3_mlp_simclrhn_probe3,1,25,NaN,bicycle,bicycle,NaN,bicycle4.png,bicycle4.png,1.0,4.1135273,3.6574357,0.3225055
alexnet_w3_mlp_simclrhn_probe3,1,26,NaN,bicycle,bicycle,NaN,bicycle5.png,bicycle5.png,1.0,7.0840673,4.166443,2.0630722
alexnet_w3_mlp_simclrhn_probe3,1,27,NaN,clock,bicycle,NaN,bicycle6.png,bicycle6.png,0.0,1.3526149,3.072541,-1.2161714
alexnet_w3_mlp_simclrhn_probe3,1,28,NaN,bicycle,bicycle,NaN,bicycle7.png,bicycle7.png,1.0,12.5722885,5.099346,5.2841682
alexnet_w3_mlp_simclrhn_probe3,1,29,NaN,bicycle,bicycle,NaN,bicycle8.png,bicycle8.png,1.0,7.085706,3.4511757,2.5700011
alexnet_w3_mlp_simclrhn_probe3,1,30,NaN,bicycle,bicycle,NaN,bicycle9.png,bicycle9.png,1.0,8.357542,3.6622763,3.3200543
alexnet_w3_mlp_simclrhn_probe3,1,31,NaN,clock,bird,NaN,bird1.png,bird1.png,0.0,-0.14229386,1.6954861,-1.2995067
alexnet_w3_mlp_simclrhn_probe3,1,32,NaN,clock,bird,NaN,bird10.png,bird10.png,0.0,-0.18445067,1.617391,-1.2740945
alexnet_w3_mlp_simclrhn_probe3,1,33,NaN,clock,bird,NaN,bird2.png,bird2.png,0.0,-0.30512136,1.159648,-1.0357484
alexnet_w3_mlp_simclrhn_probe3,1,34,NaN,clock,bird,NaN,bird3.png,bird3.png,0.0,-0.123744614,2.0311804,-1.5237622
alexnet_w3_mlp_simclrhn_probe3,1,35,NaN,keyboard,bird,NaN,bird4.png,bird4.png,0.0,-0.19217472,0.71450204,-0.6411173
alexnet_w3_mlp_simclrhn_probe3,1,36,NaN,clock,bird,NaN,bird5.png,bird5.png,0.0,0.15586728,1.0280377,-0.6167176
alexnet_w3_mlp_simclrhn_probe3,1,37,NaN,clock,bird,NaN,bird6.png,bird6.png,0.0,0.04322944,1.3361424,-0.91422755
alexnet_w3_mlp_simclrhn_probe3,1,38,NaN,clock,bird,NaN,bird7.png,bird7.png,0.0,-0.16126694,3.3020391,-2.4489274
alexnet_w3_mlp_simclrhn_probe3,1,39,NaN,clock,bird,NaN,bird8.png,bird8.png,0.0,-0.07828498,1.5214368,-1.1311741
alexnet_w3_mlp_simclrhn_probe3,1,40,NaN,chair,bird,NaN,bird9.png,bird9.png,0.0,0.77965665,0.9073553,-0.09029659
alexnet_w3_mlp_simclrhn_probe3,1,41,NaN,airplane,boat,NaN,boat1.png,boat1.png,0.0,-0.8978764,1.1042659,-1.4157286
alexnet_w3_mlp_simclrhn_probe3,1,42,NaN,clock,boat,NaN,boat10.png,boat10.png,0.0,-0.83009493,2.0124538,-2.0099857
alexnet_w3_mlp_simclrhn_probe3,1,43,NaN,clock,boat,NaN,boat2.png,boat2.png,0.0,-0.67060703,0.79391414,-1.0355729
alexnet_w3_mlp_simclrhn_probe3,1,44,NaN,clock,boat,NaN,boat3.png,boat3.png,0.0,-0.39306593,2.351759,-1.9408844
alexnet_w3_mlp_simclrhn_probe3,1,45,NaN,knife,boat,NaN,boat4.png,boat4.png,0.0,-0.8229825,2.1139827,-2.0767481
