subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet2023_baseline_pgd,1,1,NaN,airplane,airplane,NaN,airplane1.png,airplane1.png,1.0,7.823082,4.5516343,2.313263
alexnet2023_baseline_pgd,1,2,NaN,keyboard,airplane,NaN,airplane10.png,airplane10.png,0.0,0.89224994,4.136479,-2.2940164
alexnet2023_baseline_pgd,1,3,NaN,bicycle,airplane,NaN,airplane2.png,airplane2.png,0.0,3.1311853,5.108501,-1.3981733
alexnet2023_baseline_pgd,1,4,NaN,airplane,airplane,NaN,airplane3.png,airplane3.png,1.0,9.095815,4.5285516,3.2295427
alexnet2023_baseline_pgd,1,5,NaN,bicycle,airplane,NaN,airplane4.png,airplane4.png,0.0,2.6492133,3.3704524,-0.5099931
alexnet2023_baseline_pgd,1,6,NaN,bicycle,airplane,NaN,airplane5.png,airplane5.png,0.0,2.7056143,5.8096647,-2.194895
alexnet2023_baseline_pgd,1,7,NaN,airplane,airplane,NaN,airplane6.png,airplane6.png,1.0,5.0311384,4.8006606,0.16297242
alexnet2023_baseline_pgd,1,8,NaN,knife,airplane,NaN,airplane7.png,airplane7.png,0.0,3.0292194,3.2612379,-0.16406183
alexnet2023_baseline_pgd,1,9,NaN,bicycle,airplane,NaN,airplane8.png,airplane8.png,0.0,3.0791042,4.735873,-1.1715126
alexnet2023_baseline_pgd,1,10,NaN,keyboard,airplane,NaN,airplane9.png,airplane9.png,0.0,2.7940538,7.82113,-3.5546794
alexnet2023_baseline_pgd,1,11,NaN,knife,bear,NaN,bear1.png,bear1.png,0.0,-0.90877956,4.357227,-3.723629
alexnet2023_baseline_pgd,1,12,NaN,clock,bear,NaN,bear10.png,bear10.png,0.0,-1.0245359,3.6956558,-3.3376799
alexnet2023_baseline_pgd,1,13,NaN,bird,bear,NaN,bear2.png,bear2.png,0.0,-0.33792216,5.0262146,-3.7930174
alexnet2023_baseline_pgd,1,14,NaN,knife,bear,NaN,bear3.png,bear3.png,0.0,-0.86452043,8.418222,-6.5638905
alexnet2023_baseline_pgd,1,15,NaN,knife,bear,NaN,bear4.png,bear4.png,0.0,-1.6594133,4.4464893,-4.3175254
alexnet2023_baseline_pgd,1,16,NaN,knife,bear,NaN,bear5.png,bear5.png,0.0,-2.40775,6.4140673,-6.237967
alexnet2023_baseline_pgd,1,17,NaN,knife,bear,NaN,bear6.png,bear6.png,0.0,0.21646489,2.7777426,-1.8110968
alexnet2023_baseline_pgd,1,18,NaN,clock,bear,NaN,bear7.png,bear7.png,0.0,-0.21227625,5.4943175,-4.0351715
alexnet2023_baseline_pgd,1,19,NaN,knife,bear,NaN,bear8.png,bear8.png,0.0,-0.95034385,4.651289,-3.9609528
alexnet2023_baseline_pgd,1,20,NaN,knife,bear,NaN,bear9.png,bear9.png,0.0,0.4718042,5.072647,-3.2532873
alexnet2023_baseline_pgd,1,21,NaN,bicycle,bicycle,NaN,bicycle1.png,bicycle1.png,1.0,14.371607,6.563305,5.521303
alexnet2023_baseline_pgd,1,22,NaN,bicycle,bicycle,NaN,bicycle10.png,bicycle10.png,1.0,8.270291,7.3334475,0.66244864
alexnet2023_baseline_pgd,1,23,NaN,bicycle,bicycle,NaN,bicycle2.png,bicycle2.png,1.0,10.153882,5.882681,3.0201952
alexnet2023_baseline_pgd,1,24,NaN,bicycle,bicycle,NaN,bicycle3.png,bicycle3.png,1.0,9.909075,4.3393755,3.9383721
alexnet2023_baseline_pgd,1,25,NaN,bicycle,bicycle,NaN,bicycle4.png,bicycle4.png,1.0,9.136929,6.1629972,2.102887
alexnet2023_baseline_pgd,1,26,NaN,bicycle,bicycle,NaN,bicycle5.png,bicycle5.png,1.0,10.250169,6.05004,2.9699397
alexnet2023_baseline_pgd,1,27,NaN,bicycle,bicycle,NaN,bicycle6.png,bicycle6.png,1.0,7.04727,5.3772616,1.1808741
alexnet2023_baseline_pgd,1,28,NaN,bicycle,bicycle,NaN,bicycle7.png,bicycle7.png,1.0,13.197205,7.522307,4.0127587
alexnet2023_baseline_pgd,1,29,NaN,bicycle,bicycle,NaN,bicycle8.png,bicycle8.png,1.0,12.2098465,8.321881,2.7492065
alexnet2023_baseline_pgd,1,30,NaN,bicycle,bicycle,NaN,bicycle9.png,bicycle9.png,1.0,11.866448,6.729037,3.6326985
alexnet2023_baseline_pgd,1,31,NaN,clock,bird,NaN,bird1.png,bird1.png,0.0,0.64971256,5.2901406,-3.2812781
alexnet2023_baseline_pgd,1,32,NaN,knife,bird,NaN,bird10.png,bird10.png,0.0,2.4711251,5.078962,-1.844019
alexnet2023_baseline_pgd,1,33,NaN,clock,bird,NaN,bird2.png,bird2.png,0.0,1.3516316,3.955185,-1.8409902
alexnet2023_baseline_pgd,1,34,NaN,clock,bird,NaN,bird3.png,bird3.png,0.0,0.6643291,3.5183704,-2.018112
alexnet2023_baseline_pgd,1,35,NaN,knife,bird,NaN,bird4.png,bird4.png,0.0,1.7660768,5.4133325,-2.5789993
alexnet2023_baseline_pgd,1,36,NaN,chair,bird,NaN,bird5.png,bird5.png,0.0,3.2689633,3.4862168,-0.15362139
alexnet2023_baseline_pgd,1,37,NaN,knife,bird,NaN,bird6.png,bird6.png,0.0,5.400428,5.410145,-0.006870948
alexnet2023_baseline_pgd,1,38,NaN,clock,bird,NaN,bird7.png,bird7.png,0.0,0.9685445,6.8680477,-4.171579
alexnet2023_baseline_pgd,1,39,NaN,chair,bird,NaN,bird8.png,bird8.png,0.0,1.6345663,3.9784803,-1.6573975
alexnet2023_baseline_pgd,1,40,NaN,chair,bird,NaN,bird9.png,bird9.png,0.0,2.8868456,5.4856615,-1.8376404
alexnet2023_baseline_pgd,1,41,NaN,car,boat,NaN,boat1.png,boat1.png,0.0,-0.29070124,1.828633,-1.4985956
alexnet2023_baseline_pgd,1,42,NaN,clock,boat,NaN,boat10.png,boat10.png,0.0,-1.0545896,4.3589635,-3.8279603
alexnet2023_baseline_pgd,1,43,NaN,knife,boat,NaN,boat2.png,boat2.png,0.0,-2.4622965,2.3359604,-3.39288
alexnet2023_baseline_pgd,1,44,NaN,car,boat,NaN,boat3.png,boat3.png,0.0,2.3959346,6.3875923,-2.8225284
alexnet2023_baseline_pgd,1,45,NaN,car,boat,NaN,boat4.png,boat4.png,0.0,0.6200284,4.6678944,-2.8622735
alexnet2023_baseline_pgd,1,46,NaN,clock,boat,NaN,boat5.png,boat5.png,0.0,0.8566448,3.553054,-1.9066492
alexnet2023_baseline_pgd,1,47,NaN,clock,boat,NaN,boat6.png,boat6.png,0.0,-0.9956564,4.504494,-3.889194
alexnet2023_baseline_pgd,1,48,NaN,clock,boat,NaN,boat7.png,boat7.png,0.0,2.5745938,7.7855716,-3.6847177
alexnet2023_baseline_pgd,1,49,NaN,knife,boat,NaN,boat8.png,boat8.png,0.0,1.393664,3.34471,-1.3795979
alexnet2023_baseline_pgd,1,50,NaN,bird,boat,NaN,boat9.png,boat9.png,0.0,-1.0708315,3.291019,-3.0842943
