subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
bagnet33,1,1,NaN,clock,airplane,NaN,airplane1.png,airplane1.png,0.0,-3.552429,7.5460696,-7.8478236
bagnet33,1,2,NaN,clock,airplane,NaN,airplane10.png,airplane10.png,0.0,-4.928999,5.46427,-7.3491507
bagnet33,1,3,NaN,clock,airplane,NaN,airplane2.png,airplane2.png,0.0,-6.748449,5.846208,-8.905767
bagnet33,1,4,NaN,clock,airplane,NaN,airplane3.png,airplane3.png,0.0,-2.630426,4.6085734,-5.118746
bagnet33,1,5,NaN,clock,airplane,NaN,airplane4.png,airplane4.png,0.0,-5.7842274,4.77747,-7.468248
bagnet33,1,6,NaN,clock,airplane,NaN,airplane5.png,airplane5.png,0.0,-10.571943,11.929059,-15.910612
bagnet33,1,7,NaN,clock,airplane,NaN,airplane6.png,airplane6.png,0.0,-4.371671,6.0167847,-7.345748
bagnet33,1,8,NaN,clock,airplane,NaN,airplane7.png,airplane7.png,0.0,-4.776836,8.312889,-9.255834
bagnet33,1,9,NaN,clock,airplane,NaN,airplane8.png,airplane8.png,0.0,-5.630475,10.215488,-11.204788
bagnet33,1,10,NaN,clock,airplane,NaN,airplane9.png,airplane9.png,0.0,-7.2413855,7.7940955,-10.63169
bagnet33,1,11,NaN,clock,bear,NaN,bear1.png,bear1.png,0.0,1.1104046,12.379123,-7.968187
bagnet33,1,12,NaN,clock,bear,NaN,bear10.png,bear10.png,0.0,-0.8755946,9.835804,-7.574103
bagnet33,1,13,NaN,clock,bear,NaN,bear2.png,bear2.png,0.0,-0.031837106,14.585976,-10.336355
bagnet33,1,14,NaN,clock,bear,NaN,bear3.png,bear3.png,0.0,-1.4658214,12.652108,-9.982883
bagnet33,1,15,NaN,clock,bear,NaN,bear4.png,bear4.png,0.0,2.0565104,8.872958,-4.8199563
bagnet33,1,16,NaN,clock,bear,NaN,bear5.png,bear5.png,0.0,-0.67788243,13.648358,-10.130182
bagnet33,1,17,NaN,clock,bear,NaN,bear6.png,bear6.png,0.0,0.6082536,13.143729,-8.86392
bagnet33,1,18,NaN,clock,bear,NaN,bear7.png,bear7.png,0.0,2.187647,15.165188,-9.176507
bagnet33,1,19,NaN,clock,bear,NaN,bear8.png,bear8.png,0.0,0.63577545,14.762013,-9.988759
bagnet33,1,20,NaN,clock,bear,NaN,bear9.png,bear9.png,0.0,1.891122,13.7315855,-8.372472
bagnet33,1,21,NaN,clock,bicycle,NaN,bicycle1.png,bicycle1.png,0.0,-3.3445423,13.14416,-11.659274
bagnet33,1,22,NaN,clock,bicycle,NaN,bicycle10.png,bicycle10.png,0.0,-3.2045946,14.356586,-12.41763
bagnet33,1,23,NaN,clock,bicycle,NaN,bicycle2.png,bicycle2.png,0.0,-5.2426305,10.129758,-10.869921
bagnet33,1,24,NaN,clock,bicycle,NaN,bicycle3.png,bicycle3.png,0.0,-4.4342275,11.846164,-11.511975
bagnet33,1,25,NaN,clock,bicycle,NaN,bicycle4.png,bicycle4.png,0.0,-3.5919154,15.198474,-13.286813
bagnet33,1,26,NaN,clock,bicycle,NaN,bicycle5.png,bicycle5.png,0.0,-4.364544,13.102857,-12.351316
bagnet33,1,27,NaN,clock,bicycle,NaN,bicycle6.png,bicycle6.png,0.0,-2.492398,10.767757,-9.376347
bagnet33,1,28,NaN,clock,bicycle,NaN,bicycle7.png,bicycle7.png,0.0,-3.8093543,15.473736,-13.635204
bagnet33,1,29,NaN,clock,bicycle,NaN,bicycle8.png,bicycle8.png,0.0,-4.0385313,16.468542,-14.50069
bagnet33,1,30,NaN,clock,bicycle,NaN,bicycle9.png,bicycle9.png,0.0,-4.8289776,15.634463,-14.469837
bagnet33,1,31,NaN,clock,bird,NaN,bird1.png,bird1.png,0.0,0.626096,10.206296,-6.7742248
bagnet33,1,32,NaN,clock,bird,NaN,bird10.png,bird10.png,0.0,1.3111968,12.776151,-8.106947
bagnet33,1,33,NaN,clock,bird,NaN,bird2.png,bird2.png,0.0,2.042846,14.7043295,-8.953021
bagnet33,1,34,NaN,clock,bird,NaN,bird3.png,bird3.png,0.0,0.43282446,6.7368073,-4.457589
bagnet33,1,35,NaN,clock,bird,NaN,bird4.png,bird4.png,0.0,2.408293,11.122211,-6.161671
bagnet33,1,36,NaN,clock,bird,NaN,bird5.png,bird5.png,0.0,2.3596246,11.325676,-6.339956
bagnet33,1,37,NaN,clock,bird,NaN,bird6.png,bird6.png,0.0,2.1650784,12.3237,-7.1832304
bagnet33,1,38,NaN,clock,bird,NaN,bird7.png,bird7.png,0.0,-0.7922832,6.9591813,-5.481113
bagnet33,1,39,NaN,clock,bird,NaN,bird8.png,bird8.png,0.0,1.0524212,11.228141,-7.19532
bagnet33,1,40,NaN,clock,bird,NaN,bird9.png,bird9.png,0.0,0.12586637,9.887195,-6.902302
bagnet33,1,41,NaN,clock,boat,NaN,boat1.png,boat1.png,0.0,-3.2641501,5.866922,-6.456643
bagnet33,1,42,NaN,clock,boat,NaN,boat10.png,boat10.png,0.0,-5.5295463,6.3833957,-8.423722
bagnet33,1,43,NaN,clock,boat,NaN,boat2.png,boat2.png,0.0,-4.592034,7.5116134,-8.558571
bagnet33,1,44,NaN,keyboard,boat,NaN,boat3.png,boat3.png,0.0,-5.990693,5.1341805,-7.866474
bagnet33,1,45,NaN,clock,boat,NaN,boat4.png,boat4.png,0.0,-3.2596009,4.9547353,-5.808413
bagnet33,1,46,NaN,clock,boat,NaN,boat5.png,boat5.png,0.0,-7.2874365,15.803558,-16.3278
bagnet33,1,47,NaN,clock,boat,NaN,boat6.png,boat6.png,0.0,-3.4570591,14.607219,-12.773374
bagnet33,1,48,NaN,clock,boat,NaN,boat7.png,boat7.png,0.0,-2.4238563,7.595188,-7.0845346
bagnet33,1,49,NaN,clock,boat,NaN,boat8.png,boat8.png,0.0,-5.032872,8.598346,-9.638727
bagnet33,1,50,NaN,clock,boat,NaN,boat9.png,boat9.png,0.0,-7.1782365,11.180225,-12.981393
bagnet33,1,51,NaN,cat,bottle,NaN,bottle1.png,bottle1.png,0.0,-2.0867288,8.441823,-7.444811
bagnet33,1,52,NaN,clock,bottle,NaN,bottle10.png,bottle10.png,0.0,0.104428224,8.026294,-5.601605
bagnet33,1,53,NaN,cat,bottle,NaN,bottle2.png,bottle2.png,0.0,-0.7477665,5.9038696,-4.7034173
bagnet33,1,54,NaN,cat,bottle,NaN,bottle3.png,bottle3.png,0.0,-1.5887471,7.425459,-6.3740063
bagnet33,1,55,NaN,clock,bottle,NaN,bottle4.png,bottle4.png,0.0,-1.7529345,6.7773566,-6.0318265
bagnet33,1,56,NaN,clock,bottle,NaN,bottle5.png,bottle5.png,0.0,-0.043325286,6.328131,-4.5053
bagnet33,1,57,NaN,clock,bottle,NaN,bottle6.png,bottle6.png,0.0,0.08815745,6.9450684,-4.848568
bagnet33,1,58,NaN,clock,bottle,NaN,bottle7.png,bottle7.png,0.0,-0.76701576,10.185764,-7.744785
bagnet33,1,59,NaN,clock,bottle,NaN,bottle8.png,bottle8.png,0.0,0.59323823,8.590374,-5.654829
bagnet33,1,60,NaN,clock,bottle,NaN,bottle9.png,bottle9.png,0.0,0.71870756,8.968566,-5.8335314
bagnet33,1,61,NaN,clock,car,NaN,car1.png,car1.png,0.0,-7.2078977,10.788167,-12.72514
bagnet33,1,62,NaN,clock,car,NaN,car10.png,car10.png,0.0,-5.0225215,5.160683,-7.200613
bagnet33,1,63,NaN,clock,car,NaN,car2.png,car2.png,0.0,-5.78865,6.4389057,-8.646188
bagnet33,1,64,NaN,clock,car,NaN,car3.png,car3.png,0.0,-4.3645334,6.000492,-7.32918
bagnet33,1,65,NaN,clock,car,NaN,car4.png,car4.png,0.0,-8.818784,12.097168,-14.789811
bagnet33,1,66,NaN,clock,car,NaN,car5.png,car5.png,0.0,-7.521462,9.841308,-12.277332
bagnet33,1,67,NaN,clock,car,NaN,car6.png,car6.png,0.0,-6.101835,10.900592,-12.022531
bagnet33,1,68,NaN,clock,car,NaN,car7.png,car7.png,0.0,-7.1748443,9.215312,-11.58959
bagnet33,1,69,NaN,clock,car,NaN,car8.png,car8.png,0.0,-5.8131213,8.285174,-9.969
bagnet33,1,70,NaN,clock,car,NaN,car9.png,car9.png,0.0,-5.9829755,10.761079,-11.839835
bagnet33,1,71,NaN,clock,cat,NaN,cat1.png,cat1.png,0.0,8.780372,14.759604,-4.2279563
bagnet33,1,72,NaN,clock,cat,NaN,cat10.png,cat10.png,0.0,8.271461,9.335858,-0.7526429
bagnet33,1,73,NaN,clock,cat,NaN,cat2.png,cat2.png,0.0,9.840662,12.313113,-1.7482871
bagnet33,1,74,NaN,clock,cat,NaN,cat3.png,cat3.png,0.0,7.8035107,11.254687,-2.4403505
bagnet33,1,75,NaN,clock,cat,NaN,cat4.png,cat4.png,0.0,6.4590473,10.729774,-3.0198603
bagnet33,1,76,NaN,clock,cat,NaN,cat5.png,cat5.png,0.0,8.739427,11.238355,-1.767009
bagnet33,1,77,NaN,clock,cat,NaN,cat6.png,cat6.png,0.0,8.455161,14.325559,-4.150998
bagnet33,1,78,NaN,clock,cat,NaN,cat7.png,cat7.png,0.0,9.193389,12.384869,-2.256717
bagnet33,1,79,NaN,clock,cat,NaN,cat8.png,cat8.png,0.0,6.557503,12.173207,-3.9709024
