subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
resnet50,1,1,NaN,knife,airplane,NaN,airplane1.png,airplane1.png,0.0,-1.8043642,3.471232,-3.7304099
resnet50,1,2,NaN,knife,airplane,NaN,airplane10.png,airplane10.png,0.0,-2.202612,4.0334597,-4.409569
resnet50,1,3,NaN,knife,airplane,NaN,airplane2.png,airplane2.png,0.0,-2.029496,3.7724233,-4.1025763
resnet50,1,4,NaN,knife,airplane,NaN,airplane3.png,airplane3.png,0.0,-1.3237648,2.749978,-2.8805714
resnet50,1,5,NaN,knife,airplane,NaN,airplane4.png,airplane4.png,0.0,-1.6287482,3.7962937,-3.8360841
resnet50,1,6,NaN,knife,airplane,NaN,airplane5.png,airplane5.png,0.0,-0.8774529,2.846583,-2.633291
resnet50,1,7,NaN,knife,airplane,NaN,airplane6.png,airplane6.png,0.0,-1.5829245,4.424175,-4.2476606
resnet50,1,8,NaN,knife,airplane,NaN,airplane7.png,airplane7.png,0.0,-2.2372446,3.354124,-3.9536948
resnet50,1,9,NaN,knife,airplane,NaN,airplane8.png,airplane8.png,0.0,-2.029408,3.5471303,-3.943208
resnet50,1,10,NaN,knife,airplane,NaN,airplane9.png,airplane9.png,0.0,-1.2353011,3.782424,-3.5480673
resnet50,1,11,NaN,knife,bear,NaN,bear1.png,bear1.png,0.0,0.8252516,4.3581085,-2.4981072
resnet50,1,12,NaN,knife,bear,NaN,bear10.png,bear10.png,0.0,0.7862824,4.4347343,-2.579845
resnet50,1,13,NaN,knife,bear,NaN,bear2.png,bear2.png,0.0,0.97743887,4.3968706,-2.4179034
resnet50,1,14,NaN,knife,bear,NaN,bear3.png,bear3.png,0.0,1.1218424,4.6102324,-2.4666643
resnet50,1,15,NaN,knife,bear,NaN,bear4.png,bear4.png,0.0,-0.20497191,4.996916,-3.6782901
resnet50,1,16,NaN,knife,bear,NaN,bear5.png,bear5.png,0.0,1.0808228,4.901038,-2.7013001
resnet50,1,17,NaN,knife,bear,NaN,bear6.png,bear6.png,0.0,0.94559354,5.5444784,-3.2519028
resnet50,1,18,NaN,knife,bear,NaN,bear7.png,bear7.png,0.0,1.3237457,4.8735247,-2.5100727
resnet50,1,19,NaN,knife,bear,NaN,bear8.png,bear8.png,0.0,1.023132,5.2266827,-2.9723594
resnet50,1,20,NaN,knife,bear,NaN,bear9.png,bear9.png,0.0,1.7480022,4.977689,-2.2837334
resnet50,1,21,NaN,knife,bicycle,NaN,bicycle1.png,bicycle1.png,0.0,0.81306064,4.191618,-2.3890007
resnet50,1,22,NaN,knife,bicycle,NaN,bicycle10.png,bicycle10.png,0.0,0.37616694,4.121863,-2.6486073
resnet50,1,23,NaN,knife,bicycle,NaN,bicycle2.png,bicycle2.png,0.0,0.008637078,4.3069744,-3.0393836
resnet50,1,24,NaN,knife,bicycle,NaN,bicycle3.png,bicycle3.png,0.0,-0.15989114,3.324894,-2.4641151
resnet50,1,25,NaN,knife,bicycle,NaN,bicycle4.png,bicycle4.png,0.0,-0.09180343,3.1988554,-2.3268473
resnet50,1,26,NaN,clock,bicycle,NaN,bicycle5.png,bicycle5.png,0.0,0.44197413,4.6729608,-2.9917593
resnet50,1,27,NaN,knife,bicycle,NaN,bicycle6.png,bicycle6.png,0.0,1.2472818,5.0014596,-2.6546047
resnet50,1,28,NaN,clock,bicycle,NaN,bicycle7.png,bicycle7.png,0.0,0.36207223,3.735693,-2.3855102
resnet50,1,29,NaN,knife,bicycle,NaN,bicycle8.png,bicycle8.png,0.0,0.30065644,3.9542348,-2.58347
resnet50,1,30,NaN,clock,bicycle,NaN,bicycle9.png,bicycle9.png,0.0,0.6306635,3.6638877,-2.1448133
resnet50,1,31,NaN,knife,bird,NaN,bird1.png,bird1.png,0.0,-0.11824941,4.59727,-3.3343759
resnet50,1,32,NaN,knife,bird,NaN,bird10.png,bird10.png,0.0,0.56322753,6.2395554,-4.01377
resnet50,1,33,NaN,knife,bird,NaN,bird2.png,bird2.png,0.0,0.8193491,6.211668,-3.8129451
resnet50,1,34,NaN,knife,bird,NaN,bird3.png,bird3.png,0.0,0.3887828,4.395122,-2.8329096
resnet50,1,35,NaN,knife,bird,NaN,bird4.png,bird4.png,0.0,1.2354217,4.9721904,-2.6422946
resnet50,1,36,NaN,knife,bird,NaN,bird5.png,bird5.png,0.0,1.176613,5.2100325,-2.8520584
resnet50,1,37,NaN,knife,bird,NaN,bird6.png,bird6.png,0.0,0.9088633,2.9190192,-1.421395
resnet50,1,38,NaN,knife,bird,NaN,bird7.png,bird7.png,0.0,-0.3322585,3.8527923,-2.9592779
resnet50,1,39,NaN,knife,bird,NaN,bird8.png,bird8.png,0.0,0.9840856,4.3682036,-2.392933
resnet50,1,40,NaN,knife,bird,NaN,bird9.png,bird9.png,0.0,1.6368091,5.0047607,-2.3815014
resnet50,1,41,NaN,knife,boat,NaN,boat1.png,boat1.png,0.0,-1.1056595,6.193201,-5.1610737
resnet50,1,42,NaN,knife,boat,NaN,boat10.png,boat10.png,0.0,-2.2654672,4.324639,-4.659909
resnet50,1,43,NaN,knife,boat,NaN,boat2.png,boat2.png,0.0,-0.90374994,4.691018,-3.9560986
resnet50,1,44,NaN,knife,boat,NaN,boat3.png,boat3.png,0.0,-2.6140792,3.8212352,-4.550454
