subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
simclr_resnet50x1,1,1,NaN,clock,airplane,NaN,airplane1.png,airplane1.png,0.0,0.7915288,2.572045,-1.2590152
simclr_resnet50x1,1,2,NaN,knife,airplane,NaN,airplane10.png,airplane10.png,0.0,-1.2061344,4.0058045,-3.6853974
simclr_resnet50x1,1,3,NaN,knife,airplane,NaN,airplane2.png,airplane2.png,0.0,-2.4397252,3.453037,-4.166812
simclr_resnet50x1,1,4,NaN,knife,airplane,NaN,airplane3.png,airplane3.png,0.0,-1.2102153,3.109378,-3.0544138
simclr_resnet50x1,1,5,NaN,knife,airplane,NaN,airplane4.png,airplane4.png,0.0,-2.3116775,3.7985563,-4.3205876
simclr_resnet50x1,1,6,NaN,knife,airplane,NaN,airplane5.png,airplane5.png,0.0,-0.7055388,3.1017923,-2.6921897
simclr_resnet50x1,1,7,NaN,knife,airplane,NaN,airplane6.png,airplane6.png,0.0,-0.34010512,2.4814432,-1.9951359
simclr_resnet50x1,1,8,NaN,knife,airplane,NaN,airplane7.png,airplane7.png,0.0,-1.633637,3.5904627,-3.6939964
simclr_resnet50x1,1,9,NaN,knife,airplane,NaN,airplane8.png,airplane8.png,0.0,-2.1835456,3.307646,-3.882859
simclr_resnet50x1,1,10,NaN,knife,airplane,NaN,airplane9.png,airplane9.png,0.0,-1.2636276,3.4081073,-3.3034155
simclr_resnet50x1,1,11,NaN,bicycle,bear,NaN,bear1.png,bear1.png,0.0,-0.26220188,1.5116799,-1.2543238
simclr_resnet50x1,1,12,NaN,knife,bear,NaN,bear10.png,bear10.png,0.0,-0.43838343,2.7310393,-2.2411203
simclr_resnet50x1,1,13,NaN,knife,bear,NaN,bear2.png,bear2.png,0.0,-1.1830935,2.4870226,-2.595164
simclr_resnet50x1,1,14,NaN,clock,bear,NaN,bear3.png,bear3.png,0.0,-0.14521495,1.8372887,-1.4018418
simclr_resnet50x1,1,15,NaN,knife,bear,NaN,bear4.png,bear4.png,0.0,-1.2421957,2.8902168,-2.922057
