subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
vit_b_16,1,1,NaN,knife,airplane,NaN,airplane1.png,airplane1.png,0.0,-0.3703373,2.11869,-1.7600081
vit_b_16,1,2,NaN,knife,airplane,NaN,airplane10.png,airplane10.png,0.0,-0.498748,5.4435973,-4.201873
vit_b_16,1,3,NaN,knife,airplane,NaN,airplane2.png,airplane2.png,0.0,-0.4285198,3.2577982,-2.6066206
vit_b_16,1,4,NaN,knife,airplane,NaN,airplane3.png,airplane3.png,0.0,-0.052785248,2.310684,-1.6712251
vit_b_16,1,5,NaN,knife,airplane,NaN,airplane4.png,airplane4.png,0.0,-0.42382056,5.462499,-4.1622567
vit_b_16,1,6,NaN,knife,airplane,NaN,airplane5.png,airplane5.png,0.0,-0.27834648,2.9462411,-2.2801278
vit_b_16,1,7,NaN,knife,airplane,NaN,airplane6.png,airplane6.png,0.0,-0.16787647,3.2326908,-2.4045641
vit_b_16,1,8,NaN,knife,airplane,NaN,airplane7.png,airplane7.png,0.0,-0.28246444,3.6559753,-2.7848976
vit_b_16,1,9,NaN,knife,airplane,NaN,airplane8.png,airplane8.png,0.0,-0.54044914,5.026979,-3.9367661
vit_b_16,1,10,NaN,knife,airplane,NaN,airplane9.png,airplane9.png,0.0,-0.243821,3.9144156,-2.9403174
vit_b_16,1,11,NaN,knife,bear,NaN,bear1.png,bear1.png,0.0,-0.5571305,2.5541766,-2.2000265
vit_b_16,1,12,NaN,knife,bear,NaN,bear10.png,bear10.png,0.0,-0.55647355,2.3850398,-2.079964
vit_b_16,1,13,NaN,knife,bear,NaN,bear2.png,bear2.png,0.0,-0.6253617,2.8421054,-2.4518695
vit_b_16,1,14,NaN,knife,bear,NaN,bear3.png,bear3.png,0.0,-0.40212107,2.1850119,-1.8293793
vit_b_16,1,15,NaN,knife,bear,NaN,bear4.png,bear4.png,0.0,-0.9083531,3.6164746,-3.1995366
vit_b_16,1,16,NaN,knife,bear,NaN,bear5.png,bear5.png,0.0,-0.7483411,2.1263418,-2.0327077
vit_b_16,1,17,NaN,knife,bear,NaN,bear6.png,bear6.png,0.0,-0.4826532,1.8089274,-1.6203923
vit_b_16,1,18,NaN,knife,bear,NaN,bear7.png,bear7.png,0.0,-0.6263275,2.63311,-2.3047705
vit_b_16,1,19,NaN,knife,bear,NaN,bear8.png,bear8.png,0.0,-0.6755072,2.7913384,-2.45143
vit_b_16,1,20,NaN,knife,bear,NaN,bear9.png,bear9.png,0.0,-0.67776984,3.5182624,-2.9670427
vit_b_16,1,21,NaN,knife,bicycle,NaN,bicycle1.png,bicycle1.png,0.0,-0.45689133,2.273119,-1.9304088
vit_b_16,1,22,NaN,knife,bicycle,NaN,bicycle10.png,bicycle10.png,0.0,-0.2375252,2.8061228,-2.1521842
vit_b_16,1,23,NaN,knife,bicycle,NaN,bicycle2.png,bicycle2.png,0.0,-0.6218306,2.6373277,-2.3045728
vit_b_16,1,24,NaN,knife,bicycle,NaN,bicycle3.png,bicycle3.png,0.0,-0.48819357,2.8088317,-2.331349
vit_b_16,1,25,NaN,knife,bicycle,NaN,bicycle4.png,bicycle4.png,0.0,0.11965473,1.8806068,-1.2451811
vit_b_16,1,26,NaN,knife,bicycle,NaN,bicycle5.png,bicycle5.png,0.0,-0.05746168,2.313924,-1.676823
vit_b_16,1,27,NaN,knife,bicycle,NaN,bicycle6.png,bicycle6.png,0.0,-0.78946114,3.3601127,-2.934192
vit_b_16,1,28,NaN,knife,bicycle,NaN,bicycle7.png,bicycle7.png,0.0,0.8985007,2.0078003,-0.7843933
vit_b_16,1,29,NaN,knife,bicycle,NaN,bicycle8.png,bicycle8.png,0.0,-0.26604205,1.9114166,-1.5396959
vit_b_16,1,30,NaN,knife,bicycle,NaN,bicycle9.png,bicycle9.png,0.0,-0.09120156,2.1287146,-1.5697178
vit_b_16,1,31,NaN,knife,bird,NaN,bird1.png,bird1.png,0.0,-0.75384843,3.940229,-3.319214
vit_b_16,1,32,NaN,knife,bird,NaN,bird10.png,bird10.png,0.0,-0.554065,2.6193795,-2.2439642
vit_b_16,1,33,NaN,knife,bird,NaN,bird2.png,bird2.png,0.0,-0.43276647,6.027742,-4.5682693
vit_b_16,1,34,NaN,knife,bird,NaN,bird3.png,bird3.png,0.0,-0.73358995,3.9659462,-3.323074
vit_b_16,1,35,NaN,knife,bird,NaN,bird4.png,bird4.png,0.0,-0.2231778,3.2252192,-2.438385
vit_b_16,1,36,NaN,knife,bird,NaN,bird5.png,bird5.png,0.0,-0.5523481,5.5081534,-4.285422
vit_b_16,1,37,NaN,knife,bird,NaN,bird6.png,bird6.png,0.0,-0.3534992,3.6366887,-2.8214889
vit_b_16,1,38,NaN,knife,bird,NaN,bird7.png,bird7.png,0.0,-0.59714067,4.000041,-3.2506986
vit_b_16,1,39,NaN,knife,bird,NaN,bird8.png,bird8.png,0.0,-0.6938543,3.4826174,-2.9532115
vit_b_16,1,40,NaN,knife,bird,NaN,bird9.png,bird9.png,0.0,-0.5754038,5.3495164,-4.1895514
vit_b_16,1,41,NaN,knife,boat,NaN,boat1.png,boat1.png,0.0,-0.30261564,4.159435,-3.1551461
vit_b_16,1,42,NaN,knife,boat,NaN,boat10.png,boat10.png,0.0,-0.43138313,4.5949364,-3.5541446
vit_b_16,1,43,NaN,knife,boat,NaN,boat2.png,boat2.png,0.0,-0.43362117,4.4014554,-3.4189153
vit_b_16,1,44,NaN,knife,boat,NaN,boat3.png,boat3.png,0.0,-0.5071658,3.6327307,-2.9273489
vit_b_16,1,45,NaN,knife,boat,NaN,boat4.png,boat4.png,0.0,-0.10841955,4.6206064,-3.3439262
vit_b_16,1,46,NaN,knife,boat,NaN,boat5.png,boat5.png,0.0,-0.6729924,2.817549,-2.4681857
vit_b_16,1,47,NaN,knife,boat,NaN,boat6.png,boat6.png,0.0,-0.1272477,3.6582031,-2.676718
vit_b_16,1,48,NaN,knife,boat,NaN,boat7.png,boat7.png,0.0,-0.42567667,3.9135218,-3.068277
vit_b_16,1,49,NaN,knife,boat,NaN,boat8.png,boat8.png,0.0,0.16381384,6.9308324,-4.7850046
vit_b_16,1,50,NaN,knife,boat,NaN,boat9.png,boat9.png,0.0,-0.7440816,2.2121735,-2.090388
vit_b_16,1,51,NaN,bottle,bottle,NaN,bottle1.png,bottle1.png,1.0,3.0907643,3.027193,0.044951636
vit_b_16,1,52,NaN,bottle,bottle,NaN,bottle10.png,bottle10.png,1.0,5.104364,2.3396482,1.9549493
vit_b_16,1,53,NaN,bottle,bottle,NaN,bottle2.png,bottle2.png,1.0,5.145241,2.591217,1.8059676
vit_b_16,1,54,NaN,knife,bottle,NaN,bottle3.png,bottle3.png,0.0,3.596846,3.6711185,-0.052518513
vit_b_16,1,55,NaN,knife,bottle,NaN,bottle4.png,bottle4.png,0.0,3.3815258,4.240112,-0.60711205
vit_b_16,1,56,NaN,bottle,bottle,NaN,bottle5.png,bottle5.png,1.0,4.8186345,3.1485653,1.1809173
vit_b_16,1,57,NaN,knife,bottle,NaN,bottle6.png,bottle6.png,0.0,1.1526911,3.4553683,-1.6282387
vit_b_16,1,58,NaN,bottle,bottle,NaN,bottle7.png,bottle7.png,1.0,5.07463,4.677223,0.2810089
vit_b_16,1,59,NaN,knife,bottle,NaN,bottle8.png,bottle8.png,0.0,4.3692384,5.9556556,-1.1217663
vit_b_16,1,60,NaN,knife,bottle,NaN,bottle9.png,bottle9.png,0.0,2.244505,3.1833868,-0.66388977
vit_b_16,1,61,NaN,knife,car,NaN,car1.png,car1.png,0.0,-0.4251244,3.7484522,-2.9511642
vit_b_16,1,62,NaN,knife,car,NaN,car10.png,car10.png,0.0,-0.8338612,4.152804,-3.526105
vit_b_16,1,63,NaN,knife,car,NaN,car2.png,car2.png,0.0,-0.6625737,5.3556824,-4.25555
vit_b_16,1,64,NaN,knife,car,NaN,car3.png,car3.png,0.0,-0.61444014,4.804257,-3.8315973
vit_b_16,1,65,NaN,knife,car,NaN,car4.png,car4.png,0.0,-0.5932575,3.7776418,-3.0906925
vit_b_16,1,66,NaN,knife,car,NaN,car5.png,car5.png,0.0,-1.0034853,2.910542,-2.7676353
vit_b_16,1,67,NaN,knife,car,NaN,car6.png,car6.png,0.0,-0.72940874,4.9504323,-4.016254
vit_b_16,1,68,NaN,knife,car,NaN,car7.png,car7.png,0.0,-0.7184868,3.7134974,-3.1338859
vit_b_16,1,69,NaN,knife,car,NaN,car8.png,car8.png,0.0,-0.61619925,6.209013,-4.826154
vit_b_16,1,70,NaN,knife,car,NaN,car9.png,car9.png,0.0,-0.5115397,3.622813,-2.9234288
vit_b_16,1,71,NaN,knife,cat,NaN,cat1.png,cat1.png,0.0,-0.47063074,3.6107247,-2.8859541
vit_b_16,1,72,NaN,knife,cat,NaN,cat10.png,cat10.png,0.0,-0.49626955,5.039292,-3.9142332
vit_b_16,1,73,NaN,knife,cat,NaN,cat2.png,cat2.png,0.0,-0.59176296,4.120897,-3.3323538
vit_b_16,1,74,NaN,knife,cat,NaN,cat3.png,cat3.png,0.0,-0.29043987,5.353019,-3.9905283
vit_b_16,1,75,NaN,knife,cat,NaN,cat4.png,cat4.png,0.0,-0.9855227,4.3707933,-3.7874875
vit_b_16,1,76,NaN,knife,cat,NaN,cat5.png,cat5.png,0.0,-0.46150494,2.6266203,-2.1836343
vit_b_16,1,77,NaN,knife,cat,NaN,cat6.png,cat6.png,0.0,-0.6662722,3.371893,-2.855414
vit_b_16,1,78,NaN,knife,cat,NaN,cat7.png,cat7.png,0.0,-0.5875695,2.9203625,-2.4804826
vit_b_16,1,79,NaN,knife,cat,NaN,cat8.png,cat8.png,0.0,-0.6804902,2.8591933,-2.5029342
vit_b_16,1,80,NaN,knife,cat,NaN,cat9.png,cat9.png,0.0,-0.7636567,3.4467657,-2.9772184
vit_b_16,1,81,NaN,knife,chair,NaN,chair1.png,chair1.png,0.0,2.5401416,2.907463,-0.25973552
vit_b_16,1,82,NaN,chair,chair,NaN,chair10.png,chair10.png,1.0,3.8704934,2.8495045,0.7219482
vit_b_16,1,83,NaN,chair,chair,NaN,chair2.png,chair2.png,1.0,4.0897336,1.4512095,1.8657182
vit_b_16,1,84,NaN,chair,chair,NaN,chair3.png,chair3.png,1.0,3.5544887,1.7981906,1.2418903
vit_b_16,1,85,NaN,chair,chair,NaN,chair4.png,chair4.png,1.0,3.7408829,1.7452937,1.4110947
vit_b_16,1,86,NaN,knife,chair,NaN,chair5.png,chair5.png,0.0,2.0850537,2.1877902,-0.07264566
vit_b_16,1,87,NaN,knife,chair,NaN,chair6.png,chair6.png,0.0,1.1560173,4.1164837,-2.093366
vit_b_16,1,88,NaN,chair,chair,NaN,chair7.png,chair7.png,1.0,2.929668,1.5674555,0.96322966
vit_b_16,1,89,NaN,knife,chair,NaN,chair8.png,chair8.png,0.0,3.1312234,4.870686,-1.2299858
vit_b_16,1,90,NaN,knife,chair,NaN,chair9.png,chair9.png,0.0,0.93417215,2.676433,-1.2319646
vit_b_16,1,91,NaN,knife,clock,NaN,clock1.png,clock1.png,0.0,0.9799281,3.0487864,-1.4629039
vit_b_16,1,92,NaN,knife,clock,NaN,clock10.png,clock10.png,0.0,1.8047994,3.4065208,-1.132588
vit_b_16,1,93,NaN,clock,clock,NaN,clock2.png,clock2.png,1.0,6.176998,0.19455414,4.2302265
vit_b_16,1,94,NaN,clock,clock,NaN,clock3.png,clock3.png,1.0,2.8210595,1.3948377,1.008491
vit_b_16,1,95,NaN,knife,clock,NaN,clock4.png,clock4.png,0.0,0.76963824,1.2325464,-0.32732555
vit_b_16,1,96,NaN,clock,clock,NaN,clock5.png,clock5.png,1.0,4.2178574,1.0345091,2.250967
vit_b_16,1,97,NaN,clock,clock,NaN,clock6.png,clock6.png,1.0,6.2047315,0.8473885,3.7882135
vit_b_16,1,98,NaN,clock,clock,NaN,clock7.png,clock7.png,1.0,3.2743537,2.182922,0.77175885
vit_b_16,1,99,NaN,knife,clock,NaN,clock8.png,clock8.png,0.0,2.42355,3.0126302,-0.4165427
vit_b_16,1,100,NaN,clock,clock,NaN,clock9.png,clock9.png,1.0,2.8020718,1.950093,0.60244
vit_b_16,1,101,NaN,knife,dog,NaN,dog1.png,dog1.png,0.0,-0.60291255,2.4347103,-2.1479237
vit_b_16,1,102,NaN,knife,dog,NaN,dog10.png,dog10.png,0.0,-0.4533814,3.3344274,-2.6783853
vit_b_16,1,103,NaN,knife,dog,NaN,dog2.png,dog2.png,0.0,-0.54882276,1.756516,-1.6301208
vit_b_16,1,104,NaN,knife,dog,NaN,dog3.png,dog3.png,0.0,-0.5437591,2.0205736,-1.8132571
vit_b_16,1,105,NaN,knife,dog,NaN,dog4.png,dog4.png,0.0,-0.8377924,4.6421294,-3.8748899
vit_b_16,1,106,NaN,knife,dog,NaN,dog5.png,dog5.png,0.0,-0.60314816,3.1480823,-2.6525207
vit_b_16,1,107,NaN,knife,dog,NaN,dog6.png,dog6.png,0.0,-0.57051384,2.6406784,-2.2706559
vit_b_16,1,108,NaN,knife,dog,NaN,dog7.png,dog7.png,0.0,-0.6565833,3.3504448,-2.833397
vit_b_16,1,109,NaN,knife,dog,NaN,dog8.png,dog8.png,0.0,-0.5362446,3.939102,-3.164548
vit_b_16,1,110,NaN,knife,dog,NaN,dog9.png,dog9.png,0.0,-0.55478173,3.6495228,-2.9728925
vit_b_16,1,111,NaN,knife,elephant,NaN,elephant1.png,elephant1.png,0.0,-0.56051755,2.6032553,-2.2371252
vit_b_16,1,112,NaN,knife,elephant,NaN,elephant10.png,elephant10.png,0.0,-0.2738753,3.2292764,-2.4771023
vit_b_16,1,113,NaN,knife,elephant,NaN,elephant2.png,elephant2.png,0.0,-0.64942056,4.423012,-3.5867515
vit_b_16,1,114,NaN,knife,elephant,NaN,elephant3.png,elephant3.png,0.0,-0.839094,3.350398,-2.9624183
vit_b_16,1,115,NaN,knife,elephant,NaN,elephant4.png,elephant4.png,0.0,-0.6156901,2.6691523,-2.3227344
vit_b_16,1,116,NaN,knife,elephant,NaN,elephant5.png,elephant5.png,0.0,-0.7758011,2.7075129,-2.463075
vit_b_16,1,117,NaN,knife,elephant,NaN,elephant6.png,elephant6.png,0.0,-0.40422857,3.0632002,-2.4518423
vit_b_16,1,118,NaN,knife,elephant,NaN,elephant7.png,elephant7.png,0.0,-0.41911954,3.0924993,-2.4830894
vit_b_16,1,119,NaN,knife,elephant,NaN,elephant8.png,elephant8.png,0.0,-0.67004025,1.6363809,-1.6308862
vit_b_16,1,120,NaN,knife,elephant,NaN,elephant9.png,elephant9.png,0.0,-0.5027755,2.082546,-1.8280983
vit_b_16,1,121,NaN,knife,keyboard,NaN,keyboard1.png,keyboard1.png,0.0,0.79032326,3.7436185,-2.0882952
vit_b_16,1,122,NaN,knife,keyboard,NaN,keyboard10.png,keyboard10.png,0.0,1.2352583,4.07002,-2.0044794
vit_b_16,1,123,NaN,knife,keyboard,NaN,keyboard2.png,keyboard2.png,0.0,1.008428,3.5004182,-1.7621031
vit_b_16,1,124,NaN,knife,keyboard,NaN,keyboard3.png,keyboard3.png,0.0,-0.31976646,5.313455,-3.9832892
vit_b_16,1,125,NaN,knife,keyboard,NaN,keyboard4.png,keyboard4.png,0.0,1.7036054,2.9541883,-0.8842957
vit_b_16,1,126,NaN,keyboard,keyboard,NaN,keyboard5.png,keyboard5.png,1.0,4.4331865,1.0998459,2.3570278
vit_b_16,1,127,NaN,knife,keyboard,NaN,keyboard6.png,keyboard6.png,0.0,0.015921488,3.8187656,-2.6890168
vit_b_16,1,128,NaN,knife,keyboard,NaN,keyboard7.png,keyboard7.png,0.0,2.352241,6.4662185,-2.9090214
vit_b_16,1,129,NaN,knife,keyboard,NaN,keyboard8.png,keyboard8.png,0.0,1.0347477,2.6441002,-1.137984
vit_b_16,1,130,NaN,knife,keyboard,NaN,keyboard9.png,keyboard9.png,0.0,0.38213873,4.893349,-3.1899076
vit_b_16,1,131,NaN,knife,knife,NaN,knife1.png,knife1.png,1.0,4.246079,0.7508599,2.471493
vit_b_16,1,132,NaN,knife,knife,NaN,knife10.png,knife10.png,1.0,5.930962,0.73244625,3.675906
