subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet_w3_mlp_simclrhn_probe1,1,1,NaN,oven,oven,1-10-10,0001_eid_dnn_1-10-10_oven_10_n04111531_17072.png,n04111531_17072.png,1.0,2.5044146,-1.4075072,2.7661464
alexnet_w3_mlp_simclrhn_probe1,1,2,NaN,oven,airplane,16-10-10,0002_eid_dnn_16-10-10_airplane_10_n02690373_4183.png,n02690373_4183.png,0.0,-2.231954,-1.4833256,-0.5293603
alexnet_w3_mlp_simclrhn_probe1,1,3,NaN,oven,car,8-10-10,0003_eid_dnn_8-10-10_car_10_n03100240_1137.png,n03100240_1137.png,0.0,-5.397158,-0.76094997,-3.2782943
alexnet_w3_mlp_simclrhn_probe1,1,4,NaN,clock,clock,2-10-10,0004_eid_dnn_2-10-10_clock_10_n04548280_7083.png,n04548280_7083.png,1.0,0.57115597,-2.0639937,1.8633323
alexnet_w3_mlp_simclrhn_probe1,1,5,NaN,bottle,bottle,2-10-10,0005_eid_dnn_2-10-10_bottle_10_n02823428_7810.png,n02823428_7810.png,1.0,1.1065131,-0.96949524,1.4679596
alexnet_w3_mlp_simclrhn_probe1,1,6,NaN,bear,dog,128-10-10,0006_eid_dnn_128-10-10_dog_10_n02091244_8368.png,n02091244_8368.png,0.0,-3.8495324,-0.73175514,-2.2046015
alexnet_w3_mlp_simclrhn_probe1,1,7,NaN,bicycle,bicycle,1-10-10,0007_eid_dnn_1-10-10_bicycle_10_n02835271_2930.png,n02835271_2930.png,1.0,3.8233635,-0.25366116,2.8828917
alexnet_w3_mlp_simclrhn_probe1,1,8,NaN,cat,knife,4-10-10,0008_eid_dnn_4-10-10_knife_10_n03041632_52848.png,n03041632_52848.png,0.0,-5.827102,-1.7444582,-2.8868654
alexnet_w3_mlp_simclrhn_probe1,1,9,NaN,bottle,bottle,2-10-10,0009_eid_dnn_2-10-10_bottle_10_n02823428_4097.png,n02823428_4097.png,1.0,5.1576853,-2.1242957,5.1491385
alexnet_w3_mlp_simclrhn_probe1,1,10,NaN,dog,dog,8-10-10,0010_eid_dnn_8-10-10_dog_10_n02105641_10264.png,n02105641_10264.png,1.0,0.07278402,-1.2084326,0.905957
alexnet_w3_mlp_simclrhn_probe1,1,11,NaN,oven,boat,8-10-10,0011_eid_dnn_8-10-10_boat_10_n03662601_10278.png,n03662601_10278.png,0.0,-2.8896036,-0.09125032,-1.9787346
alexnet_w3_mlp_simclrhn_probe1,1,12,NaN,oven,truck,32-10-10,0012_eid_dnn_32-10-10_truck_10_n04467665_76958.png,n04467665_76958.png,0.0,-8.279362,-0.55785847,-5.4599276
alexnet_w3_mlp_simclrhn_probe1,1,13,NaN,bear,dog,16-10-10,0013_eid_dnn_16-10-10_dog_10_n02088238_12552.png,n02088238_12552.png,0.0,-2.7403522,-1.6936346,-0.7401411
alexnet_w3_mlp_simclrhn_probe1,1,14,NaN,bear,dog,8-10-10,0014_eid_dnn_8-10-10_dog_10_n02102040_994.png,n02102040_994.png,0.0,-2.8998446,0.5632964,-2.4488106
alexnet_w3_mlp_simclrhn_probe1,1,15,NaN,oven,bear,128-10-10,0015_eid_dnn_128-10-10_bear_10_n02133161_1944.png,n02133161_1944.png,0.0,-1.8226777,-1.3023891,-0.3678996
alexnet_w3_mlp_simclrhn_probe1,1,16,NaN,airplane,car,16-10-10,0016_eid_dnn_16-10-10_car_10_n02814533_43040.png,n02814533_43040.png,0.0,-6.7311187,-2.010291,-3.3381293
alexnet_w3_mlp_simclrhn_probe1,1,17,NaN,oven,oven,128-10-10,0017_eid_dnn_128-10-10_oven_10_n04111531_18592.png,n04111531_18592.png,1.0,-0.37892246,-1.7226359,0.9501489
alexnet_w3_mlp_simclrhn_probe1,1,18,NaN,oven,chair,16-10-10,0018_eid_dnn_16-10-10_chair_10_n02791124_4294.png,n02791124_4294.png,0.0,-5.397474,0.5510085,-4.2062125
alexnet_w3_mlp_simclrhn_probe1,1,19,NaN,oven,knife,32-10-10,0019_eid_dnn_32-10-10_knife_10_n03041632_2630.png,n03041632_2630.png,0.0,-2.7618065,0.4628043,-2.2801442
alexnet_w3_mlp_simclrhn_probe1,1,20,NaN,elephant,elephant,1-10-10,0020_eid_dnn_1-10-10_elephant_10_n02504458_723.png,n02504458_723.png,1.0,9.116543,0.26336622,6.260141
alexnet_w3_mlp_simclrhn_probe1,1,21,NaN,chair,chair,4-10-10,0021_eid_dnn_4-10-10_chair_10_n03376595_6107.png,n03376595_6107.png,1.0,-0.5570047,-1.2328222,0.47787514
alexnet_w3_mlp_simclrhn_probe1,1,22,NaN,oven,clock,32-10-10,0022_eid_dnn_32-10-10_clock_10_n03196217_1337.png,n03196217_1337.png,0.0,-4.748755,0.8556654,-3.9629235
alexnet_w3_mlp_simclrhn_probe1,1,23,NaN,oven,boat,128-10-10,0023_eid_dnn_128-10-10_boat_10_n02951358_9550.png,n02951358_9550.png,0.0,-6.201971,-0.30015978,-4.1732106
