subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet2023_baseline_pgd,1,1,NaN,oven,oven,1-10-10,0001_eid_dnn_1-10-10_oven_10_n04111531_17072.png,n04111531_17072.png,1.0,10.027159,1.8211905,5.8024955
alexnet2023_baseline_pgd,1,2,NaN,elephant,airplane,16-10-10,0002_eid_dnn_16-10-10_airplane_10_n02690373_4183.png,n02690373_4183.png,0.0,2.4562397,3.9862852,-1.0819056
alexnet2023_baseline_pgd,1,3,NaN,car,car,8-10-10,0003_eid_dnn_8-10-10_car_10_n03100240_1137.png,n03100240_1137.png,1.0,3.4464447,2.1783435,0.896683
alexnet2023_baseline_pgd,1,4,NaN,clock,clock,2-10-10,0004_eid_dnn_2-10-10_clock_10_n04548280_7083.png,n04548280_7083.png,1.0,5.9058557,4.4830627,1.0060666
alexnet2023_baseline_pgd,1,5,NaN,bottle,bottle,2-10-10,0005_eid_dnn_2-10-10_bottle_10_n02823428_7810.png,n02823428_7810.png,1.0,6.4485755,5.065797,0.9777722
alexnet2023_baseline_pgd,1,6,NaN,elephant,dog,128-10-10,0006_eid_dnn_128-10-10_dog_10_n02091244_8368.png,n02091244_8368.png,0.0,-1.0286579,2.2417374,-2.3125188
alexnet2023_baseline_pgd,1,7,NaN,bicycle,bicycle,1-10-10,0007_eid_dnn_1-10-10_bicycle_10_n02835271_2930.png,n02835271_2930.png,1.0,7.7233634,4.1916122,2.4973252
alexnet2023_baseline_pgd,1,8,NaN,dog,knife,4-10-10,0008_eid_dnn_4-10-10_knife_10_n03041632_52848.png,n03041632_52848.png,0.0,2.0477016,3.6490822,-1.1323471
alexnet2023_baseline_pgd,1,9,NaN,bottle,bottle,2-10-10,0009_eid_dnn_2-10-10_bottle_10_n02823428_4097.png,n02823428_4097.png,1.0,11.571192,1.6747555,6.9978375
alexnet2023_baseline_pgd,1,10,NaN,dog,dog,8-10-10,0010_eid_dnn_8-10-10_dog_10_n02105641_10264.png,n02105641_10264.png,1.0,4.486317,2.342123,1.5161742
alexnet2023_baseline_pgd,1,11,NaN,airplane,boat,8-10-10,0011_eid_dnn_8-10-10_boat_10_n03662601_10278.png,n03662601_10278.png,0.0,2.8115296,3.8181422,-0.7117826
alexnet2023_baseline_pgd,1,12,NaN,elephant,truck,32-10-10,0012_eid_dnn_32-10-10_truck_10_n04467665_76958.png,n04467665_76958.png,0.0,-2.6424916,4.313573,-4.91868
alexnet2023_baseline_pgd,1,13,NaN,oven,dog,16-10-10,0013_eid_dnn_16-10-10_dog_10_n02088238_12552.png,n02088238_12552.png,0.0,1.2426097,2.331304,-0.76982313
alexnet2023_baseline_pgd,1,14,NaN,bear,dog,8-10-10,0014_eid_dnn_8-10-10_dog_10_n02102040_994.png,n02102040_994.png,0.0,4.019544,6.2383733,-1.5689492
alexnet2023_baseline_pgd,1,15,NaN,elephant,bear,128-10-10,0015_eid_dnn_128-10-10_bear_10_n02133161_1944.png,n02133161_1944.png,0.0,1.8899908,3.895511,-1.4181169
alexnet2023_baseline_pgd,1,16,NaN,elephant,car,16-10-10,0016_eid_dnn_16-10-10_car_10_n02814533_43040.png,n02814533_43040.png,0.0,-0.121742345,3.0848544,-2.2674062
alexnet2023_baseline_pgd,1,17,NaN,elephant,oven,128-10-10,0017_eid_dnn_128-10-10_oven_10_n04111531_18592.png,n04111531_18592.png,0.0,0.51572645,2.5749516,-1.456092
alexnet2023_baseline_pgd,1,18,NaN,oven,chair,16-10-10,0018_eid_dnn_16-10-10_chair_10_n02791124_4294.png,n02791124_4294.png,0.0,-0.44269726,5.7714686,-4.3940787
alexnet2023_baseline_pgd,1,19,NaN,oven,knife,32-10-10,0019_eid_dnn_32-10-10_knife_10_n03041632_2630.png,n03041632_2630.png,0.0,-1.4587142,2.8931913,-3.0772622
alexnet2023_baseline_pgd,1,20,NaN,elephant,elephant,1-10-10,0020_eid_dnn_1-10-10_elephant_10_n02504458_723.png,n02504458_723.png,1.0,22.286217,3.6714115,13.162655
alexnet2023_baseline_pgd,1,21,NaN,airplane,chair,4-10-10,0021_eid_dnn_4-10-10_chair_10_n03376595_6107.png,n03376595_6107.png,0.0,4.2139854,4.3705635,-0.110717416
alexnet2023_baseline_pgd,1,22,NaN,clock,clock,32-10-10,0022_eid_dnn_32-10-10_clock_10_n03196217_1337.png,n03196217_1337.png,1.0,1.5406885,1.2591155,0.19910222
alexnet2023_baseline_pgd,1,23,NaN,oven,boat,128-10-10,0023_eid_dnn_128-10-10_boat_10_n02951358_9550.png,n02951358_9550.png,0.0,-1.5771914,2.4881427,-2.8746254
