subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
bagnet33,1,1,NaN,oven,oven,1-10-10,0001_eid_dnn_1-10-10_oven_10_n04111531_17072.png,n04111531_17072.png,1.0,7.9090714,2.8463275,3.5799007
bagnet33,1,2,NaN,bear,airplane,16-10-10,0002_eid_dnn_16-10-10_airplane_10_n02690373_4183.png,n02690373_4183.png,0.0,-0.6561696,2.5461879,-2.2644088
bagnet33,1,3,NaN,bottle,car,8-10-10,0003_eid_dnn_8-10-10_car_10_n03100240_1137.png,n03100240_1137.png,0.0,-2.2390358,2.054842,-3.03623
bagnet33,1,4,NaN,clock,clock,2-10-10,0004_eid_dnn_2-10-10_clock_10_n04548280_7083.png,n04548280_7083.png,1.0,9.173878,2.9994843,4.365956
bagnet33,1,5,NaN,bottle,bottle,2-10-10,0005_eid_dnn_2-10-10_bottle_10_n02823428_7810.png,n02823428_7810.png,1.0,9.266563,4.320823,3.4971664
bagnet33,1,6,NaN,elephant,dog,128-10-10,0006_eid_dnn_128-10-10_dog_10_n02091244_8368.png,n02091244_8368.png,0.0,2.0764427,5.560042,-2.4632766
bagnet33,1,7,NaN,bicycle,bicycle,1-10-10,0007_eid_dnn_1-10-10_bicycle_10_n02835271_2930.png,n02835271_2930.png,1.0,5.414097,3.2110748,1.5577718
bagnet33,1,8,NaN,cat,knife,4-10-10,0008_eid_dnn_4-10-10_knife_10_n03041632_52848.png,n03041632_52848.png,0.0,1.8218076,3.9327,-1.4926263
bagnet33,1,9,NaN,bottle,bottle,2-10-10,0009_eid_dnn_2-10-10_bottle_10_n02823428_4097.png,n02823428_4097.png,1.0,10.830576,4.426489,4.5283732
bagnet33,1,10,NaN,dog,dog,8-10-10,0010_eid_dnn_8-10-10_dog_10_n02105641_10264.png,n02105641_10264.png,1.0,4.375378,2.1303914,1.5874454
bagnet33,1,11,NaN,elephant,boat,8-10-10,0011_eid_dnn_8-10-10_boat_10_n03662601_10278.png,n03662601_10278.png,0.0,0.47064638,2.5879285,-1.4971446
bagnet33,1,12,NaN,elephant,truck,32-10-10,0012_eid_dnn_32-10-10_truck_10_n04467665_76958.png,n04467665_76958.png,0.0,-1.4090123,2.3189006,-2.6360326
bagnet33,1,13,NaN,oven,dog,16-10-10,0013_eid_dnn_16-10-10_dog_10_n02088238_12552.png,n02088238_12552.png,0.0,0.6287599,2.5577304,-1.3639882
bagnet33,1,14,NaN,knife,dog,8-10-10,0014_eid_dnn_8-10-10_dog_10_n02102040_994.png,n02102040_994.png,0.0,-0.7513404,3.1647177,-2.7690713
bagnet33,1,15,NaN,elephant,bear,128-10-10,0015_eid_dnn_128-10-10_bear_10_n02133161_1944.png,n02133161_1944.png,0.0,1.4084617,5.1098022,-2.617243
bagnet33,1,16,NaN,dog,car,16-10-10,0016_eid_dnn_16-10-10_car_10_n02814533_43040.png,n02814533_43040.png,0.0,-3.8333771,1.9392403,-4.0818567
bagnet33,1,17,NaN,elephant,oven,128-10-10,0017_eid_dnn_128-10-10_oven_10_n04111531_18592.png,n04111531_18592.png,0.0,-0.43764707,3.6450162,-2.8868787
bagnet33,1,18,NaN,elephant,chair,16-10-10,0018_eid_dnn_16-10-10_chair_10_n02791124_4294.png,n02791124_4294.png,0.0,-0.7426065,2.152401,-2.0470796
bagnet33,1,19,NaN,cat,knife,32-10-10,0019_eid_dnn_32-10-10_knife_10_n03041632_2630.png,n03041632_2630.png,0.0,-0.24571675,4.0931687,-3.0680554
bagnet33,1,20,NaN,elephant,elephant,1-10-10,0020_eid_dnn_1-10-10_elephant_10_n02504458_723.png,n02504458_723.png,1.0,19.510221,2.7656763,11.840181
bagnet33,1,21,NaN,boat,chair,4-10-10,0021_eid_dnn_4-10-10_chair_10_n03376595_6107.png,n03376595_6107.png,0.0,1.9638162,2.160057,-0.13876328
bagnet33,1,22,NaN,cat,clock,32-10-10,0022_eid_dnn_32-10-10_clock_10_n03196217_1337.png,n03196217_1337.png,0.0,-0.7964506,2.824136,-2.5601413
bagnet33,1,23,NaN,elephant,boat,128-10-10,0023_eid_dnn_128-10-10_boat_10_n02951358_9550.png,n02951358_9550.png,0.0,-1.3876727,3.662043,-3.5706885
bagnet33,1,24,NaN,bottle,bird,128-10-10,0024_eid_dnn_128-10-10_bird_10_n01616318_2334.png,n01616318_2334.png,0.0,-1.5084431,4.3901715,-4.170951
bagnet33,1,25,NaN,knife,bottle,32-10-10,0025_eid_dnn_32-10-10_bottle_10_n03937543_1658.png,n03937543_1658.png,0.0,3.0767882,4.1180773,-0.7363026
bagnet33,1,26,NaN,elephant,elephant,2-10-10,0026_eid_dnn_2-10-10_elephant_10_n02504013_6731.png,n02504013_6731.png,1.0,5.7310963,2.6204877,2.1995325
bagnet33,1,27,NaN,keyboard,keyboard,4-10-10,0027_eid_dnn_4-10-10_keyboard_10_n04505470_4447.png,n04505470_4447.png,1.0,36.353317,7.653506,20.293833
bagnet33,1,28,NaN,airplane,airplane,1-10-10,0028_eid_dnn_1-10-10_airplane_10_n02690373_4839.png,n02690373_4839.png,1.0,15.873627,2.865236,9.198321
bagnet33,1,29,NaN,knife,keyboard,64-10-10,0029_eid_dnn_64-10-10_keyboard_10_n04505470_1651.png,n04505470_1651.png,0.0,-0.06680578,2.4067597,-1.749075
bagnet33,1,30,NaN,cat,keyboard,32-10-10,0030_eid_dnn_32-10-10_keyboard_10_n03085013_20601.png,n03085013_20601.png,0.0,0.81612283,3.3890867,-1.8193603
bagnet33,1,31,NaN,bottle,airplane,64-10-10,0031_eid_dnn_64-10-10_airplane_10_n02690373_2217.png,n02690373_2217.png,0.0,-0.9587612,3.6207526,-3.2382052
bagnet33,1,32,NaN,knife,bicycle,4-10-10,0032_eid_dnn_4-10-10_bicycle_10_n03792782_25019.png,n03792782_25019.png,0.0,0.15348774,3.2357287,-2.1794736
bagnet33,1,33,NaN,knife,cat,8-10-10,0033_eid_dnn_8-10-10_cat_10_n02123597_13890.png,n02123597_13890.png,0.0,0.5363061,3.4833024,-2.083841
bagnet33,1,34,NaN,airplane,boat,1-10-10,0034_eid_dnn_1-10-10_boat_10_n04612504_214.png,n04612504_214.png,0.0,5.7634296,7.3793354,-1.142618
bagnet33,1,35,NaN,elephant,chair,128-10-10,0035_eid_dnn_128-10-10_chair_10_n02791124_2555.png,n02791124_2555.png,0.0,-0.16646215,3.9894953,-2.9387057
bagnet33,1,36,NaN,truck,car,4-10-10,0036_eid_dnn_4-10-10_car_10_n04285008_2081.png,n04285008_2081.png,0.0,0.9338471,1.6941731,-0.53763163
bagnet33,1,37,NaN,dog,dog,32-10-10,0037_eid_dnn_32-10-10_dog_10_n02094114_8202.png,n02094114_8202.png,1.0,2.9121346,1.493595,1.003059
bagnet33,1,38,NaN,knife,chair,64-10-10,0038_eid_dnn_64-10-10_chair_10_n04099969_4541.png,n04099969_4541.png,0.0,-0.5577321,2.8610115,-2.4174168
bagnet33,1,39,NaN,knife,boat,128-10-10,0039_eid_dnn_128-10-10_boat_10_n04612504_12864.png,n04612504_12864.png,0.0,-1.3262751,2.791329,-2.911586
bagnet33,1,40,NaN,knife,airplane,4-10-10,0040_eid_dnn_4-10-10_airplane_10_n02690373_18460.png,n02690373_18460.png,0.0,1.379902,2.4250371,-0.73902214
