subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
resnet50,1,1,NaN,oven,oven,1-10-10,0001_eid_dnn_1-10-10_oven_10_n04111531_17072.png,n04111531_17072.png,1.0,13.280354,2.241836,7.8054104
resnet50,1,2,NaN,boat,airplane,16-10-10,0002_eid_dnn_16-10-10_airplane_10_n02690373_4183.png,n02690373_4183.png,0.0,1.6709614,4.395281,-1.9263848
resnet50,1,3,NaN,boat,car,8-10-10,0003_eid_dnn_8-10-10_car_10_n03100240_1137.png,n03100240_1137.png,0.0,-0.07029601,1.8381922,-1.3495051
resnet50,1,4,NaN,clock,clock,2-10-10,0004_eid_dnn_2-10-10_clock_10_n04548280_7083.png,n04548280_7083.png,1.0,11.798184,2.9674468,6.244275
resnet50,1,5,NaN,bottle,bottle,2-10-10,0005_eid_dnn_2-10-10_bottle_10_n02823428_7810.png,n02823428_7810.png,1.0,6.940414,3.239777,2.6167455
resnet50,1,6,NaN,elephant,dog,128-10-10,0006_eid_dnn_128-10-10_dog_10_n02091244_8368.png,n02091244_8368.png,0.0,0.39712265,1.727978,-0.94105685
resnet50,1,7,NaN,bicycle,bicycle,1-10-10,0007_eid_dnn_1-10-10_bicycle_10_n02835271_2930.png,n02835271_2930.png,1.0,18.96612,1.7957976,12.141252
resnet50,1,8,NaN,cat,knife,4-10-10,0008_eid_dnn_4-10-10_knife_10_n03041632_52848.png,n03041632_52848.png,0.0,1.43127,2.5721047,-0.80669194
resnet50,1,9,NaN,bottle,bottle,2-10-10,0009_eid_dnn_2-10-10_bottle_10_n02823428_4097.png,n02823428_4097.png,1.0,8.151795,2.3594668,4.095795
resnet50,1,10,NaN,dog,dog,8-10-10,0010_eid_dnn_8-10-10_dog_10_n02105641_10264.png,n02105641_10264.png,1.0,2.5281937,2.0129209,0.36435294
resnet50,1,11,NaN,boat,boat,8-10-10,0011_eid_dnn_8-10-10_boat_10_n03662601_10278.png,n03662601_10278.png,1.0,2.7854488,2.2964983,0.3457402
resnet50,1,12,NaN,bear,truck,32-10-10,0012_eid_dnn_32-10-10_truck_10_n04467665_76958.png,n04467665_76958.png,0.0,-0.39845407,1.2631781,-1.1749514
resnet50,1,13,NaN,knife,dog,16-10-10,0013_eid_dnn_16-10-10_dog_10_n02088238_12552.png,n02088238_12552.png,0.0,-0.16510364,1.18551,-0.9550281
resnet50,1,14,NaN,boat,dog,8-10-10,0014_eid_dnn_8-10-10_dog_10_n02102040_994.png,n02102040_994.png,0.0,0.30310005,3.511499,-2.2686806
resnet50,1,15,NaN,knife,bear,128-10-10,0015_eid_dnn_128-10-10_bear_10_n02133161_1944.png,n02133161_1944.png,0.0,-0.72446984,2.2341926,-2.0920904
resnet50,1,16,NaN,bicycle,car,16-10-10,0016_eid_dnn_16-10-10_car_10_n02814533_43040.png,n02814533_43040.png,0.0,-0.98821926,2.574974,-2.5195582
resnet50,1,17,NaN,cat,oven,128-10-10,0017_eid_dnn_128-10-10_oven_10_n04111531_18592.png,n04111531_18592.png,0.0,-1.725275,1.3452392,-2.1711814
resnet50,1,18,NaN,elephant,chair,16-10-10,0018_eid_dnn_16-10-10_chair_10_n02791124_4294.png,n02791124_4294.png,0.0,0.8046886,1.2198354,-0.29355314
resnet50,1,19,NaN,oven,knife,32-10-10,0019_eid_dnn_32-10-10_knife_10_n03041632_2630.png,n03041632_2630.png,0.0,0.23601231,0.804651,-0.40208828
resnet50,1,20,NaN,elephant,elephant,1-10-10,0020_eid_dnn_1-10-10_elephant_10_n02504458_723.png,n02504458_723.png,1.0,16.646986,2.650846,9.896766
resnet50,1,21,NaN,keyboard,chair,4-10-10,0021_eid_dnn_4-10-10_chair_10_n03376595_6107.png,n03376595_6107.png,0.0,3.471611,3.7635922,-0.2064619
resnet50,1,22,NaN,bottle,clock,32-10-10,0022_eid_dnn_32-10-10_clock_10_n03196217_1337.png,n03196217_1337.png,0.0,0.5298937,2.0103424,-1.0468353
resnet50,1,23,NaN,bottle,boat,128-10-10,0023_eid_dnn_128-10-10_boat_10_n02951358_9550.png,n02951358_9550.png,0.0,0.6860708,2.2506454,-1.1063213
resnet50,1,24,NaN,airplane,bird,128-10-10,0024_eid_dnn_128-10-10_bird_10_n01616318_2334.png,n01616318_2334.png,0.0,-1.5283929,1.586397,-2.2024891
resnet50,1,25,NaN,bottle,bottle,32-10-10,0025_eid_dnn_32-10-10_bottle_10_n03937543_1658.png,n03937543_1658.png,1.0,3.425892,2.572684,0.6033092
resnet50,1,26,NaN,elephant,elephant,2-10-10,0026_eid_dnn_2-10-10_elephant_10_n02504013_6731.png,n02504013_6731.png,1.0,9.082359,2.8450913,4.4104147
resnet50,1,27,NaN,keyboard,keyboard,4-10-10,0027_eid_dnn_4-10-10_keyboard_10_n04505470_4447.png,n04505470_4447.png,1.0,19.285894,3.5067532,11.157538
resnet50,1,28,NaN,airplane,airplane,1-10-10,0028_eid_dnn_1-10-10_airplane_10_n02690373_4839.png,n02690373_4839.png,1.0,16.80204,4.119057,8.968224
resnet50,1,29,NaN,cat,keyboard,64-10-10,0029_eid_dnn_64-10-10_keyboard_10_n04505470_1651.png,n04505470_1651.png,0.0,-0.1914312,1.1802839,-0.96994907
