subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
simclr_resnet50x1,1,1,NaN,oven,oven,1-10-10,0001_eid_dnn_1-10-10_oven_10_n04111531_17072.png,n04111531_17072.png,1.0,13.000524,2.0918,7.7136326
simclr_resnet50x1,1,2,NaN,oven,airplane,16-10-10,0002_eid_dnn_16-10-10_airplane_10_n02690373_4183.png,n02690373_4183.png,0.0,1.810993,3.3258655,-1.0711766
simclr_resnet50x1,1,3,NaN,knife,car,8-10-10,0003_eid_dnn_8-10-10_car_10_n03100240_1137.png,n03100240_1137.png,0.0,-0.9133687,1.8006306,-1.9190873
simclr_resnet50x1,1,4,NaN,clock,clock,2-10-10,0004_eid_dnn_2-10-10_clock_10_n04548280_7083.png,n04548280_7083.png,1.0,5.9453926,2.2866268,2.5871382
simclr_resnet50x1,1,5,NaN,bottle,bottle,2-10-10,0005_eid_dnn_2-10-10_bottle_10_n02823428_7810.png,n02823428_7810.png,1.0,3.9119587,2.492876,1.003443
simclr_resnet50x1,1,6,NaN,clock,dog,128-10-10,0006_eid_dnn_128-10-10_dog_10_n02091244_8368.png,n02091244_8368.png,0.0,0.13010332,0.9542754,-0.58277774
simclr_resnet50x1,1,7,NaN,bicycle,bicycle,1-10-10,0007_eid_dnn_1-10-10_bicycle_10_n02835271_2930.png,n02835271_2930.png,1.0,13.892292,3.283825,7.501319
simclr_resnet50x1,1,8,NaN,cat,knife,4-10-10,0008_eid_dnn_4-10-10_knife_10_n03041632_52848.png,n03041632_52848.png,0.0,2.7440982,3.4880362,-0.5260436
simclr_resnet50x1,1,9,NaN,bottle,bottle,2-10-10,0009_eid_dnn_2-10-10_bottle_10_n02823428_4097.png,n02823428_4097.png,1.0,11.87955,1.7408429,7.169149
simclr_resnet50x1,1,10,NaN,dog,dog,8-10-10,0010_eid_dnn_8-10-10_dog_10_n02105641_10264.png,n02105641_10264.png,1.0,5.372584,3.0744371,1.6250352
simclr_resnet50x1,1,11,NaN,oven,boat,8-10-10,0011_eid_dnn_8-10-10_boat_10_n03662601_10278.png,n03662601_10278.png,0.0,1.3482802,2.702418,-0.9575201
simclr_resnet50x1,1,12,NaN,airplane,truck,32-10-10,0012_eid_dnn_32-10-10_truck_10_n04467665_76958.png,n04467665_76958.png,0.0,0.4755981,2.4300847,-1.3820307
simclr_resnet50x1,1,13,NaN,oven,dog,16-10-10,0013_eid_dnn_16-10-10_dog_10_n02088238_12552.png,n02088238_12552.png,0.0,0.77534604,2.3743076,-1.1306366
simclr_resnet50x1,1,14,NaN,airplane,dog,8-10-10,0014_eid_dnn_8-10-10_dog_10_n02102040_994.png,n02102040_994.png,0.0,1.2584573,3.3736901,-1.4956956
simclr_resnet50x1,1,15,NaN,cat,bear,128-10-10,0015_eid_dnn_128-10-10_bear_10_n02133161_1944.png,n02133161_1944.png,0.0,0.047995776,0.9055608,-0.60639006
simclr_resnet50x1,1,16,NaN,oven,car,16-10-10,0016_eid_dnn_16-10-10_car_10_n02814533_43040.png,n02814533_43040.png,0.0,-1.4939836,3.1918068,-3.3133543
simclr_resnet50x1,1,17,NaN,bear,oven,128-10-10,0017_eid_dnn_128-10-10_oven_10_n04111531_18592.png,n04111531_18592.png,0.0,-1.4230212,1.0416183,-1.7427634
simclr_resnet50x1,1,18,NaN,oven,chair,16-10-10,0018_eid_dnn_16-10-10_chair_10_n02791124_4294.png,n02791124_4294.png,0.0,-0.051976964,0.8880396,-0.6646921
simclr_resnet50x1,1,19,NaN,cat,knife,32-10-10,0019_eid_dnn_32-10-10_knife_10_n03041632_2630.png,n03041632_2630.png,0.0,-0.6980809,0.7538126,-1.0266438
