subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
vit_b_16,1,1,NaN,oven,oven,1-10-10,0001_eid_dnn_1-10-10_oven_10_n04111531_17072.png,n04111531_17072.png,1.0,9.441801,1.099007,5.8992467
vit_b_16,1,2,NaN,airplane,airplane,16-10-10,0002_eid_dnn_16-10-10_airplane_10_n02690373_4183.png,n02690373_4183.png,1.0,2.0219994,0.7773328,0.8801122
vit_b_16,1,3,NaN,bicycle,car,8-10-10,0003_eid_dnn_8-10-10_car_10_n03100240_1137.png,n03100240_1137.png,0.0,0.34632632,0.66320765,-0.22406894
vit_b_16,1,4,NaN,clock,clock,2-10-10,0004_eid_dnn_2-10-10_clock_10_n04548280_7083.png,n04548280_7083.png,1.0,6.4444695,0.6492429,4.097844
vit_b_16,1,5,NaN,bottle,bottle,2-10-10,0005_eid_dnn_2-10-10_bottle_10_n02823428_7810.png,n02823428_7810.png,1.0,3.0452163,0.18504502,2.0224466
vit_b_16,1,6,NaN,bear,dog,128-10-10,0006_eid_dnn_128-10-10_dog_10_n02091244_8368.png,n02091244_8368.png,0.0,1.2292569,1.4507229,-0.15660016
vit_b_16,1,7,NaN,bicycle,bicycle,1-10-10,0007_eid_dnn_1-10-10_bicycle_10_n02835271_2930.png,n02835271_2930.png,1.0,7.1978045,0.7337092,4.5708055
vit_b_16,1,8,NaN,knife,knife,4-10-10,0008_eid_dnn_4-10-10_knife_10_n03041632_52848.png,n03041632_52848.png,1.0,1.3292288,1.0190609,0.21932183
vit_b_16,1,9,NaN,bottle,bottle,2-10-10,0009_eid_dnn_2-10-10_bottle_10_n02823428_4097.png,n02823428_4097.png,1.0,4.0573173,0.22139096,2.7124095
vit_b_16,1,10,NaN,dog,dog,8-10-10,0010_eid_dnn_8-10-10_dog_10_n02105641_10264.png,n02105641_10264.png,1.0,0.6037879,0.20230564,0.28389084
vit_b_16,1,11,NaN,clock,boat,8-10-10,0011_eid_dnn_8-10-10_boat_10_n03662601_10278.png,n03662601_10278.png,0.0,0.039979555,0.5218486,-0.3407329
vit_b_16,1,12,NaN,airplane,truck,32-10-10,0012_eid_dnn_32-10-10_truck_10_n04467665_76958.png,n04467665_76958.png,0.0,-0.2596205,2.1368284,-1.6945453
vit_b_16,1,13,NaN,oven,dog,16-10-10,0013_eid_dnn_16-10-10_dog_10_n02088238_12552.png,n02088238_12552.png,0.0,0.75906426,1.3175933,-0.39493972
vit_b_16,1,14,NaN,airplane,dog,8-10-10,0014_eid_dnn_8-10-10_dog_10_n02102040_994.png,n02102040_994.png,0.0,1.1342069,1.6296035,-0.35029832
vit_b_16,1,15,NaN,clock,bear,128-10-10,0015_eid_dnn_128-10-10_bear_10_n02133161_1944.png,n02133161_1944.png,0.0,0.1229319,0.8175054,-0.49113765
vit_b_16,1,16,NaN,truck,car,16-10-10,0016_eid_dnn_16-10-10_car_10_n02814533_43040.png,n02814533_43040.png,0.0,2.6023357,2.9443107,-0.24181283
vit_b_16,1,17,NaN,bear,oven,128-10-10,0017_eid_dnn_128-10-10_oven_10_n04111531_18592.png,n04111531_18592.png,0.0,0.9552856,1.214492,-0.18328658
vit_b_16,1,18,NaN,bear,chair,16-10-10,0018_eid_dnn_16-10-10_chair_10_n02791124_4294.png,n02791124_4294.png,0.0,-0.48282474,1.6388386,-1.5002426
vit_b_16,1,19,NaN,oven,knife,32-10-10,0019_eid_dnn_32-10-10_knife_10_n03041632_2630.png,n03041632_2630.png,0.0,-0.23804693,0.79340035,-0.7293434
vit_b_16,1,20,NaN,elephant,elephant,1-10-10,0020_eid_dnn_1-10-10_elephant_10_n02504458_723.png,n02504458_723.png,1.0,7.441288,0.14344485,5.160354
vit_b_16,1,21,NaN,keyboard,chair,4-10-10,0021_eid_dnn_4-10-10_chair_10_n03376595_6107.png,n03376595_6107.png,0.0,3.4058115,4.4401226,-0.73136836
vit_b_16,1,22,NaN,bottle,clock,32-10-10,0022_eid_dnn_32-10-10_clock_10_n03196217_1337.png,n03196217_1337.png,0.0,0.33403453,2.0681002,-1.2261696
vit_b_16,1,23,NaN,clock,boat,128-10-10,0023_eid_dnn_128-10-10_boat_10_n02951358_9550.png,n02951358_9550.png,0.0,-0.4530484,1.2527618,-1.2061901
vit_b_16,1,24,NaN,knife,bird,128-10-10,0024_eid_dnn_128-10-10_bird_10_n01616318_2334.png,n01616318_2334.png,0.0,-0.5780242,1.1169063,-1.1984969
vit_b_16,1,25,NaN,bottle,bottle,32-10-10,0025_eid_dnn_32-10-10_bottle_10_n03937543_1658.png,n03937543_1658.png,1.0,1.8180574,1.6621547,0.110239886
vit_b_16,1,26,NaN,elephant,elephant,2-10-10,0026_eid_dnn_2-10-10_elephant_10_n02504013_6731.png,n02504013_6731.png,1.0,7.634473,0.5205354,5.0303135
vit_b_16,1,27,NaN,keyboard,keyboard,4-10-10,0027_eid_dnn_4-10-10_keyboard_10_n04505470_4447.png,n04505470_4447.png,1.0,5.0775228,0.5218959,3.2213147
vit_b_16,1,28,NaN,airplane,airplane,1-10-10,0028_eid_dnn_1-10-10_airplane_10_n02690373_4839.png,n02690373_4839.png,1.0,9.094364,0.75471514,5.8970227
vit_b_16,1,29,NaN,clock,keyboard,64-10-10,0029_eid_dnn_64-10-10_keyboard_10_n04505470_1651.png,n04505470_1651.png,0.0,0.17816177,1.5755138,-0.98807716
vit_b_16,1,30,NaN,keyboard,keyboard,32-10-10,0030_eid_dnn_32-10-10_keyboard_10_n03085013_20601.png,n03085013_20601.png,1.0,1.6253829,1.1446679,0.33991686
vit_b_16,1,31,NaN,clock,airplane,64-10-10,0031_eid_dnn_64-10-10_airplane_10_n02690373_2217.png,n02690373_2217.png,0.0,1.3895836,1.4157559,-0.018506598
vit_b_16,1,32,NaN,bicycle,bicycle,4-10-10,0032_eid_dnn_4-10-10_bicycle_10_n03792782_25019.png,n03792782_25019.png,1.0,6.0856295,1.2766675,3.4004495
vit_b_16,1,33,NaN,cat,cat,8-10-10,0033_eid_dnn_8-10-10_cat_10_n02123597_13890.png,n02123597_13890.png,1.0,5.0351987,0.7037878,3.0627701
vit_b_16,1,34,NaN,boat,boat,1-10-10,0034_eid_dnn_1-10-10_boat_10_n04612504_214.png,n04612504_214.png,1.0,2.7254796,0.25076544,1.7498872
vit_b_16,1,35,NaN,bear,chair,128-10-10,0035_eid_dnn_128-10-10_chair_10_n02791124_2555.png,n02791124_2555.png,0.0,-0.2880919,0.7658464,-0.7452469
vit_b_16,1,36,NaN,car,car,4-10-10,0036_eid_dnn_4-10-10_car_10_n04285008_2081.png,n04285008_2081.png,1.0,3.059026,0.3266613,1.9320736
vit_b_16,1,37,NaN,airplane,dog,32-10-10,0037_eid_dnn_32-10-10_dog_10_n02094114_8202.png,n02094114_8202.png,0.0,0.5851462,3.1229353,-1.794488
vit_b_16,1,38,NaN,airplane,chair,64-10-10,0038_eid_dnn_64-10-10_chair_10_n04099969_4541.png,n04099969_4541.png,0.0,-0.59590995,3.6094472,-2.9736366
vit_b_16,1,39,NaN,cat,boat,128-10-10,0039_eid_dnn_128-10-10_boat_10_n04612504_12864.png,n04612504_12864.png,0.0,-0.7948357,1.4995575,-1.622381
vit_b_16,1,40,NaN,airplane,airplane,4-10-10,0040_eid_dnn_4-10-10_airplane_10_n02690373_18460.png,n02690373_18460.png,1.0,6.7703586,1.0759591,4.0265484
vit_b_16,1,41,NaN,oven,bottle,64-10-10,0041_eid_dnn_64-10-10_bottle_10_n03983396_8982.png,n03983396_8982.png,0.0,0.48504147,1.4916853,-0.7118046
vit_b_16,1,42,NaN,airplane,dog,16-10-10,0042_eid_dnn_16-10-10_dog_10_n02099601_10407.png,n02099601_10407.png,0.0,0.10895729,2.8836884,-1.9620312
vit_b_16,1,43,NaN,oven,airplane,32-10-10,0043_eid_dnn_32-10-10_airplane_10_n02690373_5253.png,n02690373_5253.png,0.0,2.12933,3.2032633,-0.7593856
vit_b_16,1,44,NaN,elephant,elephant,2-10-10,0044_eid_dnn_2-10-10_elephant_10_n02504013_2832.png,n02504013_2832.png,1.0,6.383659,0.406429,4.22654
vit_b_16,1,45,NaN,clock,clock,1-10-10,0045_eid_dnn_1-10-10_clock_10_n02708093_8002.png,n02708093_8002.png,1.0,5.7903156,1.2896583,3.1824453
vit_b_16,1,46,NaN,chair,chair,2-10-10,0046_eid_dnn_2-10-10_chair_10_n03376595_1766.png,n03376595_1766.png,1.0,3.9530535,0.53684443,2.4156246
vit_b_16,1,47,NaN,truck,truck,2-10-10,0047_eid_dnn_2-10-10_truck_10_n03417042_17616.png,n03417042_17616.png,1.0,3.8456802,1.0795642,1.9559395
vit_b_16,1,48,NaN,airplane,bear,16-10-10,0048_eid_dnn_16-10-10_bear_10_n02134418_2804.png,n02134418_2804.png,0.0,0.96835345,4.845539,-2.7415843
vit_b_16,1,49,NaN,oven,car,64-10-10,0049_eid_dnn_64-10-10_car_10_n04285008_12101.png,n04285008_12101.png,0.0,-0.7964867,1.4120227,-1.5616521
vit_b_16,1,50,NaN,bear,bear,16-10-10,0050_eid_dnn_16-10-10_bear_10_n02134418_3828.png,n02134418_3828.png,1.0,2.1868267,1.0476428,0.80552465
vit_b_16,1,51,NaN,bird,bird,2-10-10,0051_eid_dnn_2-10-10_bird_10_n01530575_5747.png,n01530575_5747.png,1.0,0.31136253,0.24083816,0.049868267
vit_b_16,1,52,NaN,oven,truck,128-10-10,0052_eid_dnn_128-10-10_truck_10_n03796401_3386.png,n03796401_3386.png,0.0,-0.6863319,1.7308531,-1.709208
vit_b_16,1,53,NaN,airplane,keyboard,16-10-10,0053_eid_dnn_16-10-10_keyboard_10_n04505470_3234.png,n04505470_3234.png,0.0,-0.1793183,0.97286093,-0.8147138
vit_b_16,1,54,NaN,airplane,truck,1-10-10,0054_eid_dnn_1-10-10_truck_10_n04467665_72639.png,n04467665_72639.png,0.0,1.4521435,1.4618299,-0.0068492843
vit_b_16,1,55,NaN,bear,chair,32-10-10,0055_eid_dnn_32-10-10_chair_10_n04429376_27524.png,n04429376_27524.png,0.0,-0.7017639,1.4141552,-1.4961808
vit_b_16,1,56,NaN,airplane,bottle,64-10-10,0056_eid_dnn_64-10-10_bottle_10_n04557648_11440.png,n04557648_11440.png,0.0,-0.15684949,2.5042434,-1.8816768
