subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet_w1_mlp_simclrhn_probe2,1,1,NaN,oven,car,64-3-10,0001_eid_dnn_64-3-10_car_10_n04285008_8113.png,n04285008_8113.png,0.0,-4.6543193,0.64462316,-3.7469182
alexnet_w1_mlp_simclrhn_probe2,1,2,NaN,elephant,oven,8-3-10,0002_eid_dnn_8-3-10_oven_10_n04111531_11848.png,n04111531_11848.png,0.0,0.5591884,1.0641222,-0.3570421
alexnet_w1_mlp_simclrhn_probe2,1,3,NaN,oven,truck,8-3-10,0003_eid_dnn_8-3-10_truck_10_n03417042_25458.png,n03417042_25458.png,0.0,-3.3159833,0.036003157,-2.3702123
alexnet_w1_mlp_simclrhn_probe2,1,4,NaN,oven,chair,16-3-10,0004_eid_dnn_16-3-10_chair_10_n03376595_6208.png,n03376595_6208.png,0.0,-3.3423119,0.2527032,-2.5420597
alexnet_w1_mlp_simclrhn_probe2,1,5,NaN,oven,cat,32-3-10,0005_eid_dnn_32-3-10_cat_10_n02123045_12084.png,n02123045_12084.png,0.0,-0.60957044,0.04955249,-0.46607032
alexnet_w1_mlp_simclrhn_probe2,1,6,NaN,keyboard,keyboard,8-3-10,0006_eid_dnn_8-3-10_keyboard_10_n03085013_20884.png,n03085013_20884.png,1.0,-0.041716307,-0.18848291,0.10377966
alexnet_w1_mlp_simclrhn_probe2,1,7,NaN,airplane,airplane,4-3-10,0007_eid_dnn_4-3-10_airplane_10_n02690373_5992.png,n02690373_5992.png,1.0,2.498444,0.9666997,1.0831069
alexnet_w1_mlp_simclrhn_probe2,1,8,NaN,bear,bear,32-3-10,0008_eid_dnn_32-3-10_bear_10_n02132136_6641.png,n02132136_6641.png,1.0,0.35802677,0.16455847,0.13680275
alexnet_w1_mlp_simclrhn_probe2,1,9,NaN,oven,oven,2-3-10,0009_eid_dnn_2-3-10_oven_10_n04111531_2797.png,n04111531_2797.png,1.0,1.2610632,-1.3641679,1.8563188
alexnet_w1_mlp_simclrhn_probe2,1,10,NaN,airplane,airplane,2-3-10,0010_eid_dnn_2-3-10_airplane_10_n02690373_7457.png,n02690373_7457.png,1.0,6.145294,1.5116384,3.2764893
alexnet_w1_mlp_simclrhn_probe2,1,11,NaN,bear,truck,16-3-10,0011_eid_dnn_16-3-10_truck_10_n03796401_2751.png,n03796401_2751.png,0.0,-5.134507,-0.29372683,-3.4229486
alexnet_w1_mlp_simclrhn_probe2,1,12,NaN,elephant,bear,2-3-10,0012_eid_dnn_2-3-10_bear_10_n02134418_860.png,n02134418_860.png,0.0,1.5227659,1.5609596,-0.027007027
alexnet_w1_mlp_simclrhn_probe2,1,13,NaN,knife,knife,4-3-10,0013_eid_dnn_4-3-10_knife_10_n03041632_2058.png,n03041632_2058.png,1.0,1.042449,0.6921839,0.24767482
alexnet_w1_mlp_simclrhn_probe2,1,14,NaN,oven,airplane,32-3-10,0014_eid_dnn_32-3-10_airplane_10_n02690373_10510.png,n02690373_10510.png,0.0,-4.4966106,-0.2140869,-3.0282016
alexnet_w1_mlp_simclrhn_probe2,1,15,NaN,bear,keyboard,64-3-10,0015_eid_dnn_64-3-10_keyboard_10_n03085013_6313.png,n03085013_6313.png,0.0,-3.501334,0.55980814,-2.8716612
alexnet_w1_mlp_simclrhn_probe2,1,16,NaN,airplane,bicycle,4-3-10,0016_eid_dnn_4-3-10_bicycle_10_n02835271_6278.png,n02835271_6278.png,0.0,-1.7690824,0.86874473,-1.8652256
alexnet_w1_mlp_simclrhn_probe2,1,17,NaN,keyboard,keyboard,2-3-10,0017_eid_dnn_2-3-10_keyboard_10_n03085013_24192.png,n03085013_24192.png,1.0,5.1295166,0.3059568,3.4107718
