subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet2023_baseline_pgd,1,1,NaN,bear,car,64-3-10,0001_eid_dnn_64-3-10_car_10_n04285008_8113.png,n04285008_8113.png,0.0,-3.953474,2.2435505,-4.381958
alexnet2023_baseline_pgd,1,2,NaN,elephant,oven,8-3-10,0002_eid_dnn_8-3-10_oven_10_n04111531_11848.png,n04111531_11848.png,0.0,5.1126866,6.033911,-0.65140414
alexnet2023_baseline_pgd,1,3,NaN,elephant,truck,8-3-10,0003_eid_dnn_8-3-10_truck_10_n03417042_25458.png,n03417042_25458.png,0.0,-0.64702636,3.4721804,-2.9127192
alexnet2023_baseline_pgd,1,4,NaN,bear,chair,16-3-10,0004_eid_dnn_16-3-10_chair_10_n03376595_6208.png,n03376595_6208.png,0.0,-2.0929608,0.91861165,-2.1295033
alexnet2023_baseline_pgd,1,5,NaN,airplane,cat,32-3-10,0005_eid_dnn_32-3-10_cat_10_n02123045_12084.png,n02123045_12084.png,0.0,0.33755922,1.6931183,-0.95852506
alexnet2023_baseline_pgd,1,6,NaN,keyboard,keyboard,8-3-10,0006_eid_dnn_8-3-10_keyboard_10_n03085013_20884.png,n03085013_20884.png,1.0,3.79969,1.6043589,1.5523335
alexnet2023_baseline_pgd,1,7,NaN,airplane,airplane,4-3-10,0007_eid_dnn_4-3-10_airplane_10_n02690373_5992.png,n02690373_5992.png,1.0,12.389292,4.9420424,5.2660007
alexnet2023_baseline_pgd,1,8,NaN,elephant,bear,32-3-10,0008_eid_dnn_32-3-10_bear_10_n02132136_6641.png,n02132136_6641.png,0.0,0.5570075,2.7001407,-1.515424
alexnet2023_baseline_pgd,1,9,NaN,oven,oven,2-3-10,0009_eid_dnn_2-3-10_oven_10_n04111531_2797.png,n04111531_2797.png,1.0,7.2375107,0.7095161,4.615989
alexnet2023_baseline_pgd,1,10,NaN,airplane,airplane,2-3-10,0010_eid_dnn_2-3-10_airplane_10_n02690373_7457.png,n02690373_7457.png,1.0,20.828568,7.212424,9.628068
alexnet2023_baseline_pgd,1,11,NaN,elephant,truck,16-3-10,0011_eid_dnn_16-3-10_truck_10_n03796401_2751.png,n03796401_2751.png,0.0,-1.2565145,4.51851,-4.083559
alexnet2023_baseline_pgd,1,12,NaN,elephant,bear,2-3-10,0012_eid_dnn_2-3-10_bear_10_n02134418_860.png,n02134418_860.png,0.0,5.0825853,6.1079564,-0.7250469
alexnet2023_baseline_pgd,1,13,NaN,knife,knife,4-3-10,0013_eid_dnn_4-3-10_knife_10_n03041632_2058.png,n03041632_2058.png,1.0,9.519619,4.080889,3.8457627
alexnet2023_baseline_pgd,1,14,NaN,oven,airplane,32-3-10,0014_eid_dnn_32-3-10_airplane_10_n02690373_10510.png,n02690373_10510.png,0.0,2.4199615,2.4310594,-0.007847406
alexnet2023_baseline_pgd,1,15,NaN,elephant,keyboard,64-3-10,0015_eid_dnn_64-3-10_keyboard_10_n03085013_6313.png,n03085013_6313.png,0.0,-1.8409286,3.624338,-3.864527
alexnet2023_baseline_pgd,1,16,NaN,airplane,bicycle,4-3-10,0016_eid_dnn_4-3-10_bicycle_10_n02835271_6278.png,n02835271_6278.png,0.0,1.450159,5.5250316,-2.88137
alexnet2023_baseline_pgd,1,17,NaN,keyboard,keyboard,2-3-10,0017_eid_dnn_2-3-10_keyboard_10_n03085013_24192.png,n03085013_24192.png,1.0,15.637924,5.464204,7.193907
alexnet2023_baseline_pgd,1,18,NaN,car,car,2-3-10,0018_eid_dnn_2-3-10_car_10_n04285008_8255.png,n04285008_8255.png,1.0,16.212797,8.687025,5.3215246
alexnet2023_baseline_pgd,1,19,NaN,airplane,airplane,2-3-10,0019_eid_dnn_2-3-10_airplane_10_n02690373_4591.png,n02690373_4591.png,1.0,10.952406,4.703329,4.4187646
alexnet2023_baseline_pgd,1,20,NaN,airplane,airplane,4-3-10,0020_eid_dnn_4-3-10_airplane_10_n02690373_7075.png,n02690373_7075.png,1.0,9.68016,5.375298,3.0439968
alexnet2023_baseline_pgd,1,21,NaN,bicycle,bicycle,4-3-10,0021_eid_dnn_4-3-10_bicycle_10_n02835271_21464.png,n02835271_21464.png,1.0,4.120402,3.1141672,0.71151537
alexnet2023_baseline_pgd,1,22,NaN,oven,car,64-3-10,0022_eid_dnn_64-3-10_car_10_n03100240_362.png,n03100240_362.png,0.0,-2.6632059,1.8881793,-3.2183151
alexnet2023_baseline_pgd,1,23,NaN,elephant,truck,32-3-10,0023_eid_dnn_32-3-10_truck_10_n04467665_50927.png,n04467665_50927.png,0.0,-0.67351687,3.7586555,-3.1340191
alexnet2023_baseline_pgd,1,24,NaN,elephant,car,16-3-10,0024_eid_dnn_16-3-10_car_10_n04285008_3651.png,n04285008_3651.png,0.0,-1.6024208,4.1863236,-4.0932603
alexnet2023_baseline_pgd,1,25,NaN,bottle,bottle,8-3-10,0025_eid_dnn_8-3-10_bottle_10_n04557648_4974.png,n04557648_4974.png,1.0,3.5548587,2.4657934,0.77008545
alexnet2023_baseline_pgd,1,26,NaN,bird,bird,16-3-10,0026_eid_dnn_16-3-10_bird_10_n01537544_23499.png,n01537544_23499.png,1.0,2.791687,2.6669602,0.088195145
alexnet2023_baseline_pgd,1,27,NaN,boat,boat,1-3-10,0027_eid_dnn_1-3-10_boat_10_n04612504_11387.png,n04612504_11387.png,1.0,9.197029,4.2788363,3.4776876
alexnet2023_baseline_pgd,1,28,NaN,bottle,bottle,4-3-10,0028_eid_dnn_4-3-10_bottle_10_n03983396_4300.png,n03983396_4300.png,1.0,7.360047,2.2988136,3.5788326
alexnet2023_baseline_pgd,1,29,NaN,elephant,bottle,64-3-10,0029_eid_dnn_64-3-10_bottle_10_n04591713_6961.png,n04591713_6961.png,0.0,0.264544,1.7856457,-1.0755813
alexnet2023_baseline_pgd,1,30,NaN,cat,clock,128-3-10,0030_eid_dnn_128-3-10_clock_10_n02708093_3361.png,n02708093_3361.png,0.0,-0.08460754,3.139218,-2.279589
alexnet2023_baseline_pgd,1,31,NaN,elephant,truck,32-3-10,0031_eid_dnn_32-3-10_truck_10_n03417042_18374.png,n03417042_18374.png,0.0,-3.0418682,3.651884,-4.7331977
alexnet2023_baseline_pgd,1,32,NaN,airplane,knife,64-3-10,0032_eid_dnn_64-3-10_knife_10_n03041632_36280.png,n03041632_36280.png,0.0,-2.3260498,1.8362,-2.943155
alexnet2023_baseline_pgd,1,33,NaN,bird,bird,8-3-10,0033_eid_dnn_8-3-10_bird_10_n01614925_47.png,n01614925_47.png,1.0,2.8034365,2.7262673,0.054566853
alexnet2023_baseline_pgd,1,34,NaN,elephant,bicycle,8-3-10,0034_eid_dnn_8-3-10_bicycle_10_n02835271_20099.png,n02835271_20099.png,0.0,1.9868528,3.3722935,-0.97965455
alexnet2023_baseline_pgd,1,35,NaN,bear,bear,4-3-10,0035_eid_dnn_4-3-10_bear_10_n02134084_12070.png,n02134084_12070.png,1.0,4.397212,4.333538,0.045024298
alexnet2023_baseline_pgd,1,36,NaN,bottle,bottle,8-3-10,0036_eid_dnn_8-3-10_bottle_10_n02823428_8525.png,n02823428_8525.png,1.0,4.341332,2.376556,1.3893064
alexnet2023_baseline_pgd,1,37,NaN,oven,truck,32-3-10,0037_eid_dnn_32-3-10_truck_10_n04467665_37953.png,n04467665_37953.png,0.0,-1.8023204,2.1671045,-2.8068073
alexnet2023_baseline_pgd,1,38,NaN,dog,oven,128-3-10,0038_eid_dnn_128-3-10_oven_10_n04111531_4868.png,n04111531_4868.png,0.0,0.81942976,1.0732765,-0.17949677
alexnet2023_baseline_pgd,1,39,NaN,airplane,boat,32-3-10,0039_eid_dnn_32-3-10_boat_10_n03662601_19840.png,n03662601_19840.png,0.0,-0.6064994,2.4993436,-2.1961627
alexnet2023_baseline_pgd,1,40,NaN,elephant,truck,8-3-10,0040_eid_dnn_8-3-10_truck_10_n04467665_9331.png,n04467665_9331.png,0.0,1.7410617,3.1835198,-1.019972
alexnet2023_baseline_pgd,1,41,NaN,oven,dog,64-3-10,0041_eid_dnn_64-3-10_dog_10_n02111277_16090.png,n02111277_16090.png,0.0,0.32962498,2.4989164,-1.5339208
alexnet2023_baseline_pgd,1,42,NaN,oven,bottle,4-3-10,0042_eid_dnn_4-3-10_bottle_10_n02823428_6731.png,n02823428_6731.png,0.0,4.6158366,6.2418904,-1.1497937
alexnet2023_baseline_pgd,1,43,NaN,elephant,elephant,8-3-10,0043_eid_dnn_8-3-10_elephant_10_n02504013_8930.png,n02504013_8930.png,1.0,6.430856,3.391354,2.1492527
alexnet2023_baseline_pgd,1,44,NaN,car,car,4-3-10,0044_eid_dnn_4-3-10_car_10_n03100240_13673.png,n03100240_13673.png,1.0,8.278184,5.005927,2.3138351
alexnet2023_baseline_pgd,1,45,NaN,clock,bird,128-3-10,0045_eid_dnn_128-3-10_bird_10_n02018207_6819.png,n02018207_6819.png,0.0,0.3724818,1.4996495,-0.79702795
alexnet2023_baseline_pgd,1,46,NaN,elephant,elephant,4-3-10,0046_eid_dnn_4-3-10_elephant_10_n02504013_6065.png,n02504013_6065.png,1.0,8.927457,3.7220027,3.680812
alexnet2023_baseline_pgd,1,47,NaN,cat,cat,1-3-10,0047_eid_dnn_1-3-10_cat_10_n02123394_384.png,n02123394_384.png,1.0,4.9659863,3.806587,0.8198191
alexnet2023_baseline_pgd,1,48,NaN,elephant,bicycle,16-3-10,0048_eid_dnn_16-3-10_bicycle_10_n02835271_12608.png,n02835271_12608.png,0.0,1.6122096,3.027008,-1.0004137
alexnet2023_baseline_pgd,1,49,NaN,bicycle,chair,2-3-10,0049_eid_dnn_2-3-10_chair_10_n03376595_13949.png,n03376595_13949.png,0.0,2.027842,3.837477,-1.2796052
alexnet2023_baseline_pgd,1,50,NaN,bear,airplane,128-3-10,0050_eid_dnn_128-3-10_airplane_10_n02690373_3561.png,n02690373_3561.png,0.0,-0.81967413,1.2530183,-1.4656149
alexnet2023_baseline_pgd,1,51,NaN,elephant,bicycle,32-3-10,0051_eid_dnn_32-3-10_bicycle_10_n02835271_8203.png,n02835271_8203.png,0.0,-0.7001708,1.9892087,-1.9016784
alexnet2023_baseline_pgd,1,52,NaN,bicycle,bicycle,2-3-10,0052_eid_dnn_2-3-10_bicycle_10_n03792782_5665.png,n03792782_5665.png,1.0,12.036512,2.1645448,6.980535
