subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet,1,1,NaN,cat,car,64-3-10,0001_eid_dnn_64-3-10_car_10_n04285008_8113.png,n04285008_8113.png,0.0,-3.5080783,3.0261335,-4.6203856
alexnet,1,2,NaN,oven,oven,8-3-10,0002_eid_dnn_8-3-10_oven_10_n04111531_11848.png,n04111531_11848.png,1.0,3.9415364,3.3603172,0.41098404
alexnet,1,3,NaN,oven,truck,8-3-10,0003_eid_dnn_8-3-10_truck_10_n03417042_25458.png,n03417042_25458.png,0.0,-0.5072507,2.5810375,-2.1837497
alexnet,1,4,NaN,cat,chair,16-3-10,0004_eid_dnn_16-3-10_chair_10_n03376595_6208.png,n03376595_6208.png,0.0,0.43416536,3.2870977,-2.017328
alexnet,1,5,NaN,bear,cat,32-3-10,0005_eid_dnn_32-3-10_cat_10_n02123045_12084.png,n02123045_12084.png,0.0,2.8858273,3.0420313,-0.1104529
alexnet,1,6,NaN,keyboard,keyboard,8-3-10,0006_eid_dnn_8-3-10_keyboard_10_n03085013_20884.png,n03085013_20884.png,1.0,6.6096416,3.015001,2.5417948
alexnet,1,7,NaN,airplane,airplane,4-3-10,0007_eid_dnn_4-3-10_airplane_10_n02690373_5992.png,n02690373_5992.png,1.0,11.393069,4.2929482,5.0205436
alexnet,1,8,NaN,oven,bear,32-3-10,0008_eid_dnn_32-3-10_bear_10_n02132136_6641.png,n02132136_6641.png,0.0,2.7940345,3.6248336,-0.5874637
alexnet,1,9,NaN,oven,oven,2-3-10,0009_eid_dnn_2-3-10_oven_10_n04111531_2797.png,n04111531_2797.png,1.0,2.3915768,0.39998507,1.408268
alexnet,1,10,NaN,airplane,airplane,2-3-10,0010_eid_dnn_2-3-10_airplane_10_n02690373_7457.png,n02690373_7457.png,1.0,16.3054,5.309545,7.775244
alexnet,1,11,NaN,cat,truck,16-3-10,0011_eid_dnn_16-3-10_truck_10_n03796401_2751.png,n03796401_2751.png,0.0,-0.24270195,3.369354,-2.5541093
alexnet,1,12,NaN,bear,bear,2-3-10,0012_eid_dnn_2-3-10_bear_10_n02134418_860.png,n02134418_860.png,1.0,3.0396695,1.8521475,0.83970493
alexnet,1,13,NaN,knife,knife,4-3-10,0013_eid_dnn_4-3-10_knife_10_n03041632_2058.png,n03041632_2058.png,1.0,8.874386,3.009898,4.146819
alexnet,1,14,NaN,oven,airplane,32-3-10,0014_eid_dnn_32-3-10_airplane_10_n02690373_10510.png,n02690373_10510.png,0.0,0.59578097,3.372127,-1.9631733
alexnet,1,15,NaN,bear,keyboard,64-3-10,0015_eid_dnn_64-3-10_keyboard_10_n03085013_6313.png,n03085013_6313.png,0.0,-3.0134506,4.955373,-5.634809
alexnet,1,16,NaN,airplane,bicycle,4-3-10,0016_eid_dnn_4-3-10_bicycle_10_n02835271_6278.png,n02835271_6278.png,0.0,0.23393446,2.381775,-1.5187526
alexnet,1,17,NaN,keyboard,keyboard,2-3-10,0017_eid_dnn_2-3-10_keyboard_10_n03085013_24192.png,n03085013_24192.png,1.0,17.32859,5.451784,8.39817
alexnet,1,18,NaN,car,car,2-3-10,0018_eid_dnn_2-3-10_car_10_n04285008_8255.png,n04285008_8255.png,1.0,12.154274,6.9592595,3.67343
alexnet,1,19,NaN,airplane,airplane,2-3-10,0019_eid_dnn_2-3-10_airplane_10_n02690373_4591.png,n02690373_4591.png,1.0,9.25432,5.0215034,2.9930534
alexnet,1,20,NaN,airplane,airplane,4-3-10,0020_eid_dnn_4-3-10_airplane_10_n02690373_7075.png,n02690373_7075.png,1.0,8.862095,4.2781663,3.241327
alexnet,1,21,NaN,bicycle,bicycle,4-3-10,0021_eid_dnn_4-3-10_bicycle_10_n02835271_21464.png,n02835271_21464.png,1.0,2.8895402,0.81019956,1.4703159
alexnet,1,22,NaN,dog,car,64-3-10,0022_eid_dnn_64-3-10_car_10_n03100240_362.png,n03100240_362.png,0.0,-2.7604015,2.6290956,-3.8109498
alexnet,1,23,NaN,oven,truck,32-3-10,0023_eid_dnn_32-3-10_truck_10_n04467665_50927.png,n04467665_50927.png,0.0,0.51031226,3.1585927,-1.872617
alexnet,1,24,NaN,oven,car,16-3-10,0024_eid_dnn_16-3-10_car_10_n04285008_3651.png,n04285008_3651.png,0.0,-2.0776145,2.9077377,-3.5251765
alexnet,1,25,NaN,dog,bottle,8-3-10,0025_eid_dnn_8-3-10_bottle_10_n04557648_4974.png,n04557648_4974.png,0.0,2.8974583,3.27545,-0.2672805
alexnet,1,26,NaN,oven,bird,16-3-10,0026_eid_dnn_16-3-10_bird_10_n01537544_23499.png,n01537544_23499.png,0.0,0.42025495,2.0657306,-1.163527
alexnet,1,27,NaN,boat,boat,1-3-10,0027_eid_dnn_1-3-10_boat_10_n04612504_11387.png,n04612504_11387.png,1.0,5.2233887,4.017425,0.85274506
alexnet,1,28,NaN,bottle,bottle,4-3-10,0028_eid_dnn_4-3-10_bottle_10_n03983396_4300.png,n03983396_4300.png,1.0,4.6798415,2.1645613,1.7785717
alexnet,1,29,NaN,cat,bottle,64-3-10,0029_eid_dnn_64-3-10_bottle_10_n04591713_6961.png,n04591713_6961.png,0.0,-0.16254123,3.144667,-2.3385494
alexnet,1,30,NaN,cat,clock,128-3-10,0030_eid_dnn_128-3-10_clock_10_n02708093_3361.png,n02708093_3361.png,0.0,0.9866595,3.8283303,-2.0093646
alexnet,1,31,NaN,oven,truck,32-3-10,0031_eid_dnn_32-3-10_truck_10_n03417042_18374.png,n03417042_18374.png,0.0,-0.9101951,3.133449,-2.8592882
alexnet,1,32,NaN,elephant,knife,64-3-10,0032_eid_dnn_64-3-10_knife_10_n03041632_36280.png,n03041632_36280.png,0.0,0.21884857,2.752215,-1.7913606
alexnet,1,33,NaN,cat,bird,8-3-10,0033_eid_dnn_8-3-10_bird_10_n01614925_47.png,n01614925_47.png,0.0,0.4715387,3.142915,-1.8889483
alexnet,1,34,NaN,bear,bicycle,8-3-10,0034_eid_dnn_8-3-10_bicycle_10_n02835271_20099.png,n02835271_20099.png,0.0,0.9381172,3.533814,-1.8354348
alexnet,1,35,NaN,dog,bear,4-3-10,0035_eid_dnn_4-3-10_bear_10_n02134084_12070.png,n02134084_12070.png,0.0,1.3647156,3.1396818,-1.2550907
alexnet,1,36,NaN,cat,bottle,8-3-10,0036_eid_dnn_8-3-10_bottle_10_n02823428_8525.png,n02823428_8525.png,0.0,3.4632506,4.1388927,-0.47775105
alexnet,1,37,NaN,cat,truck,32-3-10,0037_eid_dnn_32-3-10_truck_10_n04467665_37953.png,n04467665_37953.png,0.0,-0.536302,3.8687048,-3.1148102
alexnet,1,38,NaN,cat,oven,128-3-10,0038_eid_dnn_128-3-10_oven_10_n04111531_4868.png,n04111531_4868.png,0.0,-1.222096,1.8550383,-2.1758626
alexnet,1,39,NaN,elephant,boat,32-3-10,0039_eid_dnn_32-3-10_boat_10_n03662601_19840.png,n03662601_19840.png,0.0,0.23161736,3.5838351,-2.3703759
alexnet,1,40,NaN,bear,truck,8-3-10,0040_eid_dnn_8-3-10_truck_10_n04467665_9331.png,n04467665_9331.png,0.0,2.7578282,4.268689,-1.0683401
alexnet,1,41,NaN,oven,dog,64-3-10,0041_eid_dnn_64-3-10_dog_10_n02111277_16090.png,n02111277_16090.png,0.0,1.6934171,2.9052935,-0.856926
alexnet,1,42,NaN,oven,bottle,4-3-10,0042_eid_dnn_4-3-10_bottle_10_n02823428_6731.png,n02823428_6731.png,0.0,4.9064965,5.916196,-0.71396524
alexnet,1,43,NaN,cat,elephant,8-3-10,0043_eid_dnn_8-3-10_elephant_10_n02504013_8930.png,n02504013_8930.png,0.0,2.1531646,2.3837974,-0.163082
alexnet,1,44,NaN,car,car,4-3-10,0044_eid_dnn_4-3-10_car_10_n03100240_13673.png,n03100240_13673.png,1.0,6.6259007,4.0016117,1.8556526
alexnet,1,45,NaN,clock,bird,128-3-10,0045_eid_dnn_128-3-10_bird_10_n02018207_6819.png,n02018207_6819.png,0.0,-1.5414469,2.0052989,-2.5079281
alexnet,1,46,NaN,elephant,elephant,4-3-10,0046_eid_dnn_4-3-10_elephant_10_n02504013_6065.png,n02504013_6065.png,1.0,4.5076494,1.9387021,1.8165201
alexnet,1,47,NaN,keyboard,cat,1-3-10,0047_eid_dnn_1-3-10_cat_10_n02123394_384.png,n02123394_384.png,0.0,2.4914792,3.902407,-0.9976766
alexnet,1,48,NaN,dog,bicycle,16-3-10,0048_eid_dnn_16-3-10_bicycle_10_n02835271_12608.png,n02835271_12608.png,0.0,-0.044150025,3.119671,-2.2371595
alexnet,1,49,NaN,knife,chair,2-3-10,0049_eid_dnn_2-3-10_chair_10_n03376595_13949.png,n03376595_13949.png,0.0,-0.4937406,1.6431549,-1.5110133
alexnet,1,50,NaN,elephant,airplane,128-3-10,0050_eid_dnn_128-3-10_airplane_10_n02690373_3561.png,n02690373_3561.png,0.0,-3.5327573,2.701052,-4.407969
alexnet,1,51,NaN,oven,bicycle,32-3-10,0051_eid_dnn_32-3-10_bicycle_10_n02835271_8203.png,n02835271_8203.png,0.0,0.900684,3.1913638,-1.6197554
alexnet,1,52,NaN,bicycle,bicycle,2-3-10,0052_eid_dnn_2-3-10_bicycle_10_n03792782_5665.png,n03792782_5665.png,1.0,10.86275,1.5239792,6.6035085
alexnet,1,53,NaN,bicycle,bicycle,128-3-10,0053_eid_dnn_128-3-10_bicycle_10_n02835271_15028.png,n02835271_15028.png,1.0,1.7998748,1.5280622,0.19220051
alexnet,1,54,NaN,clock,clock,1-3-10,0054_eid_dnn_1-3-10_clock_10_n04548280_3318.png,n04548280_3318.png,1.0,14.059974,4.8000064,6.547786
alexnet,1,55,NaN,cat,cat,128-3-10,0055_eid_dnn_128-3-10_cat_10_n02123045_8784.png,n02123045_8784.png,1.0,2.2350123,1.4331641,0.5669923
alexnet,1,56,NaN,cat,knife,128-3-10,0056_eid_dnn_128-3-10_knife_10_n03041632_3247.png,n03041632_3247.png,0.0,-1.028745,2.6016006,-2.567042
