subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
bagnet33,1,1,NaN,cat,car,64-3-10,0001_eid_dnn_64-3-10_car_10_n04285008_8113.png,n04285008_8113.png,0.0,-5.122918,5.4546,-7.479435
bagnet33,1,2,NaN,elephant,oven,8-3-10,0002_eid_dnn_8-3-10_oven_10_n04111531_11848.png,n04111531_11848.png,0.0,3.0102057,4.5818415,-1.1113143
bagnet33,1,3,NaN,knife,truck,8-3-10,0003_eid_dnn_8-3-10_truck_10_n03417042_25458.png,n03417042_25458.png,0.0,-1.0416701,3.490578,-3.2047834
bagnet33,1,4,NaN,elephant,chair,16-3-10,0004_eid_dnn_16-3-10_chair_10_n03376595_6208.png,n03376595_6208.png,0.0,-0.3988083,3.0831962,-2.462149
bagnet33,1,5,NaN,elephant,cat,32-3-10,0005_eid_dnn_32-3-10_cat_10_n02123045_12084.png,n02123045_12084.png,0.0,1.9438406,3.7245862,-1.2591773
bagnet33,1,6,NaN,knife,keyboard,8-3-10,0006_eid_dnn_8-3-10_keyboard_10_n03085013_20884.png,n03085013_20884.png,0.0,0.5142826,2.023796,-1.0673872
bagnet33,1,7,NaN,bottle,airplane,4-3-10,0007_eid_dnn_4-3-10_airplane_10_n02690373_5992.png,n02690373_5992.png,0.0,2.2249675,3.2142148,-0.6995035
bagnet33,1,8,NaN,elephant,bear,32-3-10,0008_eid_dnn_32-3-10_bear_10_n02132136_6641.png,n02132136_6641.png,0.0,3.548647,4.8811913,-0.94225115
bagnet33,1,9,NaN,oven,oven,2-3-10,0009_eid_dnn_2-3-10_oven_10_n04111531_2797.png,n04111531_2797.png,1.0,4.2495646,2.669066,1.1175814
bagnet33,1,10,NaN,airplane,airplane,2-3-10,0010_eid_dnn_2-3-10_airplane_10_n02690373_7457.png,n02690373_7457.png,1.0,17.342346,4.6288333,8.989811
bagnet33,1,11,NaN,elephant,truck,16-3-10,0011_eid_dnn_16-3-10_truck_10_n03796401_2751.png,n03796401_2751.png,0.0,-1.67271,4.296203,-4.220659
bagnet33,1,12,NaN,bear,bear,2-3-10,0012_eid_dnn_2-3-10_bear_10_n02134418_860.png,n02134418_860.png,1.0,2.4425516,2.4160964,0.018706625
bagnet33,1,13,NaN,knife,knife,4-3-10,0013_eid_dnn_4-3-10_knife_10_n03041632_2058.png,n03041632_2058.png,1.0,4.285762,2.3339489,1.3801402
bagnet33,1,14,NaN,cat,airplane,32-3-10,0014_eid_dnn_32-3-10_airplane_10_n02690373_10510.png,n02690373_10510.png,0.0,-3.4056892,2.1046135,-3.8963723
bagnet33,1,15,NaN,elephant,keyboard,64-3-10,0015_eid_dnn_64-3-10_keyboard_10_n03085013_6313.png,n03085013_6313.png,0.0,-1.7127526,8.556503,-7.2614603
bagnet33,1,16,NaN,bottle,bicycle,4-3-10,0016_eid_dnn_4-3-10_bicycle_10_n02835271_6278.png,n02835271_6278.png,0.0,-0.3538216,3.0036604,-2.3740983
bagnet33,1,17,NaN,keyboard,keyboard,2-3-10,0017_eid_dnn_2-3-10_keyboard_10_n03085013_24192.png,n03085013_24192.png,1.0,34.541904,9.154081,17.951902
bagnet33,1,18,NaN,car,car,2-3-10,0018_eid_dnn_2-3-10_car_10_n04285008_8255.png,n04285008_8255.png,1.0,7.710409,7.654319,0.03966187
bagnet33,1,19,NaN,airplane,airplane,2-3-10,0019_eid_dnn_2-3-10_airplane_10_n02690373_4591.png,n02690373_4591.png,1.0,3.5027738,1.8140345,1.194119
bagnet33,1,20,NaN,airplane,airplane,4-3-10,0020_eid_dnn_4-3-10_airplane_10_n02690373_7075.png,n02690373_7075.png,1.0,6.37692,3.2129579,2.2372594
bagnet33,1,21,NaN,knife,bicycle,4-3-10,0021_eid_dnn_4-3-10_bicycle_10_n02835271_21464.png,n02835271_21464.png,0.0,0.007695198,2.0311527,-1.4308006
