subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
resnet50,1,1,NaN,cat,car,64-3-10,0001_eid_dnn_64-3-10_car_10_n04285008_8113.png,n04285008_8113.png,0.0,-1.8744303,1.3497154,-2.2798152
resnet50,1,2,NaN,bottle,oven,8-3-10,0002_eid_dnn_8-3-10_oven_10_n04111531_11848.png,n04111531_11848.png,0.0,3.938919,4.2673087,-0.23220655
resnet50,1,3,NaN,bottle,truck,8-3-10,0003_eid_dnn_8-3-10_truck_10_n03417042_25458.png,n03417042_25458.png,0.0,1.0496247,2.5253313,-1.0434822
resnet50,1,4,NaN,bear,chair,16-3-10,0004_eid_dnn_16-3-10_chair_10_n03376595_6208.png,n03376595_6208.png,0.0,-0.15096104,2.1450872,-1.6235512
resnet50,1,5,NaN,cat,cat,32-3-10,0005_eid_dnn_32-3-10_cat_10_n02123045_12084.png,n02123045_12084.png,1.0,1.1079024,1.0811588,0.018910617
resnet50,1,6,NaN,keyboard,keyboard,8-3-10,0006_eid_dnn_8-3-10_keyboard_10_n03085013_20884.png,n03085013_20884.png,1.0,3.9487314,2.4868956,1.0336741
resnet50,1,7,NaN,airplane,airplane,4-3-10,0007_eid_dnn_4-3-10_airplane_10_n02690373_5992.png,n02690373_5992.png,1.0,6.099867,2.7654738,2.3577719
resnet50,1,8,NaN,airplane,bear,32-3-10,0008_eid_dnn_32-3-10_bear_10_n02132136_6641.png,n02132136_6641.png,0.0,0.9766245,1.1467183,-0.12027446
resnet50,1,9,NaN,oven,oven,2-3-10,0009_eid_dnn_2-3-10_oven_10_n04111531_2797.png,n04111531_2797.png,1.0,4.383582,0.5992281,2.6759424
resnet50,1,10,NaN,airplane,airplane,2-3-10,0010_eid_dnn_2-3-10_airplane_10_n02690373_7457.png,n02690373_7457.png,1.0,18.976421,3.6470532,10.8395
resnet50,1,11,NaN,boat,truck,16-3-10,0011_eid_dnn_16-3-10_truck_10_n03796401_2751.png,n03796401_2751.png,0.0,-0.58378524,2.356675,-2.0792193
resnet50,1,12,NaN,elephant,bear,2-3-10,0012_eid_dnn_2-3-10_bear_10_n02134418_860.png,n02134418_860.png,0.0,2.505943,3.3331964,-0.58495647
resnet50,1,13,NaN,knife,knife,4-3-10,0013_eid_dnn_4-3-10_knife_10_n03041632_2058.png,n03041632_2058.png,1.0,13.439606,2.461068,7.7629986
resnet50,1,14,NaN,elephant,airplane,32-3-10,0014_eid_dnn_32-3-10_airplane_10_n02690373_10510.png,n02690373_10510.png,0.0,-1.3075483,0.7160227,-1.4308808
resnet50,1,15,NaN,dog,keyboard,64-3-10,0015_eid_dnn_64-3-10_keyboard_10_n03085013_6313.png,n03085013_6313.png,0.0,-0.7095306,2.9905384,-2.616344
resnet50,1,16,NaN,bottle,bicycle,4-3-10,0016_eid_dnn_4-3-10_bicycle_10_n02835271_6278.png,n02835271_6278.png,0.0,0.33945984,1.338586,-0.7064889
resnet50,1,17,NaN,keyboard,keyboard,2-3-10,0017_eid_dnn_2-3-10_keyboard_10_n03085013_24192.png,n03085013_24192.png,1.0,13.808456,4.313591,6.713884
resnet50,1,18,NaN,car,car,2-3-10,0018_eid_dnn_2-3-10_car_10_n04285008_8255.png,n04285008_8255.png,1.0,11.566363,4.9480467,4.679857
resnet50,1,19,NaN,airplane,airplane,2-3-10,0019_eid_dnn_2-3-10_airplane_10_n02690373_4591.png,n02690373_4591.png,1.0,11.595293,4.9100895,4.727153
resnet50,1,20,NaN,airplane,airplane,4-3-10,0020_eid_dnn_4-3-10_airplane_10_n02690373_7075.png,n02690373_7075.png,1.0,6.5566225,4.3278627,1.5759711
resnet50,1,21,NaN,bicycle,bicycle,4-3-10,0021_eid_dnn_4-3-10_bicycle_10_n02835271_21464.png,n02835271_21464.png,1.0,3.0926633,2.8576784,0.1661594
resnet50,1,22,NaN,cat,car,64-3-10,0022_eid_dnn_64-3-10_car_10_n03100240_362.png,n03100240_362.png,0.0,-3.0223072,2.6469524,-4.008772
resnet50,1,23,NaN,cat,truck,32-3-10,0023_eid_dnn_32-3-10_truck_10_n04467665_50927.png,n04467665_50927.png,0.0,-0.85175467,3.2038243,-2.8677275
resnet50,1,24,NaN,cat,car,16-3-10,0024_eid_dnn_16-3-10_car_10_n04285008_3651.png,n04285008_3651.png,0.0,-1.521925,1.376355,-2.0493937
resnet50,1,25,NaN,bottle,bottle,8-3-10,0025_eid_dnn_8-3-10_bottle_10_n04557648_4974.png,n04557648_4974.png,1.0,3.8991756,2.3076704,1.1253642
