subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
simclr_resnet50x1,1,1,NaN,bear,car,64-3-10,0001_eid_dnn_64-3-10_car_10_n04285008_8113.png,n04285008_8113.png,0.0,-1.1368771,1.1498008,-1.6169255
simclr_resnet50x1,1,2,NaN,bear,oven,8-3-10,0002_eid_dnn_8-3-10_oven_10_n04111531_11848.png,n04111531_11848.png,0.0,0.8205372,2.3227942,-1.0622561
simclr_resnet50x1,1,3,NaN,knife,truck,8-3-10,0003_eid_dnn_8-3-10_truck_10_n03417042_25458.png,n03417042_25458.png,0.0,-1.1988649,2.274046,-2.455719
simclr_resnet50x1,1,4,NaN,bear,chair,16-3-10,0004_eid_dnn_16-3-10_chair_10_n03376595_6208.png,n03376595_6208.png,0.0,-1.3990532,1.9579883,-2.3737867
simclr_resnet50x1,1,5,NaN,bear,cat,32-3-10,0005_eid_dnn_32-3-10_cat_10_n02123045_12084.png,n02123045_12084.png,0.0,0.8617165,2.18367,-0.9347623
simclr_resnet50x1,1,6,NaN,keyboard,keyboard,8-3-10,0006_eid_dnn_8-3-10_keyboard_10_n03085013_20884.png,n03085013_20884.png,1.0,4.1598263,2.6716332,1.0523114
simclr_resnet50x1,1,7,NaN,airplane,airplane,4-3-10,0007_eid_dnn_4-3-10_airplane_10_n02690373_5992.png,n02690373_5992.png,1.0,6.3751693,2.0200977,3.0795007
simclr_resnet50x1,1,8,NaN,airplane,bear,32-3-10,0008_eid_dnn_32-3-10_bear_10_n02132136_6641.png,n02132136_6641.png,0.0,1.6475284,1.7664609,-0.08409797
simclr_resnet50x1,1,9,NaN,oven,oven,2-3-10,0009_eid_dnn_2-3-10_oven_10_n04111531_2797.png,n04111531_2797.png,1.0,8.884751,1.3407376,5.3344235
simclr_resnet50x1,1,10,NaN,airplane,airplane,2-3-10,0010_eid_dnn_2-3-10_airplane_10_n02690373_7457.png,n02690373_7457.png,1.0,21.78174,4.0681815,12.525377
simclr_resnet50x1,1,11,NaN,bear,truck,16-3-10,0011_eid_dnn_16-3-10_truck_10_n03796401_2751.png,n03796401_2751.png,0.0,-0.44360247,2.3094032,-1.9466691
simclr_resnet50x1,1,12,NaN,bear,bear,2-3-10,0012_eid_dnn_2-3-10_bear_10_n02134418_860.png,n02134418_860.png,1.0,4.197189,3.8133056,0.27144644
simclr_resnet50x1,1,13,NaN,knife,knife,4-3-10,0013_eid_dnn_4-3-10_knife_10_n03041632_2058.png,n03041632_2058.png,1.0,9.847966,2.8432949,4.9530506
simclr_resnet50x1,1,14,NaN,airplane,airplane,32-3-10,0014_eid_dnn_32-3-10_airplane_10_n02690373_10510.png,n02690373_10510.png,1.0,1.1517639,0.81305754,0.23950158
simclr_resnet50x1,1,15,NaN,bear,keyboard,64-3-10,0015_eid_dnn_64-3-10_keyboard_10_n03085013_6313.png,n03085013_6313.png,0.0,-0.90275687,0.8212962,-1.2190897
simclr_resnet50x1,1,16,NaN,cat,bicycle,4-3-10,0016_eid_dnn_4-3-10_bicycle_10_n02835271_6278.png,n02835271_6278.png,0.0,0.27468947,1.1932673,-0.6495327
simclr_resnet50x1,1,17,NaN,keyboard,keyboard,2-3-10,0017_eid_dnn_2-3-10_keyboard_10_n03085013_24192.png,n03085013_24192.png,1.0,19.951553,4.386694,11.006018
simclr_resnet50x1,1,18,NaN,car,car,2-3-10,0018_eid_dnn_2-3-10_car_10_n04285008_8255.png,n04285008_8255.png,1.0,11.032804,6.7537184,3.0257702
simclr_resnet50x1,1,19,NaN,airplane,airplane,2-3-10,0019_eid_dnn_2-3-10_airplane_10_n02690373_4591.png,n02690373_4591.png,1.0,10.019116,3.59791,4.5404787
simclr_resnet50x1,1,20,NaN,airplane,airplane,4-3-10,0020_eid_dnn_4-3-10_airplane_10_n02690373_7075.png,n02690373_7075.png,1.0,6.2298737,2.636382,2.5409822
simclr_resnet50x1,1,21,NaN,bicycle,bicycle,4-3-10,0021_eid_dnn_4-3-10_bicycle_10_n02835271_21464.png,n02835271_21464.png,1.0,1.9182954,0.72613865,0.8429822
simclr_resnet50x1,1,22,NaN,bear,car,64-3-10,0022_eid_dnn_64-3-10_car_10_n03100240_362.png,n03100240_362.png,0.0,-1.3737973,1.5736959,-2.0841923
