subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
vit_b_16,1,1,NaN,cat,car,64-3-10,0001_eid_dnn_64-3-10_car_10_n04285008_8113.png,n04285008_8113.png,0.0,-0.93662447,1.3944817,-1.6483411
vit_b_16,1,2,NaN,oven,oven,8-3-10,0002_eid_dnn_8-3-10_oven_10_n04111531_11848.png,n04111531_11848.png,1.0,1.7305273,1.2132361,0.36578012
vit_b_16,1,3,NaN,bottle,truck,8-3-10,0003_eid_dnn_8-3-10_truck_10_n03417042_25458.png,n03417042_25458.png,0.0,-0.27726606,2.4541554,-1.9314067
vit_b_16,1,4,NaN,cat,chair,16-3-10,0004_eid_dnn_16-3-10_chair_10_n03376595_6208.png,n03376595_6208.png,0.0,-0.68641466,1.3336768,-1.4284204
vit_b_16,1,5,NaN,dog,cat,32-3-10,0005_eid_dnn_32-3-10_cat_10_n02123045_12084.png,n02123045_12084.png,0.0,0.55252737,1.7022699,-0.8129908
vit_b_16,1,6,NaN,keyboard,keyboard,8-3-10,0006_eid_dnn_8-3-10_keyboard_10_n03085013_20884.png,n03085013_20884.png,1.0,7.2521935,0.76710844,4.5856476
vit_b_16,1,7,NaN,airplane,airplane,4-3-10,0007_eid_dnn_4-3-10_airplane_10_n02690373_5992.png,n02690373_5992.png,1.0,8.642229,2.7693446,4.1527567
vit_b_16,1,8,NaN,oven,bear,32-3-10,0008_eid_dnn_32-3-10_bear_10_n02132136_6641.png,n02132136_6641.png,0.0,1.1730609,2.6982992,-1.0785064
vit_b_16,1,9,NaN,oven,oven,2-3-10,0009_eid_dnn_2-3-10_oven_10_n04111531_2797.png,n04111531_2797.png,1.0,9.145003,0.6987141,5.9724283
vit_b_16,1,10,NaN,airplane,airplane,2-3-10,0010_eid_dnn_2-3-10_airplane_10_n02690373_7457.png,n02690373_7457.png,1.0,9.024579,0.35614485,6.1295085
vit_b_16,1,11,NaN,cat,truck,16-3-10,0011_eid_dnn_16-3-10_truck_10_n03796401_2751.png,n03796401_2751.png,0.0,-0.84643877,1.6987872,-1.7997466
vit_b_16,1,12,NaN,bear,bear,2-3-10,0012_eid_dnn_2-3-10_bear_10_n02134418_860.png,n02134418_860.png,1.0,3.9013531,0.7445968,2.232164
vit_b_16,1,13,NaN,knife,knife,4-3-10,0013_eid_dnn_4-3-10_knife_10_n03041632_2058.png,n03041632_2058.png,1.0,9.509505,0.34803605,6.4781375
vit_b_16,1,14,NaN,airplane,airplane,32-3-10,0014_eid_dnn_32-3-10_airplane_10_n02690373_10510.png,n02690373_10510.png,1.0,1.1967715,0.8402169,0.2521222
vit_b_16,1,15,NaN,keyboard,keyboard,64-3-10,0015_eid_dnn_64-3-10_keyboard_10_n03085013_6313.png,n03085013_6313.png,1.0,2.5023794,1.9346572,0.40144023
vit_b_16,1,16,NaN,bicycle,bicycle,4-3-10,0016_eid_dnn_4-3-10_bicycle_10_n02835271_6278.png,n02835271_6278.png,1.0,1.1319731,1.0901917,0.02954393
vit_b_16,1,17,NaN,keyboard,keyboard,2-3-10,0017_eid_dnn_2-3-10_keyboard_10_n03085013_24192.png,n03085013_24192.png,1.0,6.948615,0.33983272,4.673115
vit_b_16,1,18,NaN,car,car,2-3-10,0018_eid_dnn_2-3-10_car_10_n04285008_8255.png,n04285008_8255.png,1.0,6.136534,0.31388554,4.117234
vit_b_16,1,19,NaN,airplane,airplane,2-3-10,0019_eid_dnn_2-3-10_airplane_10_n02690373_4591.png,n02690373_4591.png,1.0,9.597756,0.32118776,6.5595245
vit_b_16,1,20,NaN,airplane,airplane,4-3-10,0020_eid_dnn_4-3-10_airplane_10_n02690373_7075.png,n02690373_7075.png,1.0,8.971259,0.3783436,6.076109
vit_b_16,1,21,NaN,bicycle,bicycle,4-3-10,0021_eid_dnn_4-3-10_bicycle_10_n02835271_21464.png,n02835271_21464.png,1.0,5.8322153,1.5189571,3.0499341
vit_b_16,1,22,NaN,cat,car,64-3-10,0022_eid_dnn_64-3-10_car_10_n03100240_362.png,n03100240_362.png,0.0,-0.87541646,1.7677766,-1.8690197
vit_b_16,1,23,NaN,cat,truck,32-3-10,0023_eid_dnn_32-3-10_truck_10_n04467665_50927.png,n04467665_50927.png,0.0,-1.4864924,1.2785944,-1.9552115
vit_b_16,1,24,NaN,airplane,car,16-3-10,0024_eid_dnn_16-3-10_car_10_n04285008_3651.png,n04285008_3651.png,0.0,-0.7195057,0.93925774,-1.1729228
vit_b_16,1,25,NaN,bottle,bottle,8-3-10,0025_eid_dnn_8-3-10_bottle_10_n04557648_4974.png,n04557648_4974.png,1.0,1.7794278,0.66601765,0.7872999
vit_b_16,1,26,NaN,airplane,bird,16-3-10,0026_eid_dnn_16-3-10_bird_10_n01537544_23499.png,n01537544_23499.png,0.0,-0.004345856,1.6996397,-1.2048998
vit_b_16,1,27,NaN,boat,boat,1-3-10,0027_eid_dnn_1-3-10_boat_10_n04612504_11387.png,n04612504_11387.png,1.0,3.2142746,0.31694883,2.0487187
vit_b_16,1,28,NaN,bottle,bottle,4-3-10,0028_eid_dnn_4-3-10_bottle_10_n03983396_4300.png,n03983396_4300.png,1.0,3.5126998,0.6481961,2.02551
vit_b_16,1,29,NaN,elephant,bottle,64-3-10,0029_eid_dnn_64-3-10_bottle_10_n04591713_6961.png,n04591713_6961.png,0.0,-0.45243242,1.5367496,-1.4065641
vit_b_16,1,30,NaN,dog,clock,128-3-10,0030_eid_dnn_128-3-10_clock_10_n02708093_3361.png,n02708093_3361.png,0.0,-0.06985871,1.1023276,-0.8288609
vit_b_16,1,31,NaN,elephant,truck,32-3-10,0031_eid_dnn_32-3-10_truck_10_n03417042_18374.png,n03417042_18374.png,0.0,-1.1706007,1.2364566,-1.7020465
vit_b_16,1,32,NaN,elephant,knife,64-3-10,0032_eid_dnn_64-3-10_knife_10_n03041632_36280.png,n03041632_36280.png,0.0,0.5387086,0.8379459,-0.21159269
vit_b_16,1,33,NaN,airplane,bird,8-3-10,0033_eid_dnn_8-3-10_bird_10_n01614925_47.png,n01614925_47.png,0.0,-0.00969944,1.3939766,-0.9925489
