subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet_w1_mlp_simclrhn_probe0,1,1,NaN,bear,oven,16-0-10,0001_eid_dnn_16-0-10_oven_10_n04111531_13542.png,n04111531_13542.png,0.0,-1.0778464,0.49825814,-1.1144742
alexnet_w1_mlp_simclrhn_probe0,1,2,NaN,car,car,4-0-10,0002_eid_dnn_4-0-10_car_10_n03100240_5570.png,n03100240_5570.png,1.0,-1.6849198,-2.969439,0.90829223
alexnet_w1_mlp_simclrhn_probe0,1,3,NaN,cat,bird,8-0-10,0003_eid_dnn_8-0-10_bird_10_n01820546_4847.png,n01820546_4847.png,0.0,-6.9674587,0.8795269,-5.548657
alexnet_w1_mlp_simclrhn_probe0,1,4,NaN,bear,bear,32-0-10,0004_eid_dnn_32-0-10_bear_10_n02133161_15561.png,n02133161_15561.png,1.0,1.2253907,0.7076825,0.36607498
alexnet_w1_mlp_simclrhn_probe0,1,5,NaN,oven,bird,64-0-10,0005_eid_dnn_64-0-10_bird_10_n01531178_9584.png,n01531178_9584.png,0.0,-3.2640963,0.5656388,-2.7080317
alexnet_w1_mlp_simclrhn_probe0,1,6,NaN,bear,bicycle,8-0-10,0006_eid_dnn_8-0-10_bicycle_10_n02835271_18846.png,n02835271_18846.png,0.0,-7.9961805,1.5016503,-6.715981
alexnet_w1_mlp_simclrhn_probe0,1,7,NaN,oven,oven,4-0-10,0007_eid_dnn_4-0-10_oven_10_n04111531_73.png,n04111531_73.png,1.0,-0.22686699,-3.2728415,2.1538293
alexnet_w1_mlp_simclrhn_probe0,1,8,NaN,oven,clock,2-0-10,0008_eid_dnn_2-0-10_clock_10_n04548280_6159.png,n04548280_6159.png,0.0,-8.00409,-4.2414455,-2.6605916
alexnet_w1_mlp_simclrhn_probe0,1,9,NaN,oven,chair,32-0-10,0009_eid_dnn_32-0-10_chair_10_n03376595_9395.png,n03376595_9395.png,0.0,-7.2645493,2.0204222,-6.5654664
alexnet_w1_mlp_simclrhn_probe0,1,10,NaN,oven,bicycle,64-0-10,0010_eid_dnn_64-0-10_bicycle_10_n02835271_1918.png,n02835271_1918.png,0.0,-2.9027913,-0.17020556,-1.9322299
alexnet_w1_mlp_simclrhn_probe0,1,11,NaN,oven,bicycle,128-0-10,0011_eid_dnn_128-0-10_bicycle_10_n02835271_42320.png,n02835271_42320.png,0.0,-7.897127,1.1611843,-6.405194
