subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet2023_baseline_pgd,1,1,NaN,elephant,oven,16-0-10,0001_eid_dnn_16-0-10_oven_10_n04111531_13542.png,n04111531_13542.png,0.0,1.9231986,3.9125993,-1.4067187
alexnet2023_baseline_pgd,1,2,NaN,car,car,4-0-10,0002_eid_dnn_4-0-10_car_10_n03100240_5570.png,n03100240_5570.png,1.0,6.895415,4.1974435,1.9077538
alexnet2023_baseline_pgd,1,3,NaN,cat,bird,8-0-10,0003_eid_dnn_8-0-10_bird_10_n01820546_4847.png,n01820546_4847.png,0.0,-1.1235983,3.1251793,-3.0043395
alexnet2023_baseline_pgd,1,4,NaN,airplane,bear,32-0-10,0004_eid_dnn_32-0-10_bear_10_n02133161_15561.png,n02133161_15561.png,0.0,1.599998,3.072067,-1.04091
alexnet2023_baseline_pgd,1,5,NaN,airplane,bird,64-0-10,0005_eid_dnn_64-0-10_bird_10_n01531178_9584.png,n01531178_9584.png,0.0,-0.8336937,2.2523966,-2.1821954
alexnet2023_baseline_pgd,1,6,NaN,elephant,bicycle,8-0-10,0006_eid_dnn_8-0-10_bicycle_10_n02835271_18846.png,n02835271_18846.png,0.0,0.39763895,3.083496,-1.8991878
alexnet2023_baseline_pgd,1,7,NaN,bottle,oven,4-0-10,0007_eid_dnn_4-0-10_oven_10_n04111531_73.png,n04111531_73.png,0.0,3.940845,4.9945707,-0.7450966
alexnet2023_baseline_pgd,1,8,NaN,clock,clock,2-0-10,0008_eid_dnn_2-0-10_clock_10_n04548280_6159.png,n04548280_6159.png,1.0,5.177505,3.8108456,0.96637416
alexnet2023_baseline_pgd,1,9,NaN,oven,chair,32-0-10,0009_eid_dnn_32-0-10_chair_10_n03376595_9395.png,n03376595_9395.png,0.0,-0.81119794,3.2194111,-2.8500712
alexnet2023_baseline_pgd,1,10,NaN,elephant,bicycle,64-0-10,0010_eid_dnn_64-0-10_bicycle_10_n02835271_1918.png,n02835271_1918.png,0.0,-1.5697103,1.2620219,-2.0023372
alexnet2023_baseline_pgd,1,11,NaN,cat,bicycle,128-0-10,0011_eid_dnn_128-0-10_bicycle_10_n02835271_42320.png,n02835271_42320.png,0.0,-2.6243782,2.2561462,-3.4510522
alexnet2023_baseline_pgd,1,12,NaN,elephant,elephant,1-0-10,0012_eid_dnn_1-0-10_elephant_10_n02504458_3628.png,n02504458_3628.png,1.0,17.402142,4.871945,8.860188
alexnet2023_baseline_pgd,1,13,NaN,bear,knife,64-0-10,0013_eid_dnn_64-0-10_knife_10_n03041632_86554.png,n03041632_86554.png,0.0,-1.8296307,1.7587569,-2.537373
alexnet2023_baseline_pgd,1,14,NaN,bear,cat,8-0-10,0014_eid_dnn_8-0-10_cat_10_n02123394_1726.png,n02123394_1726.png,0.0,2.5412035,3.497407,-0.676138
alexnet2023_baseline_pgd,1,15,NaN,elephant,cat,32-0-10,0015_eid_dnn_32-0-10_cat_10_n02123597_6721.png,n02123597_6721.png,0.0,1.287845,3.6470542,-1.6682128
