subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet,1,1,NaN,cat,oven,16-0-10,0001_eid_dnn_16-0-10_oven_10_n04111531_13542.png,n04111531_13542.png,0.0,2.8691878,3.33039,-0.32611915
alexnet,1,2,NaN,car,car,4-0-10,0002_eid_dnn_4-0-10_car_10_n03100240_5570.png,n03100240_5570.png,1.0,6.3015075,4.294749,1.4189928
alexnet,1,3,NaN,cat,bird,8-0-10,0003_eid_dnn_8-0-10_bird_10_n01820546_4847.png,n01820546_4847.png,0.0,-1.9230286,5.929212,-5.5523725
alexnet,1,4,NaN,bear,bear,32-0-10,0004_eid_dnn_32-0-10_bear_10_n02133161_15561.png,n02133161_15561.png,1.0,3.2045422,2.7829344,0.2981217
alexnet,1,5,NaN,elephant,bird,64-0-10,0005_eid_dnn_64-0-10_bird_10_n01531178_9584.png,n01531178_9584.png,0.0,-0.1572444,2.4176836,-1.8207492
alexnet,1,6,NaN,bear,bicycle,8-0-10,0006_eid_dnn_8-0-10_bicycle_10_n02835271_18846.png,n02835271_18846.png,0.0,-0.3820231,4.747563,-3.6271653
alexnet,1,7,NaN,oven,oven,4-0-10,0007_eid_dnn_4-0-10_oven_10_n04111531_73.png,n04111531_73.png,1.0,5.2204294,4.2410316,0.6925388
alexnet,1,8,NaN,clock,clock,2-0-10,0008_eid_dnn_2-0-10_clock_10_n04548280_6159.png,n04548280_6159.png,1.0,4.7164245,4.1191874,0.4223104
alexnet,1,9,NaN,oven,chair,32-0-10,0009_eid_dnn_32-0-10_chair_10_n03376595_9395.png,n03376595_9395.png,0.0,0.54954994,3.7695212,-2.2768636
alexnet,1,10,NaN,bicycle,bicycle,64-0-10,0010_eid_dnn_64-0-10_bicycle_10_n02835271_1918.png,n02835271_1918.png,1.0,1.5841107,1.3449436,0.16911668
alexnet,1,11,NaN,cat,bicycle,128-0-10,0011_eid_dnn_128-0-10_bicycle_10_n02835271_42320.png,n02835271_42320.png,0.0,0.15949148,3.5548942,-2.4009123
alexnet,1,12,NaN,elephant,elephant,1-0-10,0012_eid_dnn_1-0-10_elephant_10_n02504458_3628.png,n02504458_3628.png,1.0,11.858547,6.8621454,3.5329897
alexnet,1,13,NaN,bear,knife,64-0-10,0013_eid_dnn_64-0-10_knife_10_n03041632_86554.png,n03041632_86554.png,0.0,-0.8802142,2.3460507,-2.281314
alexnet,1,14,NaN,dog,cat,8-0-10,0014_eid_dnn_8-0-10_cat_10_n02123394_1726.png,n02123394_1726.png,0.0,1.2958126,2.49576,-0.84849095
alexnet,1,15,NaN,dog,cat,32-0-10,0015_eid_dnn_32-0-10_cat_10_n02123597_6721.png,n02123597_6721.png,0.0,1.9864303,3.3475273,-0.9624409
alexnet,1,16,NaN,elephant,oven,2-0-10,0016_eid_dnn_2-0-10_oven_10_n04111531_21869.png,n04111531_21869.png,0.0,2.4728727,3.845231,-0.9704039
alexnet,1,17,NaN,dog,bear,4-0-10,0017_eid_dnn_4-0-10_bear_10_n02134084_2949.png,n02134084_2949.png,0.0,1.6633816,3.2838476,-1.1458426
alexnet,1,18,NaN,dog,truck,8-0-10,0018_eid_dnn_8-0-10_truck_10_n03417042_18743.png,n03417042_18743.png,0.0,-0.49238718,2.819151,-2.3416111
alexnet,1,19,NaN,dog,bird,16-0-10,0019_eid_dnn_16-0-10_bird_10_n01616318_4246.png,n01616318_4246.png,0.0,-1.3083159,2.669774,-2.8129344
alexnet,1,20,NaN,dog,bicycle,8-0-10,0020_eid_dnn_8-0-10_bicycle_10_n03792782_66771.png,n03792782_66771.png,0.0,-0.17878267,3.2032986,-2.3914926
alexnet,1,21,NaN,keyboard,keyboard,2-0-10,0021_eid_dnn_2-0-10_keyboard_10_n04505470_3531.png,n04505470_3531.png,1.0,14.545776,5.9622746,6.0694523
alexnet,1,22,NaN,bottle,clock,8-0-10,0022_eid_dnn_8-0-10_clock_10_n04548280_6463.png,n04548280_6463.png,0.0,1.8792868,4.3376684,-1.7383384
alexnet,1,23,NaN,cat,keyboard,16-0-10,0023_eid_dnn_16-0-10_keyboard_10_n04505470_4974.png,n04505470_4974.png,0.0,-3.9448304,2.9409878,-4.869009
alexnet,1,24,NaN,oven,chair,4-0-10,0024_eid_dnn_4-0-10_chair_10_n03376595_360.png,n03376595_360.png,0.0,-1.1479665,1.917337,-2.167497
alexnet,1,25,NaN,bear,dog,16-0-10,0025_eid_dnn_16-0-10_dog_10_n02097130_2752.png,n02097130_2752.png,0.0,3.143579,3.5412197,-0.28117445
alexnet,1,26,NaN,chair,bicycle,2-0-10,0026_eid_dnn_2-0-10_bicycle_10_n02835271_3406.png,n02835271_3406.png,0.0,1.8863385,3.0088613,-0.7937435
alexnet,1,27,NaN,oven,bottle,16-0-10,0027_eid_dnn_16-0-10_bottle_10_n04560804_11732.png,n04560804_11732.png,0.0,1.1743543,3.49095,-1.6380806
alexnet,1,28,NaN,bear,bottle,32-0-10,0028_eid_dnn_32-0-10_bottle_10_n04591713_13589.png,n04591713_13589.png,0.0,-0.32163626,2.2536085,-1.820973
alexnet,1,29,NaN,cat,cat,2-0-10,0029_eid_dnn_2-0-10_cat_10_n02123045_4009.png,n02123045_4009.png,1.0,6.1928105,1.8041562,3.1032472
alexnet,1,30,NaN,cat,chair,8-0-10,0030_eid_dnn_8-0-10_chair_10_n02791124_1704.png,n02791124_1704.png,0.0,0.04838437,2.2226179,-1.5374153
alexnet,1,31,NaN,elephant,bicycle,128-0-10,0031_eid_dnn_128-0-10_bicycle_10_n03792782_28395.png,n03792782_28395.png,0.0,1.6052265,2.6120477,-0.7119301
alexnet,1,32,NaN,cat,truck,16-0-10,0032_eid_dnn_16-0-10_truck_10_n03417042_4288.png,n03417042_4288.png,0.0,-0.031767756,3.6820354,-2.6260555
alexnet,1,33,NaN,keyboard,keyboard,1-0-10,0033_eid_dnn_1-0-10_keyboard_10_n04505470_3371.png,n04505470_3371.png,1.0,10.21686,4.7743797,3.8484147
alexnet,1,34,NaN,cat,cat,1-0-10,0034_eid_dnn_1-0-10_cat_10_n02124075_13436.png,n02124075_13436.png,1.0,4.261823,1.4133829,2.0141513
alexnet,1,35,NaN,dog,dog,32-0-10,0035_eid_dnn_32-0-10_dog_10_n02097209_8270.png,n02097209_8270.png,1.0,2.2007647,0.9135021,0.9102321
