subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
bagnet33,1,1,NaN,elephant,oven,16-0-10,0001_eid_dnn_16-0-10_oven_10_n04111531_13542.png,n04111531_13542.png,0.0,0.5389644,6.6347485,-4.3103704
bagnet33,1,2,NaN,truck,car,4-0-10,0002_eid_dnn_4-0-10_car_10_n03100240_5570.png,n03100240_5570.png,0.0,3.377821,4.7668486,-0.98219085
bagnet33,1,3,NaN,elephant,bird,8-0-10,0003_eid_dnn_8-0-10_bird_10_n01820546_4847.png,n01820546_4847.png,0.0,0.49840975,4.699985,-2.9709625
bagnet33,1,4,NaN,elephant,bear,32-0-10,0004_eid_dnn_32-0-10_bear_10_n02133161_15561.png,n02133161_15561.png,0.0,4.324494,5.4814377,-0.8180828
bagnet33,1,5,NaN,elephant,bird,64-0-10,0005_eid_dnn_64-0-10_bird_10_n01531178_9584.png,n01531178_9584.png,0.0,2.6939785,5.181981,-1.7592835
bagnet33,1,6,NaN,bear,bicycle,8-0-10,0006_eid_dnn_8-0-10_bicycle_10_n02835271_18846.png,n02835271_18846.png,0.0,-1.6418471,7.1324043,-6.2043333
bagnet33,1,7,NaN,bottle,oven,4-0-10,0007_eid_dnn_4-0-10_oven_10_n04111531_73.png,n04111531_73.png,0.0,1.9488668,5.723046,-2.6687477
bagnet33,1,8,NaN,dog,clock,2-0-10,0008_eid_dnn_2-0-10_clock_10_n04548280_6159.png,n04548280_6159.png,0.0,2.3019867,2.3195467,-0.012416799
bagnet33,1,9,NaN,elephant,chair,32-0-10,0009_eid_dnn_32-0-10_chair_10_n03376595_9395.png,n03376595_9395.png,0.0,0.4036733,4.8001857,-3.1088037
bagnet33,1,10,NaN,elephant,bicycle,64-0-10,0010_eid_dnn_64-0-10_bicycle_10_n02835271_1918.png,n02835271_1918.png,0.0,-2.4368827,4.283599,-4.7520986
bagnet33,1,11,NaN,elephant,bicycle,128-0-10,0011_eid_dnn_128-0-10_bicycle_10_n02835271_42320.png,n02835271_42320.png,0.0,-2.3301592,6.905159,-6.5303564
bagnet33,1,12,NaN,elephant,elephant,1-0-10,0012_eid_dnn_1-0-10_elephant_10_n02504458_3628.png,n02504458_3628.png,1.0,11.050129,3.1817384,5.563792
bagnet33,1,13,NaN,elephant,knife,64-0-10,0013_eid_dnn_64-0-10_knife_10_n03041632_86554.png,n03041632_86554.png,0.0,-1.01207,5.2818146,-4.4504485
bagnet33,1,14,NaN,cat,cat,8-0-10,0014_eid_dnn_8-0-10_cat_10_n02123394_1726.png,n02123394_1726.png,1.0,1.469921,1.2873175,0.12912016
bagnet33,1,15,NaN,dog,cat,32-0-10,0015_eid_dnn_32-0-10_cat_10_n02123597_6721.png,n02123597_6721.png,0.0,2.875987,3.3874688,-0.36167222
bagnet33,1,16,NaN,bottle,oven,2-0-10,0016_eid_dnn_2-0-10_oven_10_n04111531_21869.png,n04111531_21869.png,0.0,4.345657,5.386199,-0.7357744
bagnet33,1,17,NaN,bear,bear,4-0-10,0017_eid_dnn_4-0-10_bear_10_n02134084_2949.png,n02134084_2949.png,1.0,2.3770523,2.2183928,0.11218918
bagnet33,1,18,NaN,elephant,truck,8-0-10,0018_eid_dnn_8-0-10_truck_10_n03417042_18743.png,n03417042_18743.png,0.0,-1.0412234,3.0291858,-2.8782141
bagnet33,1,19,NaN,elephant,bird,16-0-10,0019_eid_dnn_16-0-10_bird_10_n01616318_4246.png,n01616318_4246.png,0.0,-0.00010904731,2.769301,-1.9582685
bagnet33,1,20,NaN,elephant,bicycle,8-0-10,0020_eid_dnn_8-0-10_bicycle_10_n03792782_66771.png,n03792782_66771.png,0.0,-1.604033,5.590036,-5.086975
bagnet33,1,21,NaN,keyboard,keyboard,2-0-10,0021_eid_dnn_2-0-10_keyboard_10_n04505470_3531.png,n04505470_3531.png,1.0,12.011124,5.204416,4.8130693
bagnet33,1,22,NaN,elephant,clock,8-0-10,0022_eid_dnn_8-0-10_clock_10_n04548280_6463.png,n04548280_6463.png,0.0,0.20589797,5.2797456,-3.5877523
bagnet33,1,23,NaN,cat,keyboard,16-0-10,0023_eid_dnn_16-0-10_keyboard_10_n04505470_4974.png,n04505470_4974.png,0.0,-0.31541306,5.990961,-4.45928
bagnet33,1,24,NaN,bird,chair,4-0-10,0024_eid_dnn_4-0-10_chair_10_n03376595_360.png,n03376595_360.png,0.0,0.32702613,2.274994,-1.3774213
bagnet33,1,25,NaN,elephant,dog,16-0-10,0025_eid_dnn_16-0-10_dog_10_n02097130_2752.png,n02097130_2752.png,0.0,3.6321862,6.372761,-1.937879
bagnet33,1,26,NaN,elephant,bicycle,2-0-10,0026_eid_dnn_2-0-10_bicycle_10_n02835271_3406.png,n02835271_3406.png,0.0,0.1267255,4.4747486,-3.0745165
bagnet33,1,27,NaN,elephant,bottle,16-0-10,0027_eid_dnn_16-0-10_bottle_10_n04560804_11732.png,n04560804_11732.png,0.0,2.5379865,5.689585,-2.2285168
bagnet33,1,28,NaN,elephant,bottle,32-0-10,0028_eid_dnn_32-0-10_bottle_10_n04591713_13589.png,n04591713_13589.png,0.0,-3.3296714,4.862955,-5.793062
bagnet33,1,29,NaN,cat,cat,2-0-10,0029_eid_dnn_2-0-10_cat_10_n02123045_4009.png,n02123045_4009.png,1.0,7.128624,2.5481234,3.238903
bagnet33,1,30,NaN,knife,chair,8-0-10,0030_eid_dnn_8-0-10_chair_10_n02791124_1704.png,n02791124_1704.png,0.0,1.2414356,2.1050167,-0.61064404
bagnet33,1,31,NaN,bear,bicycle,128-0-10,0031_eid_dnn_128-0-10_bicycle_10_n03792782_28395.png,n03792782_28395.png,0.0,-0.8246319,3.6079206,-3.1342878
