subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
convnext_large,1,1,NaN,cat,oven,16-0-10,0001_eid_dnn_16-0-10_oven_10_n04111531_13542.png,n04111531_13542.png,0.0,-0.63342494,2.4629848,-2.1894925
convnext_large,1,2,NaN,car,car,4-0-10,0002_eid_dnn_4-0-10_car_10_n03100240_5570.png,n03100240_5570.png,1.0,6.5627656,2.6149752,2.7915094
convnext_large,1,3,NaN,dog,bird,8-0-10,0003_eid_dnn_8-0-10_bird_10_n01820546_4847.png,n01820546_4847.png,0.0,-0.5610198,1.9205911,-1.7547638
convnext_large,1,4,NaN,airplane,bear,32-0-10,0004_eid_dnn_32-0-10_bear_10_n02133161_15561.png,n02133161_15561.png,0.0,0.18667859,1.0723095,-0.6262356
convnext_large,1,5,NaN,dog,bird,64-0-10,0005_eid_dnn_64-0-10_bird_10_n01531178_9584.png,n01531178_9584.png,0.0,-0.56523275,0.6795495,-0.88019395
convnext_large,1,6,NaN,bear,bicycle,8-0-10,0006_eid_dnn_8-0-10_bicycle_10_n02835271_18846.png,n02835271_18846.png,0.0,0.33451676,2.5622168,-1.5752218
convnext_large,1,7,NaN,bottle,oven,4-0-10,0007_eid_dnn_4-0-10_oven_10_n04111531_73.png,n04111531_73.png,0.0,1.9596338,2.8606713,-0.6371297
convnext_large,1,8,NaN,clock,clock,2-0-10,0008_eid_dnn_2-0-10_clock_10_n04548280_6159.png,n04548280_6159.png,1.0,4.577555,0.8866929,2.6098337
convnext_large,1,9,NaN,clock,chair,32-0-10,0009_eid_dnn_32-0-10_chair_10_n03376595_9395.png,n03376595_9395.png,0.0,-0.32139874,0.7775197,-0.7770527
convnext_large,1,10,NaN,dog,bicycle,64-0-10,0010_eid_dnn_64-0-10_bicycle_10_n02835271_1918.png,n02835271_1918.png,0.0,-0.06366195,1.0188274,-0.7654356
convnext_large,1,11,NaN,cat,bicycle,128-0-10,0011_eid_dnn_128-0-10_bicycle_10_n02835271_42320.png,n02835271_42320.png,0.0,-0.22941542,1.3717188,-1.1321728
convnext_large,1,12,NaN,elephant,elephant,1-0-10,0012_eid_dnn_1-0-10_elephant_10_n02504458_3628.png,n02504458_3628.png,1.0,6.5823793,0.2684545,4.464619
convnext_large,1,13,NaN,clock,knife,64-0-10,0013_eid_dnn_64-0-10_knife_10_n03041632_86554.png,n03041632_86554.png,0.0,0.07798144,0.7344933,-0.46422404
convnext_large,1,14,NaN,cat,cat,8-0-10,0014_eid_dnn_8-0-10_cat_10_n02123394_1726.png,n02123394_1726.png,1.0,1.5375909,0.9580447,0.40980104
convnext_large,1,15,NaN,dog,cat,32-0-10,0015_eid_dnn_32-0-10_cat_10_n02123597_6721.png,n02123597_6721.png,0.0,0.23312156,0.59822875,-0.25816977
convnext_large,1,16,NaN,oven,oven,2-0-10,0016_eid_dnn_2-0-10_oven_10_n04111531_21869.png,n04111531_21869.png,1.0,1.4571574,0.8286638,0.44441205
convnext_large,1,17,NaN,bear,bear,4-0-10,0017_eid_dnn_4-0-10_bear_10_n02134084_2949.png,n02134084_2949.png,1.0,2.249549,0.3780519,1.3233483
convnext_large,1,18,NaN,cat,truck,8-0-10,0018_eid_dnn_8-0-10_truck_10_n03417042_18743.png,n03417042_18743.png,0.0,-0.61911356,1.3886412,-1.419697
convnext_large,1,19,NaN,elephant,bird,16-0-10,0019_eid_dnn_16-0-10_bird_10_n01616318_4246.png,n01616318_4246.png,0.0,-0.17106116,1.9052669,-1.4681857
convnext_large,1,20,NaN,elephant,bicycle,8-0-10,0020_eid_dnn_8-0-10_bicycle_10_n03792782_66771.png,n03792782_66771.png,0.0,-0.340757,1.2916172,-1.1542629
convnext_large,1,21,NaN,keyboard,keyboard,2-0-10,0021_eid_dnn_2-0-10_keyboard_10_n04505470_3531.png,n04505470_3531.png,1.0,5.0884686,0.3676772,3.3381035
convnext_large,1,22,NaN,dog,clock,8-0-10,0022_eid_dnn_8-0-10_clock_10_n04548280_6463.png,n04548280_6463.png,0.0,-0.19327456,0.983167,-0.83186984
convnext_large,1,23,NaN,dog,keyboard,16-0-10,0023_eid_dnn_16-0-10_keyboard_10_n04505470_4974.png,n04505470_4974.png,0.0,-0.37550214,0.86987275,-0.8806131
convnext_large,1,24,NaN,bottle,chair,4-0-10,0024_eid_dnn_4-0-10_chair_10_n03376595_360.png,n03376595_360.png,0.0,0.23879486,2.8879013,-1.8732013
convnext_large,1,25,NaN,cat,dog,16-0-10,0025_eid_dnn_16-0-10_dog_10_n02097130_2752.png,n02097130_2752.png,0.0,0.8271393,2.5161579,-1.1943165
convnext_large,1,26,NaN,bicycle,bicycle,2-0-10,0026_eid_dnn_2-0-10_bicycle_10_n02835271_3406.png,n02835271_3406.png,1.0,4.307905,0.2811101,2.847374
convnext_large,1,27,NaN,knife,bottle,16-0-10,0027_eid_dnn_16-0-10_bottle_10_n04560804_11732.png,n04560804_11732.png,0.0,0.53885627,0.9931855,-0.3212593
convnext_large,1,28,NaN,dog,bottle,32-0-10,0028_eid_dnn_32-0-10_bottle_10_n04591713_13589.png,n04591713_13589.png,0.0,-0.72338,1.3933585,-1.4967602
convnext_large,1,29,NaN,cat,cat,2-0-10,0029_eid_dnn_2-0-10_cat_10_n02123045_4009.png,n02123045_4009.png,1.0,4.134799,0.68565226,2.438915
convnext_large,1,30,NaN,knife,chair,8-0-10,0030_eid_dnn_8-0-10_chair_10_n02791124_1704.png,n02791124_1704.png,0.0,0.373576,0.9032361,-0.37452626
convnext_large,1,31,NaN,dog,bicycle,128-0-10,0031_eid_dnn_128-0-10_bicycle_10_n03792782_28395.png,n03792782_28395.png,0.0,-0.31374782,0.7355426,-0.7419604
convnext_large,1,32,NaN,dog,truck,16-0-10,0032_eid_dnn_16-0-10_truck_10_n03417042_4288.png,n03417042_4288.png,0.0,-0.25321627,1.1170319,-0.9689118
convnext_large,1,33,NaN,keyboard,keyboard,1-0-10,0033_eid_dnn_1-0-10_keyboard_10_n04505470_3371.png,n04505470_3371.png,1.0,6.250096,0.28266442,4.219611
convnext_large,1,34,NaN,cat,cat,1-0-10,0034_eid_dnn_1-0-10_cat_10_n02124075_13436.png,n02124075_13436.png,1.0,3.0490646,1.4702921,1.1163608
convnext_large,1,35,NaN,elephant,dog,32-0-10,0035_eid_dnn_32-0-10_dog_10_n02097209_8270.png,n02097209_8270.png,0.0,0.3925314,0.54956317,-0.11103824
convnext_large,1,36,NaN,cat,clock,128-0-10,0036_eid_dnn_128-0-10_clock_10_n04548280_7795.png,n04548280_7795.png,0.0,-0.07976033,1.6567059,-1.227867
convnext_large,1,37,NaN,cat,car,32-0-10,0037_eid_dnn_32-0-10_car_10_n03100240_21737.png,n03100240_21737.png,0.0,-0.6731891,1.5621358,-1.5806134
convnext_large,1,38,NaN,keyboard,clock,128-0-10,0038_eid_dnn_128-0-10_clock_10_n02708093_1862.png,n02708093_1862.png,0.0,0.70322657,0.9018148,-0.1404231
convnext_large,1,39,NaN,dog,bicycle,64-0-10,0039_eid_dnn_64-0-10_bicycle_10_n03792782_9412.png,n03792782_9412.png,0.0,0.5685221,1.6807945,-0.7864953
convnext_large,1,40,NaN,cat,bear,32-0-10,0040_eid_dnn_32-0-10_bear_10_n02134418_163.png,n02134418_163.png,0.0,0.60109484,0.7272968,-0.089238286
convnext_large,1,41,NaN,cat,keyboard,16-0-10,0041_eid_dnn_16-0-10_keyboard_10_n03085013_25675.png,n03085013_25675.png,0.0,-0.41655117,1.5650643,-1.4012138
convnext_large,1,42,NaN,truck,truck,2-0-10,0042_eid_dnn_2-0-10_truck_10_n03417042_1716.png,n03417042_1716.png,1.0,2.9538715,1.6362717,0.9316838
