subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
simclr_resnet50x1,1,1,NaN,cat,oven,16-0-10,0001_eid_dnn_16-0-10_oven_10_n04111531_13542.png,n04111531_13542.png,0.0,1.4149457,1.9249372,-0.36061847
simclr_resnet50x1,1,2,NaN,car,car,4-0-10,0002_eid_dnn_4-0-10_car_10_n03100240_5570.png,n03100240_5570.png,1.0,5.919866,4.2689176,1.1673969
simclr_resnet50x1,1,3,NaN,bear,bird,8-0-10,0003_eid_dnn_8-0-10_bird_10_n01820546_4847.png,n01820546_4847.png,0.0,-0.8601394,1.9570712,-1.9920688
simclr_resnet50x1,1,4,NaN,clock,bear,32-0-10,0004_eid_dnn_32-0-10_bear_10_n02133161_15561.png,n02133161_15561.png,0.0,0.45448616,1.7015544,-0.8818105
simclr_resnet50x1,1,5,NaN,bottle,bird,64-0-10,0005_eid_dnn_64-0-10_bird_10_n01531178_9584.png,n01531178_9584.png,0.0,-0.33556646,0.91836053,-0.8866603
simclr_resnet50x1,1,6,NaN,bear,bicycle,8-0-10,0006_eid_dnn_8-0-10_bicycle_10_n02835271_18846.png,n02835271_18846.png,0.0,0.19760749,4.386178,-2.9617667
simclr_resnet50x1,1,7,NaN,bottle,oven,4-0-10,0007_eid_dnn_4-0-10_oven_10_n04111531_73.png,n04111531_73.png,0.0,3.3254714,4.3344216,-0.7134356
simclr_resnet50x1,1,8,NaN,clock,clock,2-0-10,0008_eid_dnn_2-0-10_clock_10_n04548280_6159.png,n04548280_6159.png,1.0,6.3218436,2.9365187,2.3937862
simclr_resnet50x1,1,9,NaN,bear,chair,32-0-10,0009_eid_dnn_32-0-10_chair_10_n03376595_9395.png,n03376595_9395.png,0.0,-0.5720837,0.7932342,-0.9654256
simclr_resnet50x1,1,10,NaN,clock,bicycle,64-0-10,0010_eid_dnn_64-0-10_bicycle_10_n02835271_1918.png,n02835271_1918.png,0.0,-1.8467854,0.47970986,-1.6450806
simclr_resnet50x1,1,11,NaN,clock,bicycle,128-0-10,0011_eid_dnn_128-0-10_bicycle_10_n02835271_42320.png,n02835271_42320.png,0.0,-1.9547482,1.3293222,-2.3221886
simclr_resnet50x1,1,12,NaN,elephant,elephant,1-0-10,0012_eid_dnn_1-0-10_elephant_10_n02504458_3628.png,n02504458_3628.png,1.0,12.593536,6.6425486,4.207984
simclr_resnet50x1,1,13,NaN,clock,knife,64-0-10,0013_eid_dnn_64-0-10_knife_10_n03041632_86554.png,n03041632_86554.png,0.0,0.12734297,0.8244526,-0.49293092
simclr_resnet50x1,1,14,NaN,cat,cat,8-0-10,0014_eid_dnn_8-0-10_cat_10_n02123394_1726.png,n02123394_1726.png,1.0,3.1565077,1.8004732,0.95886123
simclr_resnet50x1,1,15,NaN,bear,cat,32-0-10,0015_eid_dnn_32-0-10_cat_10_n02123597_6721.png,n02123597_6721.png,0.0,0.4564731,1.1450994,-0.48693234
simclr_resnet50x1,1,16,NaN,bicycle,oven,2-0-10,0016_eid_dnn_2-0-10_oven_10_n04111531_21869.png,n04111531_21869.png,0.0,2.051919,4.1002903,-1.4484173
simclr_resnet50x1,1,17,NaN,bear,bear,4-0-10,0017_eid_dnn_4-0-10_bear_10_n02134084_2949.png,n02134084_2949.png,1.0,3.4529252,1.686653,1.2489431
simclr_resnet50x1,1,18,NaN,bear,truck,8-0-10,0018_eid_dnn_8-0-10_truck_10_n03417042_18743.png,n03417042_18743.png,0.0,-0.9560971,2.233152,-2.2551396
simclr_resnet50x1,1,19,NaN,airplane,bird,16-0-10,0019_eid_dnn_16-0-10_bird_10_n01616318_4246.png,n01616318_4246.png,0.0,-0.44488955,1.3900117,-1.2974712
simclr_resnet50x1,1,20,NaN,bear,bicycle,8-0-10,0020_eid_dnn_8-0-10_bicycle_10_n03792782_66771.png,n03792782_66771.png,0.0,0.0061044395,3.3043113,-2.3321846
simclr_resnet50x1,1,21,NaN,keyboard,keyboard,2-0-10,0021_eid_dnn_2-0-10_keyboard_10_n04505470_3531.png,n04505470_3531.png,1.0,17.736954,4.769815,9.169151
simclr_resnet50x1,1,22,NaN,bottle,clock,8-0-10,0022_eid_dnn_8-0-10_clock_10_n04548280_6463.png,n04548280_6463.png,0.0,1.294079,3.360832,-1.461415
simclr_resnet50x1,1,23,NaN,oven,keyboard,16-0-10,0023_eid_dnn_16-0-10_keyboard_10_n04505470_4974.png,n04505470_4974.png,0.0,-1.4943912,1.657263,-2.2285562
simclr_resnet50x1,1,24,NaN,bottle,chair,4-0-10,0024_eid_dnn_4-0-10_chair_10_n03376595_360.png,n03376595_360.png,0.0,1.3368464,3.1870875,-1.3083181
simclr_resnet50x1,1,25,NaN,knife,dog,16-0-10,0025_eid_dnn_16-0-10_dog_10_n02097130_2752.png,n02097130_2752.png,0.0,-0.12703417,1.4888129,-1.1425765
simclr_resnet50x1,1,26,NaN,oven,bicycle,2-0-10,0026_eid_dnn_2-0-10_bicycle_10_n02835271_3406.png,n02835271_3406.png,0.0,2.68956,2.9418652,-0.17840677
simclr_resnet50x1,1,27,NaN,bear,bottle,16-0-10,0027_eid_dnn_16-0-10_bottle_10_n04560804_11732.png,n04560804_11732.png,0.0,0.99386895,1.6178439,-0.44121692
