subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
vit_b_16,1,1,NaN,cat,oven,16-0-10,0001_eid_dnn_16-0-10_oven_10_n04111531_13542.png,n04111531_13542.png,0.0,0.5363589,1.4304423,-0.63221246
vit_b_16,1,2,NaN,car,car,4-0-10,0002_eid_dnn_4-0-10_car_10_n03100240_5570.png,n03100240_5570.png,1.0,6.879128,1.5142577,3.7935362
vit_b_16,1,3,NaN,cat,bird,8-0-10,0003_eid_dnn_8-0-10_bird_10_n01820546_4847.png,n01820546_4847.png,0.0,-0.613804,1.9378833,-1.8043153
vit_b_16,1,4,NaN,airplane,bear,32-0-10,0004_eid_dnn_32-0-10_bear_10_n02133161_15561.png,n02133161_15561.png,0.0,-0.15781973,1.682324,-1.3011782
vit_b_16,1,5,NaN,clock,bird,64-0-10,0005_eid_dnn_64-0-10_bird_10_n01531178_9584.png,n01531178_9584.png,0.0,-0.88822407,1.0648911,-1.3810611
vit_b_16,1,6,NaN,bear,bicycle,8-0-10,0006_eid_dnn_8-0-10_bicycle_10_n02835271_18846.png,n02835271_18846.png,0.0,0.33722717,2.7787704,-1.7264318
vit_b_16,1,7,NaN,bottle,oven,4-0-10,0007_eid_dnn_4-0-10_oven_10_n04111531_73.png,n04111531_73.png,0.0,-0.15466113,2.0992484,-1.5937548
vit_b_16,1,8,NaN,clock,clock,2-0-10,0008_eid_dnn_2-0-10_clock_10_n04548280_6159.png,n04548280_6159.png,1.0,6.411745,0.8716229,3.9174578
vit_b_16,1,9,NaN,elephant,chair,32-0-10,0009_eid_dnn_32-0-10_chair_10_n03376595_9395.png,n03376595_9395.png,0.0,-0.84348667,1.1902032,-1.438036
vit_b_16,1,10,NaN,cat,bicycle,64-0-10,0010_eid_dnn_64-0-10_bicycle_10_n02835271_1918.png,n02835271_1918.png,0.0,-0.6919217,1.3274051,-1.4278796
vit_b_16,1,11,NaN,keyboard,bicycle,128-0-10,0011_eid_dnn_128-0-10_bicycle_10_n02835271_42320.png,n02835271_42320.png,0.0,-0.4975041,4.194328,-3.3176262
vit_b_16,1,12,NaN,elephant,elephant,1-0-10,0012_eid_dnn_1-0-10_elephant_10_n02504458_3628.png,n02504458_3628.png,1.0,6.9552584,0.3393586,4.6781473
vit_b_16,1,13,NaN,clock,knife,64-0-10,0013_eid_dnn_64-0-10_knife_10_n03041632_86554.png,n03041632_86554.png,0.0,0.58276474,1.5189348,-0.6619722
vit_b_16,1,14,NaN,airplane,cat,8-0-10,0014_eid_dnn_8-0-10_cat_10_n02123394_1726.png,n02123394_1726.png,0.0,0.64934283,1.6758605,-0.7258576
vit_b_16,1,15,NaN,dog,cat,32-0-10,0015_eid_dnn_32-0-10_cat_10_n02123597_6721.png,n02123597_6721.png,0.0,0.24279465,1.336423,-0.7733121
vit_b_16,1,16,NaN,truck,oven,2-0-10,0016_eid_dnn_2-0-10_oven_10_n04111531_21869.png,n04111531_21869.png,0.0,2.1923733,2.7370038,-0.38511196
vit_b_16,1,17,NaN,bear,bear,4-0-10,0017_eid_dnn_4-0-10_bear_10_n02134084_2949.png,n02134084_2949.png,1.0,2.8514628,0.32316792,1.7877746
vit_b_16,1,18,NaN,dog,truck,8-0-10,0018_eid_dnn_8-0-10_truck_10_n03417042_18743.png,n03417042_18743.png,0.0,-0.4342615,1.488086,-1.359305
vit_b_16,1,19,NaN,dog,bird,16-0-10,0019_eid_dnn_16-0-10_bird_10_n01616318_4246.png,n01616318_4246.png,0.0,-0.40895197,1.432107,-1.3018253
vit_b_16,1,20,NaN,dog,bicycle,8-0-10,0020_eid_dnn_8-0-10_bicycle_10_n03792782_66771.png,n03792782_66771.png,0.0,0.5682322,1.3462561,-0.55014604
vit_b_16,1,21,NaN,keyboard,keyboard,2-0-10,0021_eid_dnn_2-0-10_keyboard_10_n04505470_3531.png,n04505470_3531.png,1.0,5.185917,0.4064051,3.3796253
vit_b_16,1,22,NaN,clock,clock,8-0-10,0022_eid_dnn_8-0-10_clock_10_n04548280_6463.png,n04548280_6463.png,1.0,3.9008782,1.1403078,1.9520181
vit_b_16,1,23,NaN,bear,keyboard,16-0-10,0023_eid_dnn_16-0-10_keyboard_10_n04505470_4974.png,n04505470_4974.png,0.0,0.010456786,1.0631781,-0.7443864
vit_b_16,1,24,NaN,bottle,chair,4-0-10,0024_eid_dnn_4-0-10_chair_10_n03376595_360.png,n03376595_360.png,0.0,0.3132165,2.2855716,-1.3946657
vit_b_16,1,25,NaN,dog,dog,16-0-10,0025_eid_dnn_16-0-10_dog_10_n02097130_2752.png,n02097130_2752.png,1.0,1.2817461,1.0335126,0.17552763
vit_b_16,1,26,NaN,bicycle,bicycle,2-0-10,0026_eid_dnn_2-0-10_bicycle_10_n02835271_3406.png,n02835271_3406.png,1.0,5.688366,0.249706,3.8457136
vit_b_16,1,27,NaN,knife,bottle,16-0-10,0027_eid_dnn_16-0-10_bottle_10_n04560804_11732.png,n04560804_11732.png,0.0,0.89643306,1.2558446,-0.25414234
vit_b_16,1,28,NaN,dog,bottle,32-0-10,0028_eid_dnn_32-0-10_bottle_10_n04591713_13589.png,n04591713_13589.png,0.0,0.38098216,1.2540257,-0.617335
vit_b_16,1,29,NaN,cat,cat,2-0-10,0029_eid_dnn_2-0-10_cat_10_n02123045_4009.png,n02123045_4009.png,1.0,3.6983674,1.957093,1.231267
vit_b_16,1,30,NaN,chair,chair,8-0-10,0030_eid_dnn_8-0-10_chair_10_n02791124_1704.png,n02791124_1704.png,1.0,1.4685668,1.3330189,0.095846824
vit_b_16,1,31,NaN,elephant,bicycle,128-0-10,0031_eid_dnn_128-0-10_bicycle_10_n03792782_28395.png,n03792782_28395.png,0.0,-0.118429765,0.71997446,-0.5928413
vit_b_16,1,32,NaN,dog,truck,16-0-10,0032_eid_dnn_16-0-10_truck_10_n03417042_4288.png,n03417042_4288.png,0.0,-1.30403,1.564768,-2.0285463
vit_b_16,1,33,NaN,keyboard,keyboard,1-0-10,0033_eid_dnn_1-0-10_keyboard_10_n04505470_3371.png,n04505470_3371.png,1.0,7.572312,0.33447048,5.117927
vit_b_16,1,34,NaN,cat,cat,1-0-10,0034_eid_dnn_1-0-10_cat_10_n02124075_13436.png,n02124075_13436.png,1.0,2.1340737,1.5453455,0.4162937
vit_b_16,1,35,NaN,elephant,dog,32-0-10,0035_eid_dnn_32-0-10_dog_10_n02097209_8270.png,n02097209_8270.png,0.0,0.6256275,1.4540894,-0.585811
vit_b_16,1,36,NaN,cat,clock,128-0-10,0036_eid_dnn_128-0-10_clock_10_n04548280_7795.png,n04548280_7795.png,0.0,0.046422634,2.0800202,-1.4379706
vit_b_16,1,37,NaN,elephant,car,32-0-10,0037_eid_dnn_32-0-10_car_10_n03100240_21737.png,n03100240_21737.png,0.0,-0.38482597,1.4761498,-1.3159086
vit_b_16,1,38,NaN,keyboard,clock,128-0-10,0038_eid_dnn_128-0-10_clock_10_n02708093_1862.png,n02708093_1862.png,0.0,1.3128296,4.3190436,-2.1257145
vit_b_16,1,39,NaN,dog,bicycle,64-0-10,0039_eid_dnn_64-0-10_bicycle_10_n03792782_9412.png,n03792782_9412.png,0.0,-0.019036736,1.0444429,-0.7519937
vit_b_16,1,40,NaN,elephant,bear,32-0-10,0040_eid_dnn_32-0-10_bear_10_n02134418_163.png,n02134418_163.png,0.0,1.567095,2.362733,-0.5626009
vit_b_16,1,41,NaN,airplane,keyboard,16-0-10,0041_eid_dnn_16-0-10_keyboard_10_n03085013_25675.png,n03085013_25675.png,0.0,-0.5749531,2.5334835,-2.1979966
vit_b_16,1,42,NaN,truck,truck,2-0-10,0042_eid_dnn_2-0-10_truck_10_n03417042_1716.png,n03417042_1716.png,1.0,3.176215,0.9331972,1.586053
vit_b_16,1,43,NaN,elephant,keyboard,128-0-10,0043_eid_dnn_128-0-10_keyboard_10_n03085013_18854.png,n03085013_18854.png,0.0,0.060702607,1.4656928,-0.9934781
vit_b_16,1,44,NaN,clock,bottle,32-0-10,0044_eid_dnn_32-0-10_bottle_10_n04591713_4865.png,n04591713_4865.png,0.0,-0.08063022,0.58325857,-0.46944028
vit_b_16,1,45,NaN,cat,bicycle,32-0-10,0045_eid_dnn_32-0-10_bicycle_10_n03792782_693.png,n03792782_693.png,0.0,-0.6989305,1.7884779,-1.7588633
