subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet2023_baseline_pgd,1,1,NaN,knife,knife,true,0001_fc_dnn_true_knife_35_n03041632_86251.png,n03041632_86251.png,1.0,20.009232,2.6442783,12.278877
alexnet2023_baseline_pgd,1,2,NaN,car,car,false,0002_fc_dnn_false_car_35_n03100240_16866.png,n03100240_16866.png,1.0,18.48452,10.2522545,5.8210907
alexnet2023_baseline_pgd,1,3,NaN,knife,keyboard,false,0003_fc_dnn_false_keyboard_35_n03085013_21127.png,n03085013_21127.png,0.0,4.4970846,7.457488,-2.0933213
alexnet2023_baseline_pgd,1,4,NaN,truck,truck,true,0004_fc_dnn_true_truck_35_n03417042_10694.png,n03417042_10694.png,1.0,13.423445,6.1924424,5.113091
alexnet2023_baseline_pgd,1,5,NaN,bird,bird,true,0005_fc_dnn_true_bird_35_n01614925_1962.png,n01614925_1962.png,1.0,8.490177,6.3276205,1.5291585
alexnet2023_baseline_pgd,1,6,NaN,chair,knife,false,0006_fc_dnn_false_knife_35_n03041632_99875.png,n03041632_99875.png,0.0,3.3087945,3.616944,-0.21789466
alexnet2023_baseline_pgd,1,7,NaN,bicycle,bicycle,true,0007_fc_dnn_true_bicycle_35_n03792782_14935.png,n03792782_14935.png,1.0,10.867077,4.6732593,4.3796906
alexnet2023_baseline_pgd,1,8,NaN,elephant,elephant,false,0008_fc_dnn_false_elephant_35_n02504013_5027.png,n02504013_5027.png,1.0,9.796146,6.0904775,2.6203036
alexnet2023_baseline_pgd,1,9,NaN,knife,dog,false,0009_fc_dnn_false_dog_35_n02090721_129.png,n02090721_129.png,0.0,-0.6857542,2.9678729,-2.5835044
alexnet2023_baseline_pgd,1,10,NaN,airplane,airplane,true,0010_fc_dnn_true_airplane_35_n02690373_9241.png,n02690373_9241.png,1.0,24.491232,8.132298,11.5675125
alexnet2023_baseline_pgd,1,11,NaN,truck,truck,true,0011_fc_dnn_true_truck_35_n04467665_62080.png,n04467665_62080.png,1.0,14.684092,10.620896,2.873113
alexnet2023_baseline_pgd,1,12,NaN,keyboard,keyboard,true,0012_fc_dnn_true_keyboard_35_n04505470_2669.png,n04505470_2669.png,1.0,7.734873,4.3060565,2.4245393
alexnet2023_baseline_pgd,1,13,NaN,oven,oven,false,0013_fc_dnn_false_oven_35_n04111531_688.png,n04111531_688.png,1.0,6.795113,5.343522,1.0264299
alexnet2023_baseline_pgd,1,14,NaN,car,car,true,0014_fc_dnn_true_car_35_n03100240_21982.png,n03100240_21982.png,1.0,22.115753,11.465912,7.5305753
alexnet2023_baseline_pgd,1,15,NaN,bicycle,bicycle,true,0015_fc_dnn_true_bicycle_35_n02835271_4191.png,n02835271_4191.png,1.0,15.620629,2.401937,9.347028
alexnet2023_baseline_pgd,1,16,NaN,car,car,true,0016_fc_dnn_true_car_35_n02814533_25278.png,n02814533_25278.png,1.0,18.516037,10.692413,5.5321374
alexnet2023_baseline_pgd,1,17,NaN,knife,knife,false,0017_fc_dnn_false_knife_35_n03041632_23087.png,n03041632_23087.png,1.0,6.9522123,3.1609128,2.6808536
alexnet2023_baseline_pgd,1,18,NaN,clock,clock,true,0018_fc_dnn_true_clock_35_n03196217_11252.png,n03196217_11252.png,1.0,6.735618,6.2696333,0.32950103
alexnet2023_baseline_pgd,1,19,NaN,boat,boat,false,0019_fc_dnn_false_boat_35_n04273569_2040.png,n04273569_2040.png,1.0,11.381369,11.154148,0.16066918
alexnet2023_baseline_pgd,1,20,NaN,knife,knife,true,0020_fc_dnn_true_knife_35_n03041632_84869.png,n03041632_84869.png,1.0,17.094887,4.115664,9.177697
alexnet2023_baseline_pgd,1,21,NaN,clock,clock,true,0021_fc_dnn_true_clock_35_n04548280_503.png,n04548280_503.png,1.0,11.866359,4.2005754,5.4205275
alexnet2023_baseline_pgd,1,22,NaN,truck,truck,false,0022_fc_dnn_false_truck_35_n03417042_10654.png,n03417042_10654.png,1.0,9.085024,5.884264,2.263279
alexnet2023_baseline_pgd,1,23,NaN,boat,boat,true,0023_fc_dnn_true_boat_35_n03344393_2919.png,n03344393_2919.png,1.0,11.629065,9.184574,1.7285157
alexnet2023_baseline_pgd,1,24,NaN,chair,chair,false,0024_fc_dnn_false_chair_35_n04099969_7718.png,n04099969_7718.png,1.0,9.811665,3.3023663,4.602769
alexnet2023_baseline_pgd,1,25,NaN,oven,oven,true,0025_fc_dnn_true_oven_35_n04111531_3477.png,n04111531_3477.png,1.0,12.727865,1.4147727,7.999564
alexnet2023_baseline_pgd,1,26,NaN,dog,dog,false,0026_fc_dnn_false_dog_35_n02113712_913.png,n02113712_913.png,1.0,6.570704,3.640481,2.0719805
alexnet2023_baseline_pgd,1,27,NaN,chair,chair,false,0027_fc_dnn_false_chair_35_n02791124_13701.png,n02791124_13701.png,1.0,6.7165003,4.1955876,1.7825545
alexnet2023_baseline_pgd,1,28,NaN,airplane,airplane,true,0028_fc_dnn_true_airplane_35_n02690373_8538.png,n02690373_8538.png,1.0,18.881044,7.7018986,7.90485
alexnet2023_baseline_pgd,1,29,NaN,knife,knife,true,0029_fc_dnn_true_knife_35_n03041632_98864.png,n03041632_98864.png,1.0,6.761006,2.64391,2.9112265
alexnet2023_baseline_pgd,1,30,NaN,clock,clock,false,0030_fc_dnn_false_clock_35_n04548280_5466.png,n04548280_5466.png,1.0,5.0203643,3.0121033,1.4200549
alexnet2023_baseline_pgd,1,31,NaN,keyboard,keyboard,true,0031_fc_dnn_true_keyboard_35_n04505470_4033.png,n04505470_4033.png,1.0,17.84091,4.77347,9.240076
alexnet2023_baseline_pgd,1,32,NaN,boat,boat,false,0032_fc_dnn_false_boat_35_n03344393_7503.png,n03344393_7503.png,1.0,5.730193,3.684591,1.4464592
alexnet2023_baseline_pgd,1,33,NaN,bottle,bottle,false,0033_fc_dnn_false_bottle_35_n02823428_3402.png,n02823428_3402.png,1.0,10.825358,7.8531346,2.1016796
alexnet2023_baseline_pgd,1,34,NaN,car,boat,true,0034_fc_dnn_true_boat_35_n03662601_15766.png,n03662601_15766.png,0.0,7.4733634,8.883424,-0.9970633
alexnet2023_baseline_pgd,1,35,NaN,dog,dog,true,0035_fc_dnn_true_dog_35_n02097047_1351.png,n02097047_1351.png,1.0,5.357243,4.451838,0.6402181
alexnet2023_baseline_pgd,1,36,NaN,keyboard,keyboard,true,0036_fc_dnn_true_keyboard_35_n03085013_23562.png,n03085013_23562.png,1.0,8.311818,6.478778,1.2961552
alexnet2023_baseline_pgd,1,37,NaN,chair,clock,false,0037_fc_dnn_false_clock_35_n04548280_7872.png,n04548280_7872.png,0.0,3.7803173,4.6049304,-0.58308953
alexnet2023_baseline_pgd,1,38,NaN,dog,dog,false,0038_fc_dnn_false_dog_35_n02106166_16884.png,n02106166_16884.png,1.0,6.8213224,2.7754238,2.8608823
alexnet2023_baseline_pgd,1,39,NaN,oven,oven,true,0039_fc_dnn_true_oven_35_n04111531_3353.png,n04111531_3353.png,1.0,11.84422,3.010482,6.2463965
alexnet2023_baseline_pgd,1,40,NaN,knife,knife,false,0040_fc_dnn_false_knife_35_n03041632_46185.png,n03041632_46185.png,1.0,8.635685,4.921646,2.6262221
alexnet2023_baseline_pgd,1,41,NaN,knife,knife,true,0041_fc_dnn_true_knife_35_n03041632_14766.png,n03041632_14766.png,1.0,14.842139,2.7054899,8.581907
alexnet2023_baseline_pgd,1,42,NaN,chair,chair,true,0042_fc_dnn_true_chair_35_n02791124_2150.png,n02791124_2150.png,1.0,6.818146,4.3712344,1.730228
alexnet2023_baseline_pgd,1,43,NaN,elephant,elephant,false,0043_fc_dnn_false_elephant_35_n02504458_4631.png,n02504458_4631.png,1.0,12.697624,3.0708995,6.807122
alexnet2023_baseline_pgd,1,44,NaN,chair,chair,false,0044_fc_dnn_false_chair_35_n03376595_3223.png,n03376595_3223.png,1.0,7.0977783,5.083684,1.4241798
alexnet2023_baseline_pgd,1,45,NaN,car,car,false,0045_fc_dnn_false_car_35_n03100240_5399.png,n03100240_5399.png,1.0,19.06139,9.351578,6.8658743
alexnet2023_baseline_pgd,1,46,NaN,bottle,bottle,true,0046_fc_dnn_true_bottle_35_n04557648_2512.png,n04557648_2512.png,1.0,3.588246,3.3437347,0.17289566
alexnet2023_baseline_pgd,1,47,NaN,bicycle,bicycle,true,0047_fc_dnn_true_bicycle_35_n03792782_8098.png,n03792782_8098.png,1.0,6.4837084,2.6585,2.704831
alexnet2023_baseline_pgd,1,48,NaN,bear,bear,true,0048_fc_dnn_true_bear_35_n02134418_11557.png,n02134418_11557.png,1.0,11.746258,3.9184358,5.5351057
alexnet2023_baseline_pgd,1,49,NaN,knife,knife,true,0049_fc_dnn_true_knife_35_n03041632_45569.png,n03041632_45569.png,1.0,9.290733,2.0864697,5.094184
alexnet2023_baseline_pgd,1,50,NaN,bicycle,bicycle,false,0050_fc_dnn_false_bicycle_35_n03792782_4740.png,n03792782_4740.png,1.0,10.5675335,4.249309,4.4676595
alexnet2023_baseline_pgd,1,51,NaN,boat,boat,false,0051_fc_dnn_false_boat_35_n03662601_25404.png,n03662601_25404.png,1.0,4.3572793,3.811244,0.38610527
alexnet2023_baseline_pgd,1,52,NaN,bird,bird,false,0052_fc_dnn_false_bird_35_n01796340_4853.png,n01796340_4853.png,1.0,4.83337,2.8159516,1.4265304
alexnet2023_baseline_pgd,1,53,NaN,car,clock,true,0053_fc_dnn_true_clock_35_n03196217_5888.png,n03196217_5888.png,0.0,4.7613387,6.073824,-0.9280672
