subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
resnet50,1,1,NaN,knife,knife,true,0001_fc_dnn_true_knife_35_n03041632_86251.png,n03041632_86251.png,1.0,23.899242,2.976301,14.794754
resnet50,1,2,NaN,car,car,false,0002_fc_dnn_false_car_35_n03100240_16866.png,n03100240_16866.png,1.0,13.765167,4.7640953,6.364719
resnet50,1,3,NaN,keyboard,keyboard,false,0003_fc_dnn_false_keyboard_35_n03085013_21127.png,n03085013_21127.png,1.0,6.358581,3.8928874,1.7435088
resnet50,1,4,NaN,truck,truck,true,0004_fc_dnn_true_truck_35_n03417042_10694.png,n03417042_10694.png,1.0,8.782921,1.2024277,5.360218
resnet50,1,5,NaN,bird,bird,true,0005_fc_dnn_true_bird_35_n01614925_1962.png,n01614925_1962.png,1.0,5.639717,3.209568,1.718375
resnet50,1,6,NaN,oven,knife,false,0006_fc_dnn_false_knife_35_n03041632_99875.png,n03041632_99875.png,0.0,4.203478,5.2950335,-0.77184635
resnet50,1,7,NaN,bicycle,bicycle,true,0007_fc_dnn_true_bicycle_35_n03792782_14935.png,n03792782_14935.png,1.0,11.557891,3.9518101,5.3783116
resnet50,1,8,NaN,elephant,elephant,false,0008_fc_dnn_false_elephant_35_n02504013_5027.png,n02504013_5027.png,1.0,13.660055,3.3239937,7.308699
resnet50,1,9,NaN,cat,dog,false,0009_fc_dnn_false_dog_35_n02090721_129.png,n02090721_129.png,0.0,2.4711003,4.301192,-1.2940701
resnet50,1,10,NaN,airplane,airplane,true,0010_fc_dnn_true_airplane_35_n02690373_9241.png,n02690373_9241.png,1.0,15.507211,3.7626607,8.304651
resnet50,1,11,NaN,truck,truck,true,0011_fc_dnn_true_truck_35_n04467665_62080.png,n04467665_62080.png,1.0,11.376683,5.5776772,4.1005163
resnet50,1,12,NaN,keyboard,keyboard,true,0012_fc_dnn_true_keyboard_35_n04505470_2669.png,n04505470_2669.png,1.0,8.94421,2.254746,4.7301655
resnet50,1,13,NaN,oven,oven,false,0013_fc_dnn_false_oven_35_n04111531_688.png,n04111531_688.png,1.0,5.4213347,2.077727,2.3642876
resnet50,1,14,NaN,car,car,true,0014_fc_dnn_true_car_35_n03100240_21982.png,n03100240_21982.png,1.0,10.852874,5.5636463,3.7400486
resnet50,1,15,NaN,bicycle,bicycle,true,0015_fc_dnn_true_bicycle_35_n02835271_4191.png,n02835271_4191.png,1.0,18.329649,1.4519541,11.934333
resnet50,1,16,NaN,car,car,true,0016_fc_dnn_true_car_35_n02814533_25278.png,n02814533_25278.png,1.0,14.66653,6.780677,5.57614
resnet50,1,17,NaN,knife,knife,false,0017_fc_dnn_false_knife_35_n03041632_23087.png,n03041632_23087.png,1.0,5.2075357,4.687583,0.36766213
resnet50,1,18,NaN,clock,clock,true,0018_fc_dnn_true_clock_35_n03196217_11252.png,n03196217_11252.png,1.0,16.116095,6.9308567,6.494944
resnet50,1,19,NaN,boat,boat,false,0019_fc_dnn_false_boat_35_n04273569_2040.png,n04273569_2040.png,1.0,13.542821,6.8902225,4.7040973
resnet50,1,20,NaN,knife,knife,true,0020_fc_dnn_true_knife_35_n03041632_84869.png,n03041632_84869.png,1.0,22.032398,8.163616,9.80671
resnet50,1,21,NaN,clock,clock,true,0021_fc_dnn_true_clock_35_n04548280_503.png,n04548280_503.png,1.0,13.050368,4.5313168,6.023879
