subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
simclr_resnet50x1,1,1,NaN,knife,knife,true,0001_fc_dnn_true_knife_35_n03041632_86251.png,n03041632_86251.png,1.0,15.398352,3.9811313,8.073194
simclr_resnet50x1,1,2,NaN,car,car,false,0002_fc_dnn_false_car_35_n03100240_16866.png,n03100240_16866.png,1.0,13.250981,5.9010983,5.197152
simclr_resnet50x1,1,3,NaN,keyboard,keyboard,false,0003_fc_dnn_false_keyboard_35_n03085013_21127.png,n03085013_21127.png,1.0,6.571991,6.2799654,0.20649326
simclr_resnet50x1,1,4,NaN,truck,truck,true,0004_fc_dnn_true_truck_35_n03417042_10694.png,n03417042_10694.png,1.0,11.908527,5.6748986,4.407841
simclr_resnet50x1,1,5,NaN,bird,bird,true,0005_fc_dnn_true_bird_35_n01614925_1962.png,n01614925_1962.png,1.0,6.777093,3.4439716,2.3568728
simclr_resnet50x1,1,6,NaN,knife,knife,false,0006_fc_dnn_false_knife_35_n03041632_99875.png,n03041632_99875.png,1.0,6.281951,1.603287,3.3083153
simclr_resnet50x1,1,7,NaN,bicycle,bicycle,true,0007_fc_dnn_true_bicycle_35_n03792782_14935.png,n03792782_14935.png,1.0,11.680706,3.1431289,6.0369782
simclr_resnet50x1,1,8,NaN,elephant,elephant,false,0008_fc_dnn_false_elephant_35_n02504013_5027.png,n02504013_5027.png,1.0,10.804126,4.091219,4.7467422
simclr_resnet50x1,1,9,NaN,dog,dog,false,0009_fc_dnn_false_dog_35_n02090721_129.png,n02090721_129.png,1.0,4.5964384,3.761031,0.5907223
simclr_resnet50x1,1,10,NaN,airplane,airplane,true,0010_fc_dnn_true_airplane_35_n02690373_9241.png,n02690373_9241.png,1.0,26.34519,7.9925985,12.977242
simclr_resnet50x1,1,11,NaN,truck,truck,true,0011_fc_dnn_true_truck_35_n04467665_62080.png,n04467665_62080.png,1.0,13.104925,8.266996,3.4209323
simclr_resnet50x1,1,12,NaN,keyboard,keyboard,true,0012_fc_dnn_true_keyboard_35_n04505470_2669.png,n04505470_2669.png,1.0,15.603778,4.7576923,7.6693406
simclr_resnet50x1,1,13,NaN,oven,oven,false,0013_fc_dnn_false_oven_35_n04111531_688.png,n04111531_688.png,1.0,13.076038,4.880728,5.79496
simclr_resnet50x1,1,14,NaN,car,car,true,0014_fc_dnn_true_car_35_n03100240_21982.png,n03100240_21982.png,1.0,13.687234,10.230567,2.4442327
simclr_resnet50x1,1,15,NaN,bicycle,bicycle,true,0015_fc_dnn_true_bicycle_35_n02835271_4191.png,n02835271_4191.png,1.0,18.925638,3.488794,10.915497
simclr_resnet50x1,1,16,NaN,car,car,true,0016_fc_dnn_true_car_35_n02814533_25278.png,n02814533_25278.png,1.0,12.491252,8.178903,3.0492916
simclr_resnet50x1,1,17,NaN,knife,knife,false,0017_fc_dnn_false_knife_35_n03041632_23087.png,n03041632_23087.png,1.0,9.153981,3.0001144,4.351441
simclr_resnet50x1,1,18,NaN,clock,clock,true,0018_fc_dnn_true_clock_35_n03196217_11252.png,n03196217_11252.png,1.0,20.500431,7.4638176,9.218278
simclr_resnet50x1,1,19,NaN,boat,boat,false,0019_fc_dnn_false_boat_35_n04273569_2040.png,n04273569_2040.png,1.0,15.17729,8.586425,4.6604457
simclr_resnet50x1,1,20,NaN,knife,knife,true,0020_fc_dnn_true_knife_35_n03041632_84869.png,n03041632_84869.png,1.0,13.337196,2.3200486,7.7903004
simclr_resnet50x1,1,21,NaN,clock,clock,true,0021_fc_dnn_true_clock_35_n04548280_503.png,n04548280_503.png,1.0,19.754889,3.4616013,11.521094
simclr_resnet50x1,1,22,NaN,truck,truck,false,0022_fc_dnn_false_truck_35_n03417042_10654.png,n03417042_10654.png,1.0,8.316092,4.683625,2.5685415
simclr_resnet50x1,1,23,NaN,boat,boat,true,0023_fc_dnn_true_boat_35_n03344393_2919.png,n03344393_2919.png,1.0,10.174787,5.572632,3.2542148
simclr_resnet50x1,1,24,NaN,chair,chair,false,0024_fc_dnn_false_chair_35_n04099969_7718.png,n04099969_7718.png,1.0,8.337331,2.9493427,3.8098829
simclr_resnet50x1,1,25,NaN,oven,oven,true,0025_fc_dnn_true_oven_35_n04111531_3477.png,n04111531_3477.png,1.0,18.009655,7.3474255,7.539335
simclr_resnet50x1,1,26,NaN,dog,dog,false,0026_fc_dnn_false_dog_35_n02113712_913.png,n02113712_913.png,1.0,5.2641945,2.9267328,1.652835
simclr_resnet50x1,1,27,NaN,airplane,chair,false,0027_fc_dnn_false_chair_35_n02791124_13701.png,n02791124_13701.png,0.0,3.6547985,4.9741435,-0.93291783
simclr_resnet50x1,1,28,NaN,airplane,airplane,true,0028_fc_dnn_true_airplane_35_n02690373_8538.png,n02690373_8538.png,1.0,26.596231,8.47677,12.812394
simclr_resnet50x1,1,29,NaN,knife,knife,true,0029_fc_dnn_true_knife_35_n03041632_98864.png,n03041632_98864.png,1.0,4.577832,2.787943,1.2656429
simclr_resnet50x1,1,30,NaN,clock,clock,false,0030_fc_dnn_false_clock_35_n04548280_5466.png,n04548280_5466.png,1.0,12.694945,4.0740433,6.0958986
simclr_resnet50x1,1,31,NaN,keyboard,keyboard,true,0031_fc_dnn_true_keyboard_35_n04505470_4033.png,n04505470_4033.png,1.0,24.193329,8.824263,10.867571
simclr_resnet50x1,1,32,NaN,boat,boat,false,0032_fc_dnn_false_boat_35_n03344393_7503.png,n03344393_7503.png,1.0,10.10918,6.9499264,2.23393
simclr_resnet50x1,1,33,NaN,bottle,bottle,false,0033_fc_dnn_false_bottle_35_n02823428_3402.png,n02823428_3402.png,1.0,6.2273436,2.64308,2.5344572
simclr_resnet50x1,1,34,NaN,truck,boat,true,0034_fc_dnn_true_boat_35_n03662601_15766.png,n03662601_15766.png,0.0,6.3699503,7.7083545,-0.9463947
simclr_resnet50x1,1,35,NaN,dog,dog,true,0035_fc_dnn_true_dog_35_n02097047_1351.png,n02097047_1351.png,1.0,5.9629908,4.1713977,1.2668476
simclr_resnet50x1,1,36,NaN,keyboard,keyboard,true,0036_fc_dnn_true_keyboard_35_n03085013_23562.png,n03085013_23562.png,1.0,10.232124,2.9887812,5.121817
simclr_resnet50x1,1,37,NaN,clock,clock,false,0037_fc_dnn_false_clock_35_n04548280_7872.png,n04548280_7872.png,1.0,6.843447,4.7657185,1.469176
simclr_resnet50x1,1,38,NaN,dog,dog,false,0038_fc_dnn_false_dog_35_n02106166_16884.png,n02106166_16884.png,1.0,4.016041,3.076327,0.66447794
simclr_resnet50x1,1,39,NaN,oven,oven,true,0039_fc_dnn_true_oven_35_n04111531_3353.png,n04111531_3353.png,1.0,13.783095,6.3751335,5.23822
simclr_resnet50x1,1,40,NaN,knife,knife,false,0040_fc_dnn_false_knife_35_n03041632_46185.png,n03041632_46185.png,1.0,8.085047,4.5664067,2.4880543
simclr_resnet50x1,1,41,NaN,knife,knife,true,0041_fc_dnn_true_knife_35_n03041632_14766.png,n03041632_14766.png,1.0,13.292435,3.4308264,6.9732103
simclr_resnet50x1,1,42,NaN,chair,chair,true,0042_fc_dnn_true_chair_35_n02791124_2150.png,n02791124_2150.png,1.0,6.888709,4.9965086,1.3379878
simclr_resnet50x1,1,43,NaN,elephant,elephant,false,0043_fc_dnn_false_elephant_35_n02504458_4631.png,n02504458_4631.png,1.0,25.916344,9.908243,11.319437
simclr_resnet50x1,1,44,NaN,chair,chair,false,0044_fc_dnn_false_chair_35_n03376595_3223.png,n03376595_3223.png,1.0,6.2528434,3.7330868,1.781737
simclr_resnet50x1,1,45,NaN,car,car,false,0045_fc_dnn_false_car_35_n03100240_5399.png,n03100240_5399.png,1.0,12.032987,6.791173,3.706522
simclr_resnet50x1,1,46,NaN,oven,bottle,true,0046_fc_dnn_true_bottle_35_n04557648_2512.png,n04557648_2512.png,0.0,3.1656146,3.5551963,-0.27547586
simclr_resnet50x1,1,47,NaN,bicycle,bicycle,true,0047_fc_dnn_true_bicycle_35_n03792782_8098.png,n03792782_8098.png,1.0,4.88352,2.4679782,1.7080461
simclr_resnet50x1,1,48,NaN,bear,bear,true,0048_fc_dnn_true_bear_35_n02134418_11557.png,n02134418_11557.png,1.0,18.113287,4.5690794,9.577201
simclr_resnet50x1,1,49,NaN,knife,knife,true,0049_fc_dnn_true_knife_35_n03041632_45569.png,n03041632_45569.png,1.0,8.050073,3.5418155,3.187819
simclr_resnet50x1,1,50,NaN,bicycle,bicycle,false,0050_fc_dnn_false_bicycle_35_n03792782_4740.png,n03792782_4740.png,1.0,14.390019,2.6835904,8.277695
simclr_resnet50x1,1,51,NaN,boat,boat,false,0051_fc_dnn_false_boat_35_n03662601_25404.png,n03662601_25404.png,1.0,9.845386,4.972866,3.4453917
simclr_resnet50x1,1,52,NaN,bird,bird,false,0052_fc_dnn_false_bird_35_n01796340_4853.png,n01796340_4853.png,1.0,5.8083515,2.3051822,2.477115
simclr_resnet50x1,1,53,NaN,clock,clock,true,0053_fc_dnn_true_clock_35_n03196217_5888.png,n03196217_5888.png,1.0,5.1225,2.7527652,1.6756556
simclr_resnet50x1,1,54,NaN,bicycle,bicycle,true,0054_fc_dnn_true_bicycle_35_n02835271_12871.png,n02835271_12871.png,1.0,16.070694,6.2238407,6.9627767
simclr_resnet50x1,1,55,NaN,keyboard,keyboard,false,0055_fc_dnn_false_keyboard_35_n03085013_28584.png,n03085013_28584.png,1.0,10.148331,3.9884214,4.355714
simclr_resnet50x1,1,56,NaN,cat,cat,true,0056_fc_dnn_true_cat_35_n02123159_6184.png,n02123159_6184.png,1.0,7.6456704,5.500203,1.5170745
simclr_resnet50x1,1,57,NaN,bicycle,bicycle,true,0057_fc_dnn_true_bicycle_35_n02835271_7592.png,n02835271_7592.png,1.0,16.527489,4.297147,8.648158
simclr_resnet50x1,1,58,NaN,elephant,elephant,false,0058_fc_dnn_false_elephant_35_n02504458_3205.png,n02504458_3205.png,1.0,17.00584,9.044151,5.6297646
simclr_resnet50x1,1,59,NaN,cat,cat,false,0059_fc_dnn_false_cat_35_n02124075_7880.png,n02124075_7880.png,1.0,8.642951,2.2718692,4.5050354
simclr_resnet50x1,1,60,NaN,truck,truck,false,0060_fc_dnn_false_truck_35_n04467665_2240.png,n04467665_2240.png,1.0,11.999352,5.588108,4.5334344
simclr_resnet50x1,1,61,NaN,bottle,bottle,true,0061_fc_dnn_true_bottle_35_n04560804_13316.png,n04560804_13316.png,1.0,6.5623126,2.7514107,2.6947145
simclr_resnet50x1,1,62,NaN,airplane,airplane,false,0062_fc_dnn_false_airplane_35_n02690373_3821.png,n02690373_3821.png,1.0,24.34394,7.269216,12.073653
simclr_resnet50x1,1,63,NaN,knife,knife,true,0063_fc_dnn_true_knife_35_n03041632_17285.png,n03041632_17285.png,1.0,8.774661,4.206451,3.2302125
simclr_resnet50x1,1,64,NaN,bottle,bottle,false,0064_fc_dnn_false_bottle_35_n02823428_10942.png,n02823428_10942.png,1.0,11.5762,7.1566954,3.1250615
simclr_resnet50x1,1,65,NaN,bicycle,bicycle,true,0065_fc_dnn_true_bicycle_35_n02835271_3642.png,n02835271_3642.png,1.0,8.237094,5.213896,2.137724
simclr_resnet50x1,1,66,NaN,knife,knife,true,0066_fc_dnn_true_knife_35_n03041632_16172.png,n03041632_16172.png,1.0,13.568784,2.8956819,7.5470223
simclr_resnet50x1,1,67,NaN,bicycle,bottle,false,0067_fc_dnn_false_bottle_35_n04560804_2448.png,n04560804_2448.png,0.0,1.6422482,7.9194317,-4.438639
simclr_resnet50x1,1,68,NaN,oven,oven,false,0068_fc_dnn_false_oven_35_n04111531_4452.png,n04111531_4452.png,1.0,15.598679,2.4092493,9.326335
simclr_resnet50x1,1,69,NaN,keyboard,keyboard,false,0069_fc_dnn_false_keyboard_35_n04505470_912.png,n04505470_912.png,1.0,22.93654,5.5004616,12.32917
simclr_resnet50x1,1,70,NaN,cat,cat,false,0070_fc_dnn_false_cat_35_n02123045_7167.png,n02123045_7167.png,1.0,6.064897,4.182281,1.3312106
simclr_resnet50x1,1,71,NaN,bicycle,bicycle,false,0071_fc_dnn_false_bicycle_35_n03792782_8333.png,n03792782_8333.png,1.0,10.95211,2.4658625,6.000684
simclr_resnet50x1,1,72,NaN,dog,dog,false,0072_fc_dnn_false_dog_35_n02107683_2904.png,n02107683_2904.png,1.0,5.4393654,4.3162007,0.7941974
simclr_resnet50x1,1,73,NaN,bottle,bottle,true,0073_fc_dnn_true_bottle_35_n04591713_3409.png,n04591713_3409.png,1.0,12.575142,4.615594,5.6282506
simclr_resnet50x1,1,74,NaN,knife,bottle,false,0074_fc_dnn_false_bottle_35_n04560804_564.png,n04560804_564.png,0.0,2.637265,4.525358,-1.3350836
simclr_resnet50x1,1,75,NaN,truck,truck,false,0075_fc_dnn_false_truck_35_n03796401_6503.png,n03796401_6503.png,1.0,11.941456,5.267748,4.719024
simclr_resnet50x1,1,76,NaN,oven,oven,true,0076_fc_dnn_true_oven_35_n04111531_13590.png,n04111531_13590.png,1.0,11.573168,4.490439,5.0082455
simclr_resnet50x1,1,77,NaN,bird,bird,false,0077_fc_dnn_false_bird_35_n02018795_7504.png,n02018795_7504.png,1.0,4.840385,2.0712047,1.9581062
simclr_resnet50x1,1,78,NaN,car,car,false,0078_fc_dnn_false_car_35_n03100240_6626.png,n03100240_6626.png,1.0,15.574119,11.347626,2.988582
simclr_resnet50x1,1,79,NaN,bear,bear,false,0079_fc_dnn_false_bear_35_n02134418_4364.png,n02134418_4364.png,1.0,24.0191,3.4191089,14.566394
simclr_resnet50x1,1,80,NaN,truck,knife,false,0080_fc_dnn_false_knife_35_n03041632_8051.png,n03041632_8051.png,0.0,3.7689893,6.41765,-1.8728861
simclr_resnet50x1,1,81,NaN,airplane,airplane,true,0081_fc_dnn_true_airplane_35_n02690373_1434.png,n02690373_1434.png,1.0,26.158937,7.9690638,12.862183
simclr_resnet50x1,1,82,NaN,clock,clock,true,0082_fc_dnn_true_clock_35_n04548280_5408.png,n04548280_5408.png,1.0,15.75636,3.1750162,8.896354
simclr_resnet50x1,1,83,NaN,cat,cat,false,0083_fc_dnn_false_cat_35_n02123597_3916.png,n02123597_3916.png,1.0,6.447071,3.374301,2.1727767
simclr_resnet50x1,1,84,NaN,clock,clock,false,0084_fc_dnn_false_clock_35_n04548280_4542.png,n04548280_4542.png,1.0,4.7709174,2.7023926,1.462668
simclr_resnet50x1,1,85,NaN,airplane,car,true,0085_fc_dnn_true_car_35_n04285008_14161.png,n04285008_14161.png,0.0,5.7462983,6.075136,-0.23252349
simclr_resnet50x1,1,86,NaN,airplane,airplane,false,0086_fc_dnn_false_airplane_35_n02690373_7279.png,n02690373_7279.png,1.0,19.760723,7.386257,8.750069
simclr_resnet50x1,1,87,NaN,bear,bear,true,0087_fc_dnn_true_bear_35_n02132136_11640.png,n02132136_11640.png,1.0,8.885906,7.33111,1.099407
simclr_resnet50x1,1,88,NaN,airplane,airplane,true,0088_fc_dnn_true_airplane_35_n02690373_8350.png,n02690373_8350.png,1.0,19.40179,5.7139993,9.678731
simclr_resnet50x1,1,89,NaN,boat,boat,true,0089_fc_dnn_true_boat_35_n04273569_30568.png,n04273569_30568.png,1.0,13.6158695,5.70179,5.5960994
simclr_resnet50x1,1,90,NaN,dog,dog,true,0090_fc_dnn_true_dog_35_n02100583_19533.png,n02100583_19533.png,1.0,7.5103483,3.9851305,2.4927053
simclr_resnet50x1,1,91,NaN,knife,knife,true,0091_fc_dnn_true_knife_35_n03041632_965.png,n03041632_965.png,1.0,12.806484,3.5759401,6.5269804
simclr_resnet50x1,1,92,NaN,elephant,elephant,false,0092_fc_dnn_false_elephant_35_n02504458_6109.png,n02504458_6109.png,1.0,22.550556,7.3049536,10.78027
simclr_resnet50x1,1,93,NaN,oven,oven,true,0093_fc_dnn_true_oven_35_n04111531_10093.png,n04111531_10093.png,1.0,13.043888,4.632018,5.9480906
simclr_resnet50x1,1,94,NaN,airplane,clock,true,0094_fc_dnn_true_clock_35_n03196217_8221.png,n03196217_8221.png,0.0,4.6348457,4.880806,-0.17392015
simclr_resnet50x1,1,95,NaN,bicycle,bicycle,false,0095_fc_dnn_false_bicycle_35_n03792782_828.png,n03792782_828.png,1.0,11.11912,3.669536,5.267651
simclr_resnet50x1,1,96,NaN,knife,knife,true,0096_fc_dnn_true_knife_35_n03041632_7090.png,n03041632_7090.png,1.0,12.695902,3.5636783,6.457457
simclr_resnet50x1,1,97,NaN,bear,bear,false,0097_fc_dnn_false_bear_35_n02134084_14260.png,n02134084_14260.png,1.0,6.069851,5.1955423,0.61822957
simclr_resnet50x1,1,98,NaN,elephant,bear,false,0098_fc_dnn_false_bear_35_n02132136_10988.png,n02132136_10988.png,0.0,7.666956,9.304828,-1.1581502
simclr_resnet50x1,1,99,NaN,keyboard,keyboard,false,0099_fc_dnn_false_keyboard_35_n03085013_22980.png,n03085013_22980.png,1.0,9.074732,4.9045506,2.9487636
simclr_resnet50x1,1,100,NaN,bottle,bottle,false,0100_fc_dnn_false_bottle_35_n04557648_3673.png,n04557648_3673.png,1.0,3.7071874,1.3661867,1.6553375
simclr_resnet50x1,1,101,NaN,airplane,airplane,true,0101_fc_dnn_true_airplane_35_n02690373_1360.png,n02690373_1360.png,1.0,23.45515,6.5667267,11.941919
simclr_resnet50x1,1,102,NaN,oven,oven,true,0102_fc_dnn_true_oven_35_n04111531_6415.png,n04111531_6415.png,1.0,8.448104,5.001147,2.4373667
simclr_resnet50x1,1,103,NaN,knife,knife,false,0103_fc_dnn_false_knife_35_n03041632_32054.png,n03041632_32054.png,1.0,13.687616,3.4497664,7.2392535
simclr_resnet50x1,1,104,NaN,chair,chair,false,0104_fc_dnn_false_chair_35_n03376595_9136.png,n03376595_9136.png,1.0,7.0202312,5.3553834,1.1772252
simclr_resnet50x1,1,105,NaN,keyboard,keyboard,false,0105_fc_dnn_false_keyboard_35_n03085013_21266.png,n03085013_21266.png,1.0,7.706495,5.917544,1.2649794
simclr_resnet50x1,1,106,NaN,bicycle,bicycle,true,0106_fc_dnn_true_bicycle_35_n02835271_6137.png,n02835271_6137.png,1.0,9.517205,5.1883264,3.0609796
simclr_resnet50x1,1,107,NaN,car,car,false,0107_fc_dnn_false_car_35_n04285008_14689.png,n04285008_14689.png,1.0,11.407582,7.094701,3.0496678
simclr_resnet50x1,1,108,NaN,truck,truck,false,0108_fc_dnn_false_truck_35_n04467665_16276.png,n04467665_16276.png,1.0,13.716056,8.471297,3.7086043
simclr_resnet50x1,1,109,NaN,chair,chair,false,0109_fc_dnn_false_chair_35_n03376595_787.png,n03376595_787.png,1.0,9.005498,4.87768,2.9188082
simclr_resnet50x1,1,110,NaN,boat,boat,false,0110_fc_dnn_false_boat_35_n04612504_41355.png,n04612504_41355.png,1.0,10.02093,4.812669,3.6827972
simclr_resnet50x1,1,111,NaN,elephant,elephant,true,0111_fc_dnn_true_elephant_35_n02504458_174.png,n02504458_174.png,1.0,50.322647,8.525141,29.555302
simclr_resnet50x1,1,112,NaN,cat,cat,true,0112_fc_dnn_true_cat_35_n02125311_6746.png,n02125311_6746.png,1.0,11.693719,3.164485,6.0310793
simclr_resnet50x1,1,113,NaN,keyboard,keyboard,false,0113_fc_dnn_false_keyboard_35_n03085013_23287.png,n03085013_23287.png,1.0,15.804153,2.6313586,9.314572
simclr_resnet50x1,1,114,NaN,clock,clock,true,0114_fc_dnn_true_clock_35_n04548280_8071.png,n04548280_8071.png,1.0,14.465022,8.072717,4.5200424
simclr_resnet50x1,1,115,NaN,oven,oven,false,0115_fc_dnn_false_oven_35_n04111531_14543.png,n04111531_14543.png,1.0,12.865123,2.7449927,7.156013
simclr_resnet50x1,1,116,NaN,car,car,false,0116_fc_dnn_false_car_35_n03100240_10791.png,n03100240_10791.png,1.0,17.053286,7.1317234,7.015604
simclr_resnet50x1,1,117,NaN,airplane,airplane,true,0117_fc_dnn_true_airplane_35_n02690373_2619.png,n02690373_2619.png,1.0,18.168697,4.6802692,9.537759
simclr_resnet50x1,1,118,NaN,keyboard,keyboard,true,0118_fc_dnn_true_keyboard_35_n04505470_3864.png,n04505470_3864.png,1.0,8.738982,6.38328,1.6657332
simclr_resnet50x1,1,119,NaN,dog,dog,true,0119_fc_dnn_true_dog_35_n02097658_4387.png,n02097658_4387.png,1.0,6.011858,3.4645529,1.8012167
