subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
vit_b_16,1,1,NaN,knife,knife,true,0001_fc_dnn_true_knife_35_n03041632_86251.png,n03041632_86251.png,1.0,8.69033,0.5495674,5.756388
vit_b_16,1,2,NaN,car,car,false,0002_fc_dnn_false_car_35_n03100240_16866.png,n03100240_16866.png,1.0,5.322676,0.2186334,3.6091034
vit_b_16,1,3,NaN,keyboard,keyboard,false,0003_fc_dnn_false_keyboard_35_n03085013_21127.png,n03085013_21127.png,1.0,5.4218802,0.3402725,3.5932393
vit_b_16,1,4,NaN,truck,truck,true,0004_fc_dnn_true_truck_35_n03417042_10694.png,n03417042_10694.png,1.0,1.2875624,0.2662511,0.72217613
vit_b_16,1,5,NaN,bird,bird,true,0005_fc_dnn_true_bird_35_n01614925_1962.png,n01614925_1962.png,1.0,0.90074486,0.31074443,0.4171933
vit_b_16,1,6,NaN,knife,knife,false,0006_fc_dnn_false_knife_35_n03041632_99875.png,n03041632_99875.png,1.0,4.6524696,0.47535744,2.9536643
vit_b_16,1,7,NaN,bicycle,bicycle,true,0007_fc_dnn_true_bicycle_35_n03792782_14935.png,n03792782_14935.png,1.0,5.153796,0.530022,3.269502
vit_b_16,1,8,NaN,elephant,elephant,false,0008_fc_dnn_false_elephant_35_n02504013_5027.png,n02504013_5027.png,1.0,7.226658,0.34246096,4.867862
vit_b_16,1,9,NaN,dog,dog,false,0009_fc_dnn_false_dog_35_n02090721_129.png,n02090721_129.png,1.0,1.3752548,0.5541994,0.5805738
vit_b_16,1,10,NaN,airplane,airplane,true,0010_fc_dnn_true_airplane_35_n02690373_9241.png,n02690373_9241.png,1.0,9.246715,0.5318851,6.162315
vit_b_16,1,11,NaN,truck,truck,true,0011_fc_dnn_true_truck_35_n04467665_62080.png,n04467665_62080.png,1.0,2.8601213,0.16425307,1.9062668
vit_b_16,1,12,NaN,keyboard,keyboard,true,0012_fc_dnn_true_keyboard_35_n04505470_2669.png,n04505470_2669.png,1.0,4.8576927,0.41813397,3.1392424
vit_b_16,1,13,NaN,oven,oven,false,0013_fc_dnn_false_oven_35_n04111531_688.png,n04111531_688.png,1.0,3.4458375,1.7688684,1.1857963
vit_b_16,1,14,NaN,car,car,true,0014_fc_dnn_true_car_35_n03100240_21982.png,n03100240_21982.png,1.0,6.040026,1.0640602,3.5185394
vit_b_16,1,15,NaN,bicycle,bicycle,true,0015_fc_dnn_true_bicycle_35_n02835271_4191.png,n02835271_4191.png,1.0,5.5968394,0.28212583,3.75807
vit_b_16,1,16,NaN,car,car,true,0016_fc_dnn_true_car_35_n02814533_25278.png,n02814533_25278.png,1.0,4.967579,0.4165678,3.218051
vit_b_16,1,17,NaN,knife,knife,false,0017_fc_dnn_false_knife_35_n03041632_23087.png,n03041632_23087.png,1.0,3.3336349,0.27964383,2.1594977
vit_b_16,1,18,NaN,clock,clock,true,0018_fc_dnn_true_clock_35_n03196217_11252.png,n03196217_11252.png,1.0,4.395822,0.6140145,2.6741416
vit_b_16,1,19,NaN,boat,boat,false,0019_fc_dnn_false_boat_35_n04273569_2040.png,n04273569_2040.png,1.0,2.0123665,0.6390666,0.97106975
vit_b_16,1,20,NaN,knife,knife,true,0020_fc_dnn_true_knife_35_n03041632_84869.png,n03041632_84869.png,1.0,9.472785,0.2391604,6.5291586
vit_b_16,1,21,NaN,clock,clock,true,0021_fc_dnn_true_clock_35_n04548280_503.png,n04548280_503.png,1.0,6.016932,0.5597174,3.8588333
vit_b_16,1,22,NaN,truck,truck,false,0022_fc_dnn_false_truck_35_n03417042_10654.png,n03417042_10654.png,1.0,2.2360659,0.47892866,1.2424836
vit_b_16,1,23,NaN,boat,boat,true,0023_fc_dnn_true_boat_35_n03344393_2919.png,n03344393_2919.png,1.0,3.093135,0.3742942,1.9225109
vit_b_16,1,24,NaN,chair,chair,false,0024_fc_dnn_false_chair_35_n04099969_7718.png,n04099969_7718.png,1.0,2.6451988,0.3092251,1.6517829
vit_b_16,1,25,NaN,oven,oven,true,0025_fc_dnn_true_oven_35_n04111531_3477.png,n04111531_3477.png,1.0,8.913847,1.2087369,5.4483356
vit_b_16,1,26,NaN,dog,dog,false,0026_fc_dnn_false_dog_35_n02113712_913.png,n02113712_913.png,1.0,0.7136652,0.2871713,0.30157673
vit_b_16,1,27,NaN,chair,chair,false,0027_fc_dnn_false_chair_35_n02791124_13701.png,n02791124_13701.png,1.0,1.9565419,1.2141643,0.52494025
vit_b_16,1,28,NaN,airplane,airplane,true,0028_fc_dnn_true_airplane_35_n02690373_8538.png,n02690373_8538.png,1.0,9.304612,0.33396026,6.343209
vit_b_16,1,29,NaN,knife,knife,true,0029_fc_dnn_true_knife_35_n03041632_98864.png,n03041632_98864.png,1.0,6.50358,2.0349731,3.1597824
vit_b_16,1,30,NaN,clock,clock,false,0030_fc_dnn_false_clock_35_n04548280_5466.png,n04548280_5466.png,1.0,5.938277,0.6004454,3.774417
vit_b_16,1,31,NaN,keyboard,keyboard,true,0031_fc_dnn_true_keyboard_35_n04505470_4033.png,n04505470_4033.png,1.0,5.244131,0.34815907,3.4619753
vit_b_16,1,32,NaN,boat,boat,false,0032_fc_dnn_false_boat_35_n03344393_7503.png,n03344393_7503.png,1.0,2.8855114,0.31092626,1.8205067
vit_b_16,1,33,NaN,bottle,bottle,false,0033_fc_dnn_false_bottle_35_n02823428_3402.png,n02823428_3402.png,1.0,3.6744015,0.30138427,2.3850834
vit_b_16,1,34,NaN,boat,boat,true,0034_fc_dnn_true_boat_35_n03662601_15766.png,n03662601_15766.png,1.0,3.1000714,1.9855039,0.78811824
vit_b_16,1,35,NaN,airplane,dog,true,0035_fc_dnn_true_dog_35_n02097047_1351.png,n02097047_1351.png,0.0,0.26721558,0.6629671,-0.2798386
vit_b_16,1,36,NaN,keyboard,keyboard,true,0036_fc_dnn_true_keyboard_35_n03085013_23562.png,n03085013_23562.png,1.0,7.499548,0.645846,4.846299
vit_b_16,1,37,NaN,clock,clock,false,0037_fc_dnn_false_clock_35_n04548280_7872.png,n04548280_7872.png,1.0,6.0244517,0.5797447,3.8499892
vit_b_16,1,38,NaN,cat,dog,false,0038_fc_dnn_false_dog_35_n02106166_16884.png,n02106166_16884.png,0.0,0.5000476,0.688142,-0.13300282
vit_b_16,1,39,NaN,oven,oven,true,0039_fc_dnn_true_oven_35_n04111531_3353.png,n04111531_3353.png,1.0,9.225855,0.81347334,5.948452
vit_b_16,1,40,NaN,knife,knife,false,0040_fc_dnn_false_knife_35_n03041632_46185.png,n03041632_46185.png,1.0,10.078841,0.23755519,6.95884
vit_b_16,1,41,NaN,knife,knife,true,0041_fc_dnn_true_knife_35_n03041632_14766.png,n03041632_14766.png,1.0,8.995949,0.29409537,6.15314
vit_b_16,1,42,NaN,chair,chair,true,0042_fc_dnn_true_chair_35_n02791124_2150.png,n02791124_2150.png,1.0,2.7263412,0.20862213,1.7802962
vit_b_16,1,43,NaN,elephant,elephant,false,0043_fc_dnn_false_elephant_35_n02504458_4631.png,n02504458_4631.png,1.0,7.672546,0.3186814,5.199968
vit_b_16,1,44,NaN,chair,chair,false,0044_fc_dnn_false_chair_35_n03376595_3223.png,n03376595_3223.png,1.0,3.15402,1.4680122,1.1921877
vit_b_16,1,45,NaN,car,car,false,0045_fc_dnn_false_car_35_n03100240_5399.png,n03100240_5399.png,1.0,5.8551536,0.28586102,3.9380846
vit_b_16,1,46,NaN,bottle,bottle,true,0046_fc_dnn_true_bottle_35_n04557648_2512.png,n04557648_2512.png,1.0,3.0557466,0.16094469,2.0469341
vit_b_16,1,47,NaN,bicycle,bicycle,true,0047_fc_dnn_true_bicycle_35_n03792782_8098.png,n03792782_8098.png,1.0,5.63031,0.76118255,3.442993
vit_b_16,1,48,NaN,bear,bear,true,0048_fc_dnn_true_bear_35_n02134418_11557.png,n02134418_11557.png,1.0,2.8949776,0.27214283,1.8546243
vit_b_16,1,49,NaN,knife,knife,true,0049_fc_dnn_true_knife_35_n03041632_45569.png,n03041632_45569.png,1.0,9.214345,0.44287407,6.202367
vit_b_16,1,50,NaN,bicycle,bicycle,false,0050_fc_dnn_false_bicycle_35_n03792782_4740.png,n03792782_4740.png,1.0,6.5730324,0.41634363,4.3534365
vit_b_16,1,51,NaN,boat,boat,false,0051_fc_dnn_false_boat_35_n03662601_25404.png,n03662601_25404.png,1.0,5.497743,2.2569544,2.2915838
vit_b_16,1,52,NaN,elephant,bird,false,0052_fc_dnn_false_bird_35_n01796340_4853.png,n01796340_4853.png,0.0,-0.047075048,0.4605539,-0.3589479
vit_b_16,1,53,NaN,clock,clock,true,0053_fc_dnn_true_clock_35_n03196217_5888.png,n03196217_5888.png,1.0,5.7566986,0.24889274,3.8946068
vit_b_16,1,54,NaN,bicycle,bicycle,true,0054_fc_dnn_true_bicycle_35_n02835271_12871.png,n02835271_12871.png,1.0,4.7447095,0.288654,3.1509073
vit_b_16,1,55,NaN,keyboard,keyboard,false,0055_fc_dnn_false_keyboard_35_n03085013_28584.png,n03085013_28584.png,1.0,7.031872,2.5346208,3.1800368
vit_b_16,1,56,NaN,cat,cat,true,0056_fc_dnn_true_cat_35_n02123159_6184.png,n02123159_6184.png,1.0,4.0595226,0.69542944,2.3787732
vit_b_16,1,57,NaN,bicycle,bicycle,true,0057_fc_dnn_true_bicycle_35_n02835271_7592.png,n02835271_7592.png,1.0,4.953166,0.35159075,3.2538052
vit_b_16,1,58,NaN,elephant,elephant,false,0058_fc_dnn_false_elephant_35_n02504458_3205.png,n02504458_3205.png,1.0,7.9620585,0.16221786,5.5153203
vit_b_16,1,59,NaN,cat,cat,false,0059_fc_dnn_false_cat_35_n02124075_7880.png,n02124075_7880.png,1.0,4.014687,0.44255304,2.5258803
vit_b_16,1,60,NaN,truck,truck,false,0060_fc_dnn_false_truck_35_n04467665_2240.png,n04467665_2240.png,1.0,2.9629257,0.5272926,1.7222527
vit_b_16,1,61,NaN,bottle,bottle,true,0061_fc_dnn_true_bottle_35_n04560804_13316.png,n04560804_13316.png,1.0,1.6137923,0.34339446,0.89830697
vit_b_16,1,62,NaN,airplane,airplane,false,0062_fc_dnn_false_airplane_35_n02690373_3821.png,n02690373_3821.png,1.0,8.849376,0.4660215,5.9279265
vit_b_16,1,63,NaN,knife,knife,true,0063_fc_dnn_true_knife_35_n03041632_17285.png,n03041632_17285.png,1.0,10.01876,0.61016357,6.652882
vit_b_16,1,64,NaN,bottle,bottle,false,0064_fc_dnn_false_bottle_35_n02823428_10942.png,n02823428_10942.png,1.0,3.0416837,0.13628289,2.0544286
vit_b_16,1,65,NaN,bicycle,bicycle,true,0065_fc_dnn_true_bicycle_35_n02835271_3642.png,n02835271_3642.png,1.0,5.1144805,0.61995167,3.1781118
vit_b_16,1,66,NaN,knife,knife,true,0066_fc_dnn_true_knife_35_n03041632_16172.png,n03041632_16172.png,1.0,9.273589,0.77439517,6.009838
vit_b_16,1,67,NaN,airplane,bottle,false,0067_fc_dnn_false_bottle_35_n04560804_2448.png,n04560804_2448.png,0.0,0.50862455,1.3765701,-0.6137302
vit_b_16,1,68,NaN,oven,oven,false,0068_fc_dnn_false_oven_35_n04111531_4452.png,n04111531_4452.png,1.0,8.546051,0.38963372,5.767458
vit_b_16,1,69,NaN,keyboard,keyboard,false,0069_fc_dnn_false_keyboard_35_n04505470_912.png,n04505470_912.png,1.0,4.7783647,0.42256865,3.0800128
vit_b_16,1,70,NaN,cat,cat,false,0070_fc_dnn_false_cat_35_n02123045_7167.png,n02123045_7167.png,1.0,5.049561,0.456793,3.2475777
vit_b_16,1,71,NaN,bicycle,bicycle,false,0071_fc_dnn_false_bicycle_35_n03792782_8333.png,n03792782_8333.png,1.0,6.688152,0.57607853,4.3218884
vit_b_16,1,72,NaN,dog,dog,false,0072_fc_dnn_false_dog_35_n02107683_2904.png,n02107683_2904.png,1.0,1.3982534,0.14450242,0.8865359
vit_b_16,1,73,NaN,bottle,bottle,true,0073_fc_dnn_true_bottle_35_n04591713_3409.png,n04591713_3409.png,1.0,3.1665826,0.7700784,1.6945844
vit_b_16,1,74,NaN,bottle,bottle,false,0074_fc_dnn_false_bottle_35_n04560804_564.png,n04560804_564.png,1.0,1.8670813,1.2220957,0.45607367
vit_b_16,1,75,NaN,truck,truck,false,0075_fc_dnn_false_truck_35_n03796401_6503.png,n03796401_6503.png,1.0,2.7939,0.1926824,1.8393385
vit_b_16,1,76,NaN,oven,oven,true,0076_fc_dnn_true_oven_35_n04111531_13590.png,n04111531_13590.png,1.0,9.001545,0.8122769,5.790687
vit_b_16,1,77,NaN,car,bird,false,0077_fc_dnn_false_bird_35_n02018795_7504.png,n02018795_7504.png,0.0,0.2671564,0.44266975,-0.12410669
vit_b_16,1,78,NaN,car,car,false,0078_fc_dnn_false_car_35_n03100240_6626.png,n03100240_6626.png,1.0,3.4683354,1.209535,1.5972131
vit_b_16,1,79,NaN,bear,bear,false,0079_fc_dnn_false_bear_35_n02134418_4364.png,n02134418_4364.png,1.0,3.3671117,0.1300906,2.2889194
vit_b_16,1,80,NaN,knife,knife,false,0080_fc_dnn_false_knife_35_n03041632_8051.png,n03041632_8051.png,1.0,8.931523,3.1018112,4.122229
vit_b_16,1,81,NaN,airplane,airplane,true,0081_fc_dnn_true_airplane_35_n02690373_1434.png,n02690373_1434.png,1.0,9.317815,0.30954793,6.3698063
vit_b_16,1,82,NaN,clock,clock,true,0082_fc_dnn_true_clock_35_n04548280_5408.png,n04548280_5408.png,1.0,4.1501164,0.60817516,2.5045307
vit_b_16,1,83,NaN,cat,cat,false,0083_fc_dnn_false_cat_35_n02123597_3916.png,n02123597_3916.png,1.0,2.1464221,0.33415434,1.2814668
vit_b_16,1,84,NaN,clock,clock,false,0084_fc_dnn_false_clock_35_n04548280_4542.png,n04548280_4542.png,1.0,5.8578935,0.62621295,3.6993568
vit_b_16,1,85,NaN,car,car,true,0085_fc_dnn_true_car_35_n04285008_14161.png,n04285008_14161.png,1.0,2.211582,1.3867102,0.58327246
vit_b_16,1,86,NaN,airplane,airplane,false,0086_fc_dnn_false_airplane_35_n02690373_7279.png,n02690373_7279.png,1.0,9.411218,0.4960762,6.303957
vit_b_16,1,87,NaN,bear,bear,true,0087_fc_dnn_true_bear_35_n02132136_11640.png,n02132136_11640.png,1.0,3.5697951,0.8388066,1.9311005
vit_b_16,1,88,NaN,airplane,airplane,true,0088_fc_dnn_true_airplane_35_n02690373_8350.png,n02690373_8350.png,1.0,8.961743,0.22211495,6.179851
vit_b_16,1,89,NaN,boat,boat,true,0089_fc_dnn_true_boat_35_n04273569_30568.png,n04273569_30568.png,1.0,2.874984,0.7547677,1.4992194
vit_b_16,1,90,NaN,knife,dog,true,0090_fc_dnn_true_dog_35_n02100583_19533.png,n02100583_19533.png,0.0,-0.16390389,0.3655699,-0.3743945
vit_b_16,1,91,NaN,knife,knife,true,0091_fc_dnn_true_knife_35_n03041632_965.png,n03041632_965.png,1.0,9.238224,0.547567,6.145222
vit_b_16,1,92,NaN,elephant,elephant,false,0092_fc_dnn_false_elephant_35_n02504458_6109.png,n02504458_6109.png,1.0,7.7429647,0.20650527,5.3290815
vit_b_16,1,93,NaN,oven,oven,true,0093_fc_dnn_true_oven_35_n04111531_10093.png,n04111531_10093.png,1.0,9.808518,0.7737905,6.3885174
vit_b_16,1,94,NaN,knife,clock,true,0094_fc_dnn_true_clock_35_n03196217_8221.png,n03196217_8221.png,0.0,1.9765435,4.019722,-1.4447454
vit_b_16,1,95,NaN,bicycle,bicycle,false,0095_fc_dnn_false_bicycle_35_n03792782_828.png,n03792782_828.png,1.0,7.1557274,0.23925121,4.8906875
vit_b_16,1,96,NaN,knife,knife,true,0096_fc_dnn_true_knife_35_n03041632_7090.png,n03041632_7090.png,1.0,9.237031,0.60802877,6.1016264
vit_b_16,1,97,NaN,bear,bear,false,0097_fc_dnn_false_bear_35_n02134084_14260.png,n02134084_14260.png,1.0,4.425428,1.8688929,1.8077433
vit_b_16,1,98,NaN,bear,bear,false,0098_fc_dnn_false_bear_35_n02132136_10988.png,n02132136_10988.png,1.0,6.2560587,3.623384,1.8615822
vit_b_16,1,99,NaN,keyboard,keyboard,false,0099_fc_dnn_false_keyboard_35_n03085013_22980.png,n03085013_22980.png,1.0,4.3569145,0.7826203,2.5274076
vit_b_16,1,100,NaN,bottle,bottle,false,0100_fc_dnn_false_bottle_35_n04557648_3673.png,n04557648_3673.png,1.0,3.2156448,0.852369,1.6710883
vit_b_16,1,101,NaN,airplane,airplane,true,0101_fc_dnn_true_airplane_35_n02690373_1360.png,n02690373_1360.png,1.0,8.977942,0.2949245,6.139821
vit_b_16,1,102,NaN,oven,oven,true,0102_fc_dnn_true_oven_35_n04111531_6415.png,n04111531_6415.png,1.0,9.106934,0.8137508,5.864166
vit_b_16,1,103,NaN,knife,knife,false,0103_fc_dnn_false_knife_35_n03041632_32054.png,n03041632_32054.png,1.0,9.0704565,0.5699638,6.0107565
vit_b_16,1,104,NaN,chair,chair,false,0104_fc_dnn_false_chair_35_n03376595_9136.png,n03376595_9136.png,1.0,2.865491,0.5493002,1.6377941
vit_b_16,1,105,NaN,keyboard,keyboard,false,0105_fc_dnn_false_keyboard_35_n03085013_21266.png,n03085013_21266.png,1.0,4.507003,0.33267108,2.9516983
vit_b_16,1,106,NaN,bicycle,bicycle,true,0106_fc_dnn_true_bicycle_35_n02835271_6137.png,n02835271_6137.png,1.0,5.469613,2.411626,2.1623235
vit_b_16,1,107,NaN,car,car,false,0107_fc_dnn_false_car_35_n04285008_14689.png,n04285008_14689.png,1.0,6.4614506,0.605621,4.140697
vit_b_16,1,108,NaN,truck,truck,false,0108_fc_dnn_false_truck_35_n04467665_16276.png,n04467665_16276.png,1.0,2.249172,0.5279043,1.21712
vit_b_16,1,109,NaN,chair,chair,false,0109_fc_dnn_false_chair_35_n03376595_787.png,n03376595_787.png,1.0,3.224842,0.1755991,2.1561403
vit_b_16,1,110,NaN,boat,boat,false,0110_fc_dnn_false_boat_35_n04612504_41355.png,n04612504_41355.png,1.0,1.7455384,1.0509195,0.4911697
vit_b_16,1,111,NaN,elephant,elephant,true,0111_fc_dnn_true_elephant_35_n02504458_174.png,n02504458_174.png,1.0,7.147148,0.10842234,4.977131
vit_b_16,1,112,NaN,cat,cat,true,0112_fc_dnn_true_cat_35_n02125311_6746.png,n02125311_6746.png,1.0,1.5405773,0.21452346,0.9376617
vit_b_16,1,113,NaN,keyboard,keyboard,false,0113_fc_dnn_false_keyboard_35_n03085013_23287.png,n03085013_23287.png,1.0,7.238543,0.67163956,4.643502
vit_b_16,1,114,NaN,clock,clock,true,0114_fc_dnn_true_clock_35_n04548280_8071.png,n04548280_8071.png,1.0,4.8431067,0.13652435,3.3280566
vit_b_16,1,115,NaN,oven,oven,false,0115_fc_dnn_false_oven_35_n04111531_14543.png,n04111531_14543.png,1.0,9.641945,0.8803905,6.195355
vit_b_16,1,116,NaN,car,car,false,0116_fc_dnn_false_car_35_n03100240_10791.png,n03100240_10791.png,1.0,5.859459,0.41180468,3.8520734
vit_b_16,1,117,NaN,airplane,airplane,true,0117_fc_dnn_true_airplane_35_n02690373_2619.png,n02690373_2619.png,1.0,9.03755,0.40915433,6.1011972
vit_b_16,1,118,NaN,keyboard,keyboard,true,0118_fc_dnn_true_keyboard_35_n04505470_3864.png,n04505470_3864.png,1.0,6.9440475,0.92913955,4.2531824
vit_b_16,1,119,NaN,oven,dog,true,0119_fc_dnn_true_dog_35_n02097658_4387.png,n02097658_4387.png,0.0,0.050376814,0.19051906,-0.09909554
vit_b_16,1,120,NaN,clock,clock,true,0120_fc_dnn_true_clock_35_n04548280_309.png,n04548280_309.png,1.0,4.8098316,0.22879,3.2392857
vit_b_16,1,121,NaN,clock,dog,true,0121_fc_dnn_true_dog_35_n02108000_5247.png,n02108000_5247.png,0.0,0.047357034,0.32746732,-0.19806789
vit_b_16,1,122,NaN,keyboard,keyboard,false,0122_fc_dnn_false_keyboard_35_n04505470_4411.png,n04505470_4411.png,1.0,5.398937,0.4005526,3.5343916
vit_b_16,1,123,NaN,truck,truck,false,0123_fc_dnn_false_truck_35_n03417042_2155.png,n03417042_2155.png,1.0,1.8860296,1.1019862,0.5544024
vit_b_16,1,124,NaN,bear,bear,false,0124_fc_dnn_false_bear_35_n02132136_4237.png,n02132136_4237.png,1.0,5.4351254,0.58322936,3.4308085
vit_b_16,1,125,NaN,knife,bird,false,0125_fc_dnn_false_bird_35_n01843065_2350.png,n01843065_2350.png,0.0,0.13535812,0.52918136,-0.27847508
vit_b_16,1,126,NaN,knife,knife,false,0126_fc_dnn_false_knife_35_n03041632_51225.png,n03041632_51225.png,1.0,9.148023,0.50311345,6.112874
vit_b_16,1,127,NaN,airplane,airplane,false,0127_fc_dnn_false_airplane_35_n02690373_2095.png,n02690373_2095.png,1.0,8.969712,0.053649854,6.3046083
vit_b_16,1,128,NaN,clock,clock,true,0128_fc_dnn_true_clock_35_n02708093_1775.png,n02708093_1775.png,1.0,6.273653,2.035377,2.9969137
vit_b_16,1,129,NaN,elephant,elephant,true,0129_fc_dnn_true_elephant_35_n02504458_7950.png,n02504458_7950.png,1.0,7.296752,0.37565643,4.8939533
vit_b_16,1,130,NaN,boat,boat,true,0130_fc_dnn_true_boat_35_n03662601_1926.png,n03662601_1926.png,1.0,1.787131,0.3155835,1.0405412
vit_b_16,1,131,NaN,elephant,elephant,true,0131_fc_dnn_true_elephant_35_n02504458_6721.png,n02504458_6721.png,1.0,6.961233,0.28295988,4.7222524
vit_b_16,1,132,NaN,bicycle,bicycle,true,0132_fc_dnn_true_bicycle_35_n02835271_14225.png,n02835271_14225.png,1.0,7.865682,1.1720093,4.7331414
vit_b_16,1,133,NaN,clock,clock,false,0133_fc_dnn_false_clock_35_n02708093_2744.png,n02708093_2744.png,1.0,5.1629615,0.3666702,3.3914902
vit_b_16,1,134,NaN,clock,clock,true,0134_fc_dnn_true_clock_35_n02708093_275.png,n02708093_275.png,1.0,6.032854,0.40600535,3.978783
vit_b_16,1,135,NaN,knife,knife,false,0135_fc_dnn_false_knife_35_n03041632_25512.png,n03041632_25512.png,1.0,9.521471,0.48745227,6.3880157
vit_b_16,1,136,NaN,knife,bird,true,0136_fc_dnn_true_bird_35_n01622779_5441.png,n01622779_5441.png,0.0,0.27682248,0.36529106,-0.062556736
vit_b_16,1,137,NaN,oven,oven,false,0137_fc_dnn_false_oven_35_n04111531_14329.png,n04111531_14329.png,1.0,7.622055,1.6729318,4.2066655
vit_b_16,1,138,NaN,knife,bird,false,0138_fc_dnn_false_bird_35_n02007558_13217.png,n02007558_13217.png,0.0,0.32398075,0.35546437,-0.022262283
vit_b_16,1,139,NaN,cat,cat,true,0139_fc_dnn_true_cat_35_n02123597_7908.png,n02123597_7908.png,1.0,2.161823,0.20580734,1.383112
vit_b_16,1,140,NaN,clock,clock,true,0140_fc_dnn_true_clock_35_n04548280_9828.png,n04548280_9828.png,1.0,6.0577903,0.13996018,4.184538
vit_b_16,1,141,NaN,bicycle,bird,false,0141_fc_dnn_false_bird_35_n01833805_4819.png,n01833805_4819.png,0.0,-0.22127664,0.36495525,-0.41452855
vit_b_16,1,142,NaN,knife,knife,true,0142_fc_dnn_true_knife_35_n03041632_52929.png,n03041632_52929.png,1.0,8.255535,0.11999284,5.752697
vit_b_16,1,143,NaN,truck,truck,false,0143_fc_dnn_false_truck_35_n04467665_2044.png,n04467665_2044.png,1.0,2.091011,0.67905354,0.99840474
vit_b_16,1,144,NaN,oven,oven,false,0144_fc_dnn_false_oven_35_n04111531_16583.png,n04111531_16583.png,1.0,9.867417,0.6166728,6.5412645
vit_b_16,1,145,NaN,airplane,airplane,true,0145_fc_dnn_true_airplane_35_n02690373_2796.png,n02690373_2796.png,1.0,8.896707,0.2502764,6.1139493
vit_b_16,1,146,NaN,airplane,airplane,false,0146_fc_dnn_false_airplane_35_n02690373_3362.png,n02690373_3362.png,1.0,8.880429,0.3151477,6.056569
vit_b_16,1,147,NaN,clock,clock,true,0147_fc_dnn_true_clock_35_n02708093_3759.png,n02708093_3759.png,1.0,6.3108134,0.2427291,4.2907834
vit_b_16,1,148,NaN,elephant,elephant,true,0148_fc_dnn_true_elephant_35_n02504013_2558.png,n02504013_2558.png,1.0,5.782241,0.3292336,3.8558586
vit_b_16,1,149,NaN,bear,bear,false,0149_fc_dnn_false_bear_35_n02134418_896.png,n02134418_896.png,1.0,3.0047467,0.59054214,1.7071005
vit_b_16,1,150,NaN,truck,truck,false,0150_fc_dnn_false_truck_35_n04467665_56815.png,n04467665_56815.png,1.0,1.8243303,0.53409207,0.91233623
vit_b_16,1,151,NaN,truck,truck,true,0151_fc_dnn_true_truck_35_n03796401_3695.png,n03796401_3695.png,1.0,2.2048874,0.36196464,1.3031431
vit_b_16,1,152,NaN,airplane,dog,true,0152_fc_dnn_true_dog_35_n02107312_197.png,n02107312_197.png,0.0,-0.2777219,0.31546235,-0.4194446
vit_b_16,1,153,NaN,bear,bear,false,0153_fc_dnn_false_bear_35_n02133161_13356.png,n02133161_13356.png,1.0,5.0729923,0.7764431,3.0381193
vit_b_16,1,154,NaN,truck,truck,false,0154_fc_dnn_false_truck_35_n03796401_6923.png,n03796401_6923.png,1.0,4.6360416,0.27633935,3.0827749
vit_b_16,1,155,NaN,elephant,elephant,true,0155_fc_dnn_true_elephant_35_n02504458_7660.png,n02504458_7660.png,1.0,7.485834,0.37637216,5.0271487
vit_b_16,1,156,NaN,bicycle,bicycle,false,0156_fc_dnn_false_bicycle_35_n02835271_6554.png,n02835271_6554.png,1.0,5.097236,0.5837052,3.1915483
