subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet_w1_mlp_simclrhn_probe1,1,1,NaN,airplane,boat,0.7,0001_hp_dnn_0.7_boat_10_n03662601_12531.png,n03662601_12531.png,0.0,-0.87300074,-0.55869144,-0.22225024
alexnet_w1_mlp_simclrhn_probe1,1,2,NaN,chair,chair,0.7,0002_hp_dnn_0.7_chair_10_n04429376_22819.png,n04429376_22819.png,1.0,-0.43257797,-0.47893897,0.03278218
alexnet_w1_mlp_simclrhn_probe1,1,3,NaN,clock,elephant,0.45,0003_hp_dnn_0.45_elephant_10_n02504458_582.png,n02504458_582.png,0.0,-0.705167,-0.108408295,-0.42197216
alexnet_w1_mlp_simclrhn_probe1,1,4,NaN,clock,bicycle,0.7,0004_hp_dnn_0.7_bicycle_10_n03792782_41173.png,n03792782_41173.png,0.0,-1.3608311,-0.73052853,-0.44569126
alexnet_w1_mlp_simclrhn_probe1,1,5,NaN,clock,cat,1.5,0005_hp_dnn_1.5_cat_10_n02123597_7071.png,n02123597_7071.png,0.0,-2.1109786,-0.8661158,-0.88025093
alexnet_w1_mlp_simclrhn_probe1,1,6,NaN,clock,cat,0.4,0006_hp_dnn_0.4_cat_10_n02123394_2386.png,n02123394_2386.png,0.0,-0.8549537,-0.6215048,-0.16507332
alexnet_w1_mlp_simclrhn_probe1,1,7,NaN,oven,oven,inf,0007_hp_dnn_inf_oven_10_n04111531_2201.png,n04111531_2201.png,1.0,-0.059368253,-0.67349,0.43424964
alexnet_w1_mlp_simclrhn_probe1,1,8,NaN,clock,cat,0.45,0008_hp_dnn_0.45_cat_10_n02125311_43276.png,n02125311_43276.png,0.0,-0.87033796,-0.5608364,-0.21885067
alexnet_w1_mlp_simclrhn_probe1,1,9,NaN,clock,dog,0.45,0009_hp_dnn_0.45_dog_10_n02111500_2439.png,n02111500_2439.png,0.0,-1.811287,-0.32861808,-1.0484053
alexnet_w1_mlp_simclrhn_probe1,1,10,NaN,clock,bicycle,0.4,0010_hp_dnn_0.4_bicycle_10_n02835271_12599.png,n02835271_12599.png,0.0,-0.57384807,-0.3779883,-0.13849376
alexnet_w1_mlp_simclrhn_probe1,1,11,NaN,clock,dog,0.45,0011_hp_dnn_0.45_dog_10_n02096585_391.png,n02096585_391.png,0.0,-1.7432346,-0.4937165,-0.8835428
alexnet_w1_mlp_simclrhn_probe1,1,12,NaN,clock,car,0.7,0012_hp_dnn_0.7_car_10_n04285008_12138.png,n04285008_12138.png,0.0,-0.81354123,0.29770443,-0.78576934
alexnet_w1_mlp_simclrhn_probe1,1,13,NaN,clock,car,0.7,0013_hp_dnn_0.7_car_10_n02814533_44083.png,n02814533_44083.png,0.0,-2.2908134,0.31594422,-1.843256
alexnet_w1_mlp_simclrhn_probe1,1,14,NaN,oven,oven,inf,0014_hp_dnn_inf_oven_10_n04111531_2447.png,n04111531_2447.png,1.0,4.9906216,-3.5269501,6.022833
alexnet_w1_mlp_simclrhn_probe1,1,15,NaN,clock,chair,0.55,0015_hp_dnn_0.55_chair_10_n03376595_9524.png,n03376595_9524.png,0.0,-1.6730213,-0.37472305,-0.9180355
alexnet_w1_mlp_simclrhn_probe1,1,16,NaN,clock,elephant,0.55,0016_hp_dnn_0.55_elephant_10_n02504458_3092.png,n02504458_3092.png,0.0,-1.9843246,-0.032755554,-1.3799678
alexnet_w1_mlp_simclrhn_probe1,1,17,NaN,clock,truck,0.4,0017_hp_dnn_0.4_truck_10_n04467665_42126.png,n04467665_42126.png,0.0,-1.073241,-0.16820152,-0.6399596
alexnet_w1_mlp_simclrhn_probe1,1,18,NaN,elephant,elephant,inf,0018_hp_dnn_inf_elephant_10_n02504458_12303.png,n02504458_12303.png,1.0,7.7568374,2.3548737,3.8197653
alexnet_w1_mlp_simclrhn_probe1,1,19,NaN,clock,clock,0.4,0019_hp_dnn_0.4_clock_10_n04548280_7243.png,n04548280_7243.png,1.0,1.0272844,-0.5975152,1.1489068
alexnet_w1_mlp_simclrhn_probe1,1,20,NaN,clock,airplane,0.4,0020_hp_dnn_0.4_airplane_10_n02690373_6978.png,n02690373_6978.png,0.0,-0.21118256,-0.004306724,-0.14628331
alexnet_w1_mlp_simclrhn_probe1,1,21,NaN,boat,boat,3,0021_hp_dnn_3_boat_10_n04612504_4773.png,n04612504_4773.png,1.0,0.22896531,-0.3981163,0.44341367
alexnet_w1_mlp_simclrhn_probe1,1,22,NaN,bottle,bottle,inf,0022_hp_dnn_inf_bottle_10_n04560804_5979.png,n04560804_5979.png,1.0,-3.1773686,-4.1188016,0.66569364
alexnet_w1_mlp_simclrhn_probe1,1,23,NaN,airplane,airplane,3,0023_hp_dnn_3_airplane_10_n02690373_21922.png,n02690373_21922.png,1.0,2.9784908,0.24688737,1.9315354
alexnet_w1_mlp_simclrhn_probe1,1,24,NaN,clock,bird,0.4,0024_hp_dnn_0.4_bird_10_n01820546_6431.png,n01820546_6431.png,0.0,-0.7938922,-0.49828383,-0.2090267
alexnet_w1_mlp_simclrhn_probe1,1,25,NaN,bird,bird,inf,0025_hp_dnn_inf_bird_10_n01795545_9555.png,n01795545_9555.png,1.0,-0.37767947,-2.9196372,1.7974356
alexnet_w1_mlp_simclrhn_probe1,1,26,NaN,airplane,truck,3,0026_hp_dnn_3_truck_10_n04467665_45796.png,n04467665_45796.png,0.0,-0.19944786,1.3215079,-1.0754782
alexnet_w1_mlp_simclrhn_probe1,1,27,NaN,clock,oven,1,0027_hp_dnn_1_oven_10_n04111531_5906.png,n04111531_5906.png,0.0,-3.1519647,-0.3031659,-2.014405
alexnet_w1_mlp_simclrhn_probe1,1,28,NaN,clock,bicycle,0.45,0028_hp_dnn_0.45_bicycle_10_n03792782_6133.png,n03792782_6133.png,0.0,-1.1583477,-0.34839928,-0.57272005
alexnet_w1_mlp_simclrhn_probe1,1,29,NaN,keyboard,keyboard,1,0029_hp_dnn_1_keyboard_10_n04505470_4741.png,n04505470_4741.png,1.0,1.6530519,-0.40212777,1.4532315
alexnet_w1_mlp_simclrhn_probe1,1,30,NaN,car,car,1.5,0030_hp_dnn_1.5_car_10_n02814533_5085.png,n02814533_5085.png,1.0,0.65023124,-0.7318671,0.9772911
alexnet_w1_mlp_simclrhn_probe1,1,31,NaN,clock,chair,0.4,0031_hp_dnn_0.4_chair_10_n04429376_10628.png,n04429376_10628.png,0.0,-0.6854956,-0.15117793,-0.37781966
alexnet_w1_mlp_simclrhn_probe1,1,32,NaN,clock,clock,0.55,0032_hp_dnn_0.55_clock_10_n02708093_5311.png,n02708093_5311.png,1.0,0.5095782,-0.86995053,0.9754742
alexnet_w1_mlp_simclrhn_probe1,1,33,NaN,clock,chair,0.55,0033_hp_dnn_0.55_chair_10_n03376595_10460.png,n03376595_10460.png,0.0,-0.6450949,-0.30227485,-0.24241036
alexnet_w1_mlp_simclrhn_probe1,1,34,NaN,cat,bear,3,0034_hp_dnn_3_bear_10_n02133161_1118.png,n02133161_1118.png,0.0,-2.8668547,-1.3252133,-1.090105
alexnet_w1_mlp_simclrhn_probe1,1,35,NaN,knife,knife,3,0035_hp_dnn_3_knife_10_n03041632_11603.png,n03041632_11603.png,1.0,-0.5438597,-1.3069528,0.53958833
alexnet_w1_mlp_simclrhn_probe1,1,36,NaN,clock,dog,0.4,0036_hp_dnn_0.4_dog_10_n02108422_7493.png,n02108422_7493.png,0.0,-1.5187321,-0.44207528,-0.76131135
alexnet_w1_mlp_simclrhn_probe1,1,37,NaN,keyboard,keyboard,3,0037_hp_dnn_3_keyboard_10_n04505470_550.png,n04505470_550.png,1.0,0.5973936,-1.2955842,1.3385375
alexnet_w1_mlp_simclrhn_probe1,1,38,NaN,clock,dog,1.5,0038_hp_dnn_1.5_dog_10_n02097047_1003.png,n02097047_1003.png,0.0,-3.977598,-1.7392111,-1.5827786
alexnet_w1_mlp_simclrhn_probe1,1,39,NaN,bird,bird,1.5,0039_hp_dnn_1.5_bird_10_n01616318_9819.png,n01616318_9819.png,1.0,-1.05936,-3.5186348,1.7389699
alexnet_w1_mlp_simclrhn_probe1,1,40,NaN,clock,cat,0.55,0040_hp_dnn_0.55_cat_10_n02123597_1016.png,n02123597_1016.png,0.0,-0.62300384,-0.5867359,-0.025645304
alexnet_w1_mlp_simclrhn_probe1,1,41,NaN,cat,bear,1,0041_hp_dnn_1_bear_10_n02134418_971.png,n02134418_971.png,0.0,-2.5720644,-1.0351223,-1.0867822
alexnet_w1_mlp_simclrhn_probe1,1,42,NaN,clock,bear,0.7,0042_hp_dnn_0.7_bear_10_n02132136_10944.png,n02132136_10944.png,0.0,-3.554034,-1.363388,-1.5490208
alexnet_w1_mlp_simclrhn_probe1,1,43,NaN,clock,elephant,1,0043_hp_dnn_1_elephant_10_n02504458_4439.png,n02504458_4439.png,0.0,-2.2356763,-0.9215992,-0.9291929
alexnet_w1_mlp_simclrhn_probe1,1,44,NaN,keyboard,keyboard,0.4,0044_hp_dnn_0.4_keyboard_10_n03085013_2362.png,n03085013_2362.png,1.0,0.5982,-0.1430598,0.52414984
alexnet_w1_mlp_simclrhn_probe1,1,45,NaN,clock,dog,1.5,0045_hp_dnn_1.5_dog_10_n02097474_9488.png,n02097474_9488.png,0.0,-2.6232703,-0.89238787,-1.2239187
alexnet_w1_mlp_simclrhn_probe1,1,46,NaN,clock,clock,inf,0046_hp_dnn_inf_clock_10_n04548280_3308.png,n04548280_3308.png,1.0,8.635656,-2.393429,7.798741
alexnet_w1_mlp_simclrhn_probe1,1,47,NaN,clock,bear,1.5,0047_hp_dnn_1.5_bear_10_n02133161_334.png,n02133161_334.png,0.0,-2.5637174,-0.9546216,-1.1378026
alexnet_w1_mlp_simclrhn_probe1,1,48,NaN,clock,knife,0.45,0048_hp_dnn_0.45_knife_10_n03041632_6708.png,n03041632_6708.png,0.0,-1.4006232,0.22487664,-1.149402
alexnet_w1_mlp_simclrhn_probe1,1,49,NaN,clock,car,0.55,0049_hp_dnn_0.55_car_10_n02814533_81092.png,n02814533_81092.png,0.0,-1.5703329,0.35718358,-1.36296
alexnet_w1_mlp_simclrhn_probe1,1,50,NaN,bottle,bottle,0.45,0050_hp_dnn_0.45_bottle_10_n03937543_11897.png,n03937543_11897.png,1.0,0.03340865,0.016789116,0.011751785
alexnet_w1_mlp_simclrhn_probe1,1,51,NaN,clock,airplane,3,0051_hp_dnn_3_airplane_10_n02690373_4429.png,n02690373_4429.png,0.0,0.584386,1.3749495,-0.5590128
alexnet_w1_mlp_simclrhn_probe1,1,52,NaN,clock,knife,0.4,0052_hp_dnn_0.4_knife_10_n03041632_22964.png,n03041632_22964.png,0.0,-0.68947136,-0.14224404,-0.38694817
alexnet_w1_mlp_simclrhn_probe1,1,53,NaN,knife,knife,1.5,0053_hp_dnn_1.5_knife_10_n03041632_33075.png,n03041632_33075.png,1.0,-0.24744454,-0.5236727,0.19532281
alexnet_w1_mlp_simclrhn_probe1,1,54,NaN,clock,bird,0.7,0054_hp_dnn_0.7_bird_10_n02006656_1412.png,n02006656_1412.png,0.0,-1.0059043,-0.6896677,-0.22361305
alexnet_w1_mlp_simclrhn_probe1,1,55,NaN,clock,clock,1,0055_hp_dnn_1_clock_10_n02708093_3173.png,n02708093_3173.png,1.0,7.839763,-2.0034668,6.960215
alexnet_w1_mlp_simclrhn_probe1,1,56,NaN,clock,keyboard,0.45,0056_hp_dnn_0.45_keyboard_10_n03085013_22016.png,n03085013_22016.png,0.0,-0.16457517,-0.0090565225,-0.1099683
alexnet_w1_mlp_simclrhn_probe1,1,57,NaN,clock,elephant,0.55,0057_hp_dnn_0.55_elephant_10_n02504458_11214.png,n02504458_11214.png,0.0,-1.3248956,-0.2643903,-0.74989057
alexnet_w1_mlp_simclrhn_probe1,1,58,NaN,clock,chair,0.7,0058_hp_dnn_0.7_chair_10_n04099969_13775.png,n04099969_13775.png,0.0,-0.2578916,-0.061923742,-0.1385702
alexnet_w1_mlp_simclrhn_probe1,1,59,NaN,clock,bicycle,0.4,0059_hp_dnn_0.4_bicycle_10_n02835271_8098.png,n02835271_8098.png,0.0,-0.62649643,0.06449119,-0.48860207
alexnet_w1_mlp_simclrhn_probe1,1,60,NaN,clock,clock,0.4,0060_hp_dnn_0.4_clock_10_n04548280_1126.png,n04548280_1126.png,1.0,0.711616,-0.5403653,0.8852844
alexnet_w1_mlp_simclrhn_probe1,1,61,NaN,clock,bicycle,0.45,0061_hp_dnn_0.45_bicycle_10_n02835271_2050.png,n02835271_2050.png,0.0,-0.3805156,0.16395094,-0.384996
alexnet_w1_mlp_simclrhn_probe1,1,62,NaN,clock,oven,1,0062_hp_dnn_1_oven_10_n04111531_891.png,n04111531_891.png,0.0,-1.1468544,-0.26457924,-0.62386274
alexnet_w1_mlp_simclrhn_probe1,1,63,NaN,clock,bottle,0.7,0063_hp_dnn_0.7_bottle_10_n02823428_6201.png,n02823428_6201.png,0.0,-0.61498916,0.32236877,-0.6628121
alexnet_w1_mlp_simclrhn_probe1,1,64,NaN,bicycle,bicycle,0.7,0064_hp_dnn_0.7_bicycle_10_n02835271_20175.png,n02835271_20175.png,1.0,1.3347858,0.57503897,0.53722215
alexnet_w1_mlp_simclrhn_probe1,1,65,NaN,cat,cat,3,0065_hp_dnn_3_cat_10_n02123597_13175.png,n02123597_13175.png,1.0,-1.1609712,-1.4017059,0.17022514
alexnet_w1_mlp_simclrhn_probe1,1,66,NaN,clock,dog,0.4,0066_hp_dnn_0.4_dog_10_n02085936_4391.png,n02085936_4391.png,0.0,-1.3690821,-0.5279065,-0.594801
alexnet_w1_mlp_simclrhn_probe1,1,67,NaN,airplane,airplane,1.5,0067_hp_dnn_1.5_airplane_10_n02690373_8846.png,n02690373_8846.png,1.0,1.3503493,-0.7235905,1.466497
alexnet_w1_mlp_simclrhn_probe1,1,68,NaN,clock,cat,1.5,0068_hp_dnn_1.5_cat_10_n02123597_10301.png,n02123597_10301.png,0.0,-1.4722308,-1.103394,-0.26080698
alexnet_w1_mlp_simclrhn_probe1,1,69,NaN,elephant,elephant,0.7,0069_hp_dnn_0.7_elephant_10_n02504458_6135.png,n02504458_6135.png,1.0,-0.8145403,-0.9827516,0.11894334
alexnet_w1_mlp_simclrhn_probe1,1,70,NaN,clock,keyboard,0.45,0070_hp_dnn_0.45_keyboard_10_n03085013_22585.png,n03085013_22585.png,0.0,-1.0132594,-0.27709755,-0.520545
alexnet_w1_mlp_simclrhn_probe1,1,71,NaN,clock,bird,1,0071_hp_dnn_1_bird_10_n02017213_1150.png,n02017213_1150.png,0.0,-2.2935023,-0.97150356,-0.93479437
alexnet_w1_mlp_simclrhn_probe1,1,72,NaN,chair,bottle,3,0072_hp_dnn_3_bottle_10_n04560804_30885.png,n04560804_30885.png,0.0,-1.3482233,1.0683299,-1.7087612
alexnet_w1_mlp_simclrhn_probe1,1,73,NaN,bicycle,bicycle,inf,0073_hp_dnn_inf_bicycle_10_n02835271_9191.png,n02835271_9191.png,1.0,12.898191,-6.3822346,13.63332
alexnet_w1_mlp_simclrhn_probe1,1,74,NaN,chair,truck,inf,0074_hp_dnn_inf_truck_10_n03796401_7699.png,n03796401_7699.png,0.0,-1.298445,0.64511573,-1.374305
alexnet_w1_mlp_simclrhn_probe1,1,75,NaN,knife,knife,1.5,0075_hp_dnn_1.5_knife_10_n03041632_50332.png,n03041632_50332.png,1.0,0.32066208,-0.62879676,0.6713688
alexnet_w1_mlp_simclrhn_probe1,1,76,NaN,clock,knife,0.55,0076_hp_dnn_0.55_knife_10_n03041632_36247.png,n03041632_36247.png,0.0,-0.64275986,-0.43162164,-0.14929727
alexnet_w1_mlp_simclrhn_probe1,1,77,NaN,clock,knife,1.5,0077_hp_dnn_1.5_knife_10_n03041632_23667.png,n03041632_23667.png,0.0,-2.211213,-0.5020729,-1.2085447
