subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet2023_baseline_pgd,1,1,NaN,boat,boat,0.7,0001_hp_dnn_0.7_boat_10_n03662601_12531.png,n03662601_12531.png,1.0,4.1069,3.1868732,0.65055734
alexnet2023_baseline_pgd,1,2,NaN,bottle,chair,0.7,0002_hp_dnn_0.7_chair_10_n04429376_22819.png,n04429376_22819.png,0.0,1.2508945,2.5550103,-0.9221491
alexnet2023_baseline_pgd,1,3,NaN,airplane,elephant,0.45,0003_hp_dnn_0.45_elephant_10_n02504458_582.png,n02504458_582.png,0.0,1.3739169,2.5425732,-0.8263648
alexnet2023_baseline_pgd,1,4,NaN,elephant,bicycle,0.7,0004_hp_dnn_0.7_bicycle_10_n03792782_41173.png,n03792782_41173.png,0.0,0.68792367,2.755815,-1.4622201
alexnet2023_baseline_pgd,1,5,NaN,clock,cat,1.5,0005_hp_dnn_1.5_cat_10_n02123597_7071.png,n02123597_7071.png,0.0,-0.08861386,1.1832213,-0.89932334
alexnet2023_baseline_pgd,1,6,NaN,airplane,cat,0.4,0006_hp_dnn_0.4_cat_10_n02123394_2386.png,n02123394_2386.png,0.0,-1.2188196,2.6045036,-2.703498
alexnet2023_baseline_pgd,1,7,NaN,oven,oven,inf,0007_hp_dnn_inf_oven_10_n04111531_2201.png,n04111531_2201.png,1.0,8.063634,5.6820054,1.6840657
alexnet2023_baseline_pgd,1,8,NaN,airplane,cat,0.45,0008_hp_dnn_0.45_cat_10_n02125311_43276.png,n02125311_43276.png,0.0,-0.70885926,2.7314854,-2.432691
alexnet2023_baseline_pgd,1,9,NaN,airplane,dog,0.45,0009_hp_dnn_0.45_dog_10_n02111500_2439.png,n02111500_2439.png,0.0,0.29845777,3.2883723,-2.114189
alexnet2023_baseline_pgd,1,10,NaN,airplane,bicycle,0.4,0010_hp_dnn_0.4_bicycle_10_n02835271_12599.png,n02835271_12599.png,0.0,-0.9386042,3.4505486,-3.1035998
alexnet2023_baseline_pgd,1,11,NaN,airplane,dog,0.45,0011_hp_dnn_0.45_dog_10_n02096585_391.png,n02096585_391.png,0.0,0.22503385,2.4308333,-1.5597359
alexnet2023_baseline_pgd,1,12,NaN,airplane,car,0.7,0012_hp_dnn_0.7_car_10_n04285008_12138.png,n04285008_12138.png,0.0,1.9412092,2.926874,-0.6969702
alexnet2023_baseline_pgd,1,13,NaN,boat,car,0.7,0013_hp_dnn_0.7_car_10_n02814533_44083.png,n02814533_44083.png,0.0,0.82595754,3.4690423,-1.8689432
alexnet2023_baseline_pgd,1,14,NaN,oven,oven,inf,0014_hp_dnn_inf_oven_10_n04111531_2447.png,n04111531_2447.png,1.0,12.251864,0.8748576,8.044759
alexnet2023_baseline_pgd,1,15,NaN,airplane,chair,0.55,0015_hp_dnn_0.55_chair_10_n03376595_9524.png,n03376595_9524.png,0.0,-0.31204513,1.2631558,-1.1138352
alexnet2023_baseline_pgd,1,16,NaN,boat,elephant,0.55,0016_hp_dnn_0.55_elephant_10_n02504458_3092.png,n02504458_3092.png,0.0,1.5105231,3.0228124,-1.06935
alexnet2023_baseline_pgd,1,17,NaN,airplane,truck,0.4,0017_hp_dnn_0.4_truck_10_n04467665_42126.png,n04467665_42126.png,0.0,-0.40893668,2.3491514,-1.9502628
alexnet2023_baseline_pgd,1,18,NaN,elephant,elephant,inf,0018_hp_dnn_inf_elephant_10_n02504458_12303.png,n02504458_12303.png,1.0,17.813961,9.417579,5.937139
alexnet2023_baseline_pgd,1,19,NaN,clock,clock,0.4,0019_hp_dnn_0.4_clock_10_n04548280_7243.png,n04548280_7243.png,1.0,3.2429066,2.465812,0.5494889
alexnet2023_baseline_pgd,1,20,NaN,airplane,airplane,0.4,0020_hp_dnn_0.4_airplane_10_n02690373_6978.png,n02690373_6978.png,1.0,3.8183923,2.2623765,1.1002693
alexnet2023_baseline_pgd,1,21,NaN,boat,boat,3,0021_hp_dnn_3_boat_10_n04612504_4773.png,n04612504_4773.png,1.0,4.2054315,3.1655931,0.73527676
alexnet2023_baseline_pgd,1,22,NaN,bird,bottle,inf,0022_hp_dnn_inf_bottle_10_n04560804_5979.png,n04560804_5979.png,0.0,1.3697159,2.4539583,-0.7666751
alexnet2023_baseline_pgd,1,23,NaN,airplane,airplane,3,0023_hp_dnn_3_airplane_10_n02690373_21922.png,n02690373_21922.png,1.0,6.421226,5.2532277,0.82589954
alexnet2023_baseline_pgd,1,24,NaN,airplane,bird,0.4,0024_hp_dnn_0.4_bird_10_n01820546_6431.png,n01820546_6431.png,0.0,1.3115379,3.7455053,-1.721075
alexnet2023_baseline_pgd,1,25,NaN,bird,bird,inf,0025_hp_dnn_inf_bird_10_n01795545_9555.png,n01795545_9555.png,1.0,5.5991907,3.9068015,1.1967
alexnet2023_baseline_pgd,1,26,NaN,bicycle,truck,3,0026_hp_dnn_3_truck_10_n04467665_45796.png,n04467665_45796.png,0.0,2.643238,7.1222763,-3.1671584
alexnet2023_baseline_pgd,1,27,NaN,bottle,oven,1,0027_hp_dnn_1_oven_10_n04111531_5906.png,n04111531_5906.png,0.0,-0.25738645,4.5805845,-3.4209619
alexnet2023_baseline_pgd,1,28,NaN,airplane,bicycle,0.45,0028_hp_dnn_0.45_bicycle_10_n03792782_6133.png,n03792782_6133.png,0.0,-0.038011014,2.8401122,-2.0351405
alexnet2023_baseline_pgd,1,29,NaN,keyboard,keyboard,1,0029_hp_dnn_1_keyboard_10_n04505470_4741.png,n04505470_4741.png,1.0,6.300274,5.7340827,0.40035763
alexnet2023_baseline_pgd,1,30,NaN,car,car,1.5,0030_hp_dnn_1.5_car_10_n02814533_5085.png,n02814533_5085.png,1.0,4.7149286,3.7947123,0.6506912
alexnet2023_baseline_pgd,1,31,NaN,boat,chair,0.4,0031_hp_dnn_0.4_chair_10_n04429376_10628.png,n04429376_10628.png,0.0,-0.41647023,2.452872,-2.0289314
alexnet2023_baseline_pgd,1,32,NaN,airplane,clock,0.55,0032_hp_dnn_0.55_clock_10_n02708093_5311.png,n02708093_5311.png,0.0,1.6726354,2.9549384,-0.90672517
alexnet2023_baseline_pgd,1,33,NaN,airplane,chair,0.55,0033_hp_dnn_0.55_chair_10_n03376595_10460.png,n03376595_10460.png,0.0,0.19556245,4.4145155,-2.9832504
alexnet2023_baseline_pgd,1,34,NaN,elephant,bear,3,0034_hp_dnn_3_bear_10_n02133161_1118.png,n02133161_1118.png,0.0,0.4078359,2.8571796,-1.7319475
alexnet2023_baseline_pgd,1,35,NaN,keyboard,knife,3,0035_hp_dnn_3_knife_10_n03041632_11603.png,n03041632_11603.png,0.0,3.4302397,3.4635231,-0.023534968
alexnet2023_baseline_pgd,1,36,NaN,airplane,dog,0.4,0036_hp_dnn_0.4_dog_10_n02108422_7493.png,n02108422_7493.png,0.0,0.2960535,2.2384276,-1.3734659
alexnet2023_baseline_pgd,1,37,NaN,keyboard,keyboard,3,0037_hp_dnn_3_keyboard_10_n04505470_550.png,n04505470_550.png,1.0,4.717285,2.3742082,1.6568056
alexnet2023_baseline_pgd,1,38,NaN,bird,dog,1.5,0038_hp_dnn_1.5_dog_10_n02097047_1003.png,n02097047_1003.png,0.0,-1.237274,2.8590474,-2.8965368
alexnet2023_baseline_pgd,1,39,NaN,bird,bird,1.5,0039_hp_dnn_1.5_bird_10_n01616318_9819.png,n01616318_9819.png,1.0,2.8275974,2.6564336,0.12103108
alexnet2023_baseline_pgd,1,40,NaN,airplane,cat,0.55,0040_hp_dnn_0.55_cat_10_n02123597_1016.png,n02123597_1016.png,0.0,-0.61758137,2.6097214,-2.2820477
