subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
bagnet33,1,1,NaN,clock,boat,0.7,0001_hp_dnn_0.7_boat_10_n03662601_12531.png,n03662601_12531.png,0.0,1.4437897,3.1852143,-1.2313732
bagnet33,1,2,NaN,knife,chair,0.7,0002_hp_dnn_0.7_chair_10_n04429376_22819.png,n04429376_22819.png,0.0,3.3183823,4.5875196,-0.89741564
bagnet33,1,3,NaN,clock,elephant,0.45,0003_hp_dnn_0.45_elephant_10_n02504458_582.png,n02504458_582.png,0.0,-0.65208477,3.7151108,-3.0880737
bagnet33,1,4,NaN,clock,bicycle,0.7,0004_hp_dnn_0.7_bicycle_10_n03792782_41173.png,n03792782_41173.png,0.0,-1.368841,3.0276792,-3.1088092
bagnet33,1,5,NaN,clock,cat,1.5,0005_hp_dnn_1.5_cat_10_n02123597_7071.png,n02123597_7071.png,0.0,0.3473986,4.2023506,-2.7258627
bagnet33,1,6,NaN,clock,cat,0.4,0006_hp_dnn_0.4_cat_10_n02123394_2386.png,n02123394_2386.png,0.0,0.047175646,3.7501192,-2.6183765
bagnet33,1,7,NaN,oven,oven,inf,0007_hp_dnn_inf_oven_10_n04111531_2201.png,n04111531_2201.png,1.0,8.904138,5.4226975,2.46175
bagnet33,1,8,NaN,clock,cat,0.45,0008_hp_dnn_0.45_cat_10_n02125311_43276.png,n02125311_43276.png,0.0,0.89403266,4.4075637,-2.4844415
bagnet33,1,9,NaN,clock,dog,0.45,0009_hp_dnn_0.45_dog_10_n02111500_2439.png,n02111500_2439.png,0.0,-1.1589072,4.4110036,-3.9385219
bagnet33,1,10,NaN,clock,bicycle,0.4,0010_hp_dnn_0.4_bicycle_10_n02835271_12599.png,n02835271_12599.png,0.0,-1.1881373,4.241739,-3.8395023
bagnet33,1,11,NaN,clock,dog,0.45,0011_hp_dnn_0.45_dog_10_n02096585_391.png,n02096585_391.png,0.0,-1.1776284,3.5674229,-3.355258
bagnet33,1,12,NaN,clock,car,0.7,0012_hp_dnn_0.7_car_10_n04285008_12138.png,n04285008_12138.png,0.0,-1.6078609,2.7158124,-3.0572987
bagnet33,1,13,NaN,clock,car,0.7,0013_hp_dnn_0.7_car_10_n02814533_44083.png,n02814533_44083.png,0.0,-2.4297688,3.500819,-4.1935587
bagnet33,1,14,NaN,oven,oven,inf,0014_hp_dnn_inf_oven_10_n04111531_2447.png,n04111531_2447.png,1.0,19.312809,6.4883113,9.068289
