subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
convnext_large,1,1,NaN,clock,boat,0.7,0001_hp_dnn_0.7_boat_10_n03662601_12531.png,n03662601_12531.png,0.0,-0.07234577,2.7291439,-1.9809523
convnext_large,1,2,NaN,chair,chair,0.7,0002_hp_dnn_0.7_chair_10_n04429376_22819.png,n04429376_22819.png,1.0,4.212592,2.8078983,0.99326855
convnext_large,1,3,NaN,elephant,elephant,0.45,0003_hp_dnn_0.45_elephant_10_n02504458_582.png,n02504458_582.png,1.0,4.782589,2.9330823,1.3077987
convnext_large,1,4,NaN,clock,bicycle,0.7,0004_hp_dnn_0.7_bicycle_10_n03792782_41173.png,n03792782_41173.png,0.0,-0.22550502,1.469235,-1.1983621
convnext_large,1,5,NaN,clock,cat,1.5,0005_hp_dnn_1.5_cat_10_n02123597_7071.png,n02123597_7071.png,0.0,-0.032609213,3.152937,-2.2525213
convnext_large,1,6,NaN,clock,cat,0.4,0006_hp_dnn_0.4_cat_10_n02123394_2386.png,n02123394_2386.png,0.0,0.090373635,3.3448505,-2.3012629
convnext_large,1,7,NaN,oven,oven,inf,0007_hp_dnn_inf_oven_10_n04111531_2201.png,n04111531_2201.png,1.0,8.083076,0.33058193,5.4818406
convnext_large,1,8,NaN,clock,cat,0.45,0008_hp_dnn_0.45_cat_10_n02125311_43276.png,n02125311_43276.png,0.0,0.63997805,3.8960993,-2.3024254
convnext_large,1,9,NaN,clock,dog,0.45,0009_hp_dnn_0.45_dog_10_n02111500_2439.png,n02111500_2439.png,0.0,-0.73017275,3.5687046,-3.0397654
convnext_large,1,10,NaN,clock,bicycle,0.4,0010_hp_dnn_0.4_bicycle_10_n02835271_12599.png,n02835271_12599.png,0.0,1.4714756,2.7597902,-0.910976
convnext_large,1,11,NaN,clock,dog,0.45,0011_hp_dnn_0.45_dog_10_n02096585_391.png,n02096585_391.png,0.0,-0.21986952,2.74425,-2.0959492
convnext_large,1,12,NaN,car,car,0.7,0012_hp_dnn_0.7_car_10_n04285008_12138.png,n04285008_12138.png,1.0,4.2880597,1.4333051,2.0186162
convnext_large,1,13,NaN,car,car,0.7,0013_hp_dnn_0.7_car_10_n02814533_44083.png,n02814533_44083.png,1.0,2.5235877,1.1862367,0.94565
convnext_large,1,14,NaN,oven,oven,inf,0014_hp_dnn_inf_oven_10_n04111531_2447.png,n04111531_2447.png,1.0,8.541974,0.3702894,5.7782536
convnext_large,1,15,NaN,chair,chair,0.55,0015_hp_dnn_0.55_chair_10_n03376595_9524.png,n03376595_9524.png,1.0,3.7435238,2.580855,0.8221311
convnext_large,1,16,NaN,elephant,elephant,0.55,0016_hp_dnn_0.55_elephant_10_n02504458_3092.png,n02504458_3092.png,1.0,4.24934,2.26592,1.4024899
convnext_large,1,17,NaN,truck,truck,0.4,0017_hp_dnn_0.4_truck_10_n04467665_42126.png,n04467665_42126.png,1.0,2.0114222,1.7873873,0.1584166
convnext_large,1,18,NaN,elephant,elephant,inf,0018_hp_dnn_inf_elephant_10_n02504458_12303.png,n02504458_12303.png,1.0,6.2221117,0.23744534,4.231798
convnext_large,1,19,NaN,clock,clock,0.4,0019_hp_dnn_0.4_clock_10_n04548280_7243.png,n04548280_7243.png,1.0,5.858572,0.38164687,3.8727708
convnext_large,1,20,NaN,airplane,airplane,0.4,0020_hp_dnn_0.4_airplane_10_n02690373_6978.png,n02690373_6978.png,1.0,3.9217262,2.7938757,0.7975108
convnext_large,1,21,NaN,boat,boat,3,0021_hp_dnn_3_boat_10_n04612504_4773.png,n04612504_4773.png,1.0,2.4868045,0.4885993,1.4129444
convnext_large,1,22,NaN,bottle,bottle,inf,0022_hp_dnn_inf_bottle_10_n04560804_5979.png,n04560804_5979.png,1.0,1.068802,0.3596664,0.5014346
convnext_large,1,23,NaN,airplane,airplane,3,0023_hp_dnn_3_airplane_10_n02690373_21922.png,n02690373_21922.png,1.0,8.328591,0.38904098,5.61411
convnext_large,1,24,NaN,clock,bird,0.4,0024_hp_dnn_0.4_bird_10_n01820546_6431.png,n01820546_6431.png,0.0,-0.88781714,2.6412354,-2.4954169
