subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
resnet50,1,1,NaN,clock,boat,0.7,0001_hp_dnn_0.7_boat_10_n03662601_12531.png,n03662601_12531.png,0.0,-0.34863225,3.0137062,-2.3775325
resnet50,1,2,NaN,chair,chair,0.7,0002_hp_dnn_0.7_chair_10_n04429376_22819.png,n04429376_22819.png,1.0,3.9571705,3.7617095,0.13821183
resnet50,1,3,NaN,clock,elephant,0.45,0003_hp_dnn_0.45_elephant_10_n02504458_582.png,n02504458_582.png,0.0,-1.5325468,4.1796494,-4.039133
resnet50,1,4,NaN,clock,bicycle,0.7,0004_hp_dnn_0.7_bicycle_10_n03792782_41173.png,n03792782_41173.png,0.0,-0.5873904,2.1154811,-1.9112189
resnet50,1,5,NaN,clock,cat,1.5,0005_hp_dnn_1.5_cat_10_n02123597_7071.png,n02123597_7071.png,0.0,0.44544291,3.7413023,-2.3305244
resnet50,1,6,NaN,clock,cat,0.4,0006_hp_dnn_0.4_cat_10_n02123394_2386.png,n02123394_2386.png,0.0,1.1961225,3.0132835,-1.2849269
resnet50,1,7,NaN,oven,oven,inf,0007_hp_dnn_inf_oven_10_n04111531_2201.png,n04111531_2201.png,1.0,10.249077,3.1691294,5.006279
resnet50,1,8,NaN,clock,cat,0.45,0008_hp_dnn_0.45_cat_10_n02125311_43276.png,n02125311_43276.png,0.0,0.66793346,4.187927,-2.4890113
resnet50,1,9,NaN,clock,dog,0.45,0009_hp_dnn_0.45_dog_10_n02111500_2439.png,n02111500_2439.png,0.0,-0.7518358,4.5670424,-3.761015
resnet50,1,10,NaN,clock,bicycle,0.4,0010_hp_dnn_0.4_bicycle_10_n02835271_12599.png,n02835271_12599.png,0.0,-0.78840077,3.033685,-2.702623
resnet50,1,11,NaN,clock,dog,0.45,0011_hp_dnn_0.45_dog_10_n02096585_391.png,n02096585_391.png,0.0,-0.899058,4.3806596,-3.733324
