subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
simclr_resnet50x1,1,1,NaN,airplane,boat,0.7,0001_hp_dnn_0.7_boat_10_n03662601_12531.png,n03662601_12531.png,0.0,1.8459609,3.2496502,-0.9925583
simclr_resnet50x1,1,2,NaN,chair,chair,0.7,0002_hp_dnn_0.7_chair_10_n04429376_22819.png,n04429376_22819.png,1.0,5.8043656,3.047385,1.9494797
simclr_resnet50x1,1,3,NaN,elephant,elephant,0.45,0003_hp_dnn_0.45_elephant_10_n02504458_582.png,n02504458_582.png,1.0,4.5146456,2.6884763,1.2912967
simclr_resnet50x1,1,4,NaN,clock,bicycle,0.7,0004_hp_dnn_0.7_bicycle_10_n03792782_41173.png,n03792782_41173.png,0.0,0.8108952,2.4819045,-1.181582
simclr_resnet50x1,1,5,NaN,clock,cat,1.5,0005_hp_dnn_1.5_cat_10_n02123597_7071.png,n02123597_7071.png,0.0,1.5459296,1.7246882,-0.12640144
simclr_resnet50x1,1,6,NaN,clock,cat,0.4,0006_hp_dnn_0.4_cat_10_n02123394_2386.png,n02123394_2386.png,0.0,0.39971587,2.440975,-1.4433881
simclr_resnet50x1,1,7,NaN,oven,oven,inf,0007_hp_dnn_inf_oven_10_n04111531_2201.png,n04111531_2201.png,1.0,13.079506,3.3025882,6.913325
simclr_resnet50x1,1,8,NaN,clock,cat,0.45,0008_hp_dnn_0.45_cat_10_n02125311_43276.png,n02125311_43276.png,0.0,0.78871685,2.1797001,-0.9835738
simclr_resnet50x1,1,9,NaN,clock,dog,0.45,0009_hp_dnn_0.45_dog_10_n02111500_2439.png,n02111500_2439.png,0.0,-0.4960677,2.675081,-2.2423408
simclr_resnet50x1,1,10,NaN,clock,bicycle,0.4,0010_hp_dnn_0.4_bicycle_10_n02835271_12599.png,n02835271_12599.png,0.0,0.79268336,2.412507,-1.1453884
simclr_resnet50x1,1,11,NaN,cat,dog,0.45,0011_hp_dnn_0.45_dog_10_n02096585_391.png,n02096585_391.png,0.0,0.38901114,2.010589,-1.1466286
simclr_resnet50x1,1,12,NaN,car,car,0.7,0012_hp_dnn_0.7_car_10_n04285008_12138.png,n04285008_12138.png,1.0,8.841813,4.6132007,2.9900806
simclr_resnet50x1,1,13,NaN,truck,car,0.7,0013_hp_dnn_0.7_car_10_n02814533_44083.png,n02814533_44083.png,0.0,2.9072921,3.321772,-0.2930816
simclr_resnet50x1,1,14,NaN,oven,oven,inf,0014_hp_dnn_inf_oven_10_n04111531_2447.png,n04111531_2447.png,1.0,17.255377,5.0922337,8.600641
simclr_resnet50x1,1,15,NaN,chair,chair,0.55,0015_hp_dnn_0.55_chair_10_n03376595_9524.png,n03376595_9524.png,1.0,4.3194776,2.3259156,1.4096612
simclr_resnet50x1,1,16,NaN,elephant,elephant,0.55,0016_hp_dnn_0.55_elephant_10_n02504458_3092.png,n02504458_3092.png,1.0,2.186193,1.5501597,0.44974348
simclr_resnet50x1,1,17,NaN,airplane,truck,0.4,0017_hp_dnn_0.4_truck_10_n04467665_42126.png,n04467665_42126.png,0.0,2.4820256,2.790326,-0.21800138
simclr_resnet50x1,1,18,NaN,elephant,elephant,inf,0018_hp_dnn_inf_elephant_10_n02504458_12303.png,n02504458_12303.png,1.0,25.698502,8.587206,12.099513
simclr_resnet50x1,1,19,NaN,clock,clock,0.4,0019_hp_dnn_0.4_clock_10_n04548280_7243.png,n04548280_7243.png,1.0,5.515635,2.8235621,1.903583
simclr_resnet50x1,1,20,NaN,airplane,airplane,0.4,0020_hp_dnn_0.4_airplane_10_n02690373_6978.png,n02690373_6978.png,1.0,4.7044353,3.1135244,1.124944
simclr_resnet50x1,1,21,NaN,boat,boat,3,0021_hp_dnn_3_boat_10_n04612504_4773.png,n04612504_4773.png,1.0,9.041944,2.7446876,4.4528327
simclr_resnet50x1,1,22,NaN,bottle,bottle,inf,0022_hp_dnn_inf_bottle_10_n04560804_5979.png,n04560804_5979.png,1.0,5.152105,3.6913636,1.0329001
simclr_resnet50x1,1,23,NaN,airplane,airplane,3,0023_hp_dnn_3_airplane_10_n02690373_21922.png,n02690373_21922.png,1.0,16.417295,5.917357,7.424578
simclr_resnet50x1,1,24,NaN,clock,bird,0.4,0024_hp_dnn_0.4_bird_10_n01820546_6431.png,n01820546_6431.png,0.0,-0.904613,1.6596056,-1.8131764
simclr_resnet50x1,1,25,NaN,bear,bird,inf,0025_hp_dnn_inf_bird_10_n01795545_9555.png,n01795545_9555.png,0.0,4.478625,4.6879425,-0.14800996
simclr_resnet50x1,1,26,NaN,truck,truck,3,0026_hp_dnn_3_truck_10_n04467665_45796.png,n04467665_45796.png,1.0,7.2550077,3.4559138,2.6863651
simclr_resnet50x1,1,27,NaN,chair,oven,1,0027_hp_dnn_1_oven_10_n04111531_5906.png,n04111531_5906.png,0.0,1.2320547,3.0663471,-1.2970406
simclr_resnet50x1,1,28,NaN,clock,bicycle,0.45,0028_hp_dnn_0.45_bicycle_10_n03792782_6133.png,n03792782_6133.png,0.0,-0.48248872,2.793063,-2.3161647
simclr_resnet50x1,1,29,NaN,keyboard,keyboard,1,0029_hp_dnn_1_keyboard_10_n04505470_4741.png,n04505470_4741.png,1.0,10.7524395,4.1976085,4.6349654
simclr_resnet50x1,1,30,NaN,car,car,1.5,0030_hp_dnn_1.5_car_10_n02814533_5085.png,n02814533_5085.png,1.0,7.7445397,6.2308083,1.0703698
simclr_resnet50x1,1,31,NaN,knife,chair,0.4,0031_hp_dnn_0.4_chair_10_n04429376_10628.png,n04429376_10628.png,0.0,1.3396508,3.3497386,-1.4213469
simclr_resnet50x1,1,32,NaN,clock,clock,0.55,0032_hp_dnn_0.55_clock_10_n02708093_5311.png,n02708093_5311.png,1.0,4.394276,1.3636625,2.1429675
simclr_resnet50x1,1,33,NaN,chair,chair,0.55,0033_hp_dnn_0.55_chair_10_n03376595_10460.png,n03376595_10460.png,1.0,5.7321067,1.7065967,2.8464653
