subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
vit_b_16,1,1,NaN,clock,boat,0.7,0001_hp_dnn_0.7_boat_10_n03662601_12531.png,n03662601_12531.png,0.0,-0.8922971,4.167502,-3.5778184
vit_b_16,1,2,NaN,chair,chair,0.7,0002_hp_dnn_0.7_chair_10_n04429376_22819.png,n04429376_22819.png,1.0,4.5141354,3.8343194,0.48070252
vit_b_16,1,3,NaN,knife,elephant,0.45,0003_hp_dnn_0.45_elephant_10_n02504458_582.png,n02504458_582.png,0.0,-0.549916,3.8113964,-3.0839136
vit_b_16,1,4,NaN,knife,bicycle,0.7,0004_hp_dnn_0.7_bicycle_10_n03792782_41173.png,n03792782_41173.png,0.0,-0.50733805,3.716937,-2.9870136
vit_b_16,1,5,NaN,knife,cat,1.5,0005_hp_dnn_1.5_cat_10_n02123597_7071.png,n02123597_7071.png,0.0,0.11992098,2.3729486,-1.5931312
vit_b_16,1,6,NaN,knife,cat,0.4,0006_hp_dnn_0.4_cat_10_n02123394_2386.png,n02123394_2386.png,0.0,-0.2068445,3.2443442,-2.440359
vit_b_16,1,7,NaN,oven,oven,inf,0007_hp_dnn_inf_oven_10_n04111531_2201.png,n04111531_2201.png,1.0,9.8482895,1.390405,5.980628
vit_b_16,1,8,NaN,clock,cat,0.45,0008_hp_dnn_0.45_cat_10_n02125311_43276.png,n02125311_43276.png,0.0,-0.24344139,4.3734818,-3.2646577
vit_b_16,1,9,NaN,clock,dog,0.45,0009_hp_dnn_0.45_dog_10_n02111500_2439.png,n02111500_2439.png,0.0,-0.7748029,4.0482326,-3.4104009
vit_b_16,1,10,NaN,knife,bicycle,0.4,0010_hp_dnn_0.4_bicycle_10_n02835271_12599.png,n02835271_12599.png,0.0,-0.58831304,4.9684043,-3.9291925
vit_b_16,1,11,NaN,clock,dog,0.45,0011_hp_dnn_0.45_dog_10_n02096585_391.png,n02096585_391.png,0.0,-0.4964289,3.8290977,-3.0586092
vit_b_16,1,12,NaN,knife,car,0.7,0012_hp_dnn_0.7_car_10_n04285008_12138.png,n04285008_12138.png,0.0,2.0538104,2.9441776,-0.6295847
vit_b_16,1,13,NaN,clock,car,0.7,0013_hp_dnn_0.7_car_10_n02814533_44083.png,n02814533_44083.png,0.0,-0.60256726,2.344072,-2.0835886
vit_b_16,1,14,NaN,oven,oven,inf,0014_hp_dnn_inf_oven_10_n04111531_2447.png,n04111531_2447.png,1.0,9.20089,0.39048517,6.229897
vit_b_16,1,15,NaN,clock,chair,0.55,0015_hp_dnn_0.55_chair_10_n03376595_9524.png,n03376595_9524.png,0.0,0.33565024,2.7379818,-1.698705
vit_b_16,1,16,NaN,clock,elephant,0.55,0016_hp_dnn_0.55_elephant_10_n02504458_3092.png,n02504458_3092.png,0.0,1.1526885,2.9977386,-1.3046474
vit_b_16,1,17,NaN,knife,truck,0.4,0017_hp_dnn_0.4_truck_10_n04467665_42126.png,n04467665_42126.png,0.0,-1.3609204,3.8776894,-3.7042565
vit_b_16,1,18,NaN,elephant,elephant,inf,0018_hp_dnn_inf_elephant_10_n02504458_12303.png,n02504458_12303.png,1.0,6.5358677,0.30304962,4.407268
vit_b_16,1,19,NaN,clock,clock,0.4,0019_hp_dnn_0.4_clock_10_n04548280_7243.png,n04548280_7243.png,1.0,3.701994,1.644046,1.4551891
vit_b_16,1,20,NaN,knife,airplane,0.4,0020_hp_dnn_0.4_airplane_10_n02690373_6978.png,n02690373_6978.png,0.0,0.46998978,5.0676107,-3.251009
vit_b_16,1,21,NaN,boat,boat,3,0021_hp_dnn_3_boat_10_n04612504_4773.png,n04612504_4773.png,1.0,2.372867,0.14139087,1.5778921
vit_b_16,1,22,NaN,bottle,bottle,inf,0022_hp_dnn_inf_bottle_10_n04560804_5979.png,n04560804_5979.png,1.0,0.92804044,0.60979384,0.22503434
vit_b_16,1,23,NaN,airplane,airplane,3,0023_hp_dnn_3_airplane_10_n02690373_21922.png,n02690373_21922.png,1.0,8.969035,1.0039883,5.6321387
vit_b_16,1,24,NaN,clock,bird,0.4,0024_hp_dnn_0.4_bird_10_n01820546_6431.png,n01820546_6431.png,0.0,0.14134122,3.2375538,-2.189353
vit_b_16,1,25,NaN,bird,bird,inf,0025_hp_dnn_inf_bird_10_n01795545_9555.png,n01795545_9555.png,1.0,1.2755334,0.30656812,0.68516195
vit_b_16,1,26,NaN,truck,truck,3,0026_hp_dnn_3_truck_10_n04467665_45796.png,n04467665_45796.png,1.0,2.988471,0.5921984,1.6944207
vit_b_16,1,27,NaN,chair,oven,1,0027_hp_dnn_1_oven_10_n04111531_5906.png,n04111531_5906.png,0.0,0.62001026,3.1624196,-1.797755
vit_b_16,1,28,NaN,knife,bicycle,0.45,0028_hp_dnn_0.45_bicycle_10_n03792782_6133.png,n03792782_6133.png,0.0,-0.60181606,3.992772,-3.2488647
vit_b_16,1,29,NaN,keyboard,keyboard,1,0029_hp_dnn_1_keyboard_10_n04505470_4741.png,n04505470_4741.png,1.0,5.449082,2.061199,2.395595
vit_b_16,1,30,NaN,chair,car,1.5,0030_hp_dnn_1.5_car_10_n02814533_5085.png,n02814533_5085.png,0.0,1.0460062,2.1010332,-0.74601674
vit_b_16,1,31,NaN,clock,chair,0.4,0031_hp_dnn_0.4_chair_10_n04429376_10628.png,n04429376_10628.png,0.0,0.48612776,3.9633312,-2.458754
vit_b_16,1,32,NaN,clock,clock,0.55,0032_hp_dnn_0.55_clock_10_n02708093_5311.png,n02708093_5311.png,1.0,3.2857351,1.4658571,1.2868481
vit_b_16,1,33,NaN,chair,chair,0.55,0033_hp_dnn_0.55_chair_10_n03376595_10460.png,n03376595_10460.png,1.0,3.1474223,1.9778799,0.8269914
vit_b_16,1,34,NaN,bear,bear,3,0034_hp_dnn_3_bear_10_n02133161_1118.png,n02133161_1118.png,1.0,2.4311674,0.8384211,1.1262417
vit_b_16,1,35,NaN,knife,knife,3,0035_hp_dnn_3_knife_10_n03041632_11603.png,n03041632_11603.png,1.0,2.8560076,0.64892393,1.5606439
vit_b_16,1,36,NaN,knife,dog,0.4,0036_hp_dnn_0.4_dog_10_n02108422_7493.png,n02108422_7493.png,0.0,-0.6329875,3.8945334,-3.201441
vit_b_16,1,37,NaN,keyboard,keyboard,3,0037_hp_dnn_3_keyboard_10_n04505470_550.png,n04505470_550.png,1.0,6.6984787,0.84409934,4.1396713
vit_b_16,1,38,NaN,knife,dog,1.5,0038_hp_dnn_1.5_dog_10_n02097047_1003.png,n02097047_1003.png,0.0,-0.5101287,1.7102169,-1.5700214
vit_b_16,1,39,NaN,knife,bird,1.5,0039_hp_dnn_1.5_bird_10_n01616318_9819.png,n01616318_9819.png,0.0,-0.48033753,1.793252,-1.6076707
vit_b_16,1,40,NaN,clock,cat,0.55,0040_hp_dnn_0.55_cat_10_n02123597_1016.png,n02123597_1016.png,0.0,-0.45306388,3.2260818,-2.601549
vit_b_16,1,41,NaN,knife,bear,1,0041_hp_dnn_1_bear_10_n02134418_971.png,n02134418_971.png,0.0,1.1933752,2.898294,-1.2055596
vit_b_16,1,42,NaN,clock,bear,0.7,0042_hp_dnn_0.7_bear_10_n02132136_10944.png,n02132136_10944.png,0.0,-0.80554664,3.8673985,-3.3042712
vit_b_16,1,43,NaN,clock,elephant,1,0043_hp_dnn_1_elephant_10_n02504458_4439.png,n02504458_4439.png,0.0,-0.7471928,3.9035978,-3.2886057
vit_b_16,1,44,NaN,keyboard,keyboard,0.4,0044_hp_dnn_0.4_keyboard_10_n03085013_2362.png,n03085013_2362.png,1.0,4.5464573,3.4031038,0.808473
vit_b_16,1,45,NaN,knife,dog,1.5,0045_hp_dnn_1.5_dog_10_n02097474_9488.png,n02097474_9488.png,0.0,-0.4807237,2.0657058,-1.8005975
vit_b_16,1,46,NaN,clock,clock,inf,0046_hp_dnn_inf_clock_10_n04548280_3308.png,n04548280_3308.png,1.0,5.7355976,0.4864739,3.711691
vit_b_16,1,47,NaN,clock,bear,1.5,0047_hp_dnn_1.5_bear_10_n02133161_334.png,n02133161_334.png,0.0,-0.19061925,1.9429756,-1.5086795
vit_b_16,1,48,NaN,clock,knife,0.45,0048_hp_dnn_0.45_knife_10_n03041632_6708.png,n03041632_6708.png,0.0,2.7871158,3.4063718,-0.43788013
vit_b_16,1,49,NaN,clock,car,0.55,0049_hp_dnn_0.55_car_10_n02814533_81092.png,n02814533_81092.png,0.0,-1.0033308,2.5002754,-2.477424
vit_b_16,1,50,NaN,knife,bottle,0.45,0050_hp_dnn_0.45_bottle_10_n03937543_11897.png,n03937543_11897.png,0.0,4.144046,6.040336,-1.3408798
vit_b_16,1,51,NaN,airplane,airplane,3,0051_hp_dnn_3_airplane_10_n02690373_4429.png,n02690373_4429.png,1.0,6.9032555,3.0409353,2.731073
vit_b_16,1,52,NaN,clock,knife,0.4,0052_hp_dnn_0.4_knife_10_n03041632_22964.png,n03041632_22964.png,0.0,3.0614202,3.6057389,-0.38489142
vit_b_16,1,53,NaN,knife,knife,1.5,0053_hp_dnn_1.5_knife_10_n03041632_33075.png,n03041632_33075.png,1.0,1.660139,0.91682297,0.5256038
vit_b_16,1,54,NaN,clock,bird,0.7,0054_hp_dnn_0.7_bird_10_n02006656_1412.png,n02006656_1412.png,0.0,-0.018333508,4.1804814,-2.9690106
vit_b_16,1,55,NaN,clock,clock,1,0055_hp_dnn_1_clock_10_n02708093_3173.png,n02708093_3173.png,1.0,6.5612693,0.44534776,4.3246098
vit_b_16,1,56,NaN,knife,keyboard,0.45,0056_hp_dnn_0.45_keyboard_10_n03085013_22016.png,n03085013_22016.png,0.0,0.2537642,3.535717,-2.320691
vit_b_16,1,57,NaN,clock,elephant,0.55,0057_hp_dnn_0.55_elephant_10_n02504458_11214.png,n02504458_11214.png,0.0,-0.7168044,4.110672,-3.4135413
vit_b_16,1,58,NaN,knife,chair,0.7,0058_hp_dnn_0.7_chair_10_n04099969_13775.png,n04099969_13775.png,0.0,2.6172235,2.998008,-0.2692553
vit_b_16,1,59,NaN,clock,bicycle,0.4,0059_hp_dnn_0.4_bicycle_10_n02835271_8098.png,n02835271_8098.png,0.0,-0.79740906,3.4014378,-2.969033
vit_b_16,1,60,NaN,knife,clock,0.4,0060_hp_dnn_0.4_clock_10_n04548280_1126.png,n04548280_1126.png,0.0,2.7729633,4.356294,-1.119584
vit_b_16,1,61,NaN,knife,bicycle,0.45,0061_hp_dnn_0.45_bicycle_10_n02835271_2050.png,n02835271_2050.png,0.0,0.105003,3.8293488,-2.63351
vit_b_16,1,62,NaN,chair,oven,1,0062_hp_dnn_1_oven_10_n04111531_891.png,n04111531_891.png,0.0,0.98008305,2.2210846,-0.8775207
vit_b_16,1,63,NaN,clock,bottle,0.7,0063_hp_dnn_0.7_bottle_10_n02823428_6201.png,n02823428_6201.png,0.0,2.045046,3.3384552,-0.9145784
vit_b_16,1,64,NaN,clock,bicycle,0.7,0064_hp_dnn_0.7_bicycle_10_n02835271_20175.png,n02835271_20175.png,0.0,2.6707692,3.0251534,-0.25058746
vit_b_16,1,65,NaN,keyboard,cat,3,0065_hp_dnn_3_cat_10_n02123597_13175.png,n02123597_13175.png,0.0,-0.27050754,1.6233392,-1.3391519
vit_b_16,1,66,NaN,clock,dog,0.4,0066_hp_dnn_0.4_dog_10_n02085936_4391.png,n02085936_4391.png,0.0,-0.8187059,3.0945015,-2.7670555
vit_b_16,1,67,NaN,airplane,airplane,1.5,0067_hp_dnn_1.5_airplane_10_n02690373_8846.png,n02690373_8846.png,1.0,4.488055,2.7701447,1.2147462
vit_b_16,1,68,NaN,cat,cat,1.5,0068_hp_dnn_1.5_cat_10_n02123597_10301.png,n02123597_10301.png,1.0,3.392972,0.66826874,1.9266562
vit_b_16,1,69,NaN,elephant,elephant,0.7,0069_hp_dnn_0.7_elephant_10_n02504458_6135.png,n02504458_6135.png,1.0,6.3510056,2.0071752,3.0715518
vit_b_16,1,70,NaN,clock,keyboard,0.45,0070_hp_dnn_0.45_keyboard_10_n03085013_22585.png,n03085013_22585.png,0.0,0.14750099,2.9885921,-2.0089548
vit_b_16,1,71,NaN,clock,bird,1,0071_hp_dnn_1_bird_10_n02017213_1150.png,n02017213_1150.png,0.0,-0.14929262,1.2999977,-1.024803
vit_b_16,1,72,NaN,bottle,bottle,3,0072_hp_dnn_3_bottle_10_n04560804_30885.png,n04560804_30885.png,1.0,2.9437785,1.6278083,0.93053144
vit_b_16,1,73,NaN,bicycle,bicycle,inf,0073_hp_dnn_inf_bicycle_10_n02835271_9191.png,n02835271_9191.png,1.0,6.1112995,0.10254703,4.2488294
vit_b_16,1,74,NaN,clock,truck,inf,0074_hp_dnn_inf_truck_10_n03796401_7699.png,n03796401_7699.png,0.0,1.4906585,2.459609,-0.6851515
vit_b_16,1,75,NaN,knife,knife,1.5,0075_hp_dnn_1.5_knife_10_n03041632_50332.png,n03041632_50332.png,1.0,8.401401,1.92836,4.577131
vit_b_16,1,76,NaN,clock,knife,0.55,0076_hp_dnn_0.55_knife_10_n03041632_36247.png,n03041632_36247.png,0.0,2.250401,3.132129,-0.6234758
vit_b_16,1,77,NaN,clock,knife,1.5,0077_hp_dnn_1.5_knife_10_n03041632_23667.png,n03041632_23667.png,0.0,1.9552686,2.378472,-0.29925004
vit_b_16,1,78,NaN,bear,dog,3,0078_hp_dnn_3_dog_10_n02102973_7028.png,n02102973_7028.png,0.0,0.23078379,2.18794,-1.3839184
vit_b_16,1,79,NaN,knife,oven,0.55,0079_hp_dnn_0.55_oven_10_n04111531_9867.png,n04111531_9867.png,0.0,0.028757365,2.2088995,-1.5415933
vit_b_16,1,80,NaN,clock,car,0.55,0080_hp_dnn_0.55_car_10_n02814533_8121.png,n02814533_8121.png,0.0,0.8024389,2.1453924,-0.9496115
vit_b_16,1,81,NaN,clock,boat,0.55,0081_hp_dnn_0.55_boat_10_n03662601_5210.png,n03662601_5210.png,0.0,1.5065719,3.3074179,-1.2733904
vit_b_16,1,82,NaN,car,car,1.5,0082_hp_dnn_1.5_car_10_n03100240_6192.png,n03100240_6192.png,1.0,4.666076,2.200093,1.7437135
vit_b_16,1,83,NaN,clock,oven,0.45,0083_hp_dnn_0.45_oven_10_n04111531_9314.png,n04111531_9314.png,0.0,-0.34367666,3.0597217,-2.4065661
