subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet_w1_mlp_simclrhn_probe0,1,1,NaN,clock,chair,40,0001_lp_dnn_40_chair_10_n04099969_7577.png,n04099969_7577.png,0.0,-1.0722904,-0.15540758,-0.6483341
alexnet_w1_mlp_simclrhn_probe0,1,2,NaN,clock,cat,40,0002_lp_dnn_40_cat_10_n02124075_12815.png,n02124075_12815.png,0.0,-0.7096053,-0.00094717246,-0.50109696
alexnet_w1_mlp_simclrhn_probe0,1,3,NaN,keyboard,truck,5,0003_lp_dnn_5_truck_10_n04467665_34253.png,n04467665_34253.png,0.0,-1.9761736,-0.07340668,-1.3454595
alexnet_w1_mlp_simclrhn_probe0,1,4,NaN,bottle,clock,1,0004_lp_dnn_1_clock_10_n04548280_5320.png,n04548280_5320.png,0.0,-2.267747,-2.1264534,-0.09990961
alexnet_w1_mlp_simclrhn_probe0,1,5,NaN,oven,dog,3,0005_lp_dnn_3_dog_10_n02108915_3652.png,n02108915_3652.png,0.0,-1.748871,-0.6845267,-0.7526051
alexnet_w1_mlp_simclrhn_probe0,1,6,NaN,keyboard,keyboard,7,0006_lp_dnn_7_keyboard_10_n04505470_578.png,n04505470_578.png,1.0,1.0495813,-0.5224878,1.1116208
alexnet_w1_mlp_simclrhn_probe0,1,7,NaN,keyboard,cat,7,0007_lp_dnn_7_cat_10_n02123597_3842.png,n02123597_3842.png,0.0,-1.3298678,0.11878045,-1.0243491
alexnet_w1_mlp_simclrhn_probe0,1,8,NaN,bear,bear,1,0008_lp_dnn_1_bear_10_n02134418_14.png,n02134418_14.png,1.0,3.2254498,0.36182246,2.0248904
alexnet_w1_mlp_simclrhn_probe0,1,9,NaN,keyboard,knife,10,0009_lp_dnn_10_knife_10_n03041632_29920.png,n03041632_29920.png,0.0,-0.9453067,-0.119573,-0.5838819
alexnet_w1_mlp_simclrhn_probe0,1,10,NaN,keyboard,bird,5,0010_lp_dnn_5_bird_10_n01795545_952.png,n01795545_952.png,0.0,-0.73028445,0.032411084,-0.5393072
alexnet_w1_mlp_simclrhn_probe0,1,11,NaN,elephant,bear,3,0011_lp_dnn_3_bear_10_n02132136_6441.png,n02132136_6441.png,0.0,-0.2526315,-0.1859577,-0.047145486
alexnet_w1_mlp_simclrhn_probe0,1,12,NaN,bear,bird,3,0012_lp_dnn_3_bird_10_n01829413_8792.png,n01829413_8792.png,0.0,-1.2766958,-0.9499791,-0.23102361
alexnet_w1_mlp_simclrhn_probe0,1,13,NaN,keyboard,keyboard,7,0013_lp_dnn_7_keyboard_10_n04505470_4458.png,n04505470_4458.png,1.0,1.2315788,-0.37140092,1.1334779
alexnet_w1_mlp_simclrhn_probe0,1,14,NaN,keyboard,chair,10,0014_lp_dnn_10_chair_10_n03376595_9176.png,n03376595_9176.png,0.0,-2.0274482,0.17448527,-1.5570021
alexnet_w1_mlp_simclrhn_probe0,1,15,NaN,clock,clock,40,0015_lp_dnn_40_clock_10_n04548280_7662.png,n04548280_7662.png,1.0,0.092039585,-0.091015354,0.12943938
alexnet_w1_mlp_simclrhn_probe0,1,16,NaN,clock,keyboard,40,0016_lp_dnn_40_keyboard_10_n03085013_25809.png,n03085013_25809.png,0.0,-0.73446405,-0.03471824,-0.49479502
alexnet_w1_mlp_simclrhn_probe0,1,17,NaN,keyboard,oven,5,0017_lp_dnn_5_oven_10_n04111531_1580.png,n04111531_1580.png,0.0,-1.5141258,-0.28511643,-0.8690409
alexnet_w1_mlp_simclrhn_probe0,1,18,NaN,elephant,elephant,1,0018_lp_dnn_1_elephant_10_n02504458_900.png,n02504458_900.png,1.0,4.141464,-1.853338,4.2389655
alexnet_w1_mlp_simclrhn_probe0,1,19,NaN,keyboard,dog,7,0019_lp_dnn_7_dog_10_n02106662_2384.png,n02106662_2384.png,0.0,-1.8147972,-0.02049014,-1.2687666
alexnet_w1_mlp_simclrhn_probe0,1,20,NaN,keyboard,truck,10,0020_lp_dnn_10_truck_10_n03796401_22618.png,n03796401_22618.png,0.0,-2.0477114,0.00058990717,-1.4483677
alexnet_w1_mlp_simclrhn_probe0,1,21,NaN,keyboard,elephant,15,0021_lp_dnn_15_elephant_10_n02504013_5463.png,n02504013_5463.png,0.0,-1.9470133,-0.23579201,-1.2100161
alexnet_w1_mlp_simclrhn_probe0,1,22,NaN,keyboard,chair,10,0022_lp_dnn_10_chair_10_n04429376_16459.png,n04429376_16459.png,0.0,-1.7424573,-0.12259778,-1.1454136
alexnet_w1_mlp_simclrhn_probe0,1,23,NaN,cat,cat,1,0023_lp_dnn_1_cat_10_n02123045_12206.png,n02123045_12206.png,1.0,-0.31000713,-2.2193027,1.3500758
