subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet2023_baseline_pgd,1,1,NaN,airplane,chair,40,0001_lp_dnn_40_chair_10_n04099969_7577.png,n04099969_7577.png,0.0,-0.91543335,2.4537349,-2.382362
alexnet2023_baseline_pgd,1,2,NaN,airplane,cat,40,0002_lp_dnn_40_cat_10_n02124075_12815.png,n02124075_12815.png,0.0,-0.8443807,2.6402862,-2.4640317
alexnet2023_baseline_pgd,1,3,NaN,knife,truck,5,0003_lp_dnn_5_truck_10_n04467665_34253.png,n04467665_34253.png,0.0,-1.0791986,2.779233,-2.7283232
alexnet2023_baseline_pgd,1,4,NaN,clock,clock,1,0004_lp_dnn_1_clock_10_n04548280_5320.png,n04548280_5320.png,1.0,8.306263,5.1575084,2.2265058
alexnet2023_baseline_pgd,1,5,NaN,knife,dog,3,0005_lp_dnn_3_dog_10_n02108915_3652.png,n02108915_3652.png,0.0,1.3447592,2.1071036,-0.53905886
alexnet2023_baseline_pgd,1,6,NaN,keyboard,keyboard,7,0006_lp_dnn_7_keyboard_10_n04505470_578.png,n04505470_578.png,1.0,3.8321629,2.2426786,1.1239351
alexnet2023_baseline_pgd,1,7,NaN,bird,cat,7,0007_lp_dnn_7_cat_10_n02123597_3842.png,n02123597_3842.png,0.0,1.5840069,2.2670834,-0.48300803
alexnet2023_baseline_pgd,1,8,NaN,bear,bear,1,0008_lp_dnn_1_bear_10_n02134418_14.png,n02134418_14.png,1.0,13.452587,7.202952,4.4191594
alexnet2023_baseline_pgd,1,9,NaN,bird,knife,10,0009_lp_dnn_10_knife_10_n03041632_29920.png,n03041632_29920.png,0.0,0.1106761,2.121648,-1.421972
alexnet2023_baseline_pgd,1,10,NaN,knife,bird,5,0010_lp_dnn_5_bird_10_n01795545_952.png,n01795545_952.png,0.0,2.1736324,2.67745,-0.35625282
alexnet2023_baseline_pgd,1,11,NaN,elephant,bear,3,0011_lp_dnn_3_bear_10_n02132136_6441.png,n02132136_6441.png,0.0,3.7614346,4.08954,-0.2320056
alexnet2023_baseline_pgd,1,12,NaN,bird,bird,3,0012_lp_dnn_3_bird_10_n01829413_8792.png,n01829413_8792.png,1.0,2.2780945,2.108622,0.11983512
alexnet2023_baseline_pgd,1,13,NaN,keyboard,keyboard,7,0013_lp_dnn_7_keyboard_10_n04505470_4458.png,n04505470_4458.png,1.0,2.7414002,1.9087611,0.5887648
alexnet2023_baseline_pgd,1,14,NaN,bird,chair,10,0014_lp_dnn_10_chair_10_n03376595_9176.png,n03376595_9176.png,0.0,-2.666206,2.5910733,-3.717458
alexnet2023_baseline_pgd,1,15,NaN,airplane,clock,40,0015_lp_dnn_40_clock_10_n04548280_7662.png,n04548280_7662.png,0.0,0.8894334,2.6457095,-1.2418748
alexnet2023_baseline_pgd,1,16,NaN,airplane,keyboard,40,0016_lp_dnn_40_keyboard_10_n03085013_25809.png,n03085013_25809.png,0.0,-1.2818196,2.6379015,-2.7716615
alexnet2023_baseline_pgd,1,17,NaN,keyboard,oven,5,0017_lp_dnn_5_oven_10_n04111531_1580.png,n04111531_1580.png,0.0,-0.21667942,1.7552983,-1.3943988
alexnet2023_baseline_pgd,1,18,NaN,elephant,elephant,1,0018_lp_dnn_1_elephant_10_n02504458_900.png,n02504458_900.png,1.0,19.916399,2.1697176,12.548799
alexnet2023_baseline_pgd,1,19,NaN,knife,dog,7,0019_lp_dnn_7_dog_10_n02106662_2384.png,n02106662_2384.png,0.0,1.1418777,1.636324,-0.3496264
alexnet2023_baseline_pgd,1,20,NaN,knife,truck,10,0020_lp_dnn_10_truck_10_n03796401_22618.png,n03796401_22618.png,0.0,-2.8339024,1.676355,-3.1892335
alexnet2023_baseline_pgd,1,21,NaN,bird,elephant,15,0021_lp_dnn_15_elephant_10_n02504013_5463.png,n02504013_5463.png,0.0,1.4843031,2.3713365,-0.6272273
alexnet2023_baseline_pgd,1,22,NaN,bear,chair,10,0022_lp_dnn_10_chair_10_n04429376_16459.png,n04429376_16459.png,0.0,-2.2011933,1.9830377,-2.958698
alexnet2023_baseline_pgd,1,23,NaN,cat,cat,1,0023_lp_dnn_1_cat_10_n02123045_12206.png,n02123045_12206.png,1.0,7.460806,2.9754248,3.1716435
alexnet2023_baseline_pgd,1,24,NaN,knife,truck,7,0024_lp_dnn_7_truck_10_n03417042_2633.png,n03417042_2633.png,0.0,-2.8946023,1.7074077,-3.2541125
alexnet2023_baseline_pgd,1,25,NaN,airplane,keyboard,15,0025_lp_dnn_15_keyboard_10_n03085013_24416.png,n03085013_24416.png,0.0,-1.0063771,2.671196,-2.600437
alexnet2023_baseline_pgd,1,26,NaN,knife,car,7,0026_lp_dnn_7_car_10_n02814533_44503.png,n02814533_44503.png,0.0,-1.9751558,1.9596187,-2.7823057
alexnet2023_baseline_pgd,1,27,NaN,bear,elephant,5,0027_lp_dnn_5_elephant_10_n02504458_5797.png,n02504458_5797.png,0.0,1.8112814,2.0495896,-0.16850933
alexnet2023_baseline_pgd,1,28,NaN,chair,chair,0,0028_lp_dnn_0_chair_10_n04429376_8237.png,n04429376_8237.png,1.0,6.4822907,3.0045311,2.4591475
alexnet2023_baseline_pgd,1,29,NaN,bird,cat,7,0029_lp_dnn_7_cat_10_n02123159_587.png,n02123159_587.png,0.0,0.43910038,2.256851,-1.2853438
alexnet2023_baseline_pgd,1,30,NaN,airplane,bird,10,0030_lp_dnn_10_bird_10_n02028035_17238.png,n02028035_17238.png,0.0,1.8580977,2.277566,-0.29660887
alexnet2023_baseline_pgd,1,31,NaN,airplane,cat,40,0031_lp_dnn_40_cat_10_n02123159_4348.png,n02123159_4348.png,0.0,-0.9989937,2.9017844,-2.7582667
alexnet2023_baseline_pgd,1,32,NaN,boat,boat,5,0032_lp_dnn_5_boat_10_n04273569_22332.png,n04273569_22332.png,1.0,1.8854034,1.8475511,0.02676561
alexnet2023_baseline_pgd,1,33,NaN,elephant,elephant,1,0033_lp_dnn_1_elephant_10_n02504013_1244.png,n02504013_1244.png,1.0,18.758982,3.7124486,10.639506
alexnet2023_baseline_pgd,1,34,NaN,bird,bicycle,7,0034_lp_dnn_7_bicycle_10_n03792782_30229.png,n03792782_30229.png,0.0,-1.4714581,1.579922,-2.1576517
alexnet2023_baseline_pgd,1,35,NaN,bird,keyboard,10,0035_lp_dnn_10_keyboard_10_n03085013_7573.png,n03085013_7573.png,0.0,-0.4915349,2.0558255,-1.8012558
alexnet2023_baseline_pgd,1,36,NaN,keyboard,keyboard,3,0036_lp_dnn_3_keyboard_10_n03085013_24578.png,n03085013_24578.png,1.0,6.592252,4.1971035,1.6936256
alexnet2023_baseline_pgd,1,37,NaN,bird,truck,15,0037_lp_dnn_15_truck_10_n03417042_1336.png,n03417042_1336.png,0.0,-1.437257,2.709489,-2.9321923
alexnet2023_baseline_pgd,1,38,NaN,knife,knife,3,0038_lp_dnn_3_knife_10_n03041632_7495.png,n03041632_7495.png,1.0,5.6876564,2.1730897,2.485174
alexnet2023_baseline_pgd,1,39,NaN,car,car,0,0039_lp_dnn_0_car_10_n03100240_9625.png,n03100240_9625.png,1.0,10.232437,5.1278543,3.6094851
alexnet2023_baseline_pgd,1,40,NaN,bird,elephant,10,0040_lp_dnn_10_elephant_10_n02504458_6107.png,n02504458_6107.png,0.0,1.2333183,2.3777995,-0.80927044
alexnet2023_baseline_pgd,1,41,NaN,bicycle,bicycle,0,0041_lp_dnn_0_bicycle_10_n03792782_33649.png,n03792782_33649.png,1.0,14.702688,2.5277333,8.608994
alexnet2023_baseline_pgd,1,42,NaN,clock,clock,1,0042_lp_dnn_1_clock_10_n03196217_8282.png,n03196217_8282.png,1.0,8.924547,6.81234,1.4935563
alexnet2023_baseline_pgd,1,43,NaN,keyboard,keyboard,7,0043_lp_dnn_7_keyboard_10_n03085013_21534.png,n03085013_21534.png,1.0,2.5872753,2.2366817,0.24790709
alexnet2023_baseline_pgd,1,44,NaN,bird,elephant,15,0044_lp_dnn_15_elephant_10_n02504013_22813.png,n02504013_22813.png,0.0,0.5557423,2.0216763,-1.0365719
alexnet2023_baseline_pgd,1,45,NaN,bird,truck,10,0045_lp_dnn_10_truck_10_n03796401_16425.png,n03796401_16425.png,0.0,-2.703268,2.5613167,-3.7226236
alexnet2023_baseline_pgd,1,46,NaN,airplane,airplane,15,0046_lp_dnn_15_airplane_10_n02690373_9427.png,n02690373_9427.png,1.0,2.1672435,2.0382545,0.09120899
alexnet2023_baseline_pgd,1,47,NaN,keyboard,bird,7,0047_lp_dnn_7_bird_10_n02009912_11907.png,n02009912_11907.png,0.0,1.4847763,1.5003402,-0.011005385
alexnet2023_baseline_pgd,1,48,NaN,airplane,airplane,1,0048_lp_dnn_1_airplane_10_n02690373_5773.png,n02690373_5773.png,1.0,20.787222,2.9737577,12.596023
alexnet2023_baseline_pgd,1,49,NaN,knife,chair,40,0049_lp_dnn_40_chair_10_n02791124_2972.png,n02791124_2972.png,0.0,-0.31032166,2.0175765,-1.6460725
alexnet2023_baseline_pgd,1,50,NaN,bird,bird,1,0050_lp_dnn_1_bird_10_n01819313_18188.png,n01819313_18188.png,1.0,7.2940187,4.290946,2.1234932
alexnet2023_baseline_pgd,1,51,NaN,keyboard,car,5,0051_lp_dnn_5_car_10_n04285008_7428.png,n04285008_7428.png,0.0,-1.0605828,3.121594,-2.9572456
alexnet2023_baseline_pgd,1,52,NaN,bird,bottle,7,0052_lp_dnn_7_bottle_10_n04591713_6923.png,n04591713_6923.png,0.0,0.7006618,1.6111826,-0.6438354
alexnet2023_baseline_pgd,1,53,NaN,knife,knife,0,0053_lp_dnn_0_knife_10_n03041632_22570.png,n03041632_22570.png,1.0,6.177958,3.769709,1.7028892
alexnet2023_baseline_pgd,1,54,NaN,elephant,bear,0,0054_lp_dnn_0_bear_10_n02132136_7586.png,n02132136_7586.png,0.0,9.533441,10.44015,-0.6411406
alexnet2023_baseline_pgd,1,55,NaN,knife,clock,5,0055_lp_dnn_5_clock_10_n04548280_9144.png,n04548280_9144.png,0.0,0.54920584,1.4565473,-0.64158726
alexnet2023_baseline_pgd,1,56,NaN,bottle,bottle,0,0056_lp_dnn_0_bottle_10_n04591713_2680.png,n04591713_2680.png,1.0,5.440761,4.1543574,0.90962476
alexnet2023_baseline_pgd,1,57,NaN,bottle,cat,3,0057_lp_dnn_3_cat_10_n02123045_1596.png,n02123045_1596.png,0.0,0.15717037,2.334727,-1.5397651
alexnet2023_baseline_pgd,1,58,NaN,bird,cat,10,0058_lp_dnn_10_cat_10_n02123597_19450.png,n02123597_19450.png,0.0,0.33773303,2.2653663,-1.3630426
alexnet2023_baseline_pgd,1,59,NaN,airplane,chair,15,0059_lp_dnn_15_chair_10_n03376595_3462.png,n03376595_3462.png,0.0,-0.62362206,2.4294689,-2.1588614
alexnet2023_baseline_pgd,1,60,NaN,keyboard,bottle,3,0060_lp_dnn_3_bottle_10_n04591713_3683.png,n04591713_3683.png,0.0,4.0831647,4.5856266,-0.35529423
alexnet2023_baseline_pgd,1,61,NaN,knife,clock,7,0061_lp_dnn_7_clock_10_n03196217_4309.png,n03196217_4309.png,0.0,0.856515,3.6613357,-1.9833078
alexnet2023_baseline_pgd,1,62,NaN,bird,bear,15,0062_lp_dnn_15_bear_10_n02134084_4923.png,n02134084_4923.png,0.0,1.1702828,1.5715606,-0.28374624
alexnet2023_baseline_pgd,1,63,NaN,chair,chair,1,0063_lp_dnn_1_chair_10_n04429376_5238.png,n04429376_5238.png,1.0,4.225299,3.0612903,0.8230784
alexnet2023_baseline_pgd,1,64,NaN,elephant,clock,0,0064_lp_dnn_0_clock_10_n03196217_2414.png,n03196217_2414.png,0.0,2.473325,4.904164,-1.7188627
alexnet2023_baseline_pgd,1,65,NaN,bird,bird,3,0065_lp_dnn_3_bird_10_n01797886_2711.png,n01797886_2711.png,1.0,1.6560109,1.4886397,0.11834928
alexnet2023_baseline_pgd,1,66,NaN,airplane,truck,15,0066_lp_dnn_15_truck_10_n04467665_68463.png,n04467665_68463.png,0.0,0.98595935,3.6558707,-1.8879125
alexnet2023_baseline_pgd,1,67,NaN,truck,truck,0,0067_lp_dnn_0_truck_10_n03417042_10099.png,n03417042_10099.png,1.0,9.777834,4.3474326,3.8398736
alexnet2023_baseline_pgd,1,68,NaN,knife,bear,10,0068_lp_dnn_10_bear_10_n02134418_3793.png,n02134418_3793.png,0.0,1.1950709,1.953322,-0.5361646
alexnet2023_baseline_pgd,1,69,NaN,bird,bottle,10,0069_lp_dnn_10_bottle_10_n03937543_9524.png,n03937543_9524.png,0.0,0.14926028,2.8375773,-1.9009273
alexnet2023_baseline_pgd,1,70,NaN,bear,cat,3,0070_lp_dnn_3_cat_10_n02123394_1038.png,n02123394_1038.png,0.0,2.9629414,4.557542,-1.1275527
alexnet2023_baseline_pgd,1,71,NaN,knife,dog,5,0071_lp_dnn_5_dog_10_n02110185_7886.png,n02110185_7886.png,0.0,0.6698423,2.406674,-1.2281255
alexnet2023_baseline_pgd,1,72,NaN,clock,clock,3,0072_lp_dnn_3_clock_10_n02708093_4912.png,n02708093_4912.png,1.0,7.3505783,3.3503623,2.82858
alexnet2023_baseline_pgd,1,73,NaN,bird,dog,15,0073_lp_dnn_15_dog_10_n02108422_932.png,n02108422_932.png,0.0,0.21353176,2.3097873,-1.4822766
alexnet2023_baseline_pgd,1,74,NaN,truck,truck,0,0074_lp_dnn_0_truck_10_n04467665_18621.png,n04467665_18621.png,1.0,11.661547,4.925586,4.7630434
alexnet2023_baseline_pgd,1,75,NaN,car,truck,1,0075_lp_dnn_1_truck_10_n04467665_50932.png,n04467665_50932.png,0.0,8.286225,9.639867,-0.9571691
alexnet2023_baseline_pgd,1,76,NaN,dog,dog,1,0076_lp_dnn_1_dog_10_n02102480_7293.png,n02102480_7293.png,1.0,6.369378,5.4198775,0.6713983
alexnet2023_baseline_pgd,1,77,NaN,bottle,bottle,1,0077_lp_dnn_1_bottle_10_n04591713_4764.png,n04591713_4764.png,1.0,3.8970883,2.4347947,1.0339978
alexnet2023_baseline_pgd,1,78,NaN,bird,clock,15,0078_lp_dnn_15_clock_10_n02708093_274.png,n02708093_274.png,0.0,0.9394576,1.3754741,-0.30831024
alexnet2023_baseline_pgd,1,79,NaN,keyboard,bottle,5,0079_lp_dnn_5_bottle_10_n04557648_29772.png,n04557648_29772.png,0.0,0.697895,2.2683907,-1.1105081
alexnet2023_baseline_pgd,1,80,NaN,knife,car,15,0080_lp_dnn_15_car_10_n03100240_22499.png,n03100240_22499.png,0.0,-1.3205124,2.068222,-2.396197
alexnet2023_baseline_pgd,1,81,NaN,clock,clock,3,0081_lp_dnn_3_clock_10_n02708093_6252.png,n02708093_6252.png,1.0,12.29404,4.580144,5.4545484
alexnet2023_baseline_pgd,1,82,NaN,bird,airplane,10,0082_lp_dnn_10_airplane_10_n02690373_5427.png,n02690373_5427.png,0.0,1.2685434,2.2303808,-0.6801218
alexnet2023_baseline_pgd,1,83,NaN,knife,dog,15,0083_lp_dnn_15_dog_10_n02107142_46045.png,n02107142_46045.png,0.0,0.48469856,1.7961391,-0.9273285
alexnet2023_baseline_pgd,1,84,NaN,boat,keyboard,40,0084_lp_dnn_40_keyboard_10_n03085013_23793.png,n03085013_23793.png,0.0,-1.0576309,2.7358181,-2.6823735
alexnet2023_baseline_pgd,1,85,NaN,bicycle,bicycle,3,0085_lp_dnn_3_bicycle_10_n03792782_12421.png,n03792782_12421.png,1.0,5.4122405,3.5942795,1.2854925
alexnet2023_baseline_pgd,1,86,NaN,airplane,airplane,0,0086_lp_dnn_0_airplane_10_n02690373_1310.png,n02690373_1310.png,1.0,15.976984,8.367501,5.380717
alexnet2023_baseline_pgd,1,87,NaN,knife,oven,15,0087_lp_dnn_15_oven_10_n04111531_8793.png,n04111531_8793.png,0.0,0.115695626,3.347031,-2.2848992
alexnet2023_baseline_pgd,1,88,NaN,airplane,airplane,5,0088_lp_dnn_5_airplane_10_n02690373_633.png,n02690373_633.png,1.0,3.46852,1.9439076,1.0780637
alexnet2023_baseline_pgd,1,89,NaN,knife,clock,5,0089_lp_dnn_5_clock_10_n02708093_2307.png,n02708093_2307.png,0.0,0.34398627,2.6317425,-1.617688
alexnet2023_baseline_pgd,1,90,NaN,bird,oven,10,0090_lp_dnn_10_oven_10_n04111531_13795.png,n04111531_13795.png,0.0,-0.6098123,2.2952807,-2.054211
alexnet2023_baseline_pgd,1,91,NaN,boat,boat,3,0091_lp_dnn_3_boat_10_n03662601_1427.png,n03662601_1427.png,1.0,3.8030915,3.213579,0.41684836
alexnet2023_baseline_pgd,1,92,NaN,bird,boat,5,0092_lp_dnn_5_boat_10_n04612504_15944.png,n04612504_15944.png,0.0,-1.6115307,1.8902932,-2.4761634
alexnet2023_baseline_pgd,1,93,NaN,airplane,airplane,40,0093_lp_dnn_40_airplane_10_n02690373_3561.png,n02690373_3561.png,1.0,2.787197,2.682824,0.07380301
alexnet2023_baseline_pgd,1,94,NaN,bear,elephant,7,0094_lp_dnn_7_elephant_10_n02504458_1848.png,n02504458_1848.png,0.0,0.32992166,2.0189335,-1.1943117
alexnet2023_baseline_pgd,1,95,NaN,keyboard,oven,5,0095_lp_dnn_5_oven_10_n04111531_4155.png,n04111531_4155.png,0.0,-0.5391745,2.047654,-1.829164
alexnet2023_baseline_pgd,1,96,NaN,car,car,0,0096_lp_dnn_0_car_10_n03100240_8327.png,n03100240_8327.png,1.0,15.523145,11.385498,2.9257581
alexnet2023_baseline_pgd,1,97,NaN,chair,chair,0,0097_lp_dnn_0_chair_10_n04429376_24319.png,n04429376_24319.png,1.0,4.280413,3.2569313,0.72371095
alexnet2023_baseline_pgd,1,98,NaN,keyboard,chair,3,0098_lp_dnn_3_chair_10_n03376595_5112.png,n03376595_5112.png,0.0,1.1298233,4.7366076,-2.5503817
alexnet2023_baseline_pgd,1,99,NaN,cat,cat,1,0099_lp_dnn_1_cat_10_n02124075_2268.png,n02124075_2268.png,1.0,6.004783,5.078744,0.65480864
alexnet2023_baseline_pgd,1,100,NaN,boat,boat,3,0100_lp_dnn_3_boat_10_n04273569_1137.png,n04273569_1137.png,1.0,3.5375068,2.7077262,0.5867435
alexnet2023_baseline_pgd,1,101,NaN,chair,chair,1,0101_lp_dnn_1_chair_10_n02791124_15383.png,n02791124_15383.png,1.0,13.580677,5.544718,5.6822815
alexnet2023_baseline_pgd,1,102,NaN,knife,clock,15,0102_lp_dnn_15_clock_10_n04548280_8998.png,n04548280_8998.png,0.0,0.7484699,2.4601097,-1.2103121
alexnet2023_baseline_pgd,1,103,NaN,bear,dog,0,0103_lp_dnn_0_dog_10_n02097047_2800.png,n02097047_2800.png,0.0,5.486396,6.936845,-1.0256224
alexnet2023_baseline_pgd,1,104,NaN,airplane,bicycle,15,0104_lp_dnn_15_bicycle_10_n03792782_18294.png,n03792782_18294.png,0.0,-0.129231,2.72536,-2.0185006
alexnet2023_baseline_pgd,1,105,NaN,elephant,elephant,0,0105_lp_dnn_0_elephant_10_n02504013_24486.png,n02504013_24486.png,1.0,13.366245,2.8540065,7.433275
alexnet2023_baseline_pgd,1,106,NaN,bird,airplane,7,0106_lp_dnn_7_airplane_10_n02690373_2923.png,n02690373_2923.png,0.0,0.3159171,2.3440468,-1.4341043
alexnet2023_baseline_pgd,1,107,NaN,airplane,airplane,3,0107_lp_dnn_3_airplane_10_n02690373_15392.png,n02690373_15392.png,1.0,5.617585,3.555867,1.457855
alexnet2023_baseline_pgd,1,108,NaN,keyboard,oven,5,0108_lp_dnn_5_oven_10_n04111531_6080.png,n04111531_6080.png,0.0,1.1617433,2.4796624,-0.93190956
alexnet2023_baseline_pgd,1,109,NaN,bird,bear,15,0109_lp_dnn_15_bear_10_n02134084_22736.png,n02134084_22736.png,0.0,0.5209749,1.8139735,-0.91428816
alexnet2023_baseline_pgd,1,110,NaN,knife,knife,1,0110_lp_dnn_1_knife_10_n03041632_33326.png,n03041632_33326.png,1.0,6.5498962,2.9012742,2.5799654
alexnet2023_baseline_pgd,1,111,NaN,boat,truck,40,0111_lp_dnn_40_truck_10_n04467665_66876.png,n04467665_66876.png,0.0,-0.36538398,2.448276,-1.9895582
alexnet2023_baseline_pgd,1,112,NaN,boat,truck,40,0112_lp_dnn_40_truck_10_n03796401_10234.png,n03796401_10234.png,0.0,-0.07509476,2.6408257,-1.9204458
alexnet2023_baseline_pgd,1,113,NaN,bird,bicycle,7,0113_lp_dnn_7_bicycle_10_n03792782_5416.png,n03792782_5416.png,0.0,-1.9884684,2.5534573,-3.2116263
alexnet2023_baseline_pgd,1,114,NaN,bird,knife,7,0114_lp_dnn_7_knife_10_n03041632_25772.png,n03041632_25772.png,0.0,1.2358378,1.7110615,-0.33603388
alexnet2023_baseline_pgd,1,115,NaN,bird,bicycle,10,0115_lp_dnn_10_bicycle_10_n03792782_7108.png,n03792782_7108.png,0.0,-2.4679847,2.3956516,-3.43911
alexnet2023_baseline_pgd,1,116,NaN,chair,chair,0,0116_lp_dnn_0_chair_10_n03376595_1981.png,n03376595_1981.png,1.0,8.421311,2.771584,3.9949605
alexnet2023_baseline_pgd,1,117,NaN,bird,oven,15,0117_lp_dnn_15_oven_10_n04111531_6508.png,n04111531_6508.png,0.0,-0.061256193,2.0806215,-1.5145363
alexnet2023_baseline_pgd,1,118,NaN,bird,bird,15,0118_lp_dnn_15_bird_10_n01843383_2843.png,n01843383_2843.png,1.0,2.4755719,1.0080049,1.0377265
alexnet2023_baseline_pgd,1,119,NaN,bird,cat,5,0119_lp_dnn_5_cat_10_n02123597_5887.png,n02123597_5887.png,0.0,1.2201476,1.957234,-0.5211988
alexnet2023_baseline_pgd,1,120,NaN,knife,clock,40,0120_lp_dnn_40_clock_10_n04548280_9801.png,n04548280_9801.png,0.0,1.7550424,1.980413,-0.15936103
alexnet2023_baseline_pgd,1,121,NaN,bird,bird,1,0121_lp_dnn_1_bird_10_n01530575_10332.png,n01530575_10332.png,1.0,8.869895,2.186638,4.7257767
alexnet2023_baseline_pgd,1,122,NaN,bird,elephant,15,0122_lp_dnn_15_elephant_10_n02504013_5887.png,n02504013_5887.png,0.0,0.65269697,2.1105964,-1.0308906
alexnet2023_baseline_pgd,1,123,NaN,knife,cat,3,0123_lp_dnn_3_cat_10_n02124075_8693.png,n02124075_8693.png,0.0,1.9776689,1.9896067,-0.008441339
alexnet2023_baseline_pgd,1,124,NaN,bird,boat,15,0124_lp_dnn_15_boat_10_n04612504_26151.png,n04612504_26151.png,0.0,1.6560581,1.8416073,-0.13120314
alexnet2023_baseline_pgd,1,125,NaN,bird,cat,7,0125_lp_dnn_7_cat_10_n02125311_53412.png,n02125311_53412.png,0.0,0.66488385,2.0486205,-0.9784496
alexnet2023_baseline_pgd,1,126,NaN,knife,knife,7,0126_lp_dnn_7_knife_10_n03041632_46914.png,n03041632_46914.png,1.0,3.511928,1.4246057,1.4759598
alexnet2023_baseline_pgd,1,127,NaN,bird,bicycle,15,0127_lp_dnn_15_bicycle_10_n03792782_5629.png,n03792782_5629.png,0.0,-0.96132946,1.9927073,-2.0888195
alexnet2023_baseline_pgd,1,128,NaN,airplane,bottle,40,0128_lp_dnn_40_bottle_10_n02823428_79.png,n02823428_79.png,0.0,0.5646013,2.7120237,-1.5184569
alexnet2023_baseline_pgd,1,129,NaN,dog,dog,3,0129_lp_dnn_3_dog_10_n02101006_5024.png,n02101006_5024.png,1.0,4.0906777,3.7231112,0.25990883
alexnet2023_baseline_pgd,1,130,NaN,knife,oven,15,0130_lp_dnn_15_oven_10_n04111531_2350.png,n04111531_2350.png,0.0,-0.8911056,1.8503721,-1.9385176
alexnet2023_baseline_pgd,1,131,NaN,knife,airplane,7,0131_lp_dnn_7_airplane_10_n02690373_4839.png,n02690373_4839.png,0.0,1.640519,1.9229399,-0.19970171
