subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
alexnet,1,1,NaN,knife,chair,40,0001_lp_dnn_40_chair_10_n04099969_7577.png,n04099969_7577.png,0.0,-0.043306068,3.553971,-2.5436592
alexnet,1,2,NaN,knife,cat,40,0002_lp_dnn_40_cat_10_n02124075_12815.png,n02124075_12815.png,0.0,0.12026334,4.2027497,-2.8867538
alexnet,1,3,NaN,bear,truck,5,0003_lp_dnn_5_truck_10_n04467665_34253.png,n04467665_34253.png,0.0,1.4939605,3.92233,-1.7171166
alexnet,1,4,NaN,clock,clock,1,0004_lp_dnn_1_clock_10_n04548280_5320.png,n04548280_5320.png,1.0,6.192042,3.6812043,1.7754303
alexnet,1,5,NaN,elephant,dog,3,0005_lp_dnn_3_dog_10_n02108915_3652.png,n02108915_3652.png,0.0,2.5152688,2.9950013,-0.33922213
alexnet,1,6,NaN,keyboard,keyboard,7,0006_lp_dnn_7_keyboard_10_n04505470_578.png,n04505470_578.png,1.0,3.8580737,1.7991804,1.4558574
alexnet,1,7,NaN,cat,cat,7,0007_lp_dnn_7_cat_10_n02123597_3842.png,n02123597_3842.png,1.0,3.2130432,1.7203553,1.0554898
alexnet,1,8,NaN,bear,bear,1,0008_lp_dnn_1_bear_10_n02134418_14.png,n02134418_14.png,1.0,10.594489,4.413066,4.3709264
alexnet,1,9,NaN,dog,knife,10,0009_lp_dnn_10_knife_10_n03041632_29920.png,n03041632_29920.png,0.0,0.8516449,2.0647018,-0.8577608
alexnet,1,10,NaN,knife,bird,5,0010_lp_dnn_5_bird_10_n01795545_952.png,n01795545_952.png,0.0,-1.2049676,3.3159404,-3.1967647
alexnet,1,11,NaN,cat,bear,3,0011_lp_dnn_3_bear_10_n02132136_6441.png,n02132136_6441.png,0.0,3.3423014,3.710186,-0.2601337
alexnet,1,12,NaN,elephant,bird,3,0012_lp_dnn_3_bird_10_n01829413_8792.png,n01829413_8792.png,0.0,-1.1041536,4.461038,-3.935185
alexnet,1,13,NaN,keyboard,keyboard,7,0013_lp_dnn_7_keyboard_10_n04505470_4458.png,n04505470_4458.png,1.0,6.23968,2.7953146,2.435534
alexnet,1,14,NaN,cat,chair,10,0014_lp_dnn_10_chair_10_n03376595_9176.png,n03376595_9176.png,0.0,-1.5338285,2.2959778,-2.708082
alexnet,1,15,NaN,knife,clock,40,0015_lp_dnn_40_clock_10_n04548280_7662.png,n04548280_7662.png,0.0,2.0006297,3.154626,-0.81599855
alexnet,1,16,NaN,knife,keyboard,40,0016_lp_dnn_40_keyboard_10_n03085013_25809.png,n03085013_25809.png,0.0,-0.20921642,3.3717675,-2.532138
alexnet,1,17,NaN,elephant,oven,5,0017_lp_dnn_5_oven_10_n04111531_1580.png,n04111531_1580.png,0.0,2.2154512,2.3617244,-0.103430726
alexnet,1,18,NaN,elephant,elephant,1,0018_lp_dnn_1_elephant_10_n02504458_900.png,n02504458_900.png,1.0,7.2489843,2.0369382,3.6854732
alexnet,1,19,NaN,knife,dog,7,0019_lp_dnn_7_dog_10_n02106662_2384.png,n02106662_2384.png,0.0,1.6398371,3.4545388,-1.2831879
alexnet,1,20,NaN,knife,truck,10,0020_lp_dnn_10_truck_10_n03796401_22618.png,n03796401_22618.png,0.0,-1.8801581,4.464221,-4.4861536
alexnet,1,21,NaN,knife,elephant,15,0021_lp_dnn_15_elephant_10_n02504013_5463.png,n02504013_5463.png,0.0,0.29311478,3.8959737,-2.547606
alexnet,1,22,NaN,knife,chair,10,0022_lp_dnn_10_chair_10_n04429376_16459.png,n04429376_16459.png,0.0,-0.53002036,4.0262575,-3.221775
alexnet,1,23,NaN,cat,cat,1,0023_lp_dnn_1_cat_10_n02123045_12206.png,n02123045_12206.png,1.0,4.737051,2.1971514,1.7959802
alexnet,1,24,NaN,knife,truck,7,0024_lp_dnn_7_truck_10_n03417042_2633.png,n03417042_2633.png,0.0,-0.481588,3.0371027,-2.48809
alexnet,1,25,NaN,knife,keyboard,15,0025_lp_dnn_15_keyboard_10_n03085013_24416.png,n03085013_24416.png,0.0,0.77743596,4.3513317,-2.5271258
alexnet,1,26,NaN,knife,car,7,0026_lp_dnn_7_car_10_n02814533_44503.png,n02814533_44503.png,0.0,-0.28012145,3.4944892,-2.6690528
alexnet,1,27,NaN,cat,elephant,5,0027_lp_dnn_5_elephant_10_n02504458_5797.png,n02504458_5797.png,0.0,2.9417582,3.3194044,-0.2670362
alexnet,1,28,NaN,chair,chair,0,0028_lp_dnn_0_chair_10_n04429376_8237.png,n04429376_8237.png,1.0,6.043384,5.426969,0.43587124
alexnet,1,29,NaN,oven,cat,7,0029_lp_dnn_7_cat_10_n02123159_587.png,n02123159_587.png,0.0,1.9398755,2.1712081,-0.1635769
alexnet,1,30,NaN,knife,bird,10,0030_lp_dnn_10_bird_10_n02028035_17238.png,n02028035_17238.png,0.0,-0.6065001,4.3510337,-3.5055058
alexnet,1,31,NaN,knife,cat,40,0031_lp_dnn_40_cat_10_n02123159_4348.png,n02123159_4348.png,0.0,-0.16856052,4.5349183,-3.325862
alexnet,1,32,NaN,knife,boat,5,0032_lp_dnn_5_boat_10_n04273569_22332.png,n04273569_22332.png,0.0,1.4275688,4.6616945,-2.2868721
alexnet,1,33,NaN,elephant,elephant,1,0033_lp_dnn_1_elephant_10_n02504013_1244.png,n02504013_1244.png,1.0,11.741844,4.1204305,5.3891535
alexnet,1,34,NaN,oven,bicycle,7,0034_lp_dnn_7_bicycle_10_n03792782_30229.png,n03792782_30229.png,0.0,-0.80501366,2.830766,-2.5708845
