subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
bagnet33,1,1,NaN,clock,chair,40,0001_lp_dnn_40_chair_10_n04099969_7577.png,n04099969_7577.png,0.0,0.30529174,3.8753622,-2.5244212
bagnet33,1,2,NaN,clock,cat,40,0002_lp_dnn_40_cat_10_n02124075_12815.png,n02124075_12815.png,0.0,0.83464265,3.8561175,-2.1365054
bagnet33,1,3,NaN,keyboard,truck,5,0003_lp_dnn_5_truck_10_n04467665_34253.png,n04467665_34253.png,0.0,-2.2666006,6.7183614,-6.353328
bagnet33,1,4,NaN,clock,clock,1,0004_lp_dnn_1_clock_10_n04548280_5320.png,n04548280_5320.png,1.0,6.9242682,3.283905,2.5741255
bagnet33,1,5,NaN,keyboard,dog,3,0005_lp_dnn_3_dog_10_n02108915_3652.png,n02108915_3652.png,0.0,1.2090557,4.705493,-2.4723547
bagnet33,1,6,NaN,keyboard,keyboard,7,0006_lp_dnn_7_keyboard_10_n04505470_578.png,n04505470_578.png,1.0,10.7169895,5.7286057,3.5273201
bagnet33,1,7,NaN,keyboard,cat,7,0007_lp_dnn_7_cat_10_n02123597_3842.png,n02123597_3842.png,0.0,1.5939385,5.356223,-2.6603372
bagnet33,1,8,NaN,bear,bear,1,0008_lp_dnn_1_bear_10_n02134418_14.png,n02134418_14.png,1.0,7.860091,4.7772126,2.1799245
bagnet33,1,9,NaN,clock,knife,10,0009_lp_dnn_10_knife_10_n03041632_29920.png,n03041632_29920.png,0.0,1.161284,3.2747982,-1.4944803
bagnet33,1,10,NaN,keyboard,bird,5,0010_lp_dnn_5_bird_10_n01795545_952.png,n01795545_952.png,0.0,-1.137271,4.841117,-4.227359
bagnet33,1,11,NaN,keyboard,bear,3,0011_lp_dnn_3_bear_10_n02132136_6441.png,n02132136_6441.png,0.0,0.16490252,2.6642199,-1.7672843
bagnet33,1,12,NaN,keyboard,bird,3,0012_lp_dnn_3_bird_10_n01829413_8792.png,n01829413_8792.png,0.0,-0.6679649,3.970625,-3.2799785
bagnet33,1,13,NaN,keyboard,keyboard,7,0013_lp_dnn_7_keyboard_10_n04505470_4458.png,n04505470_4458.png,1.0,11.623675,4.8377967,4.798341
bagnet33,1,14,NaN,keyboard,chair,10,0014_lp_dnn_10_chair_10_n03376595_9176.png,n03376595_9176.png,0.0,0.53338945,3.8199244,-2.323931
bagnet33,1,15,NaN,clock,clock,40,0015_lp_dnn_40_clock_10_n04548280_7662.png,n04548280_7662.png,1.0,4.090221,2.7065215,0.97842324
bagnet33,1,16,NaN,clock,keyboard,40,0016_lp_dnn_40_keyboard_10_n03085013_25809.png,n03085013_25809.png,0.0,0.03112191,3.0046117,-2.1025748
bagnet33,1,17,NaN,keyboard,oven,5,0017_lp_dnn_5_oven_10_n04111531_1580.png,n04111531_1580.png,0.0,-2.890157,6.113866,-6.3668056
bagnet33,1,18,NaN,elephant,elephant,1,0018_lp_dnn_1_elephant_10_n02504458_900.png,n02504458_900.png,1.0,9.387186,2.3655214,4.965067
bagnet33,1,19,NaN,keyboard,dog,7,0019_lp_dnn_7_dog_10_n02106662_2384.png,n02106662_2384.png,0.0,1.2865882,2.8569736,-1.1104302
bagnet33,1,20,NaN,clock,truck,10,0020_lp_dnn_10_truck_10_n03796401_22618.png,n03796401_22618.png,0.0,-2.1585064,3.5906708,-4.065282
bagnet33,1,21,NaN,clock,elephant,15,0021_lp_dnn_15_elephant_10_n02504013_5463.png,n02504013_5463.png,0.0,-2.8275158,3.5782166,-4.5295367
bagnet33,1,22,NaN,clock,chair,10,0022_lp_dnn_10_chair_10_n04429376_16459.png,n04429376_16459.png,0.0,1.3273573,2.641778,-0.9294358
bagnet33,1,23,NaN,cat,cat,1,0023_lp_dnn_1_cat_10_n02123045_12206.png,n02123045_12206.png,1.0,4.6776314,1.9841502,1.9045788
bagnet33,1,24,NaN,keyboard,truck,7,0024_lp_dnn_7_truck_10_n03417042_2633.png,n03417042_2633.png,0.0,-3.016624,4.1064806,-5.0367956
bagnet33,1,25,NaN,knife,keyboard,15,0025_lp_dnn_15_keyboard_10_n03085013_24416.png,n03085013_24416.png,0.0,-0.17677099,2.9468017,-2.2086995
bagnet33,1,26,NaN,keyboard,car,7,0026_lp_dnn_7_car_10_n02814533_44503.png,n02814533_44503.png,0.0,-3.077079,4.700037,-5.4992514
bagnet33,1,27,NaN,keyboard,elephant,5,0027_lp_dnn_5_elephant_10_n02504458_5797.png,n02504458_5797.png,0.0,-2.3193355,5.349111,-5.4224105
bagnet33,1,28,NaN,clock,chair,0,0028_lp_dnn_0_chair_10_n04429376_8237.png,n04429376_8237.png,0.0,4.8196416,5.327439,-0.35906687
