subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
convnext_large,1,1,NaN,knife,chair,40,0001_lp_dnn_40_chair_10_n04099969_7577.png,n04099969_7577.png,0.0,-0.111171745,2.835474,-2.0835931
convnext_large,1,2,NaN,knife,cat,40,0002_lp_dnn_40_cat_10_n02124075_12815.png,n02124075_12815.png,0.0,-0.2106167,2.038098,-1.5900815
convnext_large,1,3,NaN,oven,truck,5,0003_lp_dnn_5_truck_10_n04467665_34253.png,n04467665_34253.png,0.0,-0.21263666,2.4993427,-1.917659
convnext_large,1,4,NaN,clock,clock,1,0004_lp_dnn_1_clock_10_n04548280_5320.png,n04548280_5320.png,1.0,4.631361,0.18634017,3.1431043
convnext_large,1,5,NaN,cat,dog,3,0005_lp_dnn_3_dog_10_n02108915_3652.png,n02108915_3652.png,0.0,0.23776034,1.8861094,-1.1655588
convnext_large,1,6,NaN,keyboard,keyboard,7,0006_lp_dnn_7_keyboard_10_n04505470_578.png,n04505470_578.png,1.0,6.056016,1.342698,3.332819
convnext_large,1,7,NaN,knife,cat,7,0007_lp_dnn_7_cat_10_n02123597_3842.png,n02123597_3842.png,0.0,1.8878969,2.1498158,-0.18520464
convnext_large,1,8,NaN,bear,bear,1,0008_lp_dnn_1_bear_10_n02134418_14.png,n02134418_14.png,1.0,3.302034,0.4051714,2.048391
convnext_large,1,9,NaN,knife,knife,10,0009_lp_dnn_10_knife_10_n03041632_29920.png,n03041632_29920.png,1.0,4.348391,1.5872729,1.9524055
convnext_large,1,10,NaN,knife,bird,5,0010_lp_dnn_5_bird_10_n01795545_952.png,n01795545_952.png,0.0,0.547576,3.4411778,-2.0460856
convnext_large,1,11,NaN,bear,bear,3,0011_lp_dnn_3_bear_10_n02132136_6441.png,n02132136_6441.png,1.0,4.3563757,4.322789,0.023749243
convnext_large,1,12,NaN,bear,bird,3,0012_lp_dnn_3_bird_10_n01829413_8792.png,n01829413_8792.png,0.0,0.64578104,1.4527861,-0.5706388
convnext_large,1,13,NaN,keyboard,keyboard,7,0013_lp_dnn_7_keyboard_10_n04505470_4458.png,n04505470_4458.png,1.0,6.8773313,1.5815693,3.7446694
convnext_large,1,14,NaN,knife,chair,10,0014_lp_dnn_10_chair_10_n03376595_9176.png,n03376595_9176.png,0.0,-0.3200339,4.621975,-3.494528
convnext_large,1,15,NaN,clock,clock,40,0015_lp_dnn_40_clock_10_n04548280_7662.png,n04548280_7662.png,1.0,1.7590119,1.6254013,0.09447697
convnext_large,1,16,NaN,knife,keyboard,40,0016_lp_dnn_40_keyboard_10_n03085013_25809.png,n03085013_25809.png,0.0,0.298738,3.2886744,-2.1142044
convnext_large,1,17,NaN,oven,oven,5,0017_lp_dnn_5_oven_10_n04111531_1580.png,n04111531_1580.png,1.0,5.936422,2.9925282,2.0816472
convnext_large,1,18,NaN,elephant,elephant,1,0018_lp_dnn_1_elephant_10_n02504458_900.png,n02504458_900.png,1.0,6.2781916,0.355159,4.1882167
convnext_large,1,19,NaN,knife,dog,7,0019_lp_dnn_7_dog_10_n02106662_2384.png,n02106662_2384.png,0.0,0.4034651,2.5745378,-1.5351802
convnext_large,1,20,NaN,knife,truck,10,0020_lp_dnn_10_truck_10_n03796401_22618.png,n03796401_22618.png,0.0,-0.7300185,5.803019,-4.6195555
