subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
resnet50,1,1,NaN,knife,chair,40,0001_lp_dnn_40_chair_10_n04099969_7577.png,n04099969_7577.png,0.0,0.7482399,4.9001827,-2.9358668
resnet50,1,2,NaN,knife,cat,40,0002_lp_dnn_40_cat_10_n02124075_12815.png,n02124075_12815.png,0.0,0.41303945,4.080946,-2.5936017
resnet50,1,3,NaN,oven,truck,5,0003_lp_dnn_5_truck_10_n04467665_34253.png,n04467665_34253.png,0.0,3.1201208,5.955434,-2.0048692
resnet50,1,4,NaN,clock,clock,1,0004_lp_dnn_1_clock_10_n04548280_5320.png,n04548280_5320.png,1.0,13.3666725,3.718874,6.822024
resnet50,1,5,NaN,oven,dog,3,0005_lp_dnn_3_dog_10_n02108915_3652.png,n02108915_3652.png,0.0,0.73550767,5.0082483,-3.021284
resnet50,1,6,NaN,keyboard,keyboard,7,0006_lp_dnn_7_keyboard_10_n04505470_578.png,n04505470_578.png,1.0,10.489932,2.1604302,5.8898478
resnet50,1,7,NaN,knife,cat,7,0007_lp_dnn_7_cat_10_n02123597_3842.png,n02123597_3842.png,0.0,3.1661747,4.1028633,-0.6623389
resnet50,1,8,NaN,bear,bear,1,0008_lp_dnn_1_bear_10_n02134418_14.png,n02134418_14.png,1.0,9.657154,1.8730252,5.5042105
resnet50,1,9,NaN,knife,knife,10,0009_lp_dnn_10_knife_10_n03041632_29920.png,n03041632_29920.png,1.0,4.1303916,2.4016845,1.2223805
resnet50,1,10,NaN,knife,bird,5,0010_lp_dnn_5_bird_10_n01795545_952.png,n01795545_952.png,0.0,-1.5340327,3.9938588,-3.9088097
resnet50,1,11,NaN,dog,bear,3,0011_lp_dnn_3_bear_10_n02132136_6441.png,n02132136_6441.png,0.0,2.3998678,2.566992,-0.11817471
resnet50,1,12,NaN,bear,bird,3,0012_lp_dnn_3_bird_10_n01829413_8792.png,n01829413_8792.png,0.0,-1.4496897,2.4822125,-2.7802749
resnet50,1,13,NaN,keyboard,keyboard,7,0013_lp_dnn_7_keyboard_10_n04505470_4458.png,n04505470_4458.png,1.0,14.768423,4.8380394,7.0218415
resnet50,1,14,NaN,knife,chair,10,0014_lp_dnn_10_chair_10_n03376595_9176.png,n03376595_9176.png,0.0,0.26008928,4.400222,-2.9275157
resnet50,1,15,NaN,knife,clock,40,0015_lp_dnn_40_clock_10_n04548280_7662.png,n04548280_7662.png,0.0,2.3019116,4.4912367,-1.5480866
resnet50,1,16,NaN,knife,keyboard,40,0016_lp_dnn_40_keyboard_10_n03085013_25809.png,n03085013_25809.png,0.0,0.5163867,4.435277,-2.7710738
resnet50,1,17,NaN,oven,oven,5,0017_lp_dnn_5_oven_10_n04111531_1580.png,n04111531_1580.png,1.0,5.1090455,2.4077687,1.9100912
resnet50,1,18,NaN,elephant,elephant,1,0018_lp_dnn_1_elephant_10_n02504458_900.png,n02504458_900.png,1.0,13.535979,1.9740403,8.175526
resnet50,1,19,NaN,knife,dog,7,0019_lp_dnn_7_dog_10_n02106662_2384.png,n02106662_2384.png,0.0,2.0074573,3.225984,-0.8616286
resnet50,1,20,NaN,knife,truck,10,0020_lp_dnn_10_truck_10_n03796401_22618.png,n03796401_22618.png,0.0,0.057713926,4.7751265,-3.3357143
resnet50,1,21,NaN,knife,elephant,15,0021_lp_dnn_15_elephant_10_n02504013_5463.png,n02504013_5463.png,0.0,-0.8772825,2.968965,-2.719708
resnet50,1,22,NaN,knife,chair,10,0022_lp_dnn_10_chair_10_n04429376_16459.png,n04429376_16459.png,0.0,0.23170924,3.710174,-2.4596462
resnet50,1,23,NaN,cat,cat,1,0023_lp_dnn_1_cat_10_n02123045_12206.png,n02123045_12206.png,1.0,9.110865,2.7279909,4.5133734
resnet50,1,24,NaN,knife,truck,7,0024_lp_dnn_7_truck_10_n03417042_2633.png,n03417042_2633.png,0.0,0.6498678,5.191894,-3.2116978
resnet50,1,25,NaN,knife,keyboard,15,0025_lp_dnn_15_keyboard_10_n03085013_24416.png,n03085013_24416.png,0.0,1.222686,4.3277426,-2.1956065
resnet50,1,26,NaN,truck,car,7,0026_lp_dnn_7_car_10_n02814533_44503.png,n02814533_44503.png,0.0,2.190743,4.6646786,-1.7493367
resnet50,1,27,NaN,elephant,elephant,5,0027_lp_dnn_5_elephant_10_n02504458_5797.png,n02504458_5797.png,1.0,2.5011046,2.4907064,0.007352602
resnet50,1,28,NaN,chair,chair,0,0028_lp_dnn_0_chair_10_n04429376_8237.png,n04429376_8237.png,1.0,6.429698,3.9977589,1.7196407
resnet50,1,29,NaN,elephant,cat,7,0029_lp_dnn_7_cat_10_n02123159_587.png,n02123159_587.png,0.0,1.963404,2.2795537,-0.22355153
resnet50,1,30,NaN,knife,bird,10,0030_lp_dnn_10_bird_10_n02028035_17238.png,n02028035_17238.png,0.0,0.13551745,2.5352974,-1.6969007
resnet50,1,31,NaN,knife,cat,40,0031_lp_dnn_40_cat_10_n02123159_4348.png,n02123159_4348.png,0.0,0.18567145,5.1475344,-3.508567
resnet50,1,32,NaN,airplane,boat,5,0032_lp_dnn_5_boat_10_n04273569_22332.png,n04273569_22332.png,0.0,2.6617923,4.8149533,-1.5225148
resnet50,1,33,NaN,elephant,elephant,1,0033_lp_dnn_1_elephant_10_n02504013_1244.png,n02504013_1244.png,1.0,12.610484,2.4398324,7.1917367
resnet50,1,34,NaN,knife,bicycle,7,0034_lp_dnn_7_bicycle_10_n03792782_30229.png,n03792782_30229.png,0.0,-2.318697,3.9715946,-4.447908
resnet50,1,35,NaN,knife,keyboard,10,0035_lp_dnn_10_keyboard_10_n03085013_7573.png,n03085013_7573.png,0.0,1.5219004,3.6899564,-1.5330471
