subj,session,trial,rt,object_response,category,condition,imagename,filename,is_correct,targ_act,max_nontarg_act,decision_margin
simclr_resnet50x1,1,1,NaN,knife,chair,40,0001_lp_dnn_40_chair_10_n04099969_7577.png,n04099969_7577.png,0.0,0.029411748,3.7575986,-2.6362262
simclr_resnet50x1,1,2,NaN,knife,cat,40,0002_lp_dnn_40_cat_10_n02124075_12815.png,n02124075_12815.png,0.0,0.4374645,5.8366275,-3.8177848
simclr_resnet50x1,1,3,NaN,knife,truck,5,0003_lp_dnn_5_truck_10_n04467665_34253.png,n04467665_34253.png,0.0,1.5859358,6.2170744,-3.2747097
simclr_resnet50x1,1,4,NaN,clock,clock,1,0004_lp_dnn_1_clock_10_n04548280_5320.png,n04548280_5320.png,1.0,7.0527663,3.432478,2.5599306
simclr_resnet50x1,1,5,NaN,knife,dog,3,0005_lp_dnn_3_dog_10_n02108915_3652.png,n02108915_3652.png,0.0,1.0715969,2.9571574,-1.3332926
simclr_resnet50x1,1,6,NaN,keyboard,keyboard,7,0006_lp_dnn_7_keyboard_10_n04505470_578.png,n04505470_578.png,1.0,12.301535,10.205104,1.4824004
simclr_resnet50x1,1,7,NaN,cat,cat,7,0007_lp_dnn_7_cat_10_n02123597_3842.png,n02123597_3842.png,1.0,4.317158,4.2851267,0.022649717
simclr_resnet50x1,1,8,NaN,bear,bear,1,0008_lp_dnn_1_bear_10_n02134418_14.png,n02134418_14.png,1.0,17.261532,3.5809824,9.67361
simclr_resnet50x1,1,9,NaN,knife,knife,10,0009_lp_dnn_10_knife_10_n03041632_29920.png,n03041632_29920.png,1.0,5.309483,4.6379013,0.47488
simclr_resnet50x1,1,10,NaN,knife,bird,5,0010_lp_dnn_5_bird_10_n01795545_952.png,n01795545_952.png,0.0,0.21484317,3.9246805,-2.6232512
simclr_resnet50x1,1,11,NaN,bear,bear,3,0011_lp_dnn_3_bear_10_n02132136_6441.png,n02132136_6441.png,1.0,8.441067,6.030876,1.7042621
simclr_resnet50x1,1,12,NaN,bear,bird,3,0012_lp_dnn_3_bird_10_n01829413_8792.png,n01829413_8792.png,0.0,2.044177,3.91448,-1.3225039
simclr_resnet50x1,1,13,NaN,keyboard,keyboard,7,0013_lp_dnn_7_keyboard_10_n04505470_4458.png,n04505470_4458.png,1.0,9.186927,4.3430524,3.4251366
simclr_resnet50x1,1,14,NaN,clock,chair,10,0014_lp_dnn_10_chair_10_n03376595_9176.png,n03376595_9176.png,0.0,-0.9935626,4.0669794,-3.5783436
simclr_resnet50x1,1,15,NaN,clock,clock,40,0015_lp_dnn_40_clock_10_n04548280_7662.png,n04548280_7662.png,1.0,3.9530811,3.2887783,0.46973303
simclr_resnet50x1,1,16,NaN,clock,keyboard,40,0016_lp_dnn_40_keyboard_10_n03085013_25809.png,n03085013_25809.png,0.0,1.9915849,3.034825,-0.7376822
simclr_resnet50x1,1,17,NaN,knife,oven,5,0017_lp_dnn_5_oven_10_n04111531_1580.png,n04111531_1580.png,0.0,3.0340466,4.1523438,-0.79075545
simclr_resnet50x1,1,18,NaN,elephant,elephant,1,0018_lp_dnn_1_elephant_10_n02504458_900.png,n02504458_900.png,1.0,31.187183,7.2178693,16.948866
simclr_resnet50x1,1,19,NaN,knife,dog,7,0019_lp_dnn_7_dog_10_n02106662_2384.png,n02106662_2384.png,0.0,0.54603785,5.939146,-3.8135035
